施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
江別市立病院,012173,北海道,江別市,43.111488,141.544601,011-382-5151,https://www.ebetsu-hospital.jp,067-8585,北海道江別市若草町６番地,有,"月・木8:30～11:00
火・金8:30～11:00、
12:30～15:00
水12:30～15:00",有
"医療法人社団プリモウイメ
ンズクリニック",012173,北海道,江別市,43.109589,141.541397,011-391-7577,,067-0031,北海道江別市元町２１番地の９,有,"平日：9：00～17:00
水土：9:00～12:00",有
"医療法人社団みらいエナレ
ディースクリニック",012351,北海道,石狩市,43.142811,141.278046,0133-72-8688,www.ena-clinic.com,061-3209,北海道石狩市花川南９条１丁目８６番地２,有,"月水木：9：00～12:00/14:00～
16:00/17:00～19:00
火金土日祝：9:00～13:00",有
市立千歳市民病院,012246,北海道,千歳市,42.843609,141.638412,0123-24-3000,http://chitose-shimin-hospital.jp/,066-8550,北海道千歳市北光2丁目1番1号,有,24時間対応,有
"マミーズクリニックちと
せ",012246,北海道,千歳市,42.834103,141.634445,0123-27-4103,http://www.mom-clinic.com/,066-0038,北海道千歳市信濃2丁目1-13,有,"月・火・水・金9:00～12:00、
14:00～16:30木・土9:00～12:00",有
"医療法人社団さくら女性
クリニック",012246,北海道,千歳市,42.828426,141.650696,0123-27-1323,http://sakuracl-chitose.com/,066-0062,"北海道千歳市千代田町7丁目1789-3千歳ステー
ションプラザ5F",有,"月・火・木・金9:00～18:30水・
土9:00～13:00",有
"医療法人社団産婦人科・
小児科クリニックリブ",012319,北海道,恵庭市,42.873875,141.584412,0123-32-0181,https://clinic-live.com/,061-1441,北海道恵庭市住吉町1丁目8-10,有,"午前月～土9:00～12:00午後月・
木14:00～17:00水・金14:00～
18:00※第3火曜日休診",有
"みよしレディースクリ
ニック",012343,北海道,北広島市,42.976551,141.561859,011-373-8500,http://www.miyoshi-ｌ-clinic.com/,061-1133,北海道北広島市栄町1丁目5-3北広島ビル2F,有,"月9:00～12:30、14:00～18:00
火・水・金9:00～12:30、14:00～
17:00
木・土9:00～12:00",有
"木古内町国民健康保険病
院",013340,北海道,上磯郡木古内町,41.674259,140.436401,01392-2-2079,http://kikonai-hospital.com,049-0422,北海道木古内町字本町710,有,"第2・4火曜日（祝日除く）13:30-
16:30",無
八雲総合病院,013463,北海道,二海郡八雲町,42.252861,140.27977,0137-63-2185,"http://hosp.town.yakumo.hokkaido.jp
/",049-3197,北海道二海郡八雲町東雲町50番地,有,"平日：月・火・木・金8：45～11：30/水
13：00～15：00",有
北海道立江差病院,013617,北海道,檜山郡江差町,41.913319,140.144669,0139-52-0036,https://esashi.hospital.hokkaido.jp/,043-0022,北海道檜山郡江差町伏木戸町４８４番地,有,月・火9:00～11:30,有
"ＪＡ北海道厚生連倶知安厚
生病院",014001,北海道,虻田郡倶知安町,42.904713,140.754166,0136-22-1141,"https://www.dou-
kouseiren.com/byouin/kutchan/",044-0004,北海道虻田郡倶知安町北４条東１丁目２番地,有,"72時間以内に平日があれば、平日
の産婦人科へ搬送する。（平日8～
11時と月・火の14時～16時）72時間
以内が休日しかない場合、翌日10時
頃に来院、翌日10時までに72時間
が経過する場合、医師の判断にて
可否を決定する。",有
寿都町立寿都診療所,013927,北海道,寿都郡寿都町,42.788448,140.224274,0136-62-2411,"http://www.town.suttu.lg.jp/life/det
ail.php?id=55",048-0406,北海道寿都町渡島町７２番地２,有,"平日8:30-16:30
時間外及び休日・祝日は要TEL",有
