施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
江別市立病院,012173,北海道,江別市,40.695896,140.457413,011-382-5151,https://www.ebetsu-hospital.jp,067-8585,青森県北海道江別市若草町6番地,有,有,緯度経度(不一致)
医療法人社団プリモウイメンズクリニック,012173,北海道,江別市,40.695896,140.457413,011-391-7577,,067-0031,青森県北海道江別市元町21番地の9,有,有,緯度経度(不一致)
医療法人社団みらいエナレディ-スクリニック,012351,北海道,石狩市,40.695896,140.457413,0133-72-8688,www.ena-clinic.com,061-3209,青森県北海道石狩市花川南9条1丁目86番地2,有,有,緯度経度(不一致)
市立千歳市民病院,012246,北海道,千歳市,40.695896,140.457413,0123-24-3000,http://chitose-shimin-hospital.jp/,066-8550,青森県北海道千歳市北光2丁目1番1号,有,有,緯度経度(不一致)
マミ-ズクリニックちとせ,012246,北海道,千歳市,40.695896,140.457413,0123-27-4103,http://www.mom-clinic.com/,066-0038,青森県北海道千歳市信濃2丁目1-13,有,有,緯度経度(不一致)
医療法人社団さくら女性クリニック,012246,北海道,千歳市,40.695896,140.457413,0123-27-1323,http://sakuracl-chitose.com/,066-0062,"青森県北海道千歳市千代田町7丁目1789-3
千歳ステ-ションプラザ5F",有,有,緯度経度(不一致)
医療法人社団産婦人科・小児科クリニックリブ,012319,北海道,恵庭市,40.695896,140.457413,0123-32-0181,https://clinic-live.com/,061-1441,青森県北海道恵庭市住吉町1丁目8-10,有,有,"URL(リンク切れ), 緯度経度(不一致)"
みよしレディ-スクリニック,012343,北海道,北広島市,40.695896,140.457413,011-373-8500,http://www.miyoshi-l-clinic.com/,061-1133,"青森県北海道北広島市栄町1丁目5-3
北広島ビル2F",有,有,"URL(リンク切れ), 緯度経度(不一致)"
木古内町国民健康保険病院,013340,北海道,上磯郡木古内町,40.695896,140.457413,01392-2-2079,http://kikonai-hospital.com,049-0422,青森県北海道木古内町字本町710,有,無,緯度経度(不一致)
八雲総合病院,013463,北海道,二海郡八雲町,40.695896,140.457413,0137-63-2185,http://hosp.town.yakumo.hokkaido.jp/,049-3197,青森県北海道二海郡八雲町東雲町50番地,有,有,緯度経度(不一致)
北海道立江差病院,013617,北海道,檜山郡江差町,40.695896,140.457413,0139-52-0036,https://esashi.hospital.hokkaido.jp/,043-0022,青森県北海道檜山郡江差町伏木戸町484番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
JA北海道厚生連倶知安厚生病院,014001,北海道,虻田郡倶知安町,40.695896,140.457413,0136-22-1141,"https://www.dou-
kouseiren.com/byouin/kutchan/",044-0004,青森県北海道虻田郡倶知安町北4条東1丁目2番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
寿都町立寿都診療所,013927,北海道,寿都郡寿都町,40.695896,140.457413,0136-62-2411,"http://www.town.suttu.lg.jp/life/detail.php
?id=55",048-0406,青森県北海道寿都町渡島町72番地2,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団岩見沢レディ-スクリニック,012106,北海道,岩見沢市,40.695896,140.457413,0126-23-2222,,068-0028,青森県北海道岩見沢市8条西19丁目3-1,有,有,緯度経度(不一致)
砂川市立病院,012262,北海道,砂川市,40.695896,140.457413,0125-54-2131,http://www.med.sunagawa.hokkaido.jp/,073-0196,青森県北海道砂川市西4条北3丁目1-1,有,有,緯度経度(不一致)
医療法人社団たきかわ産科婦人科クリニック,012254,北海道,滝川市,40.695896,140.457413,0125-23-3039,,073-0021,青森県北海道滝川市本町2丁目5番18号,有,有,緯度経度(不一致)
名寄市立総合病院,012211,北海道,名寄市,40.695896,140.457413,01654-3-3101,http://www.nayoroch.jp/,096-8511,青森県北海道名寄市西7条南8丁目1番地,有,有,緯度経度(不一致)
社会福祉法人北海道社会事業協会富良野病院,012297,北海道,富良野市,40.695896,140.457413,0167-23-2181,"http://www.msknet.ne.jp/-furano-
hospital/",076-8765,青森県北海道富良野市住吉町1-30,有,有,"URL(リンク切れ), 緯度経度(不一致)"
留萌市立病院,012122,北海道,留萌市,40.695896,140.457413,0164-49-1011,http://www.rumoi-hp.jp,077-8511,青森県北海道留萌市東雲町2丁目16番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
市立稚内病院,012149,北海道,稚内市,40.695896,140.457413,0162-23-2771,http://www.city.wakkanai.hokkaido.jp/hosp,097-8555,青森県北海道稚内市中央4丁目11番6号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
利尻島国保中央病院,015180,北海道,利尻郡利尻町,40.695896,140.457413,0163-84-2626,"http://www.town.rishiri.hokkaido.jp/KOKU
HO/",097-0401,青森県北海道利尻郡利尻町沓形字緑町11番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
網走厚生病院,012114,北海道,網走市,40.695896,140.457413,0152-43-3157,"https://www.dou-
kouseiren.com/byouin/abasiri/",093-0076,青森県北海道網走市北6条西1丁目9番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
金川医院,012114,北海道,網走市,40.695896,140.457413,0152-43-2884,,093-0012,青森県北海道網走市南2条西2丁目10番地,有,有,緯度経度(不一致)
やまかわウィメンズクリニック,012084,北海道,北見市,40.695896,140.457413,0157-66-0011,http://www.myclinic.ne.jp/ywc06/,090-0804,青森県北海道北見市桜町5丁目8番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
産科・婦人科北見レディ-スクリニック,012084,北海道,北見市,40.695896,140.457413,0157-31-0303,,090-0020,青森県北海道北見市大通東2丁目11番地,有,有,緯度経度(不一致)
医療法人社団公和会中村記念愛成病院,012084,北海道,北見市,40.695896,140.457413,0157-24-8131,https://www.kouwakai-nakamura.jp/,090-0051,青森県北海道北見市高栄東町4丁目20番1号,有,有,緯度経度(不一致)
広域紋別病院,012190,北海道,紋別市,40.695896,140.457413,0158-24-3111,https://www.mombetsu-hospital.jp,094-8709,青森県北海道紋別市落石町1-10-37,有,有,緯度経度(不一致)
社会医療法人製鉄記念室蘭病院,012050,北海道,室蘭市,40.695896,140.457413,0143-44-4650,http://www.nshp-muroran.or.jp/,050-0076,青森県北海道室蘭市知利別町1丁目45番地,有,有,緯度経度(不一致)
医療法人緑風会石田内科胃腸科,015849,北海道,虻田郡洞爺湖町,40.695896,140.457413,0142-76-3838,"http://ishidanaikaichoka.com/custom3.ht
ml",049-5615,青森県北海道洞爺湖町本町195,有,有,"URL(リンク切れ), 緯度経度(不一致)"
社会医療法人母恋日鋼記念病院,012050,北海道,室蘭市,40.695896,140.457413,0143-24-1331,https://www.nikko-kinen.or.jp/,051-8501,青森県北海道室蘭市新富町1-5-13,有,有,緯度経度(不一致)
"医療法人社団のぞみ会
レディ-スクリニックぬまのはた",012130,北海道,苫小牧市,40.695896,140.457413,0144-53-0303,"https://ladies-
numanohata.com/index.html",059-1304,青森県北海道苫小牧市北栄町2-27-7,有,有,"URL(リンク切れ), 緯度経度(不一致)"
王子総合病院,012130,北海道,苫小牧市,40.695896,140.457413,0144-32-8111,http:/www.ojihosp.or.jp/,053-8506,青森県北海道苫小牧市若草町3丁目4-8,有,有,"URL(無効なURL), URL(リンク切れ), 緯度経度(不一致)"
"医療法人社団苫仁会
桜木ファミリ-クリニック",012130,北海道,苫小牧市,40.695896,140.457413,0144-71-2351,http://www.mc-senjinkai.or.jp,053-0832,青森県北海道苫小牧市桜木町2丁目25-1,有,有,緯度経度(不一致)
新ひだか町立静内病院,016101,北海道,日高郡新ひだか町,40.695896,140.457413,0146-42-0181,"https://www.shinhidaka-
hokkaido.jp/hospital/",056-0004,青森県北海道新ひだか町静内緑町4丁目5番1号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
"医療法人社団慶愛
慶愛女性クリニック",012076,北海道,帯広市,40.695896,140.457413,0155-61-1155,http://www.keiai.or.jp,080-2473,青森県北海道帯広市西23条南2丁目16番地,有,有,緯度経度(不一致)
(医)慶愛慶愛病院,012076,北海道,帯広市,40.695896,140.457413,0155-22-4188,www.keiai.or.jp,080-0803,青森県北海道帯広市東3条南9丁目2番地,有,有,緯度経度(不一致)
"医療法人社団慶香会
坂野産科婦人科",012076,北海道,帯広市,40.695896,140.457413,0155-26-1188,,080-0019,青森県北海道帯広市西9条南10丁目1-3,有,有,緯度経度(不一致)
帯広レディ-スクリニック,012076,北海道,帯広市,40.695896,140.457413,0155-22-3773,,080-0013,"青森県北海道帯広市西3条南4丁目14
三条メディカルセンタ-2F",有,有,緯度経度(不一致)
"社会福祉法人北海道社会事業協会
帯広病院",012076,北海道,帯広市,40.695896,140.457413,0155-22-6600,http://www.obihiro-kyokai-hsp-jp,080-0805,青森県北海道帯広市東5条南9丁目2,有,有,"URL(リンク切れ), 緯度経度(不一致)"
市立釧路総合病院,012068,北海道,釧路市,40.695896,140.457413,0154-41-6121,http://www.kushiro-cghp.jp/,085-0822,青森県北海道釧路市春湖台1-12,有,有,緯度経度(不一致)
総合病院釧路赤十字病院,012068,北海道,釧路市,40.695896,140.457413,0154-22-7171,http://www.kushiro.jrc.or.jp,085-8512,青森県北海道釧路市新栄町21番14号,有,有,緯度経度(不一致)
くしろレディ-スクリニック,012068,北海道,釧路市,40.695896,140.457413,0154-32-1020,https://kushiro-ladies.jp/,085-0047,青森県北海道釧路市新川町2-23,有,有,緯度経度(不一致)
医療法人社団足立産婦人科クリニック,012068,北海道,釧路市,40.695896,140.457413,0154-25-7788,http://www.adachi-woman.jp,085-0052,青森県北海道釧路市中園町8番1号,有,有,緯度経度(不一致)
市立根室病院,012238,北海道,根室市,40.695896,140.457413,0153-24-3201,"https://www.city.nemuro.hokkaido.jp/cgi-
bin/hsp/index.php",087-8686,青森県北海道根室市有磯町1丁目2番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
町立中標津病院,016926,北海道,標津郡中標津町,40.695896,140.457413,0153-72-8200,http://nakashibetsu-hospital.jp/,086-1110,青森県北海道標津郡中標津町西10条南9丁目1番地1,有,有,緯度経度(不一致)
町立別海病院,016918,北海道,野付郡別海町,40.695896,140.457413,0153-75-2311,betsukai.jp/bhp/index.html,086-0203,青森県北海道別海町別海西本町103番地の9,有,有,緯度経度(不一致)
NTT東日本札幌病院,011010,北海道,札幌市中央区,40.822357,140.747314,011-623-7000,http://www.ntt-east.co.jp/smc/,060-0061,青森県札幌市中央区南1条西15丁目,有,有,"URL(リンク切れ), 緯度経度(不一致)"
"社会医療法人社団カレスサッポロ
時計台記念病院",011010,北海道,札幌市中央区,40.822357,140.747314,011-251-1221,http://www.tokeidaihosp.or.jp/,060-0031,青森県札幌市中央区北1条東1丁目2番3号,有,有,緯度経度(不一致)
札幌マタニティ・ウイメンズホスピタル,011029,北海道,札幌市北区,40.822357,140.747314,011-746-5505,https://www.smwh.or.jp/,001-0013,青森県札幌市北区北13条西4丁目2番23号,有,有,緯度経度(不一致)
医療法人育愛会札幌東豊病院,011037,北海道,札幌市東区,40.822357,140.747314,011-704-3911,http://www.toho-hosp.or.jp/,065-0017,青森県札幌市東区北17条東15丁目3番1号,有,有,緯度経度(不一致)
札幌白石産科婦人科病院,011045,北海道,札幌市白石区,40.822357,140.747314,011-862-7211,http://www.shiroishi.or.jp/,003-0005,青森県札幌市白石区東札幌5条6丁目6-28,有,有,緯度経度(不一致)
勤医協札幌病院,011045,北海道,札幌市白石区,40.822357,140.747314,011-811-2246,,003-0804,青森県札幌市白石区菊水4条1丁目9番22号,有,有,緯度経度(不一致)
医療法人徳洲会札幌徳洲会病院,011088,北海道,札幌市厚別区,40.695896,140.457413,011-890-1110,www2.satutoku.jp,004-0041,青森県北海道札幌市厚別区大谷地東1丁目1番1号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
KKR札幌医療センタ-,011053,北海道,札幌市豊平区,40.822357,140.747314,011-822-1811,https://www.kkr-smc.com/,062-0931,青森県札幌市豊平区平岸1条6丁目3番40号,有,有,緯度経度(不一致)
医療法人社団エナ大通クリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-241-3000,www.ena-odori.com,060-0001,"青森県札幌市中央区北1条西4丁目1番地1
三甲大通公園ビル2階",有,有,緯度経度(不一致)
オアシスレディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-512-2525,www.dosanko-c.com/oasis,064-0922,"青森県札幌市中央区南22条西11丁目1-48
山鼻メディカルビル4階",有,有,緯度経度(不一致)
セントベビ-クリニック,011010,北海道,札幌市中央区,40.695896,140.457413,011-215-0880,http://stbaby.org/,060-0001,"青森県北海道札幌市中央区北1条西2丁目1番地
札幌時計台ビル2階",有,有,緯度経度(不一致)
にしかわウイメンズヘルスクリニック,011010,北海道,札幌市中央区,40.695896,140.457413,011-213-1730,https://nishikawa-whc.com/,060-0061,"青森県北海道札幌市中央区南1条西14丁目291-81
ウィステリア南1条ビル2F",有,有,"URL(リンク切れ), 緯度経度(不一致)"
のだレディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-708-0550,,060-0011,"青森県札幌市中央区北11条西15丁目2番1号
桑園メディカルプラザ",有,有,緯度経度(不一致)
まどかレディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-231-0080,madoka-lc.com,060-0042,青森県札幌市中央区大通西5丁目8番地昭和ビル,有,有,"URL(リンク切れ), 緯度経度(不一致)"
円山レディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-614-0800,https://maruyama-ladies.com/,064-0821,青森県札幌市中央区北1条西25丁目1番16号,有,有,緯度経度(不一致)
(医)みぶな会ひなたクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-204-8000,http://www.hinataclinic.com,060-0003,"青森県札幌市中央区北3条西4丁目1番
日本生命札幌ビル3階",有,有,緯度経度(不一致)
"医療法人社団ゆほな会
はやしたくみ女性クリニック",011010,北海道,札幌市中央区,40.822357,140.747314,011-640-8845,womens-clinic.jp,064-0820,"青森県札幌市中央区大通西25丁目1番2号
ハ-トランド円山ビル3階",有,有,緯度経度(不一致)
医療法人社団ルミネレディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-200-7700,http://lumine-clinic.com/,060-0061,"青森県札幌市中央区南1条西2丁目5番地
南1条Kビル3F",有,有,緯度経度(不一致)
吉尾産婦人科,011010,北海道,札幌市中央区,40.695896,140.457413,011-511-5564,http://www.myclinic.ne.jp/yoshio/,064-0808,青森県北海道札幌市中央区南8条西3丁目1-7,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団草薙レディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-222-9372,http://www.klc-kusanagi.sakura.ne.jp/,060-0002,"青森県札幌市中央区北2条西1丁目
マルイト札幌ビル2階",有,有,緯度経度(不一致)
林レディ-スクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-206-3050,,060-0062,青森県札幌市中央区南2条西3丁目,有,有,緯度経度(不一致)
"医療法人礼風会
札幌ル・トロワビュ-ティクリニックVogue",011010,北海道,札幌市中央区,40.822357,140.747314,0120-174-871,slbc-vogue.jp,060-0042,"青森県札幌市中央区大通西1丁目13番地
ル・トロワ6階",有,有,緯度経度(不一致)
響きの杜クリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-632-8331,https://hibikinomori.org/,064-0802,青森県札幌市中央区南2条西27丁目1番9号,有,有,緯度経度(不一致)
高岡レディ-スケアクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-562-2882,http://takaoka-ladiescare.jp/,064-0811,青森県札幌市中央区南11条西13丁目2番3号,有,有,緯度経度(不一致)
札幌マタニティ・ウィメンズJRタワ-クリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-209-5350,https://www.smwh.or.jp/,060-8503,"青森県札幌市中央区北5条西2丁目5番地
JRタワ-オフィスプラザ札幌8F",有,有,緯度経度(不一致)
"医療法人明日葉会
札幌マタニティ・ウイメンズ南一条クリニック",011010,北海道,札幌市中央区,40.822357,140.747314,011-208-1880,,060-0061,"青森県札幌市中央区南1条西6丁目
第27桂和ビル4F",有,有,緯度経度(不一致)
"社会医療法人社団カレスサッポロ
時計台記念クリニック",011010,北海道,札幌市中央区,40.822357,140.747314,011-251-2221,www.tokeidaihosp.or.jp,060-0031,青森県札幌市中央区北1条東1丁目2番3号,有,有,緯度経度(不一致)
中央メディカルクリニック,011010,北海道,札幌市中央区,40.822357,140.747314,011-222-0120,,060-0042,"青森県札幌市中央区大通西5丁目11
大五ビル1階",有,有,緯度経度(不一致)
田畑産婦人科,011010,北海道,札幌市中央区,40.695896,140.457413,011-531-7770,"http://www.tabata-
sanfujinka.com/index.html",064-0805,青森県北海道札幌市中央区南5条西2丁目6,有,有,"URL(リンク切れ), 緯度経度(不一致)"
ウィミンズクリニック札幌,011029,北海道,札幌市北区,40.822357,140.747314,011-738-7877,http://www.w-clinic-sapporo.or.jp/,060-0807,"青森県札幌市北区北7条西5丁目8番地1
北7条ヨシヤビル5階",有,有,緯度経度(不一致)
リズミック産婦人科クリニック,011029,北海道,札幌市北区,40.822357,140.747314,011-700-0505,,001-0022,"青森県札幌市北区北22条西5丁目1番32号
ボアソルテN222F",有,有,緯度経度(不一致)
"医療法人社団ちぇりこ会
麻生レディ-スクリニック",011029,北海道,札幌市北区,40.822357,140.747314,011-747-8688,http://www.asabu-clinic.com/,001-0040,"青森県札幌市北区北40条西4丁目2番20号
麻生むらもとビル2階",有,有,緯度経度(不一致)
札幌駅前アップルレディ-スクリニック,011029,北海道,札幌市北区,40.695896,140.457413,011-736-8222,www.alc8.com,060-0808,"青森県北海道札幌市北区北8条西3丁目28
札幌エルプラザ6階",有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団モアナエムズレディ-スクリニック,011029,北海道,札幌市北区,40.822357,140.747314,011-738-7777,https://www.ms-ladiesclinic.com,060-0807,"青森県札幌市北区北7条西5丁目7-1
札幌北スカイビル5階",有,有,緯度経度(不一致)
医療法人社団こんの産婦人科,011037,北海道,札幌市東区,40.822357,140.747314,011-742-8228,http://konno-doc.com/,065-0012,青森県札幌市東区北12条東15丁目5番18号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団豊生会伏古レディ-スクリニック,011037,北海道,札幌市東区,40.822357,140.747314,011-780-1103,fushiko-ladies.com,007-0868,青森県札幌市東区伏古8条3丁目6番20号,有,有,緯度経度(不一致)
栄町レディ-スクリニック,011037,北海道,札幌市東区,40.822357,140.747314,011-783-1111,https://www.sakaemachilc.com/,007-0842,"青森県札幌市東区北42条東16丁目1-1
N42メディカルビル2階",有,有,緯度経度(不一致)
苗穂レディスクリニック,011037,北海道,札幌市東区,40.822357,140.747314,011-781-1955,https://www.naeboladies.jp/,065-0042,青森県札幌市東区本町2条5丁目2番4号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団EVEウィミンズクリニック,011045,北海道,札幌市白石区,40.695896,140.457413,011-866-0808,https://eveclinic.jp,003-0022,青森県北海道札幌市白石区南郷通21丁目南5-41,有,有,緯度経度(不一致)
はしもとクリニック,011088,北海道,札幌市厚別区,40.695896,140.457413,011-891-2633,,004-0052,青森県北海道札幌市厚別区厚別中央2条1丁目4-15,有,有,緯度経度(不一致)
医療法人社団青葉産婦人科クリニック,011088,北海道,札幌市厚別区,40.822357,140.747314,011-893-3207,,004-0021,青森県札幌市厚別区青葉町6丁目1番9号,有,有,緯度経度(不一致)
