施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
あおば通りかずみクリニック,041017,宮城県,仙台市青葉区,38.25948,140.870407,022-724-7294,https://www.kazumi-clinic.com/,980-0804,宮城県仙台市青葉区大町1-1-5グレイス大町3F,有,"平日:9:00~12:00、14:00~16:00
土曜:12:00~14:00",有,
ウィメンズクリニック金上,042080,宮城県,角田市,37.973587,140.786377,0224-61-2001,www.womensclinic-k.or.jp,981-1505,宮城県角田市角田字田町114-12,有,診療時間時間内,有,URL(リンク切れ)
おざわ女性総合クリニック,041033,宮城県,仙台市若林区,38.249546,140.886154,022-222-9716,http://happy-ozawa.jp,984-0073,宮城県仙台市若林区荒町192,有,"月、火、水、金:8:30-18:00
木、土:8:30-12:30",有,
きたのはら女性クリニック,041017,宮城県,仙台市青葉区,38.262203,140.8694,022-722-2077,http://www.kitanohara.com,980-0803,宮城県仙台市青葉区国分町2-2-5 柴崎ビル8F,有,"月、火、木、金:12:00-14:00、16:00-20:00
水、土:10:00-13:00、14:00-16:00
日:10:00-12:30
休診の土日有り注意
休診日でもできる限り対応
要メ-ル",有,
セイントマザ-クリニック,041017,宮城県,仙台市青葉区,38.266331,140.8629,022-263-8001,http://www.saint-mothers.jp,980-0824,宮城県仙台市青葉区支倉町1-31,有,"月~土:9:00~12:00、14:00~17:00
※水・土曜日午後および日曜祝日は休診",有,
中川記念ちか子女性クリニック,042153,宮城県,大崎市,38.578365,140.96611,0229-23-0655,http://www.nakagawa-sanfujinka.jp/,989-6162,宮城県大崎市古川駅前大通6-1-23,有,"月・火・木・金:9:00~17:30
水・土:9:00~12:00",有,URL(リンク切れ)
スズキ記念病院,042110,宮城県,岩沼市,38.10902,140.878571,0223-23-3111,http://www.suzuki-hospital.jp/,989-2481,宮城県岩沼市里の杜3丁目5番5号,有,平日:9:00~18:00 土曜:9:00~13:00,有,
医療法人友仁会 松島病院,044016,宮城県,宮城郡松島町,38.378021,141.070023,022-354-5811,www.matushimahospital.com,981-0215,宮城県宮城郡松島町高城字浜1-26,有,"平日:9:00~16:30
土曜:9:00~11:30
日祝:休診",有,URL(リンク切れ)
向仁会 永井産婦人科,041017,宮城県,仙台市青葉区,38.269703,140.861771,022-222-5582,http://www.nagai-obgyne.com/,980-0824,宮城県仙台市青葉区支倉町4-3,有,"月・火・木・金:9:00~12:30、14:30~17:30
水・土:9:00~12:30",有,
公益財団法人宮城厚生協会 坂総合クリニック,042099,宮城県,多賀城市,38.305962,141.015411,022-365-5175,https://www.m-kousei.com/saka/about/clinic/message.html,985-0835,宮城県多賀城市下馬2丁目13-7,有,平日:9:00~17:00、土曜:9:00-12:30,有,
公益財団法人宮城厚生協会 坂総合病院,042030,宮城県,塩竈市,38.314362,141.022034,022-365-5175,https://www.m-kousei.com/saka/,985-8506,宮城県塩釜市錦町16-5,有,平日8:30-17:00、土曜8:30-12:30,有,
千田医院,041050,宮城県,仙台市泉区,38.296944,140.903229,022-251-8256,0,981-8002,宮城県仙台市泉区南光台南2-7-7,有,"月・火・木・金:9:00~17:30
水:9:00-14:30
土:9:00~11:30",有,URL(リンク切れ)
村口きよ女性クリニック,041025,宮城県,仙台市宮城野区,38.259289,140.888031,022-292-0166,http://www.muraguchikiyo-wclinic.or.jp/,983-0852,宮城県仙台市宮城野区榴岡4-2-3仙台MTビル2F,有,"診療受付時間内
(新患受付は午前・午後とも1時間前に終了致します)
9:00~12:30(月・火・水・金・土)
14:30~17:00(月・金)14:30~17:00(火・水)
休診日:木曜日・日曜・祝祭日・土曜日の午後",有,
長池産婦人科,041017,宮城県,仙台市青葉区,38.259518,140.877075,022-222-5251,https://nagaike-clinic.com,980-0021,宮城県仙台市青葉区中央3丁目4-2,有,"月・火・木・金:9:00~18:00
土:9:00~13:00",有,
富谷医院,042161,宮城県,富谷市,38.400902,140.884628,022-358-2872,www.tomiyaiin.jp/,981-3304,宮城県富谷市ひより台1丁目45-1,有,"月~金:8:30~12:00、14:00~18:00
土:8:30~13:00(日・祝日は休診)",有,URL(リンク切れ)
仙台中央レディ-スクリニック,041041,宮城県,仙台市太白区,38.215069,140.8685,022-244-5558,,982-0032,宮城県仙台市太白区富沢4丁目4-2,有,"平日:9:30~11:30、14:00~17:30
水・土:9:30~11:30",有,
明石台レディ-スクリニック,042161,宮城県,富谷市,38.345524,140.890381,022-772-8188,,981-3332,宮城県富谷市明石台2-13-1,有,"平日:9:00~12:30、14:30~18:30
土:9:00~12:30、午後14:30~17:00
木・日・祝日:休診",有,
八乙女レディ-スクリニック,041050,宮城県,仙台市泉区,38.31633,140.873886,022-772-6020,,981-3121,宮城県仙台市泉区上谷刈1-7-33,有,"月・火・木・金:8:30~11:30、14:00~17:00
水・土:8:30~11:30
休診日/日曜日・祝日",有,
齋藤産婦人科医院,042021,宮城県,石巻市,38.433399,141.310623,0225-22-0707,,986-0822,宮城県石巻市中央三丁目5-26,有,"平日:9:00~17:00
木・土曜:9:00~12:30",有,
