施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
いけがみレディ-スクリニック,052094,秋田県,鹿角市,40.21579,140.788513,0186-30-0111,https://ikegami-lc.com/,018-5201,秋田県鹿角市秋田県鹿角市花輪字合ノ野245-7,有,"月・火・木・金曜:9:00-12:00、14:00-18:00
水・土曜:9:00-12:00
受診受付は終了30分前まで",有,
大館市立総合病院,052043,秋田県,大館市,40.272869,140.503677,0186-42-5370,https://www.odate-hp.odate.akita.jp/,017-0855,秋田県大館市立総合病院豊町3番1号,有,24時間,無(院外薬局対応),
石塚医院,052043,秋田県,大館市,40.268936,140.562546,0186-42-2020,-,017-0828,秋田県大館市向町23,有,"月・火・木・金曜:8:30-12:00、14:00-18:00
水・土曜:8:30-12:00",有,URL(リンク切れ)
北秋田市民病院,052132,秋田県,北秋田市,40.166767,140.360352,0186-62-7001,https://www.kitaakita-hp.jp/,018-4221,秋田県北秋田市下杉字上清水沢16-29,有,平日:8:30~17:00,無,
能代厚生医療センタ-,052027,秋田県,能代市,40.228302,140.023987,0185-52-3111,www.yamamoto-hosp.noshiro.akita.jp,016-0014,秋田県能代市落合字上前田地内,有,24時間,有,
独立行政法人地域医療機能推進機構秋田病院,052027,秋田県,能代市,40.198753,140.03418,0185-52-3271,https://akita.jcho.go.jp,016-0851,秋田県能代市緑町5番22号,有,平日9:30~16:00,有,
関口レディ-スクリニック,052027,秋田県,能代市,40.187057,140.037262,0185-53-5121,-,016-0185,秋田県能代市字下瀬30-4,有,"月・火・木・金曜:9:00-12:00、14:30-17:30
土曜:9:00-12:00",有,URL(リンク切れ)
成田産婦人科医院,052027,秋田県,能代市,40.20483,140.032791,0185-52-3317,http://userweb.alles.or.jp/nariko/iin/index.html,016-0832,秋田県能代市南元町1-17,有,"月・火・水・金曜:9:00-17:30
木・土曜:9:00-12:00",有,
たかはしレディ-スクリニック,052027,秋田県,能代市,40.198704,140.017883,0185-55-0033,-,016-0864,秋田県能代市字鳥小屋59-23,有,"月・火・木・金曜:9:00-12:00、14:00-18:00
水・土曜:9:00-12:30",有,URL(リンク切れ)
地方独立行政法人市立秋田総合病院,052019,秋田県,秋田市,39.712769,140.102997,018-823-4171,https://akita-city-hospital.jp/,010-0933,秋田県秋田市川元松丘町4番30号,有,24時間対応可能,有,
