施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
明治病院,072010,福島県,福島市,37.753933,140.470749,024-521-0805,http://meiji.or.jp/,960-8102,福島県福島市北町2番40号,有,平日 8:30-12:00 14:00-18:00 土 8:30-12:00 14:00-16:00,有,
福島西部病院,072010,福島県,福島市,37.76215,140.437119,024-533-2121,https://www.keiai-kai.or.jp,960-8071,福島県福島市東中央三丁目15番地,有,月・火・木・金・土 9:00-12:00 水 9:00-12:00 14:00-16:00,有,
福島総合病院,072010,福島県,福島市,37.723709,140.444046,024-544-5171,http://www.saisei.ecnet.jp/,960-1101,福島県福島市大森字下原田25番地,有,平日 8:30~11:30 土曜(第2.4.5) 8:30-11:30,有,
大原綜合病院,072010,福島県,福島市,37.753292,140.468231,024-526-0300,http://www.ohara-hp.or.jp,960-8611,福島県福島市上町6番1号,有,24時間 年中無休,有,
菅野産婦人科医院,072010,福島県,福島市,37.700203,140.469711,024-548-2525,0,960-8157,福島県福島市蓬莱町2-1-11,有,月.火.水.金 9:00~18:00 木.土 9:00-12:00,有,URL(リンク切れ)
二瓶産婦人科医院,072010,福島県,福島市,37.803612,140.488647,024-554-2323,0,960-0101,福島県福島市瀬上町字明光町23-1,有,平日 9:00-18:00 木曜 9:00-12:00 土曜 9:00-17:00,有,URL(リンク切れ)
本田クリニック産科婦人科,072010,福島県,福島市,37.736694,140.450043,024-545-3500,http://www.honcli.or.jp/,960-1101,福島県福島市大森字赤沢97-6,有,24時間,有,
いちかわクリニック,072010,福島県,福島市,37.785244,140.467255,024-554-0303,http://ichikawacl.com/,960-0112,福島県福島市南矢野目字鼓田6-1,有,平日(月~金) 8:30-11:30 土曜 8:30-11:30 平日(月.火.木.金) 13:00-17:30,有,
ABCクリニック新妻産婦人科,072010,福島県,福島市,37.758335,140.46312,024-533-1103,0,960-8032,福島県福島市陣場町9-18,有,24時間,有,URL(リンク切れ)
西口クリニック婦人科,072010,福島県,福島市,37.756859,140.455902,024-525-6388,0,960-8053,福島県福島市三河南町10-5,有,月.土 9:30~16:00 火~金 9:30-19:00,有,URL(リンク切れ)
大川レディ-スクリニック,072010,福島県,福島市,37.737179,140.468246,024-545-8883,https://www.okawa-ladies.com/,960-8152,福島県福島市鳥谷野字天神3-11,有,月.火.木.金 9:30~19:00 水.土 9:30-13:00,有,
やざわみほこレディ-スクリニック,072010,福島県,福島市,37.768497,140.444427,024-573-5881,,960-8003,福島県福島市森合字高野1-23,有,平日(月.火.木.金) 9:00~18:00 水.土 9:00-12:30 (日曜.祝日 休み),有,
本田レディスクリニック,072109,福島県,二本松市,37.584782,140.431198,0243-22-0301,0,964-0917,福島県二本松本町1-229,有,平日 9:00-18:00 土曜 9:00-16:00,有,URL(リンク切れ)
土川産婦人科医院,072109,福島県,二本松市,37.590115,140.431229,0243-22-0035,0,964-0905,福島県二本松市松岡265-16,有,平日 8:30-18:30 土曜 8:30-16:30,有,URL(リンク切れ)
渡辺医院,072109,福島県,二本松市,37.581947,140.421707,0243-62-3000,www.watanabe-fns.com,964-0876,福島県二本松市正法寺町186-1,有,月.火.木.金 8:30-12:30 15:00-17:45 水.土 8:30-12:30,有,URL(リンク切れ)
二本松ウイメンズクリニック,072109,福島県,二本松市,37.591644,140.442551,0243-24-1322,http://www.n-w-cl.jp/,964-0911,福島県二本松市亀谷1-275-4,有,平日 8:30-17:30 土曜 8:30-15:30,有,
岡崎産婦人科,072036,福島県,郡山市,37.3591,140.363922,024-945-8080,http://www.okazaki.or.jp,963-0107,福島県郡山市安積2-335,有,24時間,有,
桜井産婦人科医院,072036,福島県,郡山市,37.398159,140.377808,024-932-1637,https://www.sakurai-cl.net/,963-8014,福島県郡山市虎丸町23-18,有,月.火.水.金 9:00-11:00 13:30-16:30 木.土 9:00-11:00,有,
塚原産婦人科内科外科医院,072036,福島県,郡山市,37.402332,140.352463,024-922-5789,0,963-8025,福島県郡山市桑野2丁目34-12,有,平日 9:00-19:00 土曜 9:00-18:00 ※日曜.祝日 問い合わせ不可,有,URL(リンク切れ)
美術館通りクリニック,072036,福島県,郡山市,37.396328,140.405075,024-956-0303,0,963-8806,福島県郡山市字下舘野23-4,有,月.火.水.金 9:00-12:00 14:00-17:00 土 9:00-12:00,有,URL(リンク切れ)
