施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
高橋レディスクリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-624-0130,www.takahashi-lc.or.jp,320-0021,群馬県栃木県宇都宮市東塙田1-5-1,有,有,緯度経度(不一致)
宇都宮中央クリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-636-1121,www.centralclinic.or.jp,320-0806,群馬県栃木県宇都宮市中央1-7-1,有,有,緯度経度(不一致)
平尾産婦人科医院,092010,栃木県,宇都宮市,36.389412,139.063492,028-648-5222,www.hirao.jp,320-0857,群馬県栃木県宇都宮市鶴田3-1-4,有,有,"URL(リンク切れ), 緯度経度(不一致)"
かわつクリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-639-1118,kawatsu-cl.jp/,320-0867,群馬県栃木県宇都宮市大寛2-2-26,有,有,緯度経度(不一致)
うえの医院,092010,栃木県,宇都宮市,36.389412,139.063492,028-636-8707,www.uenoiin.net,320-0867,群馬県栃木県宇都宮市大寛2-5-7,有,有,緯度経度(不一致)
アルテミス宇都宮クリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-655-5600,www.auc.med-apple.co.jp,321-0118,群馬県栃木県宇都宮市インタ-パ-ク5-1-9,有,有,緯度経度(不一致)
こいけレディスクリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-688-3588,,321-0139,群馬県栃木県宇都宮市若松原3-1-2,有,有,緯度経度(不一致)
もちづき女性クリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-678-4165,mjcl.jp,321-0161,群馬県栃木県宇都宮市双葉1-2-1,有,有,緯度経度(不一致)
福泉医院,092010,栃木県,宇都宮市,36.389412,139.063492,028-639-1122,,321-0924,群馬県栃木県宇都宮市下栗1-1-1,有,有,緯度経度(不一致)
高橋あきら産婦人科,092010,栃木県,宇都宮市,36.389412,139.063492,028-663-1103,,321-0941,群馬県栃木県宇都宮市東今泉2-2-16,有,有,緯度経度(不一致)
かしわぶち産婦人科,092010,栃木県,宇都宮市,36.389412,139.063492,028-663-3715,www.babys-net.com/kasiwabuti,321-0971,群馬県栃木県宇都宮市海道町70-8,有,有,緯度経度(不一致)
済生会宇都宮病院,092010,栃木県,宇都宮市,36.389412,139.063492,028-626-5500,www.saimiya.com,321-0974,群馬県栃木県宇都宮市竹林町911-1,有,無,緯度経度(不一致)
ちかざわLadies’クリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-638-2380,mirai-med.org,321-0982,群馬県栃木県宇都宮市城東1-2-5,有,有,緯度経度(不一致)
ゆめクリニック,092010,栃木県,宇都宮市,36.389412,139.063492,028-611-1881,utsunomiya-yumeclinic.jp,321-3226,群馬県栃木県宇都宮市ゆいの杜3-14-6,有,有,緯度経度(不一致)
栃木産科婦人科医院,092029,栃木県,足利市,36.389412,139.063492,0284-41-3378,,326-0047,群馬県栃木県足利市錦町14番地,有,有,緯度経度(不一致)
浅岡医院,092029,栃木県,足利市,36.389412,139.063492,0284-41-8188,www.asaokacl.jp,326-0052,群馬県栃木県足利市相生町387,有,有,緯度経度(不一致)
田村レディスクリニック,092029,栃木県,足利市,36.389412,139.063492,0284-43-3006,tamura-ladies.com,326-0067,群馬県栃木県足利市江川町3-13-3,有,有,"URL(リンク切れ), 緯度経度(不一致)"
かしま産婦人科,092029,栃木県,足利市,36.389412,139.063492,0284-65-0341,www.kashimasanfujinka.jp,326-0844,群馬県栃木県足利市鹿島町501-1,有,有,"URL(リンク切れ), 緯度経度(不一致)"
本庄記念病院,092029,栃木県,足利市,36.389412,139.063492,0284-73-1199,,326-0831,群馬県栃木県足利市堀込町2859,有,有,緯度経度(不一致)
高田産婦人科医院,092037,栃木県,栃木市,36.389412,139.063492,0282-24-3211,,328-0053,群馬県栃木県栃木市片柳町1-17-3,有,有,緯度経度(不一致)
おおひらレディスクリニック,092037,栃木県,栃木市,36.389412,139.063492,0282-43-8211,https://ohiraladys.com/,329-4406,群馬県栃木県栃木市大平町下皆川753,有,有,緯度経度(不一致)
丸山レディ-スクリニック,092045,栃木県,佐野市,36.389412,139.063492,0283-22-0022,,327-0831,群馬県栃木県佐野市浅沼町804-3,有,有,緯度経度(不一致)
岡医院,092045,栃木県,佐野市,36.389412,139.063492,0283-23-9118,www.okasanfujinka.or.jp,327-0845,群馬県栃木県佐野市久保町110-1,有,有,緯度経度(不一致)
城山公園すずきクリニック,092045,栃木県,佐野市,36.389412,139.063492,0283-22-0195,suzuki-obgy.com,327-0845,群馬県栃木県佐野市久保町263,有,有,緯度経度(不一致)
小林産婦人科医院,092053,栃木県,鹿沼市,36.389412,139.063492,0289-65-7788,kobayashi-sanfujinka-kanuma.com,322-0045,群馬県栃木県鹿沼市上殿町817-5,有,有,緯度経度(不一致)
大谷クリニック,092053,栃木県,鹿沼市,36.389412,139.063492,0289-62-2549,www.oya-d.jp/pc/,322-0051,群馬県栃木県鹿沼市久保町1618,有,有,"URL(リンク切れ), 緯度経度(不一致)"
大野医院,092053,栃木県,鹿沼市,36.389412,139.063492,0289-65-3661,oono-lc.net,322-0066,群馬県栃木県鹿沼市上田町1915-4,有,有,緯度経度(不一致)
亀森レディ-スクリニック,092061,栃木県,日光市,36.389412,139.063492,0288-32-2203,www.kamemori.jp,321-2345,群馬県栃木県日光市木和田島3046-3,有,有,"URL(リンク切れ), 緯度経度(不一致)"
かわなご女性クリニック,092088,栃木県,小山市,36.389412,139.063492,0285-25-2101,www.kawanagoclinic.jp,323-0022,群馬県栃木県小山市駅東通り2-6-10,有,有,緯度経度(不一致)
やまなかレディ-スクリニック,092088,栃木県,小山市,36.389412,139.063492,0285-37-8020,www.yamanaka-lc.com,323-0028,群馬県栃木県小山市若木町2-11-20,有,有,緯度経度(不一致)
樹レディスクリニック,092088,栃木県,小山市,36.389412,139.063492,0285-20-5505,itsuki-lc.jp,323-0034,群馬県栃木県小山市神鳥谷5-18-15,有,有,"URL(リンク切れ), 緯度経度(不一致)"
芳賀赤十字病院,092096,栃木県,真岡市,36.389412,139.063492,0285-82-2195,www.haga.jrc.or.jp,321-4308,群馬県栃木県真岡市中郷271,有,有,緯度経度(不一致)
岡田・小松崎クリニック,092096,栃木県,真岡市,36.389412,139.063492,0285-84-1941,,321-4333,群馬県栃木県真岡市大谷本町7-17,有,有,緯度経度(不一致)
西真岡アクセプト・インタ-ナショナルクリニック,092096,栃木県,真岡市,36.389412,139.063492,0285-80-1000,http://nishimoka-accept.clinic/,321-4341,群馬県栃木県真岡市高勢町3-203-1,有,有,緯度経度(不一致)
きうち産婦人科医院,092118,栃木県,矢板市,36.389412,139.063492,0287-43-5600,www.kmc.med-apple.co.jp,329-2145,群馬県栃木県矢板市富田548-1,有,有,緯度経度(不一致)
藤田産婦人科医院,092134,栃木県,那須塩原市,36.389412,139.063492,0287-62-0115,,325-0055,群馬県栃木県那須塩原市宮町5-19,有,有,緯度経度(不一致)
石塚産婦人科,092134,栃木県,那須塩原市,36.389412,139.063492,0287-36-6231,www.ishizuka.or.jp,329-2752,群馬県栃木県那須塩原市三島2-14-9,有,有,緯度経度(不一致)
国際医療福祉大学病院,092134,栃木県,那須塩原市,36.389412,139.063492,0287-37-2221,hospital.iuhw.ac.jp,329-2763,群馬県栃木県那須塩原市井口537-3,有,有,緯度経度(不一致)
さくら産院,092142,栃木県,さくら市,36.389412,139.063492,028-682-3000,www.sakura-sanin.or.jp,329-1311,群馬県栃木県さくら市氏家2190-5,有,有,緯度経度(不一致)
森島医院,092142,栃木県,さくら市,36.389412,139.063492,028-682-2116,www.morishima-iin.com,329-1312,群馬県栃木県さくら市櫻野1308,有,有,"URL(リンク切れ), 緯度経度(不一致)"
和田マタニティクリニック,092169,栃木県,下野市,36.389412,139.063492,0285-40-5503,wada-maternity.jp,329-0414,群馬県栃木県下野市小金井1-30-6,有,有,緯度経度(不一致)
木村クリニック,092169,栃木県,下野市,36.389412,139.063492,0285-44-8211,www.kimuraclinic.co,329-0434,群馬県栃木県下野市祇園1-7-7,有,有,"URL(リンク切れ), 緯度経度(不一致)"
自治医科大学附属病院,092169,栃木県,下野市,36.389412,139.063492,0285-44-2111,www.jichi.ac.jp/hospital/top,329-0498,群馬県栃木県下野市薬師寺3311-1,有,有,緯度経度(不一致)
クララクリニック,092010,栃木県,宇都宮市,36.389412,139.063492,0282-83-1311,claraclinic.jp,321-0124,群馬県栃木県下都賀郡壬生町壬生甲3312-1,有,有,"URL(リンク切れ), 緯度経度(不一致)"
獨協医科大学病院,093610,栃木県,下都賀郡壬生町,36.389412,139.063492,0282-86-1111,www2.dokkyomed.ac.jp/dep-m/ob-gy,321-0293,群馬県栃木県下都賀郡壬生町北小林880,n 有,有,"URL(リンク切れ), 緯度経度(不一致)"
