施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
田口産婦人科内科,111023,埼玉県,さいたま市北区,35.940208,139.608231,048-661-7474,,331-0812,埼玉県さいたま市北区宮原町3-529-2,有,月火金9:00~13:00 15:00~18:00水土9:00~13:00,有,
塚原産婦人科医院,111031,埼玉県,さいたま市大宮区,35.900364,139.635376,048-641-0253,,330-0843,埼玉県さいたま市大宮区吉敷町3-156,有,月火水金9:00~12:00 14:00~16:00,有,
道クリニック,111031,埼玉県,さいたま市大宮区,35.908455,139.624481,048-646-4307,www.michi-clinic.com/,330-0802,埼玉県さいたま市大宮区宮町1-15大宮松屋ビル2F,有,月火水金9:00~12:00 14:00~18:00木土9:00~12:00,有,
大原医院,111031,埼玉県,さいたま市大宮区,35.90699,139.621796,048-641-0470,www.ohara-omiya.com,330-0854,埼玉県さいたま市大宮区桜木町2-3-69,有,"月~金9:00~11:45 15:00~17:45第2,4,5土9:00~11:45 14:30~15:45",有,
医療法人大宮林医院,111031,埼玉県,さいたま市大宮区,35.908474,139.614243,048-663-0062,http://www.omiyahayashi.com,330-0852,埼玉県さいたま市大宮区大成町1-335-1,有,月火木金9:00~12:00 15:00~17:30土9:00~11:30,有,
秋山レディースクリニック,111031,埼玉県,さいたま市大宮区,35.919094,139.612671,048-663-0005,http://www.akiyamac.com/,330-0852,埼玉県さいたま市大宮区大成町3-542,有,水曜を除く平日8:30~18:00 土8:30~13:00,有,
医療法人社団新宿レディースクリニック会 さいたまレディースクリニック,111031,埼玉県,さいたま市大宮区,35.905388,139.626755,048-644-1971,https://www.saitama-ladies.jp/,330-0845,埼玉県さいたま市大宮区仲町1-54-3ビジョナリーIII6階,有,9:30~19:00(ビル休館日年末年始以外),有,
穂坂医院,111031,埼玉県,さいたま市大宮区,35.908249,139.639008,048-641-2595,,330-0834,埼玉県さいたま市大宮区天沼町1-63,有,月15:00~18:00 水金9:00~12:00 15:00~18:00 土9:00~12:00,有,
おおの産婦人科・内科,111031,埼玉県,さいたま市大宮区,35.908447,139.633408,048-641-3797,http://www009.upp.so-net.ne.jp/h-ohnomom,330-0841,埼玉県さいたま市大宮区東町2-52,o/ 有,平日9:00~13:00 15:00~18:00土9:00~13:00,有,
医療法人社団愛正会宇井レディスクリニック,111040,埼玉県,さいたま市見沼区,35.906284,139.668762,048-688-4622,http://www.ui-lc.gr.jp,337-0033,埼玉県さいたま市見沼区御蔵789-1,有,平日9:30~17:30(水曜は除く)土9:30~11:30,有,
七里産婦人科医院,111040,埼玉県,さいたま市見沼区,35.934673,139.668732,048-685-5566,,337-0017,埼玉県さいたま市見沼区風渡野271,有,平日9:00~12:00 16:00~18:30土9:00~12:00 日木、土午後休診,有,
