施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
"学校法人聖路加国際大学 聖
路加国際病院",131024,東京都,中央区,35.667965,139.776779,03-3541-5151,http://hospital.luke.ac.jp/,104-8560,東京都中央区明石町9番1号,有,"女性総合診療部 平日 8:30-17:00
救命救急センタ- 夜間 17:00-8:30
土・日・祝 0:00-23:59",有,
北里大学 北里研究所病院,131032,東京都,港区,35.645351,139.725525,03-3444-6161,http://www.kitasato-u.ac.jp/hokken-hp/,108-8642,東京都港区白金5丁目9番1号,有,"平日 8:30-11:30
土(第4除く) 8:30-11:30",有,
"国家公務員共済組合連合会
虎の門病院",131032,東京都,港区,35.669044,139.745483,03-3588-1111,https://www.toranomon.gr.jp,105-8470,東京都港区虎ノ門2-2-2,有,平日 9:00-16:30,有,URL(リンク切れ)
"独立行政法人地域医療機能推
進機構 東京新宿メディカルセ
ンタ-",131040,東京都,新宿区,35.703087,139.742325,03-3269-8111,http://www.tkn-hosp.gr.jp,162-8543,東京都新宿区津久戸町5-1,有,"月・木 9:00-16:00
金 11:00-16:00",有,URL(リンク切れ)
東京医科大学病院,131040,東京都,新宿区,35.694145,139.693008,03-3342-6111,http://hospinfo.tokyo-med.ac.jp/,160-0023,東京都新宿区西新宿6-7-1,有,平日 8:00-11:00,有,
"順天堂大学医学部附属順天堂
医院",131059,東京都,文京区,35.701878,139.762177,03-3813-3111,www.juntendo.jp/hospital,113-8431,東京都文京区本郷3-1-3,"有
産科・婦人科","平日 8:00-15:00
土 8:00-11:00",有,URL(リンク切れ)
"公益財団法人東京都保健医療
公社 荏原病院",131113,東京都,大田区,35.593746,139.692047,03-5734-8000,http://www.ebara-hp.ota.tokyo.jp/,145-0065,東京都大田区東雪谷4-5-10,有,平日 8:00-12:00 13:00-17:00,有,URL(リンク切れ)
"独立行政法人労働者健康安全
機構 東京労災病院",131113,東京都,大田区,35.564991,139.747208,03-3742-7301,https://tokyoh.johas.go.jp/,143-0013,東京都大田区大森南4-13-21,有,平日 9:00-17:00,有,
"医療法人社団九折会 成城木
下病院",131121,東京都,世田谷区,35.641529,139.600189,03-3482-1702,https://kinohosp.com/,157-0066,東京都世田谷区成城6-13-20,有,月~土 8:00-11:30 12:00-16:30,有,
"社会福祉法人康和会 久我山
病院",131121,東京都,世田谷区,35.681889,139.598663,03-3309-1111,http://www.kugayama-hp.org/,157-0061,東京都世田谷区北烏山2-14-20,有,"24時間対応可能(緊急など出来ない場合もある。
受診希望は事前TEL)",有,
"医療法人財団健貢会 総合東
京病院",,,,35.727566,139.664261,03-3387-5421,http://www.tokyo-hospital.com,165-8906,東京都中野区江古田3-15-2,有,平日・土 9:00-13:00,有,郵便番号
"一般財団法人自警会 東京警
察病院",131148,東京都,中野区,35.709152,139.659378,03-5343-5611,http://www.keisatsubyoin.or.jp/,164-8541,東京都中野区中野四丁目22番1号,有,平日 8:30-11:30,有,
"医療法人財団明理会 明理会
中央総合病院",131172,東京都,北区,35.765137,139.728592,03-5902-1199,https://ims.gr.jp/meirikaichuo/,114-0001,東京都北区東十条3-2-11,有,平日 8:30-16:30,有,
"公益社団法人地域医療振興協
会 東京北医療センタ-",131172,東京都,北区,35.78389,139.71254,03-5963-3311,https://www.tokyokita-jadecom.jp/,115-0053,東京都北区赤羽台4-17-56,有,24時間,有,URL(リンク切れ)
"医療法人財団逸生会 大橋病
院",131172,東京都,北区,35.775299,139.705643,03-3907-1222,http://o-hp.or.jp/,115-0054,東京都北区桐ケ丘1-22-1,有,"月・火・木・金 9:00-16:30
土(第2・4) 9:00-11:30",有,
"社会医療法人社団正志会 荒
木記念東京リバ-サイド病院",131180,東京都,荒川区,35.737522,139.806534,03-5850-0311,http://www.trshp./jp/,116-0003,東京都荒川区南千住8-4-4,有,"月・金・土 8:30-11:30
水・木 8:30-11:30 13:30-16:00",有,URL(リンク切れ)
"東京女子医科大学東医療セン
タ-",131180,東京都,荒川区,35.748371,139.765244,03-3810-1111,https://twmu-mce.jp/,116-8567,東京都荒川区西尾久2-1-10,有,基本24時間 困難な場合もある,有,
"医療法人財団 明理会 東京腎
泌尿器センタ-大和病院",131199,東京都,板橋区,35.761597,139.706314,03-5943-2411,https://www.ims.gr.jp/yamato/,173-0001,東京都板橋区本町36-3,"有
婦人科","平日 8:30-17:00
土 8:30-12:30",有,
医療法人財団仁寿会 荘病院,131199,東京都,板橋区,35.748924,139.7155,03-3963-0551,http://www.sho-hospital.jp/usr/pc/,173-0004,東京都板橋区板橋1-41-14,有,"平日 9:00-11:30
土 9:00-11:30 (第2休診)",有,URL(リンク切れ)
"公益財団法人東京都保健医療
公社 豊島病院",131199,東京都,板橋区,35.752899,139.700607,03-5375-1234,http://www.toshima-hp.jp/,173-0015,東京都板橋区栄町33-1,有,平日 9:00-15:30,有,URL(リンク切れ)
"医療法人社団明芳会 板橋中
央総合病院",131199,東京都,板橋区,35.775574,139.696747,03-3967-1181,https://www.ims-itabashi.jp/,174-0051,東京都板橋区小豆沢2-12-7,有,平日 8:00-11:30,有,
板橋区医師会病院,131199,東京都,板橋区,35.786076,139.657852,03-3975-8151,http://www.itabashi-med.jp/,175-0082,東京都板橋区高島平3-12-6,"有
産婦人科",平日・土 8:30-11:00,無,
"医療法人社団成和会 産婦人
科病院成増産院",131199,東京都,板橋区,35.774113,139.634583,03-3975-1111,http://www.narimasu.or.jp,175-0094,東京都板橋区成増1-1-1,有,"月・火・水・金・土 9:00-17:00
木 9:00-12:00",有,URL(リンク切れ)
"順天堂大学医学部附属練馬病
院",131202,東京都,練馬区,35.742813,139.614899,03-5923-3111,https://www.juntendo.ac.jp/hospital_nerima/,177-8521,東京都練馬区高野台3-1-10,有,24時間,有,URL(リンク切れ)
"医療法人社団 久保田産婦人
科病院",131202,東京都,練馬区,35.752533,139.586029,03-3922-0262,https://www.kubota-hosp.jp/,178-0063,東京都練馬区東大泉3-29-10,有,"平日 9:00-11:30 14:00-16:30
土 9:00-11:30",有,
"医療法人社団苑田会 苑田第
一病院",131210,東京都,足立区,35.793526,139.802277,03-3850-5721,http://www.sonodakai.or.jp/shisetu/so1.html,121-0813,東京都足立区竹の塚4-1-12,有,"平日 9:00-12:00
土 9:00-12:00",有,
"医療法人社団向日葵会まつし
ま病院",131237,東京都,江戸川区,35.706581,139.867004,03-3653-5541,http://www.matsushima-wh.or.jp/,132-0031,東京都江戸川区松島1-41-29,有,"平日9-17時
土曜日9-13時",有,
"医療法人社団理弘会 岩倉病
院",131237,東京都,江戸川区,35.732487,139.883194,03-3659-3215,https://www.iwakura-byoin.com/,133-0056,東京都江戸川区南小岩7-28-4,有,"平日 9:00-18:45
土 9:00-16:45",有,
"医療法人社団 米山産婦人科
病院",132012,東京都,八王子市,35.660992,139.340668,042-642-5225,http://www.yoneyama-hp.jp,192-0065,東京都八王子市新町2-12,有,平日・土・日・祝 9:00-17:00,有,
