施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人産婦人科クリニックさくら,141178,神奈川県,横浜市青葉区,35.574654,139.559158,045-911-9936,http://www.cl-sacra.com,225-0003,神奈川県横浜市青葉区新石川2-9-3,有,"月・水・金10:00~18:30
火・木10:00~17:30
土10:00~13:00",有,
昭和大学藤が丘病院,141178,神奈川県,横浜市青葉区,35.544819,139.52951,045-971-1151,www.showa-u.ac.jp/SUHF,227-8501,神奈川県横浜市青葉区藤が丘1-30,有,"平日8:30~14:00
土曜8:30~11:00",無、院外処方で対応,URL(リンク切れ)
潤レディ-スクリニック,141178,神奈川県,横浜市青葉区,35.570915,139.553497,045-909-6100,http://www.jun-cl.jp,225-0011,神奈川県横浜市青葉区あざみ野1-7-1・3F,有,"平日10:00~12:30 15:00~19:00
土曜10:00~12:30 15:00~18:00",有,
レディ-スクリニック市ヶ尾,141178,神奈川県,横浜市青葉区,35.551895,139.540573,045-979-1797,http://www.ichigao.jp,225-0024,神奈川県横浜市青葉区市ヶ尾町1154,有,"月・火・水・金10:00~13:00 15:00~19:00
土10:00~13:00",有,
レディ-スクリニック服部,141178,神奈川県,横浜市青葉区,35.575542,139.554398,045-902-0303,http://ladys-clinic-hattori.com/,225-0002,神奈川県横浜市青葉区美しが丘5丁目-3-2,有,"平日9:00~11:30 月・金15:00~17:30
火14:00~16:30 水15:00~16:30
土9:00~11:30",有,
ワキタ産婦人科,141178,神奈川県,横浜市青葉区,35.542988,139.526993,045-973-0556,www.wakita-sanfujinka.com,227-0043,神奈川県横浜市青葉区藤が丘2-6-1,有,平日9:00~17:00,有,
多和田レディ-スクリニック,141160,神奈川県,横浜市泉区,35.412098,139.509247,045-800-0222,www.tawada-ladies-clinic.jp,245-0013,神奈川県横浜市泉区中田東3-16-6,有,"平日9:00~17:30
土曜9:00~12:30
水曜休診",有,URL(リンク切れ)
医)昱樹会 磯子 悠レディ-スクリニック,141070,神奈川県,横浜市磯子区,35.403481,139.619415,045-754-5888,,235-0016,"神奈川県横浜市磯子区磯子3-3-21
磯子江戸徳ビル1F・3号室",有,"平日(水を除く)9:00~19:00
土曜9:00~14:00",有,
サンマタニティクリニック,141070,神奈川県,横浜市磯子区,35.37302,139.598572,045-833-3011,https://www.sanmata.jp/,235-0045,神奈川県横浜市磯子区洋光台6-1-10,有,"月・火・水・金 9:00~18:00
木・土 9:00~12:00",有,
大石レディ-スクリニック,141020,神奈川県,横浜市神奈川区,35.488544,139.605087,045-481-1101,www.oishi-clinic.jp,221-0865,"神奈川県横浜市神奈川区片倉2-1-21
大石医療ビル1F",有,"平日9:00~19:00
土曜9:00~14:00",有,
医療法人社団医積会 コシ産婦人科医院,141020,神奈川県,横浜市神奈川区,35.486107,139.629791,045-432-2525,www.koshi-sanfujinka.com,221-0065,神奈川県横浜市神奈川区白楽71-8,有,"平日9:00~12:00 15:00~17:00
土曜8:00~14:00 15:00~17:00",有,URL(リンク切れ)
的野ウィメンズクリニック,141020,神奈川県,横浜市神奈川区,35.488922,139.626984,045-435-1107,"https://www.matono-
womens.com/treatment/morning/m_cost",221-0802,"神奈川県横浜市神奈川区六角橋1-6-14
白楽メディカルセンタ-4階",有,"平日9:30~12:30 15:00~18:30
土曜9:00~14:00
水・日・祝休診",有,URL(リンク切れ)
原産婦人科クリニック,141020,神奈川県,横浜市神奈川区,35.49017,139.622864,045-401-9511,www.haraclinic.cc,221-0802,神奈川県横浜市神奈川区六角橋1-30-4,有,"平日9:00~17:00
土曜9:00~12:00
木曜休診",有,URL(リンク切れ)
岡本産婦人科医院,141089,神奈川県,横浜市金沢区,35.361946,139.628738,045-784-1703,https://www.okamoto-sanfujin.jp/,236-0053,神奈川県横浜市金沢区能見台通15-3,有,"月火9:00~12:15
木金土9:00~12:15
火17:00~18:15",有,
苅部医院,141119,神奈川県,横浜市港南区,35.393593,139.599915,045-843-7606,https://www.karube-clinic.jp/,234-0052,神奈川県横浜市港南区笹下2-7-12,有,"平日9:00~12:00 14:30~18:00
土曜9:00~13:00(受付は各5分前まで)",有,
笹尾医院,141119,神奈川県,横浜市港南区,35.376507,139.581909,045-831-1811,http://www.sasao-iin.com,234-0054,神奈川県横浜市港南区港南台2-7-35,有,"平日(木は除く)9:00~12:20 15:00~18:20
土曜9:00~12:20",有,
医療法人社団 東條ウイメンズホスピタル,141119,神奈川県,横浜市港南区,35.395306,139.566559,045-843-1121,http://www.tojowomens.com/,233-0013,神奈川県横浜市港南区丸山台2-34-7,有,"平日9:00~12:00 15:00~18:00
土曜9:00~12:00
日曜10:00~12:00",有,
