施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
"独立行政法人労働者健康
安全機構富山労災病院",162043,富山県,魚津市,36.821407,137.425003,0765-22-1280,http://www.toyamah.johas.go.jp/,937-0042,富山県魚津市六郎丸992,有,平日8:30-17:00,有,
富山県立中央病院,162019,富山県,富山市,36.692074,137.236526,076-424-1531,https://www.tch.pref.toyama.jp/,930-8550,富山県富山市西長江2-2-78,有,平日8:30~17:00,有,
富山赤十字病院,162019,富山県,富山市,36.707863,137.209213,076-433-2222,http://www.toyama-med.jrc.or.jp/,930-0859,富山県富山市牛島本町二丁目1-58,有,"平日: 午前 8:40~12:00
午後 1:00~ 4:30
夜間休日 : 二次救急輪番日",有,
富山県済生会富山病院,162019,富山県,富山市,36.737865,137.255035,0764-37-1111,http://www.saiseikai-toyama.jp/,931-8442,富山県富山市楠木33-1,有,平日 8:30-17:00,有,
富山西総合病院,162019,富山県,富山市,36.662491,137.174973,076-461-7700,http://toyama-nishi.jp,939-2716,富山県富山市婦中町下轡田1019,有,"平日(月・火・木・金) 8:30~17:00
水曜 8:30~19:30",有,
かみいち総合病院,,,,36.703178,137.360657,076-472-1212,https://www.kamiichi-hosp.jp/,930-0391,富山県中新川郡上市町法音寺51,有,"平日8:45~12:00
夜間はオンコ-ルで対応可能",有,郵便番号
富山県済生会高岡病院,162027,富山県,高岡市,36.721581,137.015549,0766-21-0570,http://www.takaoka-saiseikai.jp/,933-8525,富山県高岡市二塚387-1,有,"平日 8:15-11:00
14:30-16:00
夜間休日 二次救急輪番日",有,
厚生連高岡病院,,,,36.695984,137.213455,0766-21-3930,http://www.kouseiren-ta.or.jp/,933-8555,富山県県高岡市永楽町5-10,有,365日 24時間,有,郵便番号
"独立行政法人地域医療機
能推進機構高岡ふしき病
院",162027,富山県,高岡市,36.791489,137.043518,0766-44-1181,https://takaoka.jcho.go.jp/,933-0115,富山県高岡市伏木古府元町8-5,有,"平日9:00-12:00
(11:30まで受付)",有,
射水市民病院,162116,富山県,射水市,36.759602,137.081635,0766-82-8100,https://hosp.city.imizu.toyama.jp/,934-0053,富山県射水市朴木20番地,有,"月、火、木、金 8:15-11:00
水 8:15-10:30
上記時間に受付可能な場合",有,
"公立学校共済組合北陸中
央病院",162094,富山県,小矢部市,36.665199,136.890244,0766-67-1150,http://hokuriku-ctr-hsp.jp/,932-8503,富山県小矢部市野寺123,有,平日8:30~17:15,有,
南砺市民病院,162108,富山県,南砺市,36.569839,136.973663,0763-82-1475,http://shiminhp.city.nanto.toyama.jp,932-0211,富山県南砺市井波938番地,有,"平日の月・水・金曜日の9:00~
11:00
(婦人科外来診療時間帯に限る。
休診等詳細は病院ホ-ムペ-ジを
参照してください。)",有,
"佐伯レディ-スクリニッ
ク",162051,富山県,氷見市,36.840313,136.992065,0766-91-8855,http://saeki-lc.jp/,935-0024,富山県氷見市窪660,有,7:00-19:00,有,
津田産婦人科医院,162086,富山県,砺波市,36.644695,136.956207,0763-33-3035,http://www1.tst.ne.jp/tsudasan/,939-1355,富山県砺波市杉木4-69,有,"平日 9:00-12:00 14:00-18:00
土曜 9:00-12:00",有,URL(リンク切れ)
"おとぎの森レディ-スク
リニック",162027,富山県,高岡市,36.725658,137.001663,0766-20-7711,http://www.otoginomori.jp/,933-0826,富山県高岡市佐野1316-1,有,"平日9:00-12:30 15:00-18:00 土
曜9:00-12:30 15:00~17:00
木・日祝日休診",有,
井本産婦人科医院,162019,富山県,富山市,36.69582,137.207886,076-433-3517,http://www.imotoclinic.jp/,930-0096,富山県富山市舟橋北町6-15,有,"平日 9:00-18:00
土曜 9:00-13:00
木曜日・日曜・祝日 休診",有,URL(リンク切れ)
"医療法人社団藤聖会 女
性クリニックWe富山",162019,富山県,富山市,36.67445,137.204987,076-493-5580,http://www.we-toyama.jp,939-8204,富山県富山市根塚町1-5-1,有,"月・水8:30~17:00 火・金8:
30~19:00 木8:30~12:30
土8:30~13:30 休診日:木土
曜午後・日曜・祝日・第4土曜日
完全予約制につき事前に電話予約
必要",有,
"こうちウィメンズクリ
ニック",162043,富山県,魚津市,36.827579,137.412048,076-433-3517,https://www.kochi-clinic.com/,937-0041,富山県魚津市吉島1-8-10,有,"平日 9:00-12:30 15:00-19:00
木曜・土曜 9:00-13:00
日曜・祝日 休診",有,
"医療法人社団吉本レ
ディ-スクリニック",162019,富山県,富山市,36.681503,137.184998,076-422-2000,"https://www,yoshimoto-lc.com",930-0864,富山県富山市羽根511,有,"月・火・木・金(9:00~18:00)
水・土(9:00~12:00)",有,URL(リンク切れ)
"かんすいこうえんレ
ディ-スクリニック",162019,富山県,富山市,36.712795,137.213531,076-431-0303,http://kansuikouenlc.com/,930-0804,富山県富山市下新町18-3,有,"月、火、水、金 9:00-12:00、
15:00-18:00
木、土 9:00-12:00",有,
あいARTクリニック,162027,富山県,高岡市,36.722866,137.023911,0766-27-3311,http://www.i-art-clinic.jp/,933-0813,富山県高岡市下伏間江572,有,診療時間内常時対応可能,有,
産婦人科内科金子医院,162108,富山県,南砺市,36.557278,136.880127,0763-52-0800,無し,939-1732,富山県南砺市荒木1351-1,有,"平日 8:30-18:00
木曜土曜 8:30-12:00",有,URL(リンク切れ)
八木産婦人科医院,162019,富山県,富山市,36.688606,137.207962,076-424-7533,http://yagi-san.jp/,930-0068,富山県富山市西四十物町2-18,有,"月火水金 9:00-12:00 14:30-
18:30
木曜 9:00-12:00
土曜 9:00-12:00 14:30-16:30",有,
"レディ-スクリニックむ
らた",162116,富山県,射水市,36.717884,137.080872,0766-57-4141,http://www.lc-murata.com/,939-0332,富山県射水市橋下条1483-1,有,"月火水金土 9:30-12:30 15:00-
18:30",有,
吉江レディスクリニック,162027,富山県,高岡市,36.753277,137.038757,0766-26-1103,www.yoshie-l.jp/,933-0014,富山県高岡市野村1213-1,有,"平日 午前 8:45~12:30
午後15:30~18:30
土曜 午前 8:45~12:30
(休診日:土曜午後・日曜・祝
日)",有,
あわの産婦人科医院,163422,富山県,下新川郡入善町,36.932419,137.506149,0765-72-0588,http://www.awano-clinic.com/,939-0626,富山県下新川郡入善町入膳229-3,有,24時間,有,
なかしま産婦人科医院,162019,富山県,富山市,36.681004,137.258926,076-424-8800,https://nakashima-obgyn.com/,930-0952,富山県富山市町村2-70,有,"月火木金 9:00-12:00 14:30-
18:00
水曜土曜 9:00-12:00",有,
山岸産婦人科,162043,富山県,魚津市,36.822914,137.411804,0765-24-5878,0,937-0046,富山県魚津市上村木2-18-28,有,土曜 8:00-13:00,有,URL(リンク切れ)
藤田クリニック,162116,富山県,射水市,36.72356,137.054016,0766-52-3515,0,939-0234,富山県射水市二口458-15,有,"月火水金 9:00-17:30
土曜 9:00-12:30",有,URL(リンク切れ)
"医療法人社団 秀林会
吉見病院",162060,富山県,滑川市,36.763626,137.343704,076-475-0861,http://yoshimi-hospital.jp,936-0052,富山県滑川市清水町3番25号,有,"月・火・金・土(第3以外)9:
00~12:00
月・火・木・金 15:00~18:00",有,
黒部市民病院,162078,富山県,黒部市,36.871658,137.440918,0765-54-2211,https://med-kurobe.jp/,938-8502,富山県黒部市三日市1108番地1,有,365日24時間,有,
鈴木産婦人科医院,162043,富山県,魚津市,36.816742,137.398315,0765-24-8820,,937-0868,富山県魚津市双葉町2-13,有,"月・火・水・金 9:00~12:
00、15:00~18:00
木・土 9:00~12:00",有,
