施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
国民健康保険小松市民病院,172030,石川県,小松市,36.398777,136.43956,0761-22-7111,https://hosp.komatsu.ishikawa.jp,923-8560,石川県小松市向本折町ホ60番地,有,"平日 8:30~11:35
時間外、夜間、休日も対応可",有,
医療法人社団あらきクリニック,172030,石川県,小松市,36.394424,136.484024,0761-22-0301,http://www.arakihospital.com,923-0832,石川県小松市若杉町95番地,有,特に決めていない,有,
恵愛みらいクリニック,172030,石川県,小松市,36.404163,136.459473,0761-24-6111,https://keiai-kmt.or.jp/,923-0804,石川県小松市光町1-1,有,終日可能,有,
川北レイクサイドクリニック,172030,石川県,小松市,36.377983,136.450226,0761-22-0232,www.kawakita-lakeside.com,923-0964,石川県小松市今江町に41番地,有,"24時間(診療時間外は電話をかけてから来院ください)
【診療時間】
(月・火・金・土曜日)9:00~18:00
(水曜日)9:00~12:00
(木曜日)15:00~18:00",有,
瀬川クリニック,172030,石川県,小松市,36.355846,136.425659,0761-44-5135,http://www8.ocn.ne.jp/-segawaog,923-0302,石川県小松市符津町ウ83,有,"月・火・金 9:00~12:00/14:00~17:30
水・土 9:00~12:00
木・日・祭 休診",有,URL(リンク切れ)
正木レディスクリニック,172030,石川県,小松市,36.398312,136.451523,0761-21-8500,,923-0921,石川県小松市土居原町496番4,有,"平日(月・火・木・金) 9:00~18:00
土曜 9:00~12:30
水曜、日祭日 休診",有,
産婦人科 麻酔科 手取川クリニック,173240,石川県,能美郡川北町,36.468712,136.5457,076-277-0100,http://www.tedorigawa-clinic.com,923-1267,石川県能美郡川北町字壱ツ屋199,有,"平日9:00~12:00/15:00~18:00
土曜9:00~12:00",有,URL(リンク切れ)
"白山石川医療企業団
公立松任石川中央病院",172103,石川県,白山市,36.510921,136.566132,076-275-2222,http://www.mattohp.jp/,924-8588,石川県白山市倉光三丁目8番地,有,"水曜日 8:00~11:30/13:00~14:30
木曜日 8:00~11:30",有,URL(リンク切れ)
恵愛会松南病院,172103,石川県,白山市,36.518856,136.573807,076-275-7611,http://www.keiai-shonan.jp/,924-0805,石川県白山市若宮3-63,有,24時間対応可能,有,
上島クリニック,173614,石川県,河北郡津幡町,36.675827,136.735886,076-289-2233,,929-0326,石川県津幡町清水,有,"平日 9:00~18:00
土曜 9:00~13:00",有,
向陽台クリニック,173657,石川県,河北郡内灘町,36.639664,136.636948,076-255-3454,http://koyodai-clinic.sakura.ne.jp,920-0272,石川県河北郡内灘町向陽台1丁目225番地,有,"平日 9:30~12:30/15:00~18:30
土曜 9:30~12:30/15:00~17:00",有,
つねファミリ-クリニック,173657,石川県,河北郡内灘町,36.671909,136.658203,076-286-1230,https://www.tsunepedicardio.com/,920-0269,石川県河北郡内灘町白帆台2-1,有,"平日 9:00~17:00
土曜 9:00~16:00",有,
いこまともみレディ-スクリニック,172103,石川県,白山市,36.520439,136.544815,076-216-0123,http//www.ikomatomomi-clinic.jp/,924-0081,石川県白山市北安田西二丁目41番,有,"平日 9:00~12:00/15:00~18:00
土曜 9:00~13:00",有,URL(リンク切れ)
ののいち産婦人科クリニック,172120,石川県,野々市市,36.531532,136.620621,076-248-5315,http://nonoichi-maternity.com,921-8815,石川県野々市市本町2-18-22,有,"月・火・木・金 9:00~12:00 14:30~18:00
水・土 9:00~12:00",有,
