施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
福井総合病院,182010,福井県,福井市,36.133423,136.173996,0776-59-1300,http://www.f-gh.jp/,910-8561,福井県福井市江上町第58号16番地1,有,平日 8:30~17:00土曜 8:30~12:30,有,
福井県済生会病院,182010,福井県,福井市,36.047741,136.25264,0776-23-1111,https://www.fukui-saiseikai.com/,918-8503,福井県福井市和田中町舟橋7番地1,有,24時間対応可能,有,
医療法人 福井愛育病院,182010,福井県,福井市,36.078224,136.249939,0776-54-5757,https://www.fab.or.jp/,910-0833,福井県福井市新保2丁目301番地,有,365日 24時間,有,
坂井市立三国病院,182109,福井県,坂井市,36.216045,136.157806,0776-82-0480,https://www.city.fukui-sakai.lg.jp/index.html,913-0042,福井県坂井市三国町中央一丁目2番34号,有,平日 8:30~15:30土曜 8:30~11:30休日・時間外の場合はお問い合わせください。,有,
福井勝山総合病院,182060,福井県,勝山市,36.069752,136.506653,0779-88-0350,http://fukui.jcho.go.jp/,911-8558,福井県勝山市長山町2-6-21,有,平日 09:00 ~ 15:00,有,
公立丹南病院,182079,福井県,鯖江市,35.970375,136.178207,0778-51-2260,https://www.jadecom.or.jp/jadecomhp/tannan/html,916-0021,福井県鯖江市三六町1丁目2番31号,有,平日 8:30~17:土曜 8:30~12:30,有,
財団法人 今立中央病院,182095,福井県,越前市,35.917221,136.242172,0778-42-1800,www.myclinic.ne.jp/imachu/pc/,915-0242,福井県越前市粟田部町33-1,有,,無,
市立敦賀病院,182028,福井県,敦賀市,35.653206,136.065079,0770-22-3611,http://tsuruga-hp.jp/,914-0058,福井県敦賀市三島町1丁目6-60,有,24時間対応,有,
杉田玄白記念公立小浜病院,182044,福井県,小浜市,35.494034,135.745667,0770-52-0990,http://www.obamahp-wakasa.jp,917-0078,福井県小浜市大手町2-2,有,月~金 8:30~17:15(土・日・祝祭日及び上記の時間以外は救急対応),有,
若狭高浜病院,184810,福井県,大飯郡高浜町,35.48893,135.544479,0770-72-0880,https://takahama.jcho.go.jp/,919-2225,福井県大飯郡高浜町宮崎87-14-2,有,火曜 9:00~11:30第2・4金曜 9:00~11:30,無,
福井総合クリニック,182010,福井県,福井市,36.091953,136.206375,0776-21-1300,http://www.f-gh.jp/,910-0067,福井県福井市新田塚1丁目42-1,有,平日 8:30~17:00土曜 8:30~12:30,有,
ホーカベレディースクリニック,182010,福井県,福井市,36.059254,136.212112,0776-36-0665,https://www.hookabe.com/,918-8002,福井県福井市左内町10号11番地,有,平日 9:00~18:30(水曜は休診)土曜 9:00~14:00,有,
加藤内科・婦人科クリニック,182010,福井県,福井市,36.067764,136.233704,0776-53-0053,http://www.katouhomecare.ecnet.jp/,910-0845,福井県福井市志比口1丁目10-28,有,平日 8:00~18:00(木曜は12:00まで)土曜 8:00~18:00時間外 電話で対応可,有,
レディースクリニックつねざわ,182010,福井県,福井市,36.059868,136.222427,0776-30-5233,https://lc-tsunezawa.jp/,910-0858,福井県福井市手寄1丁目7-23 駅東さくらビル4階,有,月・火・木・金曜 9:00~12:30 14:30~18:30水・土曜 9:00~12:30,有,
平井医院,182010,福井県,福井市,36.070583,136.214935,0776-22-6733,,910-0019,福井県福井市春山2丁目24-9,有,平日・土曜 9:00~18:00木曜日 9:00~13:00,有,
まきレディースクリニック,182010,福井県,福井市,36.088379,136.212128,0776-22-8989,http://makilc.web.fc2.com/,910-0064,福井県福井市新田塚町101,有,月・火・水・金曜 8:30~18:00土曜 8:30~12:30,有,
