施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
臼井医院,222194,静岡県,下田市,34.674309,138.943588,0558-22-1221,,415-0022,静岡県下田市２丁目3-27,有,"平日9時～17時
土9時～12時
時間外・休診日・祝日・日曜は電話にて要相談",有
伊豆今井浜病院,223026,静岡県,賀茂郡河津町,34.755119,139.004715,0558-34-1123,https://izuimaihama.jadecom.or.jp/,413-0503,静岡県賀茂郡河津町見高178,有,"火・木9時～11時30分
水・金9時～11時30分、13時～16時",無
伊東市民病院,222089,静岡県,伊東市,34.961136,139.088379,0557-37-2626,http://www.ito-shimin-hp.jp/,414-0055,静岡県伊東市岡196-1,有,24時間対応可能,有
"上山レディース
クリニック",222089,静岡県,伊東市,34.936069,139.1194,0557-45-8103,ueyamasanfujinka.com,414-0051,静岡県伊東市吉田573-3,有,8時～12時,有
佐藤産婦人科医院,222089,静岡県,伊東市,34.972244,139.091492,0557-37-5321,,414-0005,静岡県伊東市松原湯端町3-18,有,"月・水・金9時～12時、15時～17時
土9時～12時",有
"井関マタニティ
クリニック",222038,静岡県,沼津市,35.097477,138.856277,055-952-4103,,410-0881,静岡県沼津市八幡町115,有,"平日8時～11時30分、13時30分～15時30分
水午後・土・日・祝日休診",有
岩端医院,222038,静岡県,沼津市,35.10162,138.860458,055-962-1368,http://www.iwahata.jp,410-0801,静岡県沼津市大手町3-2-19,有,"月・火・木・金9時～12時、14時～18時
水・土9時～12時",有
かぬき岩端医院,222038,静岡県,沼津市,35.078705,138.878036,055-932-8189,https:/www.kanuki-iwahata.com/,410-0822,静岡県沼津市下香貫前原1479-3,有,"月・火・水・金8時45分～18時
木・土8時45分～11時30分",有
かまたクリニック,222062,静岡県,三島市,35.128239,138.914581,055-988-2488,かまたクリニック.jp,411-0033,静岡県三島市文教町1-1-35,有,"月・火・木・金9時～12時、14時30分～17時30分
土9時～12時",有
"こまきウイメンズ
クリニック",222062,静岡県,三島市,35.120155,138.905716,055-972-1057,komaki-womenclinic.jp,411-0038,静岡県三島市西若町7-45,有,"平日9時～12時15分、14時30分～18時15分
土9時～12時45分
水・日・祝日休",有
田中産婦人科医院,222062,静岡県,三島市,35.121429,138.917053,055-971-3541,http://www.tanaka-og.jp/,411-0858,静岡県三島市中央町6-23,有,"月・水・金9時～12時、14時～17時
火・木・土9時～12時",有
"三島レディース
クリニック",222062,静岡県,三島市,35.116894,138.915436,055-991-0770,mishima.lc.net,411-0841,静岡県三島市南本町15-35,有,"平日（火除く）8時30分～12時、15時～17時30分
土・火8時30分～12時",有
裾野赤十字病院,222208,静岡県,裾野市,35.179157,138.912018,055-992-0008,http://www.susono-jrc.jp/,410-1118,静岡県裾野市佐野713,有,月～木 8時15分～11時,有
かやま産婦人科医院,222208,静岡県,裾野市,35.218304,138.920685,055-997-3551,http://www.kayama-clinic.or.jp,410-1101,静岡県裾野市岩波124-2,有,"月・金8時30分～12時、14時～17時30分
火・水8時30分～12時、14時～17時
土8時30分～12時30分
木・日・祭日休診",有
"ごとうレディース
クリニック",222208,静岡県,裾野市,35.152676,138.904907,055-992-7111,http://www.goto-ladies.jp,410-1123,静岡県裾野市伊豆島田834-2,有,"月～金8時30分～11時30分、14時～16時30分
土8時30分～11時30分",有
"矢田レディース
クリニック",222259,静岡県,伊豆の国市,35.024944,138.94754,0558-76-4550,,410-2302,静岡県伊豆の国市宗光寺925-1,有,"平日9時～12時、15時～18時
木・土9時～12時",有
"三島マタニティ
クリニック",223255,静岡県,田方郡函南町,35.088936,138.953354,055-979-0192,,419-0123,静岡県田方郡函南長間宮451,有,月～土 8時30分～12時30分,有
島田産婦人科医院,223417,静岡県,駿東郡清水町,35.110943,138.900208,055-972-6100,www.shimada-sf.com,411-0907,静岡県駿東郡清水町伏見38-1,有,"平日9時～17時30分
木9時～12時
土9時～12時",有
"前川産婦人科
クリニック",223425,静岡県,駿東郡長泉町,35.152508,138.885941,055-999-6300,,411-0933,静岡県駿東郡長泉町下長窪988-11,有,"月・火・水・金8時30分～18時
木・土8時30分～12時",有
博愛堂医院,222151,静岡県,御殿場市,35.296894,138.930176,0550-82-0316,,412-0045,静岡県御殿場市川島田545-3,有,"平日9時～18時
土9時～12時",有
富士宮市立病院,222070,静岡県,富士宮市,35.220428,138.614944,0544-27-3151,https://fujinomiya-hp.jp,418-0076,静岡県富士宮市錦町3-1,有,対応可能時間帯に制限無し,無
天神産婦人科医院,222070,静岡県,富士宮市,35.230595,138.619629,0544-24-1322,,418-0063,静岡県富士宮市若の宮町398,有,"日・火・木・金8時30分～12時、14時30分～17時30
分
水・土8時30分～12時",有
"坂東レディース
クリニック",222070,静岡県,富士宮市,35.218777,138.65033,0544-28-5800,"www.bando-ladies-clinic,jp/",418-0021,静岡県富士宮市杉田1016-7,有,"月・火・木9時～12時、14時～17時
水9時～12時
金9時～12時、14時～18時
土9時～15時",有
池田産婦人科医院,222100,静岡県,富士市,35.182564,138.682816,0545-21-2228,,417-0862,静岡県富士市石坂415-15,有,"平日9時～18時
土9時～12時",有
"窪田レディース
クリニック",222100,静岡県,富士市,35.153938,138.653091,0545-65-7077,"http://www.kubota-
ladies.jp/index.html",416-0916,静岡県富士市平垣100-6,有,"月・火・木・金8時30分～18時
水・土8時30分～12時",有
武田産婦人科医院,222100,静岡県,富士市,35.138603,138.655334,0545-63-5122,,416-0945,静岡県富士市宮島330－7,有,"月・火・木・金8時30分～17時
水・土8時30分～12時",有
"たむらレディース
クリニック",222100,静岡県,富士市,35.165966,138.657074,0545-65-7777,,416-0951,静岡県富士市米之宮町250,有,"月・火・土8時30分～11時30分、14時30分～16時30
分
水8時30分～11時30分、14時30分～17時30分
金8時30分～11時30分",有
"長谷川産婦人科
医院",222100,静岡県,富士市,35.165714,138.680038,0545-53-7575,hasegawa-sanfujinka.com,417-0051,静岡県富士市吉原5-3-18,有,"月・火・木・金8時30分～12時30分、15時～18時
水8時30分～12時30分
土8時30分～14時
祝日は曜日毎の診療",有
船津クリニック,222100,静岡県,富士市,35.13377,138.666153,0545-65-7272,http://www.funatsuclinic.com,416-0955,静岡県富士市川成新町295,有,"月～水・金10時～13時、15時～18時
木・土10時～13時
いずれも休日除く",有
宮崎クリニック,222100,静岡県,富士市,35.170631,138.641937,0545-66-3731,http://www.miyazaki-cl.com,416-0909,静岡県富士市松岡300-15,有,"月・火・水・金9時～12時、15時～18時
土9時～12時",有
望月産婦人科医院,222100,静岡県,富士市,35.16386,138.726044,0545-34-0445,,417-0847,静岡県富士市比奈1-856,有,"平日9時～12時30分、14時30分～17時30分
木・土9時～12時30分",有
"JA静岡厚生連
静岡厚生病院",,静岡県,静岡市,34.979336,138.371048,054-271-7177,http://www.ja-shizuoka.or.jp/,420-8623,静岡県静岡市葵区北番町23,有,平日8時30分～17時,有
静岡県立総合病院,,静岡県,静岡市,35.003246,138.386093,054-247-6111,"http://www.shizuoka-
pho.jp/spgp/sp/",420-8527,静岡県静岡市葵区北安東4-27-１,有,24時間対応,有
静岡市立静岡病院,,静岡県,静岡市,34.978371,138.380447,054-253-3125,"https://www.shizuokahospital.j
p/",420-8630,静岡県静岡市葵区追手町10-93,有,平日8時30分～17時15分,有
静岡赤十字病院,221015,静岡県,静岡市葵区,34.976254,138.381348,054-254-4311,"https://www.shizuoka-
med.jrc.or.jp/",420-0853,静岡県静岡市葵区追手町8-2,有,24時間対応可（性犯罪による診療のみ対応可）,有
