施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人東恵会星ヶ丘マタニティ病院,231010,愛知県,名古屋市千種区,35.162445,136.983017,052-782-6211,http://www.toukeikai.com/,464-0026,愛知県名古屋市千種区井上町27,有,"月水金 9:00~12:00 17:30~19:00
火木土 9:00~12:00",有,
名古屋市立大学医学部附属西部医療センタ-,231037,愛知県,名古屋市北区,35.202358,136.90184,052-991-8121,http://www.west-medical-center.med.nagoya-cu.ac.jp/,462-8508,愛知県名古屋市北区平手町一丁目1番地の1,有,平日8:45~17:15 (夜間、土、日、祝日も状況次第で対応可能),有,URL(リンク切れ)
岩田病院,231053,愛知県,名古屋市中村区,35.173473,136.878937,052-451-1552,https://iwata-hospital.com/,453-0014,愛知県名古屋市中村区則武1-1-11,有,"月水金 9:00~12:00 17:00~19:00
火木 9:00~12:00",有,
名古屋掖済会病院,231100,愛知県,名古屋市中川区,35.119919,136.873505,052-652-7711,http://www.nagoya-ekisaikaihosp.jp/,454-8502,愛知県名古屋市中川区松年町4-66,有,緊急避妊の場合は24時間対応可,有,
社会医療法人 宏潤会 大同病院,231126,愛知県,名古屋市南区,35.07468,136.907043,052-611-6261,https://daidohp.or.jp/,457-8511,愛知県名古屋市南区白水町9,有,"緊急避妊の場合は24時間対応可
※ 薬の在庫がない可能性があるため事前に電話で要確認",有,URL(リンク切れ)
総合病院南生協病院,231142,愛知県,名古屋市緑区,35.058113,136.934799,052-625-0373,https://www.minami-hp.jp/,459-8540,愛知県名古屋市緑区大高二丁目204,有,"月~土 9:00~11:30
※ 月~金 9:00~17:00 電話相談可",無,
日本赤十字社愛知医療センタ-名古屋第二病院,231070,愛知県,名古屋市昭和区,35.145416,136.965668,052-832-1121,https://www.nagoya2.jrc.or.jp/,466-8650,愛知県名古屋市昭和区妙見町2-9,有,緊急避妊の場合は24時間対応可,有,URL(リンク切れ)
咲江レディスクリニック,231010,愛知県,名古屋市千種区,35.168499,136.946671,052-757-0222,http://www.sakieladiesclinic.com/,464-0066,愛知県名古屋市千種区池下町二丁目15番地 ハクビ池下ビル 5階,有,"【月火水金】10:00~13:00、15:00~18:00
【土】10:00~13:00",有,
医療法人博報会上野産婦人科,231010,愛知県,名古屋市千種区,35.182117,136.951248,052-721-0321,https://ueno-sanfujinka.jp/,464-0082,愛知県名古屋市千種区上野1-1-11,有,"【月火水金】9:00~12:00、18:00~19:30
【木・土】9:00~12:00",有,
医療法人秀峰会 レディ-スクリニック山原,231010,愛知県,名古屋市千種区,35.169518,136.938995,052-731-8181,https://nagoya-yamahara-lc.jp/,464-0850,愛知県名古屋市千種区今池四丁目14番3号 愛知県,有,"【平日.土】10:00~13:00
【月火水金】16:30~19:00",有,
さわだウイメンズクリニック,231010,愛知県,名古屋市千種区,35.162178,136.964157,052-788-3588,https://www.sawadawomens.com/,464-0819,愛知県名古屋市千種区四谷通1-18-1 RICCA11ビル3階,有,"【平日】10~12:30 【水午後なし】16~19:00
【土】10~12:30",有,
きくざかクリニック,231010,愛知県,名古屋市千種区,35.166077,136.948242,052-759-1551,www.kikuzaka-clinic.com,464-0836,愛知県名古屋市千種区菊坂町1-4 グリ-ムオブ覚王山 2F,有,"【火水金】9:30~12:30、16:00~19:00
【木土】9:30~12:30",有,URL(リンク切れ)
医療法人伸和會野崎クリニック,231100,愛知県,名古屋市中川区,35.132507,136.833527,052-303-3811,http://www.nozaki-clinic.jp,454-0943,愛知県名古屋市中川区大当郎一丁目1903番地,有,"【月水金】8:30~11:00、17:00~18:30
【火木土】8:30~11:00",有,URL(リンク切れ)
桑山産婦人科・眼科,231118,愛知県,名古屋市港区,35.115963,136.886169,052-661-0211,-,455-0001,愛知県名古屋市港区七番町3丁目18番地,有,"【月~土】9:00~12:00 日祝は休診
【月火水金】18:00~19:30 夜間診察は予約制",有,URL(リンク切れ)
まのレディ-スクリニック,231118,愛知県,名古屋市港区,35.113621,136.820129,052-302-8885,http://www.yuhookai.jp/,455-0884,愛知県名古屋市港区七反野1-806-1,有,"月火水金 9:00~12:00 16:30~18:30
木土 9:00~12:00",有,
山口レディスクリニック,231126,愛知県,名古屋市南区,35.11264,136.937592,052-823-2121,www.y-lc.net,457-0007,愛知県名古屋市南区駈上二丁目7番1号,有,"【月火木金】9:30~12:30、17:00~19:00
【水】9:30~12:30
【土】9:00~13:00",有,
伊藤しあわせクリニック,231126,愛知県,名古屋市南区,35.102432,136.942368,052-823-4122,https://www.itoclinic.jp/,457-0027,愛知県名古屋市南区弥生町14番地,有,"【月火水金】9:00~12:30、16:00~18:30
【土】9:00~12:30",有,
だいどうクリニック,231126,愛知県,名古屋市南区,35.074577,136.908432,052-611-6262,https://daidohp.or.jp/,457-8511,愛知県名古屋市南区白水町8番地,有,【月~土】8:30~11:30,無,URL(リンク切れ)
アイ・レディスクリニック,231126,愛知県,名古屋市南区,35.09201,136.913956,052-614-1103,https://youandai.com/,457-0836,愛知県名古屋市南区加福本通3丁目64番地,有,緊急であれば24時間対応,有,
やまだレディスクリニック,231134,愛知県,名古屋市守山区,35.206924,136.974564,052-793-5551,-,463-0013,愛知県名古屋市守山区小幡中三丁目23-11,有,"【月~土】9:00~12:00
【月火】17:00~19:00",有,URL(リンク切れ)
フォレストベルクリニック,231134,愛知県,名古屋市守山区,35.25322,137.034775,052-737-0003,www.forestbell.jp,463-0001,愛知県名古屋市守山区大字上志段味字羽根前600番2,有,緊急であれば24時間対応,有,
なるかわレディ-スクリニック,231134,愛知県,名古屋市守山区,35.203289,136.985367,052-796-2220,http://www.narukawa-lc.com,463-0042,愛知県名古屋市守山区野萩町13-14 プラザ野萩2F,有,"【月火水金】9:00~12:00、16:00~19:00
【木土】9:00~12:00",有,
たてレディ-スクリニック,231134,愛知県,名古屋市守山区,35.198677,136.98378,052-794-5151,tatelc.com,463-0041,愛知県名古屋市守山区大谷町2-51,有,"【平日】9:00~12:00、17:00~19:00
【土】9:00~12:00 (日祝木曜、休診)",有,
徳重ウイメンズケアクリニック,231142,愛知県,名古屋市緑区,35.088684,136.997742,052-877-1333,-,458-0815,愛知県名古屋市緑区徳重2丁目1810番地,有,"【月火水金】9:00~12:30、16:00~18:30
【木土】9:00~12:30",有,URL(リンク切れ)
産婦人科 野村クリニック,231142,愛知県,名古屋市緑区,35.085331,136.975891,052-896-5311,http://nomucli.com,458-0021,愛知県名古屋市緑区滝ノ水四丁目315番,有,【月火木金】9:00~14:00、15:00~18:00,有,
ロイヤルベルクリニック,231142,愛知県,名古屋市緑区,35.082016,136.993851,052-879-6660,www.royalbell.jp,458-0848,愛知県名古屋市緑区水広1丁目1715番地,有,緊急であれば24時間対応,有,
医療法人 中根産婦人科,231142,愛知県,名古屋市緑区,35.100704,136.97403,052-895-1177,www.nakanesanfu.or.jp/,458-0011,愛知県名古屋市緑区相川2-126,有,深夜以外は、毎日可,有,
奈倉レディ-スクリニック,231150,愛知県,名古屋市名東区,35.18148,136.990021,052-777-0111,-,465-0017,愛知県名古屋市名東区つつじが丘712,有,"【平日】9:00~12:00、17:00~19:00
【水土】9:00~12:00",有,URL(リンク切れ)
西山産婦人科・内科,231150,愛知県,名古屋市名東区,35.157959,136.99353,052-701-3565,-,465-0086,愛知県名古屋市名東区代万町1-93,有,【月火金】9:00~12:00、16:30~19:30 【木土】9:00~12:00,有,URL(リンク切れ)
医療法人藤ケ丘レディスクリニック,231150,愛知県,名古屋市名東区,35.190048,137.017319,052-775-1103,ttp://www.flc.or.jp/,465-0036,愛知県名古屋市名東区藤里町1602番地,有,"【平日】9:30~19:00
【水】9:30~13:00
【土】9:30~12:30",有,URL(リンク切れ)
