施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
小塚産婦人科,242055,三重県,桑名市,35.011574,135.768188,0594-22-0939,https://kozuka-ladies.com,511-0821,京都府桑名市大字矢田419-1,有,"月・火・水・金 9:00~12:00 15:00~18:00
木・土 9:00~12:00
その他・時間外・休日も対応可",有,緯度経度(不一致)
三重北医療センタ-いなべ総合病院,242144,三重県,いなべ市,35.011574,135.768188,0594-72-2000,http://www.miekosei.or.jp/4_ish/,511-0428,京都府いなべ市北勢町阿下喜771,有,"平日8:30~17:00
土・日・祝日 8:30~12:00",有,緯度経度(不一致)
ザ・クリニック,243434,三重県,三重郡朝日町,35.217373,135.2211,059-376-2030,https://www.the-clinic.jp,510-8103,京都府三重郡朝日町大字柿776-1,有,"月・火・金 9:00~12:00
13:00~16:00
水・土 9:00~12:00
木 9:00~12:00 15:00~18:00",有,"URL(リンク切れ), 緯度経度(不一致)"
おばたレディ-スクリニック,242020,三重県,四日市市,35.011574,135.768188,059-320-1212,www.obata-lc.com,512-0934,京都府四日市市川島町6842-1,有,"水曜を除く平日
9:00~12:00 15:00~18:30
土曜 9:00~12:00 14:00~17:00",有,緯度経度(不一致)
四日市レディ-スクリニック,242020,三重県,四日市市,35.011574,135.768188,059-322-1131,http://www.yokkaichi-ladys.com/,512-0932,京都府四日市市小生町字西川原800,有,"月・水・金 9:00~12:00
15:30~18:30
火・木 9:00~12:00
土曜 9:00~12:00 14:00~17:00",有,緯度経度(不一致)
中尾産婦人科,242020,三重県,四日市市,35.011574,135.768188,059-364-3210,,510-8027,京都府四日市市茂福弓田612-1,有,"平日 9:00~12:00 15:00~18:30
土曜 9:00~12:00
火・祭日・日・土曜午後休診",有,緯度経度(不一致)
守屋レディ-スクリニック,242020,三重県,四日市市,35.011574,135.768188,059-363-8803,http://www.moriya-lc.com,510-0012,京都府四日市市羽津4661,有,"月・火・木・金・土
AM 9:00~12:00
PM 3:30~6:30",有,緯度経度(不一致)
慈芳産婦人科,242020,三重県,四日市市,35.011574,135.768188,059-353-0508,https://jiho-bebe.com/,510-0834,京都府四日市市常盤4丁目4-17,有,"水曜を除く平日 9:00~12:00
15:00~18:00
土曜 9:00~12:00",有,緯度経度(不一致)
県立総合医療センタ-,242020,三重県,四日市市,35.011574,135.768188,059-345-2321,https://www.mie-gmc.jp/,510-8561,京都府四日市市大字日永5450-132,有,常時,有,緯度経度(不一致)
こうのとりW0MEN’sCAREクリニック,242020,三重県,四日市市,35.011574,135.768188,059-355-5577,http://www.ko-notori-ivf.com/,510-0086,京都府四日市市諏訪栄町176ロ-レルタワ-シュロア四日市204,有,"(月・火・水・金・土) 9:30~12:30
(月・火・水・金) 15:30~19:00",有,緯度経度(不一致)
