施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人瑞称会くれはの里レディ-スクリニック,272043,大阪府,池田市,34.823318,135.447617,072-748-1122,http://www.kurehanosato.jp,563-0022,大阪府池田市旭丘2-4-17,有,"9:30-12:30(火・水・木・土)
15:30-19:00(月・火・木・金)",有,
箕面市立病院,272205,大阪府,箕面市,34.823154,135.483505,072-728-2001,https://minoh-hp.jp/,562-0014,大阪府箕面市萱野5-7-1,有,平日・土日祝日 0:00-23:59,有,
共立さわらぎ産婦人科,272205,大阪府,箕面市,34.84375,135.503464,072-726-1103,http://www.sawaragi-hosp.jp/,562-0025,大阪府箕面市粟生外院6-3-5,有,平日9:00-19:00、土曜9:00-16:00,有,
松崎産婦人科クリニック,272043,大阪府,池田市,34.821121,135.427109,072-750-2025,http://www.matsuzaki-clinic.com,563-0055,"大阪府池田市菅原町3-1
ステ-ションN2階 202号-2",産婦人科で有,"平日9:00-12:00、16:30-19:30
土曜9:00-12:00",有,
川口レディ-スクリニック,272043,大阪府,池田市,34.821445,135.425156,072-753-5888,https://kawaguchi-ladies.com,563-0048,"大阪府池田市呉服町1-1
サンシティ池田305",有,"月-土9:00-12:00
月、木14:30-17:30
火、金17:00-20:00",有,
"医療法人徳洲会
吹田徳洲会病院",272051,大阪府,吹田市,34.79718,135.543076,06-6878-1110,https://www.suita.tokushukai.or.jp,565-0814,大阪府吹田市千里丘西21-1,有,"平日 9:00-17:00
土曜 9:00-12:00",有,
大阪府済生会吹田病院,272051,大阪府,吹田市,34.7616,135.534607,06-6382-1521,https://www.suita.saiseikai.or.jp,564-0013,大阪府吹田市川園町1-2,有,日勤、当直(24時間可能),有,
大阪府済生会千里病院,272051,大阪府,吹田市,34.79488,135.510178,06-6871-0121,http://www.senri.saiseikai.or.jp,565-0862,大阪府吹田市津雲台1丁目1-6,有,"平日 9:00-17:00
土曜 9:00-12:00
※院外処方対応のみ",無,
市立吹田市民病院,272051,大阪府,吹田市,34.77626,135.537354,06-6387-3311,https://www.suitamhp.osaka.jp,564-8567,大阪府吹田市岸部新町5-7,有,平日 8:30-11:00,有,
"医療法人ボンヌサンテ
宇田レディ-スクリニック",272051,大阪府,吹田市,34.792252,135.495483,06-6833-0558,"http://www.eonet.ne.jp/-bonnesante/index.ht
ml",565-0854,"大阪府吹田市桃山台5丁目2-3
アザ-ル桃山台3階",有,"月・火・水・金曜
9:00-12:00、16:00-19:00
土曜 9:00-12:00",有,URL(リンク切れ)
飯藤産婦人科,272051,大阪府,吹田市,34.762127,135.513229,06-6388-0141,http://www.iito.jp,564-0041,大阪府吹田市泉町5丁目6-6,有,"月~土曜 9:00-13:00
月・水・金曜 17:30-19:30",有(少量),
いとうレディ-スクリニック,272051,大阪府,吹田市,34.779026,135.505951,06-6369-7333,http://ito-lc.com,565-0844,大阪府吹田市千里山霧が丘1-5-101,有,"平日 9:00-12:30、15:00-19:00
土曜 9:00-16:00",有,
"医療法人社団公仁会
城クリニック",272051,大阪府,吹田市,34.759941,135.520294,06-6381-2281,http://www.jyo-clinic.jp,564-0031,大阪府吹田市元町26-10,有,"月~土曜 9:00-12:00
月曜 13:00-19:00
火・水・金曜 16:30-19:00",有,
"医療法人琢生会
神田マタニティクリニック",272051,大阪府,吹田市,34.764431,135.489426,06-6330-1135,http://www.kanda-mc.com,564-0063,大阪府吹田市江坂町3丁目31-5,有,"月~金曜 9:00-12:00、17:00-19:00
土曜 9:00-12:00、14:00-16:00",有,
"医療法人琢生会
神田マタニティクリニック分院",272051,大阪府,吹田市,34.756542,135.494934,06-6339-7241,http://www.kandaclinic.com,564-0053,"大阪府吹田市江の木町5-26
プラトゥビル3階",有,"月・火・水・金・土曜 9:30-13:00
月・金曜 14:30-16:30
月・水曜 17:30-20:00",有,
"医療法人優美会
吉井クリニック",272051,大阪府,吹田市,34.760098,135.496902,06-6388-0110,http://www.yoshiiclinic.jp/,564-0051,"大阪府吹田市豊津町1-21
エサカ中央ビル5階",有,"月・火・水・金・土曜 10:00-13:00
月・火・水・金曜 15:00-19:00",有,
加藤レディ-スクリニック,272051,大阪府,吹田市,34.803959,135.51445,06-6871-1010,http://www.kato-ladies.com,565-0862,"大阪府吹田市津雲台5丁目19-18
千里つくも医療ビル2階",有,"月・火・水・金・土曜 9:00-12:00
月・火・金曜 17:30-19:30",有,
かまちレディ-スクリニック,272051,大阪府,吹田市,34.791775,135.509094,06-6170-9129,http://kamachi-ladies.com,565-0855,"大阪府吹田市佐竹台1丁目4-1
クリニックモ-ル南千里 201号",有,"月・火・木・金曜 9:00-12:00、15:30-18:30
水・土曜 9:00-12:00",有,
医療法人玉樹会 玉田レディ-スクリニック,272051,大阪府,吹田市,34.77626,135.537354,06-4860-6622,http://www.tamada-cl.com,564-0018,"大阪府吹田市岸部新町5-25
健都メディカルビル2階",有,"月・火・金曜 9:30-13:00、16:00-19:30
木曜 16:00-19:30
土曜 9:00-14:30",有,
西田ヒロ子クリニック,272051,大阪府,吹田市,34.758106,135.500351,06-6380-1651,http://hiroko-clinic.jp,564-0063,"大阪府吹田市江坂町1丁目21-39-303
土泰第一ビル3階",有,"月~土曜 9:30-13:00
月・火・木・金曜 16:00-19:00",有,
林田レディ-スクリニック,272051,大阪府,吹田市,34.759403,135.5168,06-4863-5773,-,565-0874,"大阪府吹田市吉江台4丁目2-60
北千里医療ビル5階",有,"月・火・水・金曜 9:30-12:00、14:00-17:00
土曜 9:30-12:00",有,URL(リンク切れ)
みさき医院,272051,大阪府,吹田市,34.775913,135.541168,06-6381-6022,-,564-0011,大阪府吹田市岸部南2丁目1-6,有,"月・火・水・金曜
9:00-12:00、17:00-19:00
土曜 9:00-12:00",有,URL(リンク切れ)
吉本婦人科クリニック,272051,大阪府,吹田市,34.765282,135.522598,06-6337-0260,http://www.yoshimoto-clinic.net,564-0082,"大阪府吹田市片山町1丁目3-5
シルバ-マンションII2階",有,"平日 9:00-12:30、16:00-17:00
土曜 9:00-13:00",有,URL(リンク切れ)
医療法人 恵仁会 田中病院,272116,大阪府,茨木市,34.802143,135.567459,072-635-5831,info@tanaka-hsp.or.jp,567-0861,大阪府茨木市東奈良3-16-31,有,"平日 9:00~12:30 17:30~19:30
土曜 9:00~12:30",有,
医療法人恒昭会 藍野病院,272116,大阪府,茨木市,34.69389,135.502045,072-627-7611,http://www.koshokai.or.jp/aino/,567-0011,大阪府大阪府茨木市高田町11番18号,有,"月(13:30~15:30)
水( 9:00~12:00)
金(13:30~15:30)",有,URL(リンク切れ)
医療法人和倉会 サンタマリア病院,272116,大阪府,茨木市,34.811714,135.570892,072-627-3459,st-main@santamaria-med.jp,567-0884,大阪府茨木市新庄町13-15,有,"月~土:9:00~12:00
月・火・木・金:14:00~17:00",無,
"社会福祉法人恩賜財団大阪府支部
大阪府済生会茨木病院",272116,大阪府,茨木市,34.820595,135.556686,567-0035,https://www.ibaraki.saiseikai.or.jp/,567-0035,大阪府茨木市見付山2-1-45,有,"平日 9:00~17:00
土曜日 9:00~12:30
(第三土曜日を除く)",有,
友紘会総合病院,272116,大阪府,茨木市,34.827789,135.526505,072-641-2488,http://www.yukoukai.com/,567-0058,大阪府茨木市西豊川町25番1,有,"平日:9:00~17:00
土日祝:9:00~12:00",有,
