施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
六甲アイランド甲南病院,281018,兵庫県,神戸市東灘区,34.688877,135.27037,078-858-1111,http://kohnan.or.jp/rokko/,658-0032,兵庫県神戸市東灘区向洋町中2丁目11番地,有,月・火・木・金 9:00-11:30 のみ対応可,有,
"神戸市立医療センタ-西市
民病院",281069,兵庫県,神戸市長田区,34.667542,135.156799,078-576-5251,,653-0013,兵庫県神戸市長田区一番町2丁目4番地,有,"平日 9:00-11:30
(火・木曜日は9:00-10:30)",無,
"医療法人社団慈恵会 新須
磨病院",281077,兵庫県,神戸市須磨区,34.645756,135.12973,078-735-0001,"https://www.jikeikai-
group.or.jp/shinsuma/",654-0048,兵庫県神戸市須磨区衣掛町3丁目1番14号,有,平日(含む、土曜日) 9:00~12:00,無,URL(リンク切れ)
"医療法人社団純心会パルモ
ア病院",281107,兵庫県,神戸市中央区,34.690727,135.186432,078-321-6000,http://www.palmore.or.jp/,650-0012,兵庫県神戸市中央区北長狭通4-7-20,有,"1)平日および土曜: 8:30-18:00 (ただし、通常
の診療時間内は予約またはご来院の順にしたがっ
て対応します)
2)日曜祝日は当院受診歴のある方に限り10:00-
18:00の時間帯のみ対応可能 (ただし、分娩手
術等のため長時間お待たせする可能性有り)",有,
池田診療所,281018,兵庫県,神戸市東灘区,34.73037,135.291046,078-451-1331,,658-0001,兵庫県神戸市東灘区森北町2丁目2番3号,有,"月曜~土曜 9:00-18:30
(祝祭日、年末年始を除く)",有,
"医療法人社団産科婦人科ナ
カムラクリニック",281018,兵庫県,神戸市東灘区,34.71347,135.259033,078-851-0031,http://www.nakamura-lc.com/,658-0046,兵庫県神戸市東灘区御影本町2丁目9番1号,有,"月・火・水・金 9:00-12:00 17:00-19:00
木・土 9:00-12:00",有,
山崎産科婦人科医院,281018,兵庫県,神戸市東灘区,34.718719,135.26709,078-851-6490,http://yamasaki-lc.ftw.jp,658-0052,兵庫県神戸市東灘区住吉東町2-4-38,有,"平日9:30-13:00, 15:00-18:00 土曜日9:
00-12:00",有,
"こじまレディ-スクリニッ
ク",281018,兵庫県,神戸市東灘区,34.721355,135.249313,078-414-7670,http://www.kojima-lc.jp/,658-0047,兵庫県神戸市東灘区御影2-32-12,有,平日10:00-13:00 16:00-19:00 土曜10:00-13:00,有,
登村レディスクリニック,281018,兵庫県,神戸市東灘区,34.714512,135.254898,078-841-3599,http://www.tomura-lc.com/,658-0046,兵庫県神戸市東灘区御影本町4丁目11-5,有,"月、水、金 9:00-12:00, 16:00-19:00
火、木、土 9:00-12:00",有,
中島クリニック,281018,兵庫県,神戸市東灘区,34.728645,135.276413,078-431-3230,http://www.nakajima-c.jp/,658-0072,兵庫県神戸市東灘区岡本1-13-7-202,有,"月~土 9:30-12:30 16:00-19:00
木・土は午前診のみ",有,
もりレディ-スクリニック,281018,兵庫県,神戸市東灘区,34.728992,135.283035,078-412-3935,http://mori-lc.jp/,658-0003,兵庫県神戸市東灘区本山北町2丁目9-7,有,24時間対応(自己都合により断ることもあり),有,
"医療法人社団たなべ産婦人
科",281026,兵庫県,神戸市灘区,34.716537,135.236435,078-821-0303,https://www.tanabe-clinic.com/,657-0028,"兵庫県神戸市灘区森後町3丁目5番30号ナタ-
ル六甲ビル6階",有,"平日 9:00-12:00 17:00-19:00
(木曜休み)
土曜 9:00-12:00",有,
川口レディ-スクリニック,281026,兵庫県,神戸市灘区,34.705029,135.216385,078-881-8208,http://www.klady-clinic.gr.jp/,657-0846,兵庫県神戸市灘区岩屋北町7丁目1-30-201,有,"平日 AM9:30-12:30 PM4:00-7:00 土曜日
AM9:30-2:00",有,URL(リンク切れ)
"亀田マタニティ・レディ-
スクリニック",281026,兵庫県,神戸市灘区,34.72007,135.237167,078-822-4188,https://www.kameda-c.com/,657-0051,兵庫県神戸市灘区八幡町1-8-15,有,"外来診療時間(月・水・金 9:00-12:00 16:00-
19:00 火・木・土 9:00-12:00)",有,
雅レディ-スクリニック,281026,兵庫県,神戸市灘区,34.716537,135.23732,078-857-0155,http://www.miyabi-lc.com/,657-0028,兵庫県神戸市灘区森後町3-5-41 FTKビル2F,有,"平日:10:00-13:00 14:00-18:00(木曜日は
休診)
土曜:10:00-13:00",有,
"野々垣レディ-スクリニッ
ク",281050,兵庫県,神戸市兵庫区,34.667255,135.165207,078-681-4103,http://nlc-hyogo.net,652-0897,"兵庫県神戸市兵庫区駅南通1丁目2-34 兵庫
駅前クリニックビル5F",有,"月・火・木~土:9:30~11:50 月・火・金:
16:00~18:20 水:9:30~11:20,16:30~18:20
診療は予約制ですので、あらかじめ予約をお取り
ください",有,
"みちもとレディ-スクリ
ニック",281069,兵庫県,神戸市長田区,34.661541,135.156494,078-671-4050,michimoto-cl.com,653-0022,兵庫県神戸市長田区東尻池町2丁目3-16,有,"平日9:30-12:30 17:00-19:00
土曜9:30-12:30 木曜 日曜休診",有,
愛育産婦人科,281077,兵庫県,神戸市須磨区,34.674046,135.10936,078-741-6231,"http://plaza.harmonix.ne.jp/-hiraike
/pc/",654-0131,兵庫県神戸市須磨区横尾1-9-2,有,"平日(木曜休診)と土日祝も午前診有ります
9:00~12:30。 月水金曜は午後診も有ります
16:00~19:00。",有,URL(リンク切れ)
益子産婦人科医院,281077,兵庫県,神戸市須磨区,34.658997,135.134857,078-732-4103,https://www.masuko-clinic.or.jp/,654-0023,兵庫県神戸市須磨区戎町3-5-15,有,"診療時間内月~土9:00~12:00(水曜9:00~
11:00)
月・火・金17:00~19:00",有,
森産婦人科医院,281077,兵庫県,神戸市須磨区,34.652527,135.126099,078-739-3000,,654-0033,兵庫県神戸市須磨区東町4丁目1-23,有,"平日(木曜以外) 9:30-12:00 17:00-19:00
木・日・祝 対応不可 土曜 9:30-12:00",有,
清水クリニック,281085,兵庫県,神戸市垂水区,34.652683,135.049362,078-783-3030,https://byoinnavi.jp/clinic/71438,655-0006,兵庫県神戸市垂水区本多聞6丁目28番23号,有,"平日 8:00-20:00
日曜 8:00-12:00",有,URL(リンク切れ)
竹森レディ-スクリニック,281085,兵庫県,神戸市垂水区,34.635803,135.032333,078-766-3990,http://www.takemori-lc.com/,655-0046,"兵庫県神戸市垂水区舞子台2-9-10 ミサキメディ
カルビル2F",有,平日9:30-12:30 16:00-18:30、土曜日9:30-12:30,有,
森本産婦人科クリニック,281085,兵庫県,神戸市垂水区,34.664787,135.048508,078-786-1103,https://morimoto-mc.com/,655-0051,兵庫県神戸市垂水区舞多聞西5丁目1-7,有,"月・水・金・土 9:00~12:00、16:00~19:
00",有,
安部内科婦人科クリニック,281093,兵庫県,神戸市北区,34.821533,135.222916,078-984-3188,https://a.inet489.jp/abnf3188/,651-1313,兵庫県神戸市北区有野中町1-11-10 仲第一ビル,有,"月~木 9:00-13:00 16:00-19:00 金・土
9:00-13:00",無,
"オカ・レディ-ス・クリ
ニック",281093,兵庫県,神戸市北区,34.746738,135.142883,078(586)2626,http://www.oka-lc.jp/,651-1222,兵庫県神戸市北区大原3-8-1,有,"月・水・金 9:00-12:00 17:00-20:00 火・
木・土 9:00-12:00",有,
"かとうレディ-スクリニッ
ク",281093,兵庫県,神戸市北区,34.821514,135.220642,078-595-7258,https://www.oklc.org,651-1302,"兵庫県神戸市北区藤原台中町1-2-1 北神中央ビル
307号",有,"月火水木金日10:00-12:30 月火水16:00-18:
30 土15:00-18:00",有,
"医)産科・婦人科 みずと
りクリニック",281093,兵庫県,神戸市北区,34.835918,135.225357,078-987-4103,https://mizutori-clinic.com/,651-1301,兵庫県神戸市北区藤原台北町7-2-7,有,"月~土 9:30~13:00 月・水・金 17:30~
19:30",有,
松岡産婦人科クリニック,281093,兵庫県,神戸市北区,34.74741,135.151794,078-582-0003,http://ms-cl.com,651-1221,兵庫県神戸市北区緑町1-6-18,有,"平日:9:00~12:00
18:00~20:00
土曜:9:00~12:00",有,
"レディスクリニックヨコヤ
マ",281093,兵庫県,神戸市北区,34.827271,135.225922,078-987-4100,,651-1313,兵庫県神戸市北区有野中町2丁目13-17,有,"日・月・火・木 10:00-13:00 15:00-18:00
水・金 10:00-13:00",有,
"ゆかりレディ-スクリニッ
ク",281107,兵庫県,神戸市中央区,34.690628,135.192551,078-391-7887,https://yukari-clinic.com,650-0021,"兵庫県神戸市中央区三宮町1-4-9
ワコ-レ神戸三宮ビル3F",有,"月・火・木・金・土
10:00-13:00
15:30-18:30",有,URL(リンク切れ)
坂口クリニック,281107,兵庫県,神戸市中央区,34.687176,135.183914,078-341-0038,,650-0022,兵庫県神戸市中央区元町通4丁目3-16,有,"月、火、水 9:00-12:00, 16:00-18:00
金 9:00-12:00, 16:00-17:30
木、土 9:00-12:00 祝・日 休",有(2人分),
渚診療所,281107,兵庫県,神戸市中央区,34.696953,135.196823,078-222-2001,http://nagisa.hiho.jp/,651-0094,"兵庫県神戸市中央区琴ノ緒町3丁目2-1琴ノ緒
ビル2F",有,"平日 10:00-12:00 17:00-19:00
土 16:00-17:00",無,URL(リンク切れ)
英ウィメンズクリニック,281107,兵庫県,神戸市中央区,34.690868,135.194199,078-392-8723,https://www.hanabusaclinic.com/,650-0021,"兵庫県神戸市中央区三宮町1-1-2 三宮セントラル
ビル",有,"平日 : 8:30~16:00
土日祝 : 8:30~15:00",有,
はやし女性クリニック,281107,兵庫県,神戸市中央区,34.682381,135.173218,078-351-1688,http://www.medic-grp.co.jp/doctor/,650-0017,兵庫県神戸市中央区楠町5-1-13,hayashi 有,平日10:00-13:00 15:30-18:30,有,URL(リンク切れ)
山口レディスクリニック,281107,兵庫県,神戸市中央区,34.697174,135.19278,078-391-2246,https://www.lcy.jp/,650-0001,兵庫県神戸市中央区加納町3-4-7,有,"診療時間内および、
平日 19:00~20:15、土曜日 16:00~19:15
(変更する場合もございますので
詳しくは弊院のウェブサイトでご確認下さい。)",有,
山下レディ-スクリニック,281107,兵庫県,神戸市中央区,34.691521,135.19722,078-265-6475,https://www.ylc.jp/,651-0086,"兵庫県神戸市中央区磯上通7-1-8三宮プラザ
WEST4F",有,"月火水金 10:00-20:00
木土 10:00-13:00",有,
山田医院,281107,兵庫県,神戸市中央区,34.695587,135.193069,078-391-2234,,650-0001,兵庫県神戸市中央区加納町4丁目9-3,有,"平日 9:00-19:00
土曜 9:00-13:00",無,
山辺レディ-スクリニック,281107,兵庫県,神戸市中央区,34.69046,135.192047,078-335-0555,https://yamabeclinic.com/,650-0021,"兵庫県神戸市中央区三宮町2丁目5-1三宮ハ-トビル5
階",有,"平日(午前)10:00-13:00
平日(午後)15:00-19:00
土曜 11:00-14:30",有,
"医療法人恵友会久保みずき
女性・検診クリニック",281115,兵庫県,神戸市西区,34.719322,135.018387,078-990-3030,https://kubomizuki.com/,651-2273,"兵庫県神戸市西区糀台5丁目6-3神戸西神オリ
エンタルホテル内",有,"月・火・金 9:00-17:00
水 13:00-19:00
木 9:00-19:00",有,
"久保みずきレディ-スクリ
ニック菅原記念診療所",281115,兵庫県,神戸市西区,34.717392,135.005157,078-961-3333,http://www.kubomizuki.or.jp/,651-2277,兵庫県神戸市西区美賀多台3丁目13-8,有,"月・水・金 9:30-11:30 16:00-18:30
火・木 9:30-11:30
土 9:30-11:30 14:00-15:30",有,
"おかざきマタニティクリ
ニック",281115,兵庫県,神戸市西区,34.682987,135.055908,078-798-1103,http://www.gakuentoshi-mc.com/,651-2103,兵庫県神戸市西区学園西町5丁目2-5,有,平日8:00~24:00 土曜日曜祝日8:00~24:00,有,
