施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
"医療法人
中野産婦人科",292010,奈良県,奈良市,34.681831,135.80423,0742-30-0039,http://www.nakano-ladies-cl-shinomiya.com,630-8014,奈良県奈良市四条大路一丁目3番57号,有,"平日 9:00~17:00
土、日 9:00~17:00",有,
西村クリニック,292010,奈良県,奈良市,34.681839,135.805298,0742-36-1241,,630-8014,"奈良県奈良市四条大路1丁目1-30東亜シティプラザ
2F",有,"月・水・木・金 9:30~12:30、16:30~19:30
火・土 9:30~12:30",有,
高山クリニック,292010,奈良県,奈良市,34.668861,135.794968,0742-35-3611,http://www.takayama-hp.org/,630-8031,奈良県奈良市柏木町190-5,有,平日、土曜 9:00~12:00,有,
髙井レディ-スクリニック,292010,奈良県,奈良市,34.682484,135.82103,0742-26-0551,http://www.takai-clinic.jp/,630-8247,奈良県奈良市油阪町1-66,有,"平日 8:30~19:00
土曜 8:30~12:00
木・日・祝 休診",有,
はらだ医院,292010,奈良県,奈良市,34.672733,135.833572,0742-22-6817,https://harada-hospital.com/,630-8306,奈良県奈良市紀寺町607,有,"月・火・水・金・土 9:00~12:00
月・火・金 17:00~19:00",有,
"医療法人慈生会
岡村産婦人科",292010,奈良県,奈良市,34.674118,135.823395,0742-23-3566,http://www.okamura-cl.com,630-8325,奈良県奈良市西木辻町30番地の10,有,"月・火・水・金・土 9:00~13:00
月・水・金 18:00~19:30",有,
"地方独立行政法人奈良県
病院機構
奈良県総合医療センタ-",292010,奈良県,奈良市,34.663071,135.769989,0742-46-6001,http://www.nara-hp.jp/,630-8581,奈良県奈良市七条西町二丁目897番5,有,月~金 8:30~11:00受付,無,
すぎはら婦人科,292010,奈良県,奈良市,34.726208,135.75238,0742-46-4124,http://www.sugiharafujinka.com,631-0003,"奈良県奈良市中登美ケ丘6-3-3リコラス登美ヶ丘A棟
3F",有,"月・火・木・金 9:30~12:30、15:30~18:30
土 9:30~12:30、14:00~16:00",有,
"あやめ池いしい婦人科クリ
ニック",292010,奈良県,奈良市,34.7006,135.762039,0742-52-0600,www.ayameike-ishii-wcl.com,631-0032,"奈良県奈良市あやめ池北一丁目32番21号メディカル
コ-トあやめ池A204",有,"平日・土曜 9:00~12:00(木曜を除く)
月・火・金 16:30~19:00
木・日・祝 休診",有,
ちえクリニック,292010,奈良県,奈良市,34.699711,135.750778,0742-93-7412,http://chieclinic.com/,631-0036,奈良県奈良市学園北1丁目14-13メディカル学園前3F,有,"月 13:00~15:30
火・金 9:00~15:30
木・土 9:00~18:00",有,
