施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
鳥取市立病院,312010,鳥取県,鳥取市,35.474293,134.234619,0857-37-1522,https://hospital.tottori.tottori.jp/,680-8501,鳥取県鳥取市的場一丁目1番地,有,平日8:30～17:00,無,
鳥取産院,312010,鳥取県,鳥取市,35.495354,134.23233,0857-23-3151,https://asupiosu.or.jp/,680-0841,鳥取県鳥取市吉方温泉1丁目653番地,有,平日・土曜日 9:00～12:0014:00～18:00,有,
医療法人タグチレディースクリニック,312010,鳥取県,鳥取市,35.520824,134.228882,0857-39-2121,http://www.tahuchi-ivf.or.jp,680-0003,鳥取県鳥取市覚寺63-6,有,平日9：00～18：00（木曜9：00～12：00）土曜9：00～17：00,有,
みやもと産婦人科医院,312010,鳥取県,鳥取市,35.473282,134.21817,0857-51-7717,－,680-0874,鳥取県鳥取市叶293-7,有,平日9：00～18：00土曜9：00～12：00,有,
さくらレディースクリニック田園町,312010,鳥取県,鳥取市,35.511314,134.225357,0857-25-4103,－,680-0803,鳥取県鳥取市田園町2丁目155,有,月・火・水・金 9：00～18：00木・土（第１、第３）9：00～13：00,有,
鳥取北クリニック,312010,鳥取県,鳥取市,35.527077,134.197678,0857-32-7111,－,680-0905,鳥取県鳥取市賀露町4012,有,月曜～木曜9：00～12：30、15：00～18：30土曜9：00～12：30、14：00～17：30,有,
鳥取県立厚生病院,312037,鳥取県,倉吉市,35.436028,133.840607,0858-22-8181,https://www.pref.tottori.lg.jp/kouseibyouin/,682-0804,鳥取県倉吉市東昭和町150,有,平日8:30-17:00,有,
打吹公園クリニック,312037,鳥取県,倉吉市,35.43132,133.822113,0858-22-3790,http://utsubuki-cl.com,682-0824,鳥取県倉吉市仲ノ町770,有,月・火・水・金・土9：00～18：00※その他の曜日、時間については状況により対応可能。お問い合わせください。,有,
あけしまレディースクリニック,312037,鳥取県,倉吉市,35.435104,133.835098,0858-22-6311,http://www.akeshimaclinic.jp/,682-0807,鳥取県倉吉市幸町507-18,有,月～土曜9：00－12：00及び15：00－18：00ただし、木曜日は9：00－12：00のみ日曜祝日は休診,有,
はまよしレディースクリニック,312037,鳥取県,倉吉市,35.473892,133.849304,0858-27-0701,https://www.hama-lc.com/,682-0017,鳥取県倉吉市清谷町1-248-1,有,平日（木曜除く）9：00－17：30土曜 9：00－14：00,有,
レディースクリニックひまわり小笹産婦人科,312037,鳥取県,倉吉市,35.434265,133.840561,0858-47-6060,－,682-0805,鳥取県倉吉市南昭和町27-1,有,平日 8：45～18：00（12：00～14：15は休み）木・土 8：45～12：00,有,
独立行政法人労働者健康安全機構山陰労災病院,312029,鳥取県,米子市,35.451637,133.364548,0859-33-8181,https://www.saninh.johas.go.jp/,683-8605,鳥取県米子市皆生新田1-8-1,有,平日8：15～17：00土・日・祝祭日：9：30～10：00,有,
医療法人同愛会 博愛病院,312029,鳥取県,米子市,35.455696,133.319458,0859-29-1100,https://www.hakuai-hp.jp/,683-0853,鳥取県米子市両三柳1880番地,有,平日・土・日・祝２４時間対応,有,
井田レディースクリニック,312029,鳥取県,米子市,35.425423,133.331573,0859-32-3300,－,683-0067,鳥取県米子市東町228,有,平日9：00～18：00（木曜日休診）土曜9：00～16：00,有,
中曽産科婦人科医院,312029,鳥取県,米子市,35.444923,133.339935,0859-22-5360,http://www.nakaso-tensi.jp,683-0805,鳥取県米子市西福原4-8-41,有,診療受付時間と同じ平日9：00～12：30 15：00～18：00（木曜PM休診）土曜9：00～12：30 14：30～17：00第１・３火のAMは11：30まで※受付は30分前までに,有,
母と子の長田産科婦人科クリニック,312029,鳥取県,米子市,35.448315,133.315384,0859-29-3131,http://www.nagata-clinic.net/,683-0841,鳥取県米子市上後藤8丁目5-1,有,月・火・木・金・土：9：00～18：00水：9：00～12：00,有,
ミオ・ファティリティ・クリニック,312029,鳥取県,米子市,35.427834,133.360931,0859-35-5211,http://www.mfc.or.jp,683-0008,鳥取県米子市車尾南2丁目1-1,有,平日9：00～18：30木・土9：00～12：00※時間外は病棟で対応,有,
医療法人社団脇田ウィメンズヘルスケアセンター脇田産婦人科医院,312029,鳥取県,米子市,35.428658,133.331421,0859-33-1031,http://www.wakita-obgyn.jp,683-0822,鳥取県米子市中町123番地の5,有,平日9：00～19：00木曜・土曜9：00～13：00,有,
彦名レディスライフクリニック,312029,鳥取県,米子市,35.451904,133.28775,0859-29-0159,http://hicona.jp/,683-0854,鳥取県米子市彦名町2856－3,有,月・火・水・金9：00～12：00、15：00～18：30木・土9：00～12：00,無,
KAZUKIプライベートクリニック,312029,鳥取県,米子市,35.427521,133.329773,0859-35-5179,https://kazuki-pc.com/,683-0823,鳥取県米子市加茂町2-108 SANKIビル４階,有,10：00～19：00 全日,有,
