施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
岡山赤十字病院,331015,岡山県,岡山市北区,34.635818,133.922943,086-222-8811,https://www.okayama-med.jrc.or.jp,700-8607,岡山県岡山市北区青江2-1-1,有,24時間対応可能,有,
"社会医療法人鴻仁会
セントラル・クリニック伊
島",331015,岡山県,岡山市北区,34.680717,133.903702,086-214-5678,https://www.kohjin.ne.jp,700-0017,岡山県岡山市北区伊島北町7-5,有,"平日 9:00-12:30
14:00-17:00 (初診~16:00)
土曜 9:00-12:30",有,
"岡山済生会
外来センタ-病院",331015,岡山県,岡山市北区,34.670609,133.917572,086-252-2211,https://www.okayamasaiseikai.or.jp/patient/,700-0013,"岡山県岡山市北区伊福町1丁目17-
18",有,"平日 初診 8:30-11:30
再診 8:30-11:45",有,
"医療法人 慈光苑
山崎産婦人科医院",331015,岡山県,岡山市北区,34.665733,133.915375,086-253-6663,無,700-0024,岡山県岡山市北区駅元町13-3,有,"平日 9:00-12:30、14:00-18:30
水曜日を除く
土曜 9:00-12:30 (月末のみ)",有,URL(リンク切れ)
"医療法人福寿会
みおウィメンズクリニック",331015,岡山県,岡山市北区,34.648998,133.89856,086-805-7955,http://www.miowcl.com,700-0925,"岡山県岡山市北区大元上町14-25
スタックIIIビル1F",有,"月・火・木・金曜 9:00-16:30
水・土曜 9:00-12:30",有,
みやびウロギネクリニック,331015,岡山県,岡山市北区,34.664791,133.929474,086-223-1100,http://www.miyabiurogyne.com,700-0822,岡山県岡山市北区表町1-4-1,有,月・水・木・金・土曜 9:00-17:00,有,
中村産婦人科医院,331015,岡山県,岡山市北区,34.657249,133.927628,086-232-7893,無,700-0822,岡山県岡山市北区表町3-17-33,有,"月・火・水・金曜 9:00-12:30
15:00-18:00
木曜 9:00-12:00
土曜 9:00-12:30",有,URL(リンク切れ)
井上産婦人科クリニック,331015,岡山県,岡山市北区,34.661964,133.922623,086-801-0037,http://www.inoue-gyne.jp,700-0903,"岡山県岡山市北区幸町4-12
河田ビル3階",有,"月・水・金曜 9:00-13:00
15:30-18:00
火・土曜 9:00-13:00
(木・日・祝 休診にて対応不可)","有
(ほぼ)",
"オ-クスマタニティクリ
ニック",331015,岡山県,岡山市北区,34.658371,133.887772,086-214-1103,http://oaks-mc.jp,700-0064,"岡山県岡山市北区
大安寺南町2丁目2番5号",有,"月・火・水・金曜 9:00-12:00
15:30-17:30
木曜 9:00-12:00
土曜 9:00-12:00 13:30-14:30",有,
三宅医院問屋町テラス,331015,岡山県,岡山市北区,34.644176,133.888718,086-259-4103,https://miyake-miyakegroup.jp/toiyacho,700-0977,岡山県岡山市北区問屋町15-101,有,"平日 9:00-12:00、15:00-18:00
木・土曜 9:00-12:00",有,
"ペリネイト母と子の
サテライトクリニック",331015,岡山県,岡山市北区,34.662495,133.927246,086-221-1188,http://www.perineito.com,700-0821,"岡山県岡山市北区中山下1-8-45
NTTクレド岡山ビル8F",有,"月・火曜 9:00-12:30、16:30-18:30
水・金曜 9:00-12:30、17:00-19:00
木曜 9:00-12:30
完全予約制",有,
医療法人堀産婦人科医院,331015,岡山県,岡山市北区,34.660206,133.926926,086-222-4949,http://www.sikyu.com,700-0821,岡山県岡山市北区中山下2-8-14,有,"水・土曜 9:00-12:00
(必ず電話連絡の上、受診)","有
(1名分)",
"医療法人 産婦人科
山下クリニック",331015,岡山県,岡山市北区,34.679974,133.885834,086-284-5511,https://www.ycl.jp,701-1202,岡山県岡山市北区楢津394-1,有,"月曜 9:00-12:00、16:00-19:00
火・木・金曜 9:00-12:30
16:00-19:00
土曜 9:00-13:00
日曜 9:00-12:30",有,
"医療法人
ももレディ-スクリニック",331015,岡山県,岡山市北区,34.657951,133.856049,086-903-2248,http://www.momo-lc.jp,701-0136,岡山県岡山市北区西花尻1200-3,有,"平日 9:00-12:00、15:00-18:30
土曜 9:00-12:00、15:00-17:00
水・日曜、祝日 休診",有,
"くにかたウィメンズクリ
ニック",331015,岡山県,岡山市北区,34.658482,133.881927,086-255-0080,http://www.kunikata.com,700-0065,岡山県岡山市北区野殿東町1-35,有,"月・火・水・金・土曜 9:30-12:30
15:00-18:00
木曜 9:30-12:30
日曜・祝日は休診",有,
"ウィメンズクリニック・か
みむら",331015,岡山県,岡山市北区,34.66465,133.922073,086-803-5338,http://wck-ok.sakura.ne.jp/wpwp,700-0901,"岡山県岡山市北区本町4-18
コア本町3F",有,"平日 9:00-18:00
他 応相談",有,
野上医院,331023,岡山県,岡山市中区,34.687347,133.975174,086-279-3018,無,703-8204,岡山県岡山市中区雄町490-1,有,"月・火・水・金曜 9:00-12:00
15:00-18:00
木・土曜 9:00-12:00",有,URL(リンク切れ)
"医療法人社団明和会
ペリネイト母と子の病院",331023,岡山県,岡山市中区,34.642857,133.973465,086-276-8811,http://www.perineito.com,703-8263,岡山県岡山市中区倉益203-1,有,"月~金曜 9:00-12:30、16:00-19:00
土曜 9:00-12:30",有,
医療法人 井上医院,331023,岡山県,岡山市中区,34.675747,133.971939,086-201-1515,http://www.inoue-iin.jp,703-8232,岡山県岡山市中区関22,有,"月・火・水・金曜 9:00-12:00
15:00-18:00
木・土曜 9:00-12:00",有,
"しな子レディ-スクリニッ
ク",331023,岡山県,岡山市中区,34.649559,133.955795,086-201-7772,http://www.shinako-ladiesclinic.com,703-8266,岡山県岡山市中区湊495-1,有,"月・火・水・金曜 9:00-12:00
14:30-17:00
木・土曜 9:00-12:00",有,
