施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人社団 正岡病院,341010,広島県,広島市中区,34.394981,132.448441,082-291-3366,https://www.masaoka-hp.com,730-0852,広島県広島市中区猫屋町4番6号,有,"月・水・金・土8:30-12:30,14:00-17:00/火8:30-
12:30,14:00-18:00
日曜日・祝日も含めて診療時間外でも対応可能ですが,別途
時間外料金をいただいております",有,
医療法人あかね会 土谷総合病院,341010,広島県,広島市中区,34.390396,132.451721,082-243-9191,http://www.tsuchiya-hp.jp,730-8655,広島県広島市中区中島町3-30,有,平日9:00-17:00,有,
医療法人社団 井原クリニック,341010,広島県,広島市中区,34.395569,132.457184,082-225-3360,http://www.ihara-clinic.jp,730-0011,"広島県広島市中区基町6番27号 アクア
広島センタ-街9階",有,"月・水・金10:00-13:00,14:30-18:00/木10:00-11:30,14:30-
18:00/土10:00-13:00,14:30-17:00 火曜休診",有,
医療法人 河野産婦人科クリニック,341010,広島県,広島市中区,34.394276,132.456039,082-242-1505,,730-0031,広島県広島市中区紙屋町2丁目2番25号,有,"平日9:00-13:00,15:00-18:00/土曜9:00-12:00,13:00-15:00",有,
医療法人社団 山岡産婦人科,341010,広島県,広島市中区,34.377354,132.449539,082-240-1103,,730-0814,広島県広島市中区羽衣町16番43号,有,"平日10:00-13:00,15:00-18:00/木10:00-13:00/土10:00-
15:00",有,
こうレディスクリニック,341010,広島県,広島市中区,34.386471,132.460846,082-542-0770,,730-0043,広島県広島市中区富士見町12-17,有,"平日9:00-18:00,土9:00-17:30",有,
"医療法人 婦人科・内科小松クリニッ
ク",341010,広島県,広島市中区,34.394211,132.463791,082-227-3777,http://www.komatu.org/,730-0017,"広島県広島市中区鉄砲町10-18 八丁
堀栗村ビル7F",有,"月・火・木・金9:30-12:30,14:30-18:00/水9:30-12:30/土
9:30-12:00",有,
産婦人科 長尾クリニック,341010,広島県,広島市中区,34.393433,132.466537,082-502-7002,http://www.nagao-clinic.gr.jp,730-0016,広島県広島市中区幟町14番11号 3F,有,10:00-14:00 日・祝休診,有,
木山産婦人科クリニック,341010,広島県,広島市中区,34.392139,132.458237,082-544-3155,http://kiyama-c.com/,730-0036,"広島県広島市中区袋町4-3 滝口ビル3
階",有,"月・火・水・金9:00-13:00,14:30-18:00/木9:00-13:00/土
9:00-12:30,14:00-17:00",有,
"医療法人社団はつき会 井槌産婦人
科",341010,広島県,広島市中区,34.394791,132.465012,082-221-1684,http://www.izuchi-clinic.jp,730-0017,広島県広島市中区鉄砲町9番24号,有,"平日(月・火・木・金)10:00-18:30/土曜10:00-17:00/月1
回第1日曜日10:00-13:00(変更あり・要確認)",有,
医療法人 中川産科婦人科医院,341010,広島県,広島市中区,34.397518,132.451767,082-231-2832,http://www.nakagawa.or.jp,730-0802,広島県広島市中区本川町二丁目1番16号,有,"月~金9:00-12:30,15:00-17:30
土9:00-12:30,14:30-17:00",有,
さだもりレディ-スクリニック,341010,広島県,広島市中区,34.392403,132.456451,082-242-1132,http://www.sadalc.cc,730-0051,"広島県広島市中区大手町2丁目7番2号
Balcom大手町ビル 4F",有,"月・火・木・金10:00-13:00,15:00-17:30/水・土10:00-
12:00 初診は診療終了の30分前迄の受付が必要。土曜日は
事前予約した方のみの完全予約制",有,
"医療法人社団 女性クリニック ラ
ポ-ル",341010,広島県,広島市中区,34.384727,132.451523,082-241-6009,"http://www.women-rapport-
clinic.com",730-0051,広島県広島市中区大手町5丁目 3-1,有,"月・木9:00-13:00,15:00-19:30/火・金・土9:00-
13:00,15:00-18:00 水・日曜・祝日休診",有,URL(リンク切れ)
"医療法人社団 明樟会 広島女性ク
リニック",341010,広島県,広島市中区,34.390705,132.462738,082-249-3900,"http://www.hiroshimabreastcenter.c
o.jp/fujin/",730-0029,"広島県広島市中区三川町1-20 ピンクリ
ボン39ビル4F",有,"月9:00-12:00,15:00-18:00/火・水9:00-13:00,15:00-18:00/
金9:00-13:00/土9:00-11:00",有,URL(リンク切れ)
"医療法人社団秋月会 広島中央通り
香月産婦人科",341010,広島県,広島市中区,34.389839,132.462143,082-546-2556,https://www.katsuki-medical.com/,730-0029,"広島県広島市中区三川町7-1香月メディ
カルビル6F",有,"月・火・木・金8:30-18:30/水・土9:00-12:00,14:00-17:00",有,
ウィミンズ・ヴィセオ クリニック広島,341029,広島県,広島市東区,34.398518,132.478363,082-568-5177,https://www.womens-viseo.com,732-0053,"広島県広島市東区若草町11-2グラン
ア-クテラス3階",有,"平日9:00-12:30,15:00-18:30/土曜9:00-12:30,15:00-17:00
休診日 木曜・日曜・祝日",有,
JR広島病院,341029,広島県,広島市東区,34.401321,132.477203,082-262-1171,,732-0057,広島県広島市東区二葉の里3-1-36,有,"平日9:00-11:30,13:00-15:00",無(院外処方のみ対応),
"医療法人社団 日の浦会 佐々木産
婦人科",341029,広島県,広島市東区,34.437042,132.485992,082-229-4008,https://www.sasaki-lcl.com,732-0009,広島県広島市東区戸坂千足2丁目9-25,有,"月・火・水・金9:00-13:00,15:00-18:00/木・土9:00-13:00",有,
医療法人松本クリニック,341037,広島県,広島市南区,34.395363,132.475998,082-264-7711,"http://matsumotowomens-
clinic.webmedipr.jp/",732-0823,"広島県広島市南区猿猴橋町2-11 駅前
クリニックビル5F",有,"月・火・水・金・土9:30-12:30,14:30-16:00",有,URL(リンク切れ)
澤崎産婦人科,341037,広島県,広島市南区,34.392475,132.474564,082-261-2168,http://sawasaki-sanfujinka.com/,732-0824,広島県広島市南区的場町二丁目2-15,有,"月・火・水・金9:00-12:30,15:00-18:00/木9:00-12:30/土
9:00-12:30,15:00-17:00",有,
新甲さなえ女性クリニック,341037,広島県,広島市南区,34.385925,132.475906,082-568-2234,http://www.sanae-clinic.com,732-0814,"広島県広島市南区段原南1-3-53
イ-ストビル 2階",有,"月・火・水・金10:00-13:00,15:00-18:00/土10:00-15:00",有,
母と子のまきクリニック,341037,広島県,広島市南区,34.395546,132.472244,082-264-1105,https://www.motherandfetusmc.com,732-0828,"広島県広島市南区京橋町2-24 ロイヤ
ルエイト広島駅前3F",有,"月・火・木・金・土9:30-12:30,13:30-18:00",有,
医療法人社団 鈴峰今中医院,341045,広島県,広島市西区,34.368992,132.374573,082-277-1223,http://www.kawamura.gr.jp,733-0842,広島県広島市西区井口4-2-31,有,"月・火・水・金9:00-12:00,15:00-18:00/ 木・土9:00-12:00",有,URL(リンク切れ)
松尾産婦人科内科医院,341045,広島県,広島市西区,34.41156,132.452881,082-237-1506,http://www.ccv.ne.jp/home/pinetree,733-0003,広島県広島市西区三篠町1-5-7,有,"月・火・水・金9:00-12:30,15:30-19:00/木・土9:00-12:30",有,
医療法人社団秋月会 香月産婦人科,341045,広島県,広島市西区,34.393341,132.426041,082-272-5588,http://www.katsuki-clinic.com,733-0812,"広島県広島市西区己斐本町2丁目14番2
4号",有,"月・火・水・金8:00-11:00,14:00-16:00/木8:00-11:00/土
8:00-11:45 (新規の患者様は受付時間15分前までの受付と
させていただきます)",有,
"医療法人社団昭信会 頼島産婦人科
病院",341053,広島県,広島市安佐南区,34.442554,132.468765,082-874-0523,http://www.yorishima-hospital.jp/,731-0113,"広島県広島市安佐南区西原5丁目11-1
8",有,"月・水・金8:30-12:00,14:30-17:30/火・木・土8:30-12:00",有,
"広島医療生活協同組合 広島共立病
院",341053,広島県,広島市安佐南区,34.460533,132.475372,082-879-1111,http://www.hiroshimairyo.or.jp/,731-0121,"広島県広島市安佐南区中須二丁目20-2
0",有,"月・火・木8:30-16:00/水・金・土(奇数週のみ)8:30-
11:30",無,
舛本産婦人科医院,341053,広島県,広島市安佐南区,34.472721,132.450409,082-878-1111,www.masumoto-ladys-clinic.jp,731-0141,広島県広島市安佐南区相田2-7-22,有,"(午前)月~土 9:00-12:30/
(午後)月・水・金15:00-17:30",有,
緑井レディ-スクリニック,341053,広島県,広島市安佐南区,34.46632,132.476212,082-831-2300,http://www.midorii-clinic.jp,731-0103,"広島県広島市安佐南区緑井一丁目5-1
緑井スカイステ-ジ3F302号",有,"月・火・水・金9:30-13:00,14:30-17:30/土9:30-
12:00,13:00-14:30",有,
井上産婦人科クリニック,341053,広島県,広島市安佐南区,34.442833,132.401382,082-848-7010,,731-3167,"広島県広島市安佐南区大塚西3-11-3
6",有,"平日9:00-12:30,15:00-18:00(木曜以外)/土曜9:00-12:30
木曜・日曜休診",有,
