施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
後藤産婦人科医院,352080,山口県,岩国市,34.167759,132.181778,0827-43-3855,,741-0062,山口県岩国市岩国1丁目20番26号,有,月、火、水、金:9:00~12:00、 14:30~17:30土:9:00~12:00,有,
友田クリニック,352080,山口県,岩国市,34.16708,132.220856,0827-21-0913,,740-0017,山口県岩国市今津1丁目11-28,有,月、火、水、金:10:00~17:30木、土:9:00から11:30要予約,有,
独立行政法人国立病院機構岩国医療センター,352080,山口県,岩国市,34.143982,132.203644,0827-34-1000,https://iwakuni.hosp.go.jp/,740-8510,山口県岩国市愛宕町1丁目1-1,有,24時間,無(院外処方のみ対応),
英クリニック,352071,山口県,下松市,34.013058,131.866821,0833-41-7788,,744-0015,山口県下松市大手町2-4-11,有,平日:10:00~16:00(金:15:00まで),有,
山下ウィメンズクリニック,352071,山口県,下松市,34.02058,131.855774,0833-48-0211,http://ivf-ywc.tumblr.com/,744-0075,山口県下松市瑞穂町1丁目6番10号,有,月、火、木、金:8:30~12:3014:00~18:00水、土:8:30~12:30,有,
医療法人 至誠会 梅田病院,352101,山口県,光市,33.972855,131.916367,0833-71-0084,https://umeda-hospital.or.jp,743-0022,山口県光市虹ヶ浜3丁目6番1号,有,24時間対応,有,
医療法人三生会 みちがみ病院,352101,山口県,光市,33.979031,131.921997,0833-72-3332,https://michigami.or.jp,743-0023,山口県光市光ケ丘2番5号,有,月~土: 8:30-12:3014:30-18:00,有,
高杉レディースクリニック,352152,山口県,周南市,34.073914,131.766617,0834-64-7700,http://www.takasugi-lc.com,746-0012,山口県周南市政所1丁目18番15号,有,平日:9:00~18:00木:9:00~12:30土:9:00~16:00(12:30~16:00:昼休み),有,
津永産婦人科,352152,山口県,周南市,34.049282,131.809952,0834-21-8255,,745-0012,山口県周南市川端町2-30,有,月~水、金、土:9:00~18:00木:9:00~12:00,有,
独立行政法人地域医療機能推進機構徳山中央病院,352152,山口県,周南市,34.047676,131.83287,0834-28-4411,https://tokuyama.jcho.go.jp/,745-8522,山口県周南市孝田町1番1号,有,終日(24時間),有,
ながやレディースクリニック,352039,山口県,山口市,34.138386,131.445053,083-921-7753,,753-0851,山口県山口市黒川475-1,有,平日・土曜(水曜日を除く)9:00~17:00,有,
アベ産婦人科クリニック,352063,山口県,防府市,34.049522,131.574112,0835-22-0385,http://www.abe-sanfujinka.com,747-0811,山口県防府市車塚町10-25,有,平日:9:00~17:00木・土:9:00~12:00,有,
おがさまきレディースクリニック,352063,山口県,防府市,34.048306,131.536545,0835-26-1107,http://ogsmk-ladiesclinic.jp/,747-0046,山口県防府市植松559‐1コスパメディカルビル2F,有,"月火水金曜:8:30~17:30第1,3,5土曜:8:30~16:30",有,
手山産婦人科,352063,山口県,防府市,34.055679,131.570862,0835-22-0188,,747-0035,山口県防府市栄町1丁目8番7号,有,24時間対応,有,
山口県立総合医療センター,352063,山口県,防府市,34.072056,131.543915,0835-22-4411,https://www.ymghp.jp/,747-8511,山口県防府市大字大崎10077番地,有,当院の診療時間内(平日8:30-17:15),有,
永井レディースクリニック,352020,山口県,宇部市,34.002438,131.217758,0836-44-1644,0,759-0209,山口県宇部市厚南北五丁目2-45,有,平日9:00-12:30、14:30-18:00木9:00-12:30、土9:00-13:00,有,
なわたクリニック,352020,山口県,宇部市,33.995636,131.238831,0836-39-8737,http://www.nawata-clinic.com,759-0202,山口県宇部市大字沖ノ旦686-1,有,平日:9:0~12:30、14:00~17:30月、土:9:00~12:30,有,
針間産婦人科,352020,山口県,宇部市,33.949451,131.254425,0836-21-2373,http://www.noriko-cl.com/,755-0031,山口県宇部市常磐町2丁目1-44,有,平日:8:30~17:30木、土:8:30~12:00,有,
おがた婦人科クリニック,352012,山口県,下関市,33.960049,130.943024,083-223-5080,http://www.ogatafujinka.com/,750-0007,山口県下関市赤間町3-5,有,平日:9:00~18:00土曜:9:00~16:00,有,
地方独立行政法人下関市立市民病院,352012,山口県,下関市,33.966194,130.930145,083-231-4111,https://shimonosekicity-hosp.jp/,750-8520,山口県下関市向洋町1-13-1,有,平日9:00-17:15,有,
山口県済生会豊浦病院,352012,山口県,下関市,34.176769,130.937637,083-774-0511,https://www.toyoura-saiseikai.jp/,759-6302,山口県下関市豊浦町大字小串10007番3,有,平日8:30-17:00土日祝 8:30-12:00,有,
医療法人社団野口産婦人科医院,,,,34.014469,130.920807,083−258−2277,http://ogyaaaa3.com,759−6614,山口県下関市梶栗町3−7−8,有,24時間相談対応(時間外、深夜、休日加算あり),有,郵便番号
藤野産婦人科医院,352012,山口県,下関市,33.986881,130.933289,083-252-2200,http://www.tip.ne.jp/fujino/,751-0831,山口県下関市大学町1丁目4-24,有,月、火、水、金:9:00~12:30、14:00~18:00木、土:9:00~12:30,有,
なかむらレディースクリニック,352047,山口県,萩市,34.417027,131.400589,0838-22-1557,http://www.pwait.jp/nakamura/,758-0034,山口県萩市大字熊谷町108番地,有,平日:9:00-11:30 15:00-17:30土曜:9:00-12:30,有,
