施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
徳島市民病院,362018,徳島県,徳島市,34.082062,134.562668,088-622-5121,http://www.city.tokushima.tokushima.jp/siminbyoin/,770-0812,徳島県徳島市北常三島町2丁目34,有,24時間,有,
徳島県立三好病院,362085,徳島県,三好市,34.028446,133.817841,0883-72-1131,http://www.miyoshi-hosp.jp/,778-8503,徳島県三好市池田町シマ815番地2,有,平日8時30分~17時15分,有,
美馬とし子レディースクリニック,362018,徳島県,徳島市,34.064304,134.548721,088-653-1912,,770-0921,徳島県徳島市栄町2の15,有,平日9時~12時30分、15時30分~18時(水曜日 午後休み)土曜日9時~12時30分 15時30分~17時,有,
なかたに産婦人科,363413,徳島県,名西郡石井町,34.070229,134.447815,088-674ー1295,https://www.nakatani1103.com/,779-3233,徳島県名西郡石井町石井字石井554-7,有,平日9時30分~12時、14時30分~18時(水曜日 午後休み)土曜日9時30分~12時 14時30分~16時30分,有,
秦産婦人科内科,364037,徳島県,板野郡藍住町,34.113438,134.492294,088-692ー5758,,771-1211,徳島県板野郡藍住町徳命140ー2,有,月曜日~土曜日 8時~18時,有,
西条産婦人科,362077,徳島県,美馬市,34.068275,134.182053,0883-52-2002,www.saijo-obgy.com,779-3742,徳島県美馬市脇町字西赤谷204,有,月、火、木、金曜日 10時~16時 水、土曜日 10時~13時,有,
伊月健診クリニック,362018,徳島県,徳島市,34.070042,134.548691,088-653-2315,http://www.itsukikenshin.jp/,770-0911,徳島県徳島市東船場町1丁目8番地,有,火、金、第1・3・5土曜日 9時~17時,有,
木下産婦人科内科医院,362042,徳島県,阿南市,33.911213,134.663345,0884-23-3600,,774-0014,徳島県阿南市学原町上水田11-7,有,平日9時~12時、14時~17時30分(第2・4木曜日 9時~12時第1・3・5木曜日休診) 土曜日9時~12時 14時~15時30分,有,
中山産婦人科,364037,徳島県,板野郡藍住町,34.128536,134.477249,088-692-0333,,771-1221,徳島県板野郡藍住町東中富字長江傍示5-6,有,平日・土曜日9時~12時30分 15時~18時30分 日・祝日 10時~11時,有,
春名産婦人科,362018,徳島県,徳島市,34.056141,134.545197,088-652-2538,,770-8063,徳島県徳島市南二軒屋町1ー2ー55,有,月、火、水、金曜日 9時~12時30分 15時~18時30分 土曜日 9時~12時30分 15時~17時,有,
メイプルクリニック高橋産婦人科,362018,徳島県,徳島市,34.071281,134.567932,088-652ー7077,,770-0868,徳島県徳島市福島二丁目2番8号,有,平日9時~18時(木曜日9時~12時30分) 土曜日9時~18時,有,
レディースクリニック兼松産婦人科,362026,徳島県,鳴門市,34.175365,134.607635,088-685-1103,kanematu-clinic.jp,772-0003,徳島県鳴門市撫養町南浜字東浜601,有,月、火、水、金、土曜日 9時~18時30分 木曜日 9時~12時30分,有,
蕙愛レディースクリニック,362018,徳島県,徳島市,34.076675,134.536697,088-653-1201,http://www.keiai-hp.com,770-0023,徳島県徳島市佐古3番町4ー6,有,月~土曜日 8時~18時,無,
住吉レディースクリニック,362034,徳島県,小松島市,34.006104,134.588013,0885-32-0836,http://www.komatsushima.ne.jp/anzan/,773-0005,徳島県小松島市南小松島町8-3,有,平日9時~17時 木・土曜日 9時~12時,少々有,
国府藤田産婦人科,362018,徳島県,徳島市,34.069096,134.480148,088-642-1026,,779-3124,徳島県徳島市国府町中171-4,有,月、火、水、金、土曜日 9時~12時,有,
梶産婦人科,362018,徳島県,徳島市,34.073177,134.552948,088-622-1680,https://www.kaji-sanfujinka.com,770-0832,徳島県徳島市寺島本町東2-22-2,有,月~土曜日 9時~12時30分 14時30分~18時(木曜日は9時~12時30分のみ),有,
つるぎ町立半田病院,364681,徳島県,美馬郡つるぎ町,34.041969,134.051361,0883-64-3145,http://www.handa-hospital.jp,779-4401,徳島県美馬郡つるぎ町半田字中藪234-1,有,24時間,病院前院外薬局に有,
だいとうレディースクリニック,362026,徳島県,鳴門市,34.189743,134.60434,088-683-1588,www.daito-lc.com,772-0011,徳島県鳴門市撫養町大桑島字北浜71,有,平日8時30分~12時30分、14時30分~18時(木曜日除く) 土曜日8時30分~12時30分,有,
祖川産婦人科クリニック,362018,徳島県,徳島市,34.088081,134.539169,088-633-1133,http://www.sogawa.jp,770-0003,徳島県徳島市北田宮3丁目5ー65,有,原則24時間,有,
しんくら女性クリニック,362018,徳島県,徳島市,34.069767,134.561844,088-602-2088,http://shinkurajyosei-clinic.jp/,770-0855,徳島県徳島市新蔵町3丁目59,有,月、火、木、金、土9時~12時30分 14時~18時(ただし第1・3・5木曜日は9時~12時30分のみ) 水(9時~12時30分),有,
