施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
公立学校共済組合四国中央病院,382132,愛媛県,四国中央市,34.010975,133.581512,0896-58-3515,http://www.shikoku-ctr-hsp.jp/,799-0193,愛媛県四国中央市川之江町2233,有,24時間対応可能,有,
社会医療法人石川記念会HITO病院,382132,愛媛県,四国中央市,33.99065,133.586411,0896-58-2222,http://hitomedical.co-site.jp/,799-0112,愛媛県四国中央市上分町788-1,有,"月・金 9:30~11:30、15:00
~16:30
火・水・木・第1土・第3土 9:
30~11:30",有,
いのうえレディ-スクリニック,382132,愛媛県,四国中央市,33.979416,133.540314,0896-23-3651,,799-0405,愛媛県四国中央市三島中央4丁目4番4号,有,"月・火・木・金 10:00~13:00
15:00~18:30
水 15:00~18:30
土 10:00~13:00",有,
鎌田産婦人科,382051,愛媛県,新居浜市,33.976971,133.352844,0897-45-3800,,792-0896,愛媛県新居浜市阿島1丁目1番56号,有,"月~水9:00~13:00、14:00~
18:00
金~土9:00~13:00、14:00~
18:00
木、日、祭日 休み",有,
新谷ウイメンズクリニック,382051,愛媛県,新居浜市,33.959793,133.283371,0897-37-2688,https://swcl.jp/,792-0025,愛媛県新居浜市一宮町1丁目12-56,有,"月、金 9:00~13:00、15:00
~18:30
水 9:00~13:00、16:00~
18:30
火、木、土 9:00~13:00",有,
医療法人サカタ産婦人科,382060,愛媛県,西条市,33.930359,133.204285,0897-55-1103,https://sakata-mc.com/,793-0006,愛媛県西条市下島山甲1453,有,"平日9:00~18:00
木曜9:00~12:00
土曜9:00~16:00",有,
医療法人こにしクリニック,382051,愛媛県,新居浜市,33.955139,133.2883,0897-33-1135,http://www.konishi-clinic.jp/,792-0811,愛媛県新居浜市庄内町1-13-35,有,"月、火、水、金曜日8:30-17:00
土曜日8:30-16:30",有,
一般財団法人積善会十全総合病院,382051,愛媛県,新居浜市,33.959061,133.274094,0897-33-1818,https://jyuzen.jp/,792-8586,愛媛県新居浜市北新町1番5号,有,"月・水・金曜日8:45-16:00
火・木・土曜日8:45-12:00
※土曜日は第1・3・5週のみ",有,
独立行政法人労働者健康安全機構 愛媛労災病院,382051,愛媛県,新居浜市,33.974522,133.291885,0897-33-6191,https://www.ehimeh.johas.go.jp/,792-8550,愛媛県新居浜市南小松原町13-27,有,"平日 8:15-17:00
(上記以外の時間外対応、休日対
応可、24時間対応)",無,
社会医療法人 同心会 西条中央病院,382060,愛媛県,西条市,33.9291,133.181473,0897-56-0300,https://www.saijo-c-hospital.jp/,793-0027,愛媛県西条市朔日市804番地,有,"平日 8:30-17:15
第2・第4土曜日 8:30-13:00
・次の日中までに72時間を超える
場合は対応できない。
・12/30-1/3と婦人科常勤医師が
不在時は対応できない。",有,
