施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
あき総合病院 掲載,392030,高知県,安芸市,33.505943,133.897995,0887-34-3111,http://www.pref.kochi.lg.jp/aki/,784-0027,高知県安芸市宝永町3-33,有,平日 ８：３０～１５：３０,有,
浅井産婦人科・内科,392014,高知県,高知市,33.580479,133.575897,088-846-3131,,781-8132,高知県高知市一宮東町1-7-7,有,平日 ８：３０～１７：００木 ８：３０～１２：００土 ８：３０～１５：００,有,
梅原産婦人科,392014,高知県,高知市,33.508877,133.544144,088-842-0700,,781-0253,高知県高知市瀬戸南町2-1-10,有,平日（月・火）９：００～１８：００（水・金）９：００～１９：００土 ９：００～１８：００日 ９：００～１２：００,有,
高知大学医学部附属病院,392049,高知県,南国市,33.594589,133.614716,088-880-2383,http://www.kochi-u.ac.jp/kms/hsptl/index.html,783-8505,高知県南国市岡豊町小蓮185-1,有,月・火・木９：００～１１：００,有,
高知県・高知市病院企業団立高知医療センター,392014,高知県,高知市,33.533272,133.585495,088-837-3000,https://www2.khsc.or.jp,781-8555,高知県高知市池2125-1,有,常時（夜間休日は対応困難な場合あり）,有,
高知県立幡多けんみん病院,392081,高知県,宿毛市,32.965355,132.805847,0880-66-2222,http://www.pref.kochi.lg.jp/hata/,788-0785,高知県宿毛市山奈町芳奈3-1,有,平日 ８：３０～１７：００,有,
国見産婦人科,392014,高知県,高知市,33.557362,133.532623,088-822-5954,www13.plala.or.jp/kunimi_baby/,780-0870,高知県高知市本町4-2-30,有,月・火・木・土 ９：００～１３：００１５：００～１７：００水・日 休,有,
高須どい産婦人科,392014,高知県,高知市,33.560413,133.590042,088-882-1228,http://takasudoi.com/,781-8104,高知県高知市高須2-18-17,有,平日 ８：３０～１２：００１４：００～１６：００水曜日 ８：３０～１２：３０火・木 １７：００～１８：００診療しています,有,
田村産婦人科,392014,高知県,高知市,33.55624,133.537125,088-823-1110,info@tamura.or.jp,780-0862,高知県高知市鷹匠町1-1-10,有,平日 ９：００～１７：２０土曜 ９：００～１７：００祝祭日 ９：００～１１：３０,有,
愛宕病院,392014,高知県,高知市,33.565369,133.536972,088-823-3301,http://atago-hp.or.jp,780-0051,高知県高知市愛宕町1丁目1番13号,有,平日 ８:００～１７：００土曜 ８:００～１１:００,有,
小林レディスクリニック,392014,高知県,高知市,33.542858,133.542542,088-805-1777,https://koba-lc.gr.jp,780-8018,高知県高知市竹島町13-1うしおえﾒﾃﾞｨｶﾙﾋﾞﾙｲｰｱ3F,有,月・火・木・金 ９：１５～１２：４５１５：００～１８：４５水 ９：１５～１２：４５土 ９：１５～１２：４５１５：００～１６：１５,有,
にこにこレディスクリニック,392014,高知県,高知市,33.534546,133.481689,088-840-2525,,780-8085,高知県高知市大谷公園町16-30,有,月・火・木・金 ９：００～１９：００水 ９：００～１３：００土 ９：００～１７：００,有,
はまだ産婦人科,392014,高知県,高知市,33.562771,133.589386,088-882-0777,www.hamada-hp.or.jp,781-8104,高知県高知市高須3丁目1-28,有,平日 ９：００～１８：００木 ９：００～１２：３０土 ９：００～１６：００,有,
レディスクリニックコスモス,392014,高知県,高知市,33.569466,133.554886,088-861-6700,www.lccosmos.jp,780-0072,高知県高知市杉井流6番27号,有,（平日・土）９：００～１８：００（水）９：００～１３：００,有,
内田産婦人科,392014,高知県,高知市,33.570068,133.520889,088-873-0010,,780-0985,高知県高知市南久万39-2,有,月・火・水・金 ９：００～１２：００１４：００～１６：３０木・土 ９：００～１２：００,有,
毛山病院,,,,33.559536,133.556976,088-883-0515,https://keyama-clinic.com,780-0806,高知県高知市知寄町1丁目2-2,有,月～水・金 ８：３０～１７：３０木 ８:３０～１３：００土 ８：３０～１６：３０,有,緯度経度
山﨑病院,394033,高知県,高岡郡越知町,33.532627,133.250687,0889-26-1123,yamasaki@yamasaki.or.jp,781-1301,高知県高岡郡越知町越知甲2041-3,無,平日 ８：３０～１７：３０土曜 ８：３０～１２：３０,有,
