施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人 原三信病院,401323,福岡県,福岡市博多区,33.601639,130.405167,092-291-3434,https://www.harasanshin.or.jp,812-0033,福岡県福岡市博多区大博町1-8,有,平日9:00~16:00,有,
"医療法人大成会 福岡記念
病院",401374,福岡県,福岡市早良区,33.585087,130.362473,092-821-4731,http://www.kinen.jp/,814-8525,福岡県福岡市早良区西新1-1-35,有,"平日8:30~17:00
土8:30~12:00",有,
"医療法人社団水光会 宗像
水光会総合病院",,,,33.761024,130.491592,0940-34-3111,http://www.suikokai.or.jp/,811-32098,福岡県福津市日蒔野5-7-1,有,"平日・土曜8:30~18:00
(夜間・休日も対応可能の場合あり)",有,郵便番号
有松病院,402273,福岡県,嘉麻市,33.609108,130.724289,0948-42-1108,http://www.mediqube.com/arimatsu/usr/pc/,820-0206,福岡県嘉麻市鴨生824,有,"月・火・水・金・第2土・第4土
9:00~17:30
水・第1土・第3土・第5土9:00~12:30",有,
社会保険田川病院,402060,福岡県,田川市,33.624187,130.798813,0947-44-0460,http://www.s-tagawa-hp.tagawa.fukuoka.jp/,826-8585,福岡県田川市大字上本町10-18,有,平日8:30~17:00,有,
田川市立病院,402060,福岡県,田川市,33.660782,130.798996,0947-44-2100,http://hospital.city.tagawa.fukuoka.jp/,825-8567,福岡県田川市大字糒1700-2,有,"平日8:30~11:00
(上記以外の場合は要相談)",有,
"独立行政法人地域医療機能
推進機構 久留米総合病院",402036,福岡県,久留米市,33.318832,130.513504,0942-33-1211,https://kurume.jcho.go.jp,830-0013,福岡県久留米市櫛原町21,有,平日8:00~17:00,有,
宮部病院,406473,福岡県,築上郡築上町,33.651657,131.064209,0930-56-0038,-,829-0311,福岡県築上郡築上町大字湊336,有,"平日9:00~17:00
土9:00~12:30",有,URL(リンク切れ)
"健和会
大手町病院",,,,33.875828,130.871414,093-592-5511,https://otemachi.kenwakai.gr.jp/,803-8534,"福岡県北九州市小倉北区大手町15-
1",有,24時間,有,郵便番号
"地方独立行政法人北九州市
立病院機構 北九州市立八
幡病院",401080,福岡県,北九州市八幡東区,33.864655,130.796036,093-662-6565,https://www.kitakyu-cho.jp/yahata/,805-8534,"福岡県北九州市八幡東区尾倉2-6-
2",有,平日8:30~17:00,有,
エンゼル病院,401099,福岡県,北九州市八幡西区,33.867657,130.725342,093-601-3511,http://www.angel-wh.jp/,807-0828,"福岡県北九州市八幡西区友田1-11
-1",有,"平日8:30~17:00
土8:30~13:00",有,
"医療法人社団わかば会 和
白ヶ丘レディ-スクリニッ
ク",401315,福岡県,福岡市東区,33.693115,130.433426,092-605-3511,http://www.w-lc.net/,811-0213,福岡県福岡市東区和白丘2-2-45,有,"平日9:00~18:00
土9:00~13:00",有,URL(リンク切れ)
"医療法人 青葉レディ-ス
クリニック",401315,福岡県,福岡市東区,33.64278,130.441223,092-663-8103,http://aoba-ladies.jp,813-0036,福岡県福岡市東区若宮5-18-21,有,24時間,有,
"医療法人エスダブリュシ-
真田産婦人科麻酔科クリ
ニック",401315,福岡県,福岡市東区,33.657177,130.439453,092-681-0177,http://www.sanada-cl.com/,813-0044,福岡県福岡市東区千早6-6-16,有,24時間,有,
"医療法人エスエイエム 原
田レディ-スクリニック",401323,福岡県,福岡市博多区,33.604286,130.425598,092-621-3116,-,812-0041,福岡県福岡市博多区吉塚2-4-3,有,"月・木・金9:00~13:00、
14:00~16:00
火・土9:00~13:00",有,URL(リンク切れ)
"産婦人科まつやまクリニッ
ク",401323,福岡県,福岡市博多区,33.595142,130.408936,092-282-6622,-,812-0025,"福岡県福岡市博多区店屋町4-16土
屋ビル4F",有,"平日(木除く)10:00~12:30、
14:30~17:30
土10:00~12:30、14:30~16:30",有,URL(リンク切れ)
千代診療所,401323,福岡県,福岡市博多区,33.606804,130.410202,092-651-0726,-,812-0044,"福岡県福岡市博多区千代5-11-3
8",有,"平日8:00~11:30、
12:30~16:00
土8:00~11:30",無,URL(リンク切れ)
博多セントラルクリニック,401323,福岡県,福岡市博多区,33.594238,130.414703,092-263-7121,https://hakata-central.jp/,812-0037,"福岡県福岡市博多区御供所町1-9
博多セントラルビル2F",有,"平日10:00~13:00、
14:30~17:30
土(第2、第4のみ)10:00~12:30",有,
博多レディスクリニック,401323,福岡県,福岡市博多区,33.586468,130.417282,092-474-5700,-,812-0011,"福岡県福岡市博多区博多駅前4-3-
1 イルハグランデ1階",有,"平日10:00~14:00、
16:00~18:00
土10:00~13:00",有,URL(リンク切れ)
福岡大学博多駅クリニック,401323,福岡県,福岡市博多区,33.58884,130.419357,092-435-1011,https://www.fumc.fukuoka-u.ac.jp/,812-0012,"福岡県福岡市博多区博多駅中央街9-
1 KITTE博多8階",有,火・水・木10:00~14:00,無,URL(リンク切れ)
福嶋クリニック,401323,福岡県,福岡市博多区,33.603203,130.423096,092-621-8866,http://www.fukushima-clinic.jp/,812-0041,"福岡県福岡市博多区吉塚1-14-2
3",有,"平日9:00~17:30
土9:00~12:30",有,
森田レディスクリニック,401323,福岡県,福岡市博多区,33.561718,130.446991,092-588-7611,https://www.morita-ladiesclinic.com/,812-0894,"福岡県福岡市博多区諸岡1-23-1
9",有,"平日(木曜は午前のみ)
9:30~12:00、14:00~17:30
土9:30~14:30",有,
郁レディ-スクリニック,401331,福岡県,福岡市中央区,33.584263,130.390106,092-406-3019,http://iku-ladiesclinic.com/,810-0023,"福岡県福岡市中央区警固2-17-3
0",有,"平日(木休診)9:30~12:30、
15:30~18:30
土9:30~12:30、14:00~15:30
(木・日祝休診)",有,
