施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
地方独立行政法人佐賀県医療センター好生館,412015,佐賀県,佐賀市,33.2384,130.265854,0952-24-2171,http://www.koseikan.jp,840-8571,佐賀県佐賀市嘉瀬町中原400番地,有,常時可,有,
医療法人 おおくま産婦人科,412015,佐賀県,佐賀市,33.281994,130.288849,0952-31-6117,http://www.ookuma-ladiesclinic.com/,849-0921,佐賀県佐賀市高木瀬西2丁目10番5号,有,平日・土曜 9:00~17:30,有,
医療法人實生会 池田産婦人科,412015,佐賀県,佐賀市,33.223743,130.362045,0952-47-3541,http://www.ikeda-sanfujinka.info/,840-2105,佐賀県佐賀市諸富町諸富津431-4,有,平日 9:00-18:00土曜 9:00-12:00,有,
医療法人白水レディースクリニック,412031,佐賀県,鳥栖市,33.371918,130.514999,0942-83-8383,http://www.shiramizu.or.jp,841-0003,佐賀県鳥栖市本通町二丁目882番地7,有,月・火・水・木・金・土 9:00~13:00月・火・水・木・金 15:00~18:00(受付は17:30まで),有,
夏秋レディースクリニック,412023,佐賀県,唐津市,33.449837,129.969604,0955-75-0840,,847-0013,佐賀県唐津市南城内2の8,有,平日 9:00~17:30土・水 9:00~12:30,有,
医療法人虹人会 たなべクリニック産科婦人科,412023,佐賀県,唐津市,33.451351,129.965134,0955-74-4171,www.tanabeclinic.com,847-0056,佐賀県唐津市坊主町550-1,有,月~水・金・土9:00~12:30 14:00~17:30,有,
医療法人銀杏会 岸クリニック,414018,佐賀県,西松浦郡有田町,33.184071,129.875076,0955-42-2833,http://kishi-clinic.net/,844-0018,佐賀県西松浦郡有田町本町丙967番地1,有,原則24時間対応,有,
大隈レディースクリニック,414247,佐賀県,杵島郡江北町,33.235771,130.151459,0952-86-2567,www.ohkuma-lc.net,849-0501,佐賀県杵島郡江北町山口1522-1,有,月・金 9:00~12:00 14:00~18:00火 9:00~12:00 15:00~18:00水・土 9:00~12:00,有,
医療法人博愛会庄野真由美レディースクリニック,412015,佐賀県,佐賀市,33.271824,130.307953,0952-20-5550,http://www.shono-ladiesclinic.jp,849-0919,佐賀県佐賀市兵庫北2-30-26,有,平日 9:00~17:30土曜 9:00~12:30,有,
産婦人科なかなみクリニック,412015,佐賀県,佐賀市,33.243206,130.315475,0952-28-5277,http://www.nakanami-cl.com/,840-0015,佐賀県佐賀市木原1-24-38,有,月・水 9:00~12:30 15:00~17:30火・金 9:00~12:30 15:00~18:30木 9:00~12:30土 9:00~14:30,有,
かたふち産婦人科,414255,佐賀県,杵島郡白石町,33.180016,130.140396,0952-84-6133,http://www.katafuchi.jp/info,849-1106,佐賀県杵島郡白石町廿治1065-12,有,8:30~12:30(月~土) 14:00~18:00(月火木金) 14:00~16:30(土),有,
医療法人daysすこやか女性クリニック,412015,佐賀県,佐賀市,33.255013,130.302048,0952-20-1671,http://sukoyaka-jyosei.p2.weblife.me,840-0826,佐賀県佐賀市白山2-7-1エスプラッツ2階,有,月水 8:45-12:45 14:00-17:15 火土8:45-12:45 木10:00-12:45 14:00-17:15 金8:45-12:45 14:00-15:45,有,
谷口眼科婦人科,412066,佐賀県,武雄市,33.187374,129.992661,0954-23-3170,http://eiseikai-artclinic.com/,843-0022,佐賀県武雄市武雄町武雄385-2,有,9:00~12:00 14:00~17:30土曜午後、日曜・祝日休診,有,
