施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
あいウ-マンズクリニック,422010,長崎県,長崎市,32.747929,129.872604,095-818-5318,https://www.ai-woman.jp/,850-0036,長崎県長崎市五島町5-38 五島町中村ビル1F,有,"月、火、水、金 9:00~13:00、14:30~19:00
木 9:00~13:00
土 9:00~17:00",有,
いまむらウィミンズクリニック,422010,長崎県,長崎市,32.737907,129.871017,095-824-2075,http://imamura-womens-clinic.com/,850-0918,長崎県長崎市大浦町1-26,有,"月、火、水、金 9:00~12:30、14:00~18:00
木、土 9:00~13:00
※再診においてはこの限りではない",有,
岡本ウ-マンズクリニック,422010,長崎県,長崎市,32.744549,129.874725,095-820-2864,https://www.okamotoclinic.gr.jp/,850-0861,長崎県長崎市江戸町7-1,有,"月、火、水、木、金 9:00~18:00
土 9:00~13:00",有,
奥田産婦人科医院,422010,長崎県,長崎市,32.76976,129.865753,095-844-0489,,852-8117,長崎県長崎市平野町11-9,有,"月、水、金 9:00~12:30、14:00~18:00
火、木、土 9:00~12:30",有,
医療法人 小濱産婦人科医院,422010,長崎県,長崎市,32.74139,129.880081,095-822-1847,http://www.obama-obgy-clinic.net/,850-0902,長崎県長崎市丸山町1-5,有,"月、火、水、金 9:00~12:00、14:00~18:00
木、土 9:00~12:00",有,
医療法人 倉田醫院内科婦人科,422010,長崎県,長崎市,32.782185,129.871002,095-843-8211,,852-8125,長崎県長崎市小峰町3-6,有,"月、火、水、金 9:00~18:00
木 9:00~12:30
土 9:00~14:00",有,
医療法人 しもむら産婦人科,422010,長崎県,長崎市,32.746349,129.881226,095-821-3541,,850-0851,長崎県長崎市古川町8-11,有,"月、木、金 9:00~12:00、14:00~18:00
火、水、土 9:00~14:00",有,
杉田レディ-スクリニック,422010,長崎県,長崎市,32.774166,129.862274,095-849-3040,https://sugita-lc.jp/,852-8118,長崎県長崎市松山町3-94,有,"月、火、水、金 9:00~11:30、14:00~17:30
木 9:00~11:30
土 9:00~13:00",有,
高尾産婦人科医院,422010,長崎県,長崎市,32.806911,129.832245,095-856-0697,,852-8061,長崎県長崎市滑石4丁目3-36,有,"月、火、水、木、金 9:00~12:00、14:00~18:00
土 9:00~13:00",有,
医療法人 宝マタニティクリニック,,,,32.777569,129.954849,095-838-7117,https://takaramaternity.com/,857-0116,長崎県長崎市東町1732-1,有,"常時対応可能
※通常診療時間外は割増料金有",有,郵便番号
花みずきレディ-スクリニック,422010,長崎県,長崎市,32.793369,129.860458,095-841-7122,http://www.hanamizuki.info/,852-8154,長崎県長崎市住吉町13-16,有,"月、火、木、金 9:00~12:00、15:00~18:00
水 9:00~12:00
土 9:00~13:00",有,
医療法人 藤田クリニック,422010,長崎県,長崎市,32.749405,129.877792,095-834-7700,,850-0031,長崎県長崎市桜町7-1,有,"月、火、金 9:00~17:30
水、木、土 9:00~12:30",有,
医療法人 渕レディスクリニック,422010,長崎県,長崎市,32.748707,129.883102,095-822-1103,http://fuchi-ladies.or.jp/,850-0871,長崎県長崎市麹屋町2-16,有,"月、火、水、木、金 9:00~18:00
土 9:00~14:00",有,
"医療法人高翠会
まつお産科・婦人科クリニック",422010,長崎県,長崎市,32.782993,129.871292,095-845-1721,http://www.matsuo.justhpbs.jp/,852-8126,長崎県長崎市石神町1-19,有,"月、火、水、金 9:00~11:00、15:00~17:00
木、土 9:00~11:00",有,
医療法人鶴泉会 牟田産婦人科,422010,長崎県,長崎市,32.74456,129.879959,095-823-7148,https://www.mutasanfujinka.com/,850-0852,長崎県長崎市万屋町6-32,有,"月、火、水、金 9:00~13:00、14:00~19:00
木、土 9:00~13:00",有,
もとむら産婦人科医院,,,,32.682339,129.844925,095-879-1307,,850-0892,長崎県長崎市江川町542-1,有,"月、火、木、金 9:00~18:00
水 9:00~12:00
土 9:00~13:00",有,郵便番号
やすひウィメンズ・ヘルスクリニック,422010,長崎県,長崎市,32.742962,129.875198,095-825-9700,http://www.y-yasuhi.com/,850-0841,長崎県長崎市銅座町2-15 NKイリスビル5F,有,"月、火、水、金 9:00~17:30
木(第1~3) 9:00~16:00
土 9:00~12:30",有,
"医療法人誠美会
荒木産婦人科診療所",422029,長崎県,佐世保市,33.171467,129.723694,0956-22-5409,,857-0805,長崎県佐世保市光月町4-4,有,"月、火、水、金 9:00~17:00
木、土 9:00~12:30",有,
