施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
"ウィメンズクリニック
グリ-ンヒル",431028,熊本県,熊本市東区,32.813198,130.782288,096-360-5511,http://www.w-greenhill.jp/,861-8043,熊本県熊本市東区戸島西3-1-100,有(産婦人科),"月・火・木・金
(9:00-12:00、14:00-19:00)
土(9:00-12:00、15:00-18:00)",有,
"みやはらレディ-ス
クリニック",431036,熊本県,熊本市西区,32.78458,130.679047,096-325-1107,https://miyahara-lc.jp,860-0047,熊本県熊本市西区春日7丁目21-15,有,月・火・水・金・土(9:00-18:00),有,
米田産婦人科医院,432105,熊本県,菊池市,32.9795,130.804764,0968-25-2589,なし,861-1331,熊本県菊池市隈府497-1,有,"平日:8:30-18:30
土曜:8:30-12:30",有,URL(リンク切れ)
"わせだ直子レディ-ス
クリニック",432156,熊本県,天草市,32.457188,130.197357,0969-24-8711,なし,863-0021,熊本県天草市港町1631,有,"水・木・金(9:00-17:30)
土(9:00-15:00)
日(9:00-13:00)",有,URL(リンク切れ)
"いんでレディ-ス
クリニック",431028,熊本県,熊本市東区,32.778679,130.759048,096-367-2333,http://www.hiji-in.com/,862-0908,熊本県熊本市東区新生2-3-6,有,"平日:9:30-18:00
(水:9:30-13:00)
土曜:9:30-16:00",有,
"医療法人 本原会
産科婦人科 本原クリ
ニック",432156,熊本県,天草市,32.441364,130.195221,0969-24-1175,http://www.motoharakai.jp/,863-0025,熊本県天草市亀場町亀川1962-12,有,24時間対応,有,URL(リンク切れ)
清田産婦人科医院,431052,熊本県,熊本市北区,32.902054,130.690979,096-273-4111,https://kiyotaclinic.or.jp/,861-0135,熊本県熊本市北区植木町一木178-4,有,"平日・土曜
8:30-12:30, 14:00-17:30
これ以外の時間帯は電話で対応
後、医師在院中は診察可",有,
片岡産婦人科医院,431052,熊本県,熊本市北区,32.84333,130.754745,096-339-1103,"http://www010.upp.so-
net.ne.jp/katasan/",861-8006,熊本県熊本市北区龍田4丁目30番45号,有,"月・火・水・木・土
(9:00-13:00)
水(9:00-13:00、14:30-17:00)",有,URL(リンク切れ)
愛甲産婦人科麻酔科医院,432032,熊本県,人吉市,32.218189,130.759262,0966-22-4020,http://aikouiin.com/,868-0006,熊本県人吉市駒井田町1951,有,"平日:9:00-13:00、15:30-19:00
土曜:9:00-13:00",有,
田代産婦人科医院,431010,熊本県,熊本市中央区,32.80299,130.7202,096-362-1414,https://tashiroclinic.jimdo.com/,862-0971,熊本県熊本市中央区大江4丁目5-5,有,"月・火・水・金・土
(9:00-12:30、14:00-18:00)",有,
本田レディ-スクリニック,432059,熊本県,水俣市,32.212643,130.401352,0966-63-2019,"http://www.mediqube.com/honda-
lc/usr/pc/index.php",867-0065,熊本県水俣市浜町3-6-21,有,"火・水・木・金
(9:00-12:00,14:30-18:00)
土曜(9:00-12:00、13:30-16:30)",有,URL(リンク切れ)
澁江産科婦人科,431028,熊本県,熊本市東区,32.783493,130.774292,096-365-5050,なし,861-2118,熊本県熊本市東区花立3丁目29-20,有,"平日:9:00-12:00
土曜:9:00-12:00",有,URL(リンク切れ)
阿蘇温泉病院,432148,熊本県,阿蘇市,32.972763,131.04454,0967-32-0881,http://asospahp.jp/,869-2301,熊本県阿蘇市内牧1153-1,有,"平日:9:15-17:00
休日・夜間は電話連絡が必要
(対応可)観光客などに365日
24時間対応",有,
坂本産婦人科クリニック,432067,熊本県,玉名市,32.930958,130.565323,0968-74-2045,http://www.sakamotolc.net/,865-0025,熊本県玉名市高瀬35,有,"月・火・水・金:9:30-17:30
木・土:9:30-12:30",有,
斎藤産婦人科医院,432105,熊本県,菊池市,32.976204,130.81424,0968-24-1177,http://saitolcl.com/,861-1307,熊本県菊池市片角294-2,有,"平日:9:00-18:00
木・土曜:9:00-12:00",有,
"まつばせレディ-スクリ
ニック",432130,熊本県,宇城市,32.654797,130.682602,0964-34-0303,https://matsubase.or.jp/,869-0502,熊本県宇城市松橋町松橋689番地の1,有,24時間対応,有,
"よしむら産婦人科皮ふ科
クリニック",431010,熊本県,熊本市中央区,32.812885,130.722122,096-345-8300,http://www.yoshimura-gdc.jp/,860-0851,熊本県熊本市中央区子飼本町6番20号,有,"月・火・木・金(9:00-17:30)
水(9:00-12:00)
土(9:00-15:00)",有,
"福田クリニック・産婦人
科内科",432024,熊本県,八代市,32.432392,130.572845,0965-38-0068,なし,869-5133,熊本県八代市日奈久中西町418,有,"平日:9:00-18:00
土曜:9:00-12:30",有,URL(リンク切れ)
"医療法人英会産科婦人科
うしじまクリニック",431044,熊本県,熊本市南区,32.775883,130.714493,096-379-2727,https://ushijima-cl.com/,862-0962,熊本県熊本市南区田迎4丁目7の23,有,"月・火・木・金
(9:00-12:30,14:00-18:00)
水(9:00-12:30)
土(9:00-12:30,13:30-15:30)",有,URL(リンク切れ)
"森川レディ-スクリニッ
ク",431010,熊本県,熊本市中央区,32.788517,130.745804,096-381-4115,http://www.morikawa-lc.or.jp/,862-0950,熊本県熊本市水前寺6丁目31番1号,有,"月・火・木・金
(9:00-13:00,14:30-18:30)
水・土(9:00-13:00)",有,
八木産婦人科医院,431010,熊本県,熊本市中央区,32.793507,130.729004,096-383-2311,http://www.yagisanfujinka.jp/,862-0950,熊本県熊本市中央区水前寺1丁目19-5,有,"月・火・金
(9:00-12:30、14:00-17:30)
水・土(9:00-12:30、
14:00-16:00)
木(9:00-12:30、14:30-19:00)",有,
"医療法人西原会
清ら内科産婦人科医院",431028,熊本県,熊本市東区,32.815315,130.755569,096-382-3388,"http://www.facebook.com/kiyora.ob.
gyn",861-8029,熊本県熊本市東区西原2丁目11-3,有,"平日:9:00-18:00
水・土:9:00-13:00",有,
ゆのはら産婦人科医院,431010,熊本県,熊本市中央区,32.785183,130.711029,096-372-1110,http://yunohara.jp/,860-0812,熊本県熊本市中央区南熊本5丁目9番3号,有,"月・火・水・金・土 午前9:30-
13:00
午後14:00-
18:30
水曜午後は手術が入ることがあり
ますので、電話でご確認の上ご来",有,
桑原産科婦人科医院,431028,熊本県,熊本市東区,32.779312,130.780548,096-365-4103,http://kuwahara-obgyn.jp/about/,861-2101,熊本県熊本市東区桜木2-2-6,有,"平日(9:00-12:00.14:00-17:30)
金曜 午前のみ
土曜(9:00-12:00.14:00-15:00)",有,
福田病院,431010,熊本県,熊本市中央区,32.799911,130.698929,096-322-2995,http://www.fukuda-hp.or.jp/,860-0004,熊本県熊本市中央区新町2丁目2番6号,有,月曜~土曜9:00~17:30,有,
鬼塚クリニック,432156,熊本県,天草市,32.426987,130.172287,0969-24-3636,なし,863-0046,熊本県天草市亀場町食場984-1,有,"月・水・木・金(9:00-18:00)
火・土(9:00-13:00)
時間外でも対応可能な場合あり",有,URL(リンク切れ)
北熊本井上産婦人科医院,431052,熊本県,熊本市北区,32.854694,130.72644,096-345-3911,http://www.inoue-sanfujinka.jp/,861-5517,熊本県熊本市北区鶴羽田1丁目14番27号,有,"月・火・水・金
(9:00-11:30・14:00-17:30)
木(9:00-12:30)
土(9:00-11:30・14:00-14:
30)",有,
伊井産婦人科病院,431010,熊本県,熊本市中央区,32.794586,130.72316,096-364-4003,https://www.ii-sanhujinka.com/,862-0973,熊本県熊本市中央区大江本町8番15号,有,"平日(9:00-18:00)
土曜(9:00-13:00)
日・祝は診療なし",有,URL(リンク切れ)
山鹿市民医療センタ-,432083,熊本県,山鹿市,33.014771,130.698303,0968-44-2185,http://yamaga-medical-center.jp/,861-0593,熊本県山鹿市山鹿511,有,平日(8:30-17:15),有,
さかぐち女性のクリニック,431010,熊本県,熊本市中央区,32.799923,130.750076,096-382-3600,https://sakaguchi-wclinic.com/,862-0924,熊本県熊本市帯山3丁目15-10,有,"月・金・土(9:00-18:00)
火・水(9:00-19:00)",有,
"医療法人社団ソフィア愛
育会 ソフィアレディ-
スクリニック水道町",431010,熊本県,熊本市中央区,32.802574,130.714096,096-322-2996,http://www.suidouchou-lc.jp/,860-0844,熊本県熊本市中央区水道町9番5-1,有,"月・火・木・金・土
(10:00-14:00・16:00-19:00)
水曜(10:00-13:00・15:00-18:00)
日・祝(8:30-12:00)",有,
"医療法人セント・ソフィア
片岡レディスクリニック",432024,熊本県,八代市,32.50547,130.596954,0965-32-2344,http://www.kataoka-lc.com/,866-0861,熊本県八代市本町3丁目3-35,有,"平日:9:00-18:30
土曜:9:00-15:00",有,
橋本産婦人科医院,432024,熊本県,八代市,32.488819,130.601959,0965-32-4155,"http://www.hashimoto-
sanfujinka.com/",866-0081,熊本県八代市植柳上町931,有,"平日(9:00-12:30.14:00-18:00)
土曜(9:00-12:30)",有,URL(リンク切れ)
"産科婦人科
まつおレディ-スクリ
ニック",432040,熊本県,荒尾市,32.981022,130.46489,0968-66-3110,http://www.matsuo-lc-com/,864-0041,熊本県荒尾市荒尾4160-257,有,24時間,有,URL(リンク切れ)
荒尾市民病院,432040,熊本県,荒尾市,32.975285,130.446655,0968-63-1115,http://www.hospital.arao.kumamoto.j,864-0041,熊本県荒尾市荒尾2600番地,有,"平日:8:30-17:15
それ以外も対応可能な場合あり",有,URL(リンク切れ)
下川産婦人科医院,432067,熊本県,玉名市,32.928574,130.549484,0968-73-3527,なし,865-0064,熊本県玉名市中1806,有,"平日:9:00-17:30
火曜・土曜:9:00-12:00",有,URL(リンク切れ)
"レディ-スクリニック
なかむら",431028,熊本県,熊本市東区,32.811764,130.766037,096-213-1555,https://www.lc-nakamura.com/,861-8039,熊本県熊本市東区長嶺南1-5-48,有,"月・水・金
(10:00-13:00・16:00-20:00)
土(10:00-13:00-16:00-18:00)
日(10:00-13:00)",有,
"医療法人社団 博慈会
ちが産婦人科医院",434043,熊本県,菊池郡菊陽町,32.979485,130.813248,096-232-9131,"http://www.web-clover.net/chiga-
c/",869-1102,熊本県菊池群菊陽町大字原水295-1,有,"月・火・金
(9:00-11:30・14:00-17:30)
水(9:00-11:30-15:00-17:30)
土(9:00-11:30)",有,URL(リンク切れ)
