施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
アンジェリッククリニック浦田,442011,大分県,大分市,33.243736,131.633224,097-558-2020,https://www.angelicurata.jp,870-0933,大分県大分市花津留2丁目10番2号,あり,"月・火・水・金 9:00-12:00
14:00-17:00
木 9:00-12:00
土 9:00-12:00
14:00-15:30",あり,
いしい産婦人科醫院,442011,大分県,大分市,33.229538,131.633194,097-569-7770,-,870-0952,大分県大分市下郡北3丁目434番地2,あり,"平日(水曜除く) 9:00-18:00
水曜・土曜 9:00-12:00",あり,URL(リンク切れ)
"医療法人
大川産婦人科病院",442011,大分県,大分市,33.235592,131.60347,097-536-3511,http://www.okawa-hosp.com/,870-0027,大分県大分市末広町2-4-16,あり,"平日 9:00-12:30、14:30-17:30
土曜 9:00-12:30、14:30-16:30",あり,
大川産婦人科・高砂,442011,大分県,大分市,33.237442,131.601852,097-532-1135,-,870-0029,大分県大分市高砂町1番5号,あり,"平日 9:00-12:30、14:30-17:30
土曜 9:00-13:30、14:30-16:30",あり,URL(リンク切れ)
ひらかわ産婦人科医院,442011,大分県,大分市,33.242813,131.738983,097-592-1000,https://hirakawa-oita.jp/,870-0254,大分県大分市横塚2-4-5,あり,"月・水・木・金 9:00-12:00
14:30-18:00
火・土 9:00-12:00",あり,
貞永産婦人科医院,442011,大分県,大分市,33.245014,131.584167,097-532-6327,sadanaga-ladies@nifty.com,870-0003,大分県大分市生石2-1-18,あり,"平日 9:00-17:30
土曜 9:00-12:30",あり,URL(リンク切れ)
"医療法人あろは会
さゆりレディ-スクリニック",442011,大分県,大分市,33.225655,131.656189,097-535-7322,http://www.sayuriclinic.jp,870-0165,大分県大分市明野北4丁目1番1号,あり,"平日 9:00-18:00 水曜のみ9:00-12:30
土曜 9:00:-14:00",あり,
"医療法人社団愛育会
曽根崎産婦人科医院",442011,大分県,大分市,33.220795,131.590805,097-543-3939,http://www.sonezaki-clinic.com,870-0883,大分県大分市大字永興149番地の3,あり,"9:00-17:00
事前連絡があった方がよい",あり,
"医療法人宥和会
大分府内レディ-スクリニック",442011,大分県,大分市,33.236336,131.609802,097-535-1060,https://oita-funai-ladies-clinic.com/,870-0021,大分県大分市府内町2-3-25コスモビル5F,あり,"火・水・木・金 9:00-19:00
(18:30受付終了)
月曜 9:00-13:00(12:30受付終了)
土曜 9:00-17:00(16:30受付終了)",あり,
つるさきクリニック,442011,大分県,大分市,33.239185,131.690842,097-527-2152,http://www.kakuyukai.com/,870-0104,大分県大分市南鶴崎2丁目6番5号,あり,"月・火・水・金 8:40-18:00
(昼休み12:30-13:30)
木・土 8:40-12:30",あり,
ヘレネ婦人クリニック,442011,大分県,大分市,33.236889,131.606598,097-532-3555,-,870-0035,大分県大分市中央町1丁目3-12 大一ビル2階,あり,"平 日 9:00-13:00
14:30-18:00
土曜日 9:00-13:00",あり,URL(リンク切れ)
堀永産婦人科医院,442011,大分県,大分市,33.236927,131.610825,097-532-5289,https://horinaga.net/,870-0021,大分県大分市府内町2丁目5番13号,あり,"月~木・土 9:00-12:00
14:00-16:00
金 9:00-12:00",あり,
安武クリニック,442011,大分県,大分市,33.240673,131.625305,097-558-3800,http://yasutake-clinic.jp/,870-0938,大分県大分市今津留1丁目3-14,あり,"月・火・水・金 8:30-18:00
木曜日 8:30-12:30
土曜日 8:30-17:00",あり,
"医療法人
あおい産婦人科",442020,大分県,別府市,33.302448,131.498322,0977-25-0888,http://oita-aoiclinic.jp/,874-0919,大分県別府市石垣東8丁目2番31号,あり,"※予約制
月・水・金 9:00-11:30
14:00-17:30
火・木・土 9:00-11:30",あり,
中山レディ-スクリニック,442020,大分県,別府市,33.295383,131.495483,0977-73-8800,https://nakayama-ladiesclinic.jp,874-0910,大分県別府市石垣西4丁目1-29,あり,"月・火・木・金 9:00-13:00
14:00-18:00
土 9:00-14:00",あり,
藤吉産婦人科,442038,大分県,中津市,33.589581,131.184845,0979-24-1103,http://fujiyoshi-obgyn.com/,871-0027,大分県中津市大字上宮永270番地の1,あり,"月・火・水・金 9:00-12:00
14:00-17:30
土 9:00-12:00
14:00-15:00
日 9:00-13:00
*第1第3水曜、祝日は休診",あり,
"医療法人
宮原レディ-スクリニック",442046,大分県,日田市,33.319569,130.923096,0973-24-3584,http://miyahara-lc.com/,877-0071,大分県日田市十二町258番地1,あり,当院診療時間内,あり,
みよしクリニック,442046,大分県,日田市,33.303253,130.948456,0973-24-1515,-,877-0036,大分県日田市三芳小渕町121番地,あり,"月・火・水・金 9:00-17:00
木曜 9:00-12:00
土曜 9:00-15:00",あり,URL(リンク切れ)
