施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
マミィクリニック伊集院,462012,鹿児島県,鹿児島市,31.541668,130.47821,099-263-1153,0,891-0105,鹿児島県鹿児島市中山町2587-3,有,"平日9:00-18:00
土曜9:00-13:00",有,URL(リンク切れ)
医療法人光智会産科婦人科のぼり病院,462012,鹿児島県,鹿児島市,31.576345,130.552231,099-256-1313,http://www.nobori.or.jp,890-0054,鹿児島県鹿児島市荒田1丁目13-13,有,"月・火・水・金9:00-17:00
木・土9:00-11:30",有,
さがら女性クリニック,462012,鹿児島県,鹿児島市,31.583586,130.54425,099-812-8203,www.sagara.or.jp,890-0053,鹿児島県鹿児島市中央町11鹿児島中央タ-ミナルビル2F,有,"平日8:30-12:00,14:00-17:00",有,
櫻井産婦人科,462012,鹿児島県,鹿児島市,31.544901,130.540237,099-252-8964,,890-0073,鹿児島県鹿児島市宇宿1丁目51-16,有,"9:00-12:30,15:00-17:30",有,
医療法人愛育会 愛育病院,462012,鹿児島県,鹿児島市,31.533949,130.531479,099-268-0311,http://www.aiikukago.com,891-0114,鹿児島県鹿児島市小松原1丁目43-15,有,"平日9:00-12:00,14:00-18:00
土曜日9:00-12:00",有,
さとみクリニック,462012,鹿児島県,鹿児島市,31.595526,130.555939,099-219-3336,http://satomi-clinic.com,892-0816,鹿児島県鹿児島市山下町8番3号2階,有,"月火木金土9:00-18:30
日曜9:00-12:00",有,
今村総合病院,462012,鹿児島県,鹿児島市,31.556759,130.557449,099-251-2221,www.jiaikai.or.jp/imamura-general,890-0064,鹿児島県鹿児島市鴨池新町11-23,有,平日8:30-16:00,有,
いまきいれ総合病院,462012,鹿児島県,鹿児島市,31.578283,130.553696,099-252-1090,http://imakiire.jp/,890-0051,鹿児島県鹿児島市高麗町43番25号,有,"月水金8:30-15:30
火木8:30-11:30
土8:30-11:30",有,
柿木病院,462012,鹿児島県,鹿児島市,31.587341,130.550873,099-224-3939,https://www.kakinoki-hp.or.jp/,892-0846,鹿児島県鹿児島市加治屋町15-3,有,"月火木金9:00-13:00,15:00-18:00
水9:00-13:00
土9:00-13:00,14:00-17:00",有,
医療法人正栄会 上片平産婦人科内科,462012,鹿児島県,鹿児島市,31.627918,130.523453,099-220-0381,http://kamikatahira-lc.webmedipr.jp/,890-0008,鹿児島県鹿児島市伊敷7-8-15,有,"月~日9:00-18:00(受付は30分前まで,木日は午前中のみ",) 有,
医療法人 平野エンゼルクリニック,462012,鹿児島県,鹿児島市,31.574438,130.546143,099-257-0808,https://www.hirano-angel.com,890-0055,鹿児島県鹿児島市上荒田町31-21,有,24時間,有,
光輪会 鹿児島クリニック,,,,31.536688,130.535858,099-268-2351,https://kagoshimaryouin.jp/cl-info.html,819-0115,鹿児島県鹿児島市東開町5-28,有,平日9:00-17:00(木・祝日・日除く),有,"郵便番号, URL(リンク切れ)"
中村(哲)産婦人科・内科,462012,鹿児島県,鹿児島市,31.586029,130.553757,099-223-2236,www.minc.ne.jp/-i-hakuyuu/,892-0845,鹿児島県鹿児島市樋之口町3-7,有,"月火金土9:00-18:00
木9:30-17:30",有,URL(リンク切れ)
いづろ今村病院,462012,鹿児島県,鹿児島市,31.591253,130.559738,099-226-2600,http://www.jiaikai.or.jp/idzuro-imamura/,892-0824,鹿児島県鹿児島市堀江町17-1,有,"月火水金8:30-12:00,14:00-17:00
木8:30-12:00",無,
堂園メディカルハウス,462012,鹿児島県,鹿児島市,31.583387,130.546906,099-254-1864,www.dozono.co.jp,890-0052,鹿児島県鹿児島市上之園町3-1,有,"平日8:45-13:00,14:30-17:00
土曜8:45-14:00 ※木,日,祝は休診",無,
うのきクリニック,462012,鹿児島県,鹿児島市,31.590252,130.55687,099-213-9222,unoki-cl.com,892-0826,鹿児島県鹿児島市呉服町3-6 山口ビル1階,有,"月火水金土9:00-13:00,15:00-17:30
木・日・祝日休み",有,URL(リンク切れ)
医療法人石塚レディ-スクリニック,462012,鹿児島県,鹿児島市,31.581665,130.555344,099-222-2509,,892-0838,鹿児島県鹿児島市新屋敷町4番10号,有,"平日9:00-18:00
土曜9:00-13:00",有,
片瀬クリニック,462012,鹿児島県,鹿児島市,31.58823,130.552994,099-222-2560,https://katase-clinic.com/,892-0844,鹿児島県鹿児島市山之口町3-14,有,"月~金10:00-13:30,15:00-19:00
土10:00-14:00",有,
医療法人真門会 中江産婦人科,462012,鹿児島県,鹿児島市,31.583372,130.545334,099-255-9528,http://www.nakae-obgy.jp/,890-0053,鹿児島県鹿児島市中央町13-3,有,"月水9:00-12:00,14:00-17:30
火木金土9:00-12:00
日祝休診",有,
やはたウィメンズクリニック,462012,鹿児島県,鹿児島市,31.569738,130.553665,099-254-3661,,890-0056,鹿児島県鹿児島市下荒田3-30-7,有,"平日9:00-13:00,15:00-19:00
土曜9:00-13:00 ※火曜午後は休診",有,
ゆみレディ-スクリニック,462012,鹿児島県,鹿児島市,31.592289,130.555511,099-222-8777,http://www.yumi-ladies.com/,892-0827,鹿児島県鹿児島市中町4-6ワンダフルビル2F,有,"月火水金土9:00-15:00(受付14:30まで)
木日祝休み",有,
中村レディ-スクリニック,462012,鹿児島県,鹿児島市,31.602848,130.561462,099-222-5510,http://www.synapse.ne.jp/keima/,892-0818,鹿児島県鹿児島市上本町9-14,有,"月火金9:00-12:30,14:00-18:00
水土9:00-13:00
木9:00-13:00,16:00-20:00",有,URL(リンク切れ)
たけのはし大山医院,462012,鹿児島県,鹿児島市,31.579393,130.556015,099-253-6900,https://www.facebook.com/takenohashi/,890-0056,鹿児島県鹿児島市下荒田1-20-3,有,"平日9:00-18:00
土曜9:00-13:00",有,
総合病院 鹿児島生協病院,462012,鹿児島県,鹿児島市,31.517847,130.513733,099-267-1455,www.kaseikyohp-jp/,891-0141,鹿児島県鹿児島市谷山中央5丁目20-10,有,"火8:30-12:00,13:45-16:30
水8:30-12:00
金8:30-12:00,13:45-16:30",有,URL(リンク切れ)
医療法人おおにし産婦人科,462012,鹿児島県,鹿児島市,31.661091,130.572937,099-246-3210,,892-0875,鹿児島県鹿児島市川上町2805-1,有,"月火水金9:00-12:30,14:30-18:00
木9:00-12:30,16:00-19:30
土14:30-17:00 ※水曜午後・日・祝休診",有,
産科・婦人科 久米クリニック,462195,鹿児島県,いちき串木野市,31.721182,130.271683,0996-32-7663,kouta@po.synapse.ne.jp,896-0001,鹿児島県いちき串木野市曙町25,有,"月・火・木・金9:00~18:00,
水9:00~13:00,
土9:00~17:00",有,URL(リンク切れ)
くすもと産婦人科,462160,鹿児島県,日置市,31.641096,130.410339,099-273-6666,kusumoto4103.jp,899-2504,鹿児島県日置市伊集院町郡1193-1,有,"月・火・水・金9:00~18:00
木・土9:00~12:00",有,
フィオ-レ第一病院,462250,鹿児島県,姶良市,31.738672,130.662872,0995-63-2158,https://daiichi.sekisaikai.jp/,899-5215,鹿児島県姶良市加治木町本町307-1,有,9:00~24:00,有,
あいらの森ホスピタル,464520,鹿児島県,姶良郡湧水町,31.738276,130.661499,0995-74-2503,,899-6202,鹿児島県姶良郡北方1854,有,"木曜日9:30~12:30
金曜日9:30~12:30",無,
前田産婦人科クリニック,462187,鹿児島県,霧島市,31.742174,130.766266,0995-46-6800,maeda-sanfujinka-clinic.com,899-4332,鹿児島県霧島市国分中央1-3-23,有,"月・火・水・金9:00~18:00
木・土9:00~13:00",有,URL(リンク切れ)
