施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
岩手県立中央病院,032018,岩手県,盛岡市,39.712734,141.146545,019-653-1151,http://www.chuo-hp.jp/,020-0066,岩手県盛岡市上田1丁目4番1号,有,終日,有,
西島産婦人科,032018,岩手県,盛岡市,39.71172,141.140671,019-624-5855,-,020-0066,岩手県盛岡市上田一丁目19-11,有,"月・火・水・金9:00-18:00
木・土9:00-12:00",有,URL(リンク切れ)
"医療法人一舟会
みうら産婦人科医院",032018,岩手県,盛岡市,39.681442,141.105896,019-658-1139,,020-0855,岩手県盛岡市上鹿妻田貝11番地1,有,"月・火・木・金8:30-12:30、14:00-18:00
水8:30-12:30
土8:30-13:00",有,
今井産婦人科内科クリニック,032018,岩手県,盛岡市,39.698303,141.151703,019-623-4881,http://www.imai-clinic-morioka.com/,020-0877,岩手県盛岡市下ノ橋町1-5,有,"月~金曜日:9:00-12:30、
14:30-18:30
土曜日:9:00-14:00",有,
産婦人科内科幸クリニック,032018,岩手県,盛岡市,39.706558,141.148544,019-625-1103,-,020-0021,岩手県盛岡市中央通一丁目5番18号,有,"月・火・木・金9:00-18:00
水15:00-18:00
土9:00-13:00",有,URL(リンク切れ)
盛岡友愛病院,032018,岩手県,盛岡市,39.658443,141.136826,019-638-2222,http://www.yu-ai.net/,020-0834,岩手県盛岡市永井12-10,有,"平日9:00-15:30
土曜(第1・3・5)9:00-11:00",有,
"社団医療法人啓愛会
孝仁病院",032018,岩手県,盛岡市,39.700661,141.110229,019-656-2888,http://www.kojin-hp.jp/,020-0052,岩手県盛岡市中太田泉田28番地,有,"月・火・金8:30-11:30
水8:30-11:30、13:00-16:30
(但し第4週休診)
土8:30-11:30,13:00-16:30",有,
夕顔瀬内科産婦人科医院,032018,岩手県,盛岡市,39.709492,141.134521,019-622-6519,http://www.yuugaoseclinic.com/,020-0064,岩手県盛岡市梨木町6-12,有,"平日9:00-12:30、14:15-18:00
土曜9:00-13:00",有,
"医療法人
さいとうレディスクリニック",032018,岩手県,盛岡市,39.704456,141.136215,019-621-3555,https://saito-ledies.jp/,020-0033,岩手県盛岡市盛岡駅前北通3-33,有,"月・木10:00-13:00、16:00-18:45
火・水・金・土10:00-13:00
(第2・4土・日・祝日 休診)",有,URL(リンク切れ)
産科婦人科吉田医院,032018,岩手県,盛岡市,39.702419,141.159592,019-622-9433,"http://www.yoshidaiin.com/
ホ-ムペ-ジ変更予定で変わる可能性あります",020-0886,岩手県盛岡市若園町10番4号,有,"平日9:00-18:30
水曜日9:00-12:00
土曜日9:00-14:00
診療時間中、時間外・休日は電話で相談",有,URL(リンク切れ)
