施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人横山厚生会横山病院,062014,山形県,山形市,38.244183,140.334167,023-622-3415,,990-0031,山形県山形市十日町3丁目6-48,有,"診療時間 9:00~12:00、15:
00~17:00
休診日は日曜日と火曜日の午後、
木曜日",有,
山形大学医学部附属病院,062014,山形県,山形市,38.213795,140.315613,023-633-1122,http://www1.id.yamagata-u.ac.jp/MID,990-9585,山形県山形市飯田西2-2-2,INFO/ 有,緊急性があれば24時間対応,有,URL(リンク切れ)
天童市民病院,062103,山形県,天童市,38.354931,140.364044,023-654-2511,www.tendo-city-hospital.jp,994-0047,山形県天童市駅西五丁目2番1号,有,平日:8:30~16:00,有,
社会福祉法人恩賜財団済生会山,,,,38.28558,140.334717,023-682-1111,http://www.ameria.org/,形99済0生-8病54院5,山形県山形市沖町79-1,有,"外来診療時間帯 8:50~17:00
(月~金)、8:50~12:30(第
1・3・5土)は外来に
その他の時間は救急外来へ",有,郵便番号
山形県立河北病院,063215,山形県,西村山郡河北町,38.413727,140.308945,0237-73-3131,https://www.kahoku-hospital.jp/,999-3511,山形県河北町谷地字月山堂111,有,平日 8:30~17:15,有,
公立高畠病院,063819,山形県,東置賜郡高畠町,38.000851,140.189743,0238-52-1500,http://www.takahatahospital.jp/,992-0351,山形県東置賜郡高畠町高畠386番地,有,"(平日)9:00-11:30 ,14:00
-15:30
(第2・4土曜日) 9:00-11:30",無,
公立置賜総合病院,063827,山形県,東置賜郡川西町,38.044968,140.058105,0238-46-5000,http://www.okitama-hp.or.jp/,992-0601,山形県東置賜郡川西町大字西大塚2000,有,24時間,有,
産婦人科・小児科三井病院,062030,山形県,鶴岡市,38.736687,139.799622,0235-22-3290,http://mitsui-hospital.net/,997-0857,山形県鶴岡市美咲町28番1号,有,"月、火、水、金:9:00~18:30
木、土:9:00~12:30
(上記以外の時間外対応も可)",有,
鶴岡市立荘内病院,062030,山形県,鶴岡市,38.731518,139.830475,0235-26-5111,https://www.shonai-hos.jp,997-8515,山形県鶴岡市泉町4番20号,有,"平日8:30-17:15
※性犯罪等に関する場合は、別途
対応可能",有,
大沼産婦人科医院,062014,山形県,山形市,38.247562,140.335938,023-622-0243,https://itp.ne.jp/info/0640441450000,990-0031,山形県山形市十日町1-3-26,00899/ 有,"平日9:00-12:00/14:00-18:00
土曜日9:00-12:00/14:00-16:00
休診:日曜祝祭日、水曜午後",有,URL(リンク切れ)
