施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
日本赤十字社和歌山医療センタ-,302015,和歌山県,和歌山市,34.220352,135.168732,073-422-4171,"https://www.wakayama-
med.jrc.or.jp/",640-8558,和歌山県和歌山市小松原通4-20,有,常時,有,URL(リンク切れ)
秋月レディ-スクリニック,302015,和歌山県,和歌山市,34.22789,135.191635,073-423-9888,http://akizuki-ladies.com/,640-8328,和歌山県和歌山市木広町5-4-4,有,"月火木金9:00-12:00、15:00-18:00
水土9:00-12:00",有,
稲田クリニック,302015,和歌山県,和歌山市,34.200932,135.206406,073-475-3131,https://inadacl.jp/,641-0004,和歌山県和歌山市和田461,有,"月火水金9:00-12:00、15:00-18:00
木土9:00-12:00",有,
花山ママクリニック,302015,和歌山県,和歌山市,34.22509,135.207214,073-471-2250,http://www.curam.co.jp/mama/,640-8322,和歌山県和歌山市秋月483,有,"月火水金9:00-12:00、15:00-19:00
木土9:00-12:00",有,
岩橋産科婦人科,302015,和歌山県,和歌山市,34.199547,135.167923,073-444-4060,https://iwahashi-sanfu.com/,641-0035,和歌山県和歌山市関戸1-6-44,有,"月火水金9:00-12:00、16:00-19:00
木9:00-12:00、18:00-19:00
土9:00-12:00",有,
かさの医院,302015,和歌山県,和歌山市,34.209347,135.205368,073-471-1197,http://kasanoiin.com/,640-8314,和歌山県和歌山市神前372-1,有,"月火水金9:00-12:00、16:00-19:00
土9:00-12:00",有,
葵町クリニック,302015,和歌山県,和歌山市,34.21418,135.163589,073-432-7876,http://aoichou.jp/index.html,640-8273,和歌山県和歌山市葵町2-33,有,"月水金9:30-12:30、16:00-18:00
火木9:30-12:30
土9:30-12:30",有,
かわばた産婦人科,302015,和歌山県,和歌山市,34.252808,135.141937,073-453-0600,"http://www009.upp.so-
net.ne.jp/kawagyne/",640-8432,和歌山県和歌山市土入25-1,有,"月火金9:00-12:00、15:30-16:30
水土9:00-12:00",有,URL(リンク切れ)
粉川レディスクリニック,302015,和歌山県,和歌山市,34.262268,135.205765,073-461-0349,http://kokawa-lc.jp/,640-8482,和歌山県和歌山市六十谷366-4,有,"月火水金9:30-12:30、16:00-19:00
木土9:30-12:30",有,
瀧口レディ-スクリニック,302015,和歌山県,和歌山市,34.23542,135.192368,073-473-6220,,640-8341,和歌山県和歌山市黒田109-1,有,"月~土9:00-13:00
月火水金15:00-18:00",有,
