施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
愛知クリニック,472050,沖縄県,宜野湾市,26.270262,127.768929,098-892-3511,,901-2206,沖縄県宜野湾市愛知1-2-12,有,"月曜・水曜 9:00~18:00
火曜・金曜 17:30~20:30
木曜・土曜 9:00~12:15",有,
あいレディ-スクリニック,472115,沖縄県,沖縄市,26.353409,127.813034,098-937-1111,http://www.ai-ladies.com/,904-2153,沖縄県沖縄市美里4-17-7,有,24時間対応可能,有,
(医)海秀会 うえむら病院,473286,沖縄県,中頭郡中城村,26.248049,127.773941,098-895-3535,https://www.uemura-hp.or.jp,901-2424,沖縄県中城村南上原803-3,有,"月・火・水・金・土
9:00~13:00、 15:00~18:00",有,
中部産婦人科医院,472115,沖縄県,沖縄市,26.337887,127.812233,098-937-8878,,904-0012,沖縄県沖縄市安慶田1-3-20,有,"平日 9:00~17:00
土曜 9:00~12:00",有,
当山産婦人科医院,472050,沖縄県,宜野湾市,26.267454,127.730133,098-897-5666,,901-2225,沖縄県宜野湾市大謝名5-20-8,有,9:00~18:00,有,
医療法人なしろ 名城病院,472131,沖縄県,うるま市,26.353434,127.830429,098-974-2121,http://www.nashiro.jp/,904-2245,沖縄県うるま市赤道175-3,有,"午前 8:30~11:00 妊婦検診のみ 4:30まで
午後 13:00~16:00 (水曜・日曜・祝日を除
く)",有,
古堅ウィメンズクリニック,472050,沖縄県,宜野湾市,26.2707,127.735016,098-890-1600,,901-2225,沖縄県宜野湾市大謝名165,有,"平日 9:00~18:00 木曜休診
土曜 9:00~17:00",有,
美里女性クリニック,472115,沖縄県,沖縄市,26.347179,127.817482,098-929-3003,,904-2155,沖縄県沖縄市美原2-25-3,有,"平日 9:00~17:00
土曜 9:00~12:00",有,
医療法人彩の会 やびく産婦人科・小児科,473260,沖縄県,中頭郡北谷町,26.331999,127.749977,098-936-6789,http://yabiku-ladys-clinic.jp,904-0111,沖縄県北谷町字砂辺306,有,24時間対応可能,有,
ゆいクリニック,472115,沖縄県,沖縄市,26.370749,127.818756,098-989-3801,http://www.yuiclinic.com/,904-2142,沖縄県沖縄市登川2444-3,有,24時間,有,
赤嶺レディ-スクリニック,472085,沖縄県,浦添市,26.258293,127.714226,098-877-8839,,901-2133,沖縄県浦添市城間4-18-2,有,"月・火・木・金 09:00~13:00 14:00~
18:00
水・土 09:00~12:00",有,
バ-クレ- レディ-スクリニック,472085,沖縄県,浦添市,26.253286,127.735519,098-873-1135,https://www/baraclays-lc.com/,901-2104,沖縄県浦添市当山2-2-11 5階,有,"月・水・木・土 8:30~11:30 13:30~17:00
火 13:30~17:00
病院からのメモ書き: 強制性交等の事案に
関しては高次機関での診療としています。",有,URL(リンク切れ)
石川産婦人科(医院),472018,沖縄県,那覇市,26.209772,127.683029,098-832-3351,無,900-0021,沖縄県那覇市泉崎2-20-2,有,"平日 9:00~17:00(火・木休診)
土曜 9:00~16:00(日曜・祝祭日休診)",有,URL(リンク切れ)
糸数病院,472018,沖縄県,那覇市,26.221785,127.691071,098-863-4103,http://www.itokazu-hospital.com/itokazu/,900-0012,沖縄県那覇市泊1-28-1,有,"平日 9:00~18:00 (受付 17:30まで)
土曜 9:00~12:00 (受付 11:30まで)",有,
伊波レディ-スクリニック,472018,沖縄県,那覇市,26.220831,127.722038,098-885-5435,www.iha-ladies.com,903-0806,沖縄県那覇市首里汀良町1-8-2,有,月・火・木・金・土 9:00~17:00,有,
医療法人 祐の会 友利産婦人科,472018,沖縄県,那覇市,26.198172,127.689339,098-855-1103,https://tomori-clinic.jp,900-0024,沖縄県那覇市古波蔵2-25-24,有,"平日 9:00~17:00
土曜 9:00~12:00
※その他の時間帯や休日・祝祭日は問合
せ後、対応を検討します。",有,URL(リンク切れ)
沖縄協同病院,472018,沖縄県,那覇市,26.196432,127.689613,098-853-1200,http://oki-kyo.jp/,900-8558,沖縄県那覇市古波蔵4-10-55,有,"平日 9:00~17:00
土曜 9:00~11:00",有,
新田クリニック,472018,沖縄県,那覇市,26.221748,127.686348,098-863-0073,,900-0016,沖縄県那覇市前島1-14-3,有,平日9:30~18:00 水・土 9:30~13:0,0 有,
Joy レディ-スクリニックくもじ,472018,沖縄県,那覇市,26.214872,127.678482,098-943-2500,,900-0015,沖縄県那覇市久茂地1-8-16,有,"月曜から木曜 10:00~19:30
土曜 10:00~13:30",有,
奥平産婦人科医院,472140,沖縄県,宮古島市,24.796072,125.284286,0980-72-3026,,906-0013,沖縄県宮古島市平良下里1259-1,有,"平日 8:30~17:30
木曜・土曜 8:30~12:30",有,
まつをレディ-スクリニック,472077,沖縄県,石垣市,24.33532,124.177841,0980-83-4822,,907-0002,沖縄県石垣市真栄里233-3,有,"月・火・水・金 8:45~11:30、14:45~
17:30
土 8:45~11:30",有,
那覇市立病院,472018,沖縄県,那覇市,26.226742,127.709892,098-884-5111,http://www.nch.naha.okinawa.jp/,902-8511,沖縄県那覇市古島2-31-1,有,"外来 平日 8:30~16:00
急病センタ- 平日 18:00~翌日 8:
00
土日・祝日 0:00~24:00 (24時間診",有,
琉球大学医学部付属病院,473294,沖縄県,中頭郡西原町,26.242254,127.758636,098-895-3331,http://www.hosp.u-ryukyu.ac.jp,903-0125,沖縄県西原町字上原207,有,終日,有,
県立中部病院,472131,沖縄県,うるま市,26.35405,127.835503,098-973-4111,https://chubuweb.hosp.pref.okinawa.jp,904-2293,沖縄県うるま市宮里281,有,24時間 365日,有,
公立久米島病院,473618,沖縄県,島尻郡久米島町,26.212296,127.679214,098-985-5555,http://kumejima.jadecom.or.jp,901-3121,沖縄県久米島町字嘉手苅572-3,無,24時間,有,URL(リンク切れ)
沖縄県立北部病院,472093,沖縄県,名護市,26.593466,127.986893,0980-52-2719,http://www.hosp.pref.okinawa.jp/hokubu/section/specialty/ob/,905-8512,沖縄県名護市大中二丁目12番3号,有,24時間 365日,有,
