施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
プラム薬局北10条店,011029,北海道,札幌市北区,43.073223,141.348068,011-738-6001,011-738-6002,001-0010,札幌市北区北10条西4-1-13,月・火・水・金9:00~18:00 第1第3木9:00~18:00 第2第4木9:00~13:00 第2第4土9:00~13:00,無,080-6073-7876,
なの花薬局北11条店,011029,北海道,札幌市北区,43.073795,141.347931,011-738-0888,011-738-0889,001-0011,札幌市北区北11条西4-1-1,月~木8:30~17:30金8:30~19:00土8:30~13:00,無,,
ア-ル薬局北大前店,011029,北海道,札幌市北区,43.076557,141.346588,011-726-5070,011-726-5599,001-0013,札幌市北区北13条西4丁目2-14,月~金9:00~18:00 土9:00~12:00,有,011-726-5070,
あさみ薬局,011029,北海道,札幌市北区,43.076729,141.346542,011-716-7350,011-747-6855,001-0013,札幌市北区北13条西4丁目2-16,月~金8:30~18:00 土10:00~15:00,有,011-716-7350,
あしたば薬局北大前店,011029,北海道,札幌市北区,43.076641,141.346573,011-700-4193,011-700-4194,001-0013,札幌市北区北13条西4丁目2-15,月~金9:00~17:30,無,,
なの花薬局北大前店,011029,北海道,札幌市北区,43.076778,141.346603,011-757-1193,011-757-1194,001-0013,札幌市北区北13条西4-2-17,月~金9:00~18:00土9:00~11:00,有,011-757-1193,
ナカジマ薬局北大前店,011029,北海道,札幌市北区,43.077354,141.34639,011-756-1193,011-756-8397,001-0014,札幌市北区北14条西4丁目1-16,月-金8:50-17:50 土9:00-13:00,有,011-756-1193,
ハ-ト薬局北14条店,011029,北海道,札幌市北区,43.077465,141.350357,011-747-1000,011-747-1001,001-0014,札幌市北区北14条西2丁目1-5メルバN14,月~金 9:00~17:00 土日祝 休み,無,,
調剤薬局クスリのツルハ北大前店,011029,北海道,札幌市北区,43.077408,141.346451,011-700-5397,011-700-5397,001-0014,札幌市北区北14条西4-1-17,月~金9:00~18:00,無,,
日本調剤北大前薬局,011029,北海道,札幌市北区,43.077187,141.34642,011-757-2212,011-757-2216,001-0014,札幌市北区北14条西4-1-14,月~金9:00~18:00土9:00~13:00,有,090-4870-8560,
えるむ薬局,011029,北海道,札幌市北区,43.079697,141.34613,011-737-7951,011-737-0123,001-0016,札幌市北区北16条西4丁目1-19,月曜日-金曜日:9:00-17:30 土曜日:9:00-13:00,有,080-1974-0028,
なの花薬局北17条店,011029,北海道,札幌市北区,43.08131,141.348312,011-717-1193,011-717-1194,001-0017,札幌市北区北17条西3-2-1,月・火・木・金9:00~18:00水9:00~17:00土9:00~12:30,無,,
わかば薬局,011029,北海道,札幌市北区,43.081532,141.346939,011-716-4233,011-716-3130,001-0017,札幌市北区北17条西3-2-16木村ビル1F,月~金9:00~19:00土9:00~13:00,有,080-4379-7876,
N18調剤薬局,011029,北海道,札幌市北区,43.081566,141.342056,011-738-7720,011-738-7730,001-0018,札幌市北区北18条西6丁目3-8,月-金10:00-20:00,無,,
