施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
あけぼの薬局妙見店,022012,青森県,青森市,40.791328,140.75824,017-764-1050,017-728-2665,030-0131,青森市問屋町1-15-11,月~金 8:45~17:00 土 8:45~12:45,有,080-1677-4810,
テック調剤薬局ヒルズ店,022012,青森県,青森市,40.747456,140.778076,017-718-3123,017-718-3122,030-0133,青森市雲谷山吹94-25,月~金8:30~17:00,無,,
石舘薬局,022012,青森県,青森市,40.826691,140.7388,017-723-2801,017-723-2804,030-0801,青森市新町1-13-1,月~金9:00~18:00土9:00~13:00,無,,
青柳薬局,022012,青森県,青森市,40.826199,140.757431,017-774-0876,017-774-0874,030-0811,青森市青柳2-4-8,月~金8:30~18:00土8:30~12:30,無,,
オレンジ薬局,022012,青森県,青森市,40.817501,140.760788,017-773-2400,017-773-2430,030-0813,青森市松原3-1-14,月~金 8:30~18:00 土 8:30~13:00,有,017-773-2400,
ハッピ-調剤薬局青森松原店,022012,青森県,青森市,40.817757,140.763916,017-718-5537,017-718-7020,030-0813,青森市松原3-13-21,月~金9:00~13:00、14:00~18:00,無,,
サカエ薬局勝田,022012,青森県,青森市,40.818462,140.757889,017-722-0310,017-775-7872,030-0821,青森市勝田2-19-11,月~金8:30~18:00土8:30~12:30,有,0120-35-8570,
なの花薬局浦町店,022012,青森県,青森市,40.81509,140.755219,017-718-3061,017-718-3062,030-0821,青森市勝田1-15-6,月~金 8:30~17:30土 8:30~12:30,有,017-718-3061(転送),
ハッピ-調剤薬局青森勝田店,022012,青森県,青森市,40.818996,140.754517,017-763-0820,017-763-0821,030-0821,青森市勝田1-20-1,月~金9:00~18:00,無,,
中央あけぼの薬局,022012,青森県,青森市,40.818024,140.745758,017-777-2911,017-777-2649,030-0822,青森市中央3-9-8,月~金 8:45~17:00 土 8:45~12:45,有,090-5239-4136,
