施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
西和賀すみれ薬局,033669,岩手県,和賀郡西和賀町,39.385143,140.757385,0197-72-6688,0197-72-6689,029-5612,和賀郡西和賀町沢内字大野13-3-22,"月~金9:00~17:30 第1,3土9:00~12:30",有,0197-72-6688,
つくし薬局前沢店,032158,岩手県,奥州市,39.055687,141.123611,0197-41-3663,0197-41-3662,029-4208,奥州市前沢二十人町47,月・火・木・金9:00~18:00水9:00~17:00土9:00~13:00,有,0197-41-3663,
もくれん薬局,032158,岩手県,奥州市,39.050022,141.12204,0197-41-3737,0197-41-3700,029-4208,奥州市前沢字七日町48-2,月火水金9:00~18:00 木土9:00~13:00,有,090-3128-6492,
仁衛堂薬局,032158,岩手県,奥州市,39.049812,141.124954,0197-56-4309,0197-56-3180,029-4208,奥州市前沢字七日町裏2,月~金8:00~19:00土8:00~17:00,有,0197-56-4309,
ミズサワ薬局前沢店,032158,岩手県,奥州市,39.048038,141.129852,0197-56-3831,0197-56-3831,029-4204,奥州市前沢向田1-20-2,月~金8:30~18:00土8:30~13:00,無,,
仁衛堂薬局アスティ店,032158,岩手県,奥州市,39.048038,141.129852,0197-56-4193,0197-56-4201,029-4204,奥州市前沢向田1-16-2,月~金8:30~18:30 土8:30~12:30,有,080-3339-4193,
フロンティア薬局前沢店,032158,岩手県,奥州市,39.070068,141.127167,0197-56-0505,0197-56-0506,029-4201,奥州市前沢古城字比良59-8,火~日8:30~17:30,有,090-6688-1050,
あすか薬局,034029,岩手県,西磐井郡平泉町,38.987732,141.116257,0191-34-1150,0191-34-1151,029-4102,西磐井郡平泉町平泉字志羅山7-10,月火木金8:30~18:00水8:30~17:00土8:30~13:00,有,090-2606-7230、0191-34-1150,
リリィ薬局藤沢店,032093,岩手県,一関市,38.838734,141.347168,0191-48-3428,0191-48-3438,029-3405,一関市藤沢町藤沢字町裏180-2,"月~金9:00~18:00   第1,3土9:00~15:00 第2,4,5土9:00~12:00",有,0191-48-3428,
そうごう薬局住田店,034410,岩手県,気仙郡住田町,39.151772,141.512894,0192-49-1151,0192-49-1152,029-2311,住田町世田米字大崎25-4,月~金9:00~18:00 土9:00~12:00,有,0192-49-1151,
そうごう薬局高田店,032107,岩手県,陸前高田市,39.019421,141.636246,0192-53-2251,0192-53-2252,029-2205,陸前高田市高田町字太田512-3,月~金9:00~18:00 土9:00~13:00,有,0192-53-2251,
黄川田薬局,032107,岩手県,陸前高田市,39.019421,141.636246,0192-22-8680,0192-22-8681,029-2205,陸前高田市高田町太田512-4,月~金9:00~18:00,有,090-3647-9219,
森の前薬局,032107,岩手県,陸前高田市,39.019421,141.636246,0192-55-6200,0192-55-6100,029-2205,陸前高田市高田町字鳴石89-25,月火水金8:30~18:00木8:30~17:00土8:30~12:30,有,0192-55-6200,
気仙中央薬局高田店,032107,岩手県,陸前高田市,39.017117,141.614105,0192-53-1250,0192-53-1251,029-2204,陸前高田市気仙町字中井190-1,月~金9:00~18:00 土9:00~13:00,無,なし,
調剤薬局ツルハドラッグ高田北店,032107,岩手県,陸前高田市,39.034367,141.618179,0192-54-4268,0192-54-4268,029-2203,陸前高田市竹駒町字滝の里15-1,月~金9:00~13:00、14:00~18:00,無,,
千厩調剤薬局,032093,岩手県,一関市,38.926514,141.33931,0191-51-1666,0191-51-1660,029-0803,一関市千厩町千厩草井沢43-1,月~金9:00~18:00 土9:00~12:00,有,0191-51-1666,
そうごう薬局大原店,032093,岩手県,一関市,39.045685,141.438995,0191-71-2511,0191-71-2512,029-0711,一関市大東町大原字立町113,月~金9:00~18:00,有,0191-71-2511,
アイン薬局東山町店,032093,岩手県,一関市,38.989391,141.253418,0191-48-4630,0191-48-4631,029-0302,一関市東山町長坂字町388,月火水金8:30~18:00 木土8:30~12:30,有,0191-48-4630,
つくし薬局川崎店,032093,岩手県,一関市,38.894741,141.289886,0191-36-5002,0191-43-2655,029-0202,一関市川崎町薄衣字久伝17-1,月・火・木・金9:00~18:00水9:00~20:00土9:00~13:00,有,0191-36-5002,
やまぶき薬局,032093,岩手県,一関市,38.933498,141.168396,0191-31-1772,0191-31-1550,029-0131,一関市狐禅寺字大平125-13,月~金9:00~18:00,無,,
一関ドライブスル-薬局,032093,岩手県,一関市,38.933498,141.168396,0191-31-8805,0191-31-8806,029-0131,一関市狐禅寺字大平123-2,月~金9:00~18:00,有,0191-31-8805,
日本調剤一関薬局,032093,岩手県,一関市,38.933926,141.171021,0191-31-8750,0191-31-8753,029-0131,一関市狐禅寺字大平33-1,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~13:00/日9:00~17:00/備考:第1土、第2~5日は定休日,有,090-1696-2032,
