施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
池田薬局ポプラ店,052019,秋田県,秋田市,39.71526,140.122742,018-835-1535,018-835-1881,010-0001,秋田市中通4-1-40 ,月~金9:00~18:00木9:00~17:00土9:00~13:00,有,018-835-1535,
池田薬局中通り店,052019,秋田県,秋田市,39.713905,140.119553,018-835-3385,018-831-4396,010-0001,秋田市中通5-7-1 ,月・水・木・金9:00~18:30火9:00~17:00土9:00~12:30,有,090-1490-4191,
佐野薬局中通一丁目店,052019,秋田県,秋田市,39.716885,140.118484,018-884-1133,018-884-1134,010-0001,秋田市中通1-2-16 ,月・火・木・金9:00~18:00水9:00~17:00土9:00~16:00,有,018-853-1115,
アルヴェいわま薬局,052019,秋田県,秋田市,39.716122,140.130737,018-884-0911,018-831-0911,010-0002,秋田市東通仲町4-1 秋田拠点センタ-アルヴェ1階,月~土9:00~18:00,有,090-1468-9200,
東通いわま薬局,052019,秋田県,秋田市,39.715202,140.134216,018-827-3300,018-827-3301,010-0003,秋田市東通1-5-16 ,月~金8:45~18:30土8:45~13:00,有,080-2838-6232,
藤井薬局東通店,052019,秋田県,秋田市,39.715672,140.137115,018-833-4193,018-833-4114,010-0003,秋田市東通1-22-1,月・火・水・金9:00~19:00 土9:00~17:00,無,,
調剤薬局ツルハドラッグ東通店,052019,秋田県,秋田市,39.711964,140.139801,018-884-3320,018-884-3320,010-0003,秋田市東通8-1-31,月~金9:00~18:00,有,080-6067-8536,
河畔薬局秋田店,052019,秋田県,秋田市,39.710682,140.11702,018-836-7517,018-836-7518,010-0011,秋田県秋田市南通亀の町3-18,月、火、木、金8:30~18:00水       8:30~16:30土       8:30~13:00,有,090-4559-0815,
アイン薬局中通店,052019,秋田県,秋田市,39.711327,140.124359,018-884-7213,018-884-7223,010-0013,秋田市南通築地2-31,月~金9:00~18:00土9:00~13:00,有,018-884-7213,
かりほ橋薬局,052019,秋田県,秋田市,39.707481,140.11409,018-866-1515,018-866-1516,010-0021,秋田市楢山登町5-24,月~金8:30~18:30土8:30~12:00第2土・日休み,無,,
イオン薬局秋田中央店,052019,秋田県,秋田市,39.704174,140.109818,018-884-1311,018-884-1399,010-0029,秋田市楢山川口境5-11,月~金9:00~20:00土9:00~19:00,無,,
佐野薬局広面樋ノ上店,052019,秋田県,秋田市,39.71434,140.147095,018-827-3851,018-827-3852,010-0041,秋田市広面字樋ノ上11,月火水金9:00~18:00木9:00~13:00土9:00~14:00,有,018-827-3855,
城東薬局,052019,秋田県,秋田市,39.716255,140.145905,018-831-6777,018-831-7222,010-0041,秋田市広面字鍋沼56-1,月火木金9:00~18:00木8:45~16:45土9:00~12:30,有,018-831-6777,
佐野薬局広面店,052019,秋田県,秋田市,39.728954,140.147156,018-831-8001,001-881-8002,010-0041,秋田市広面字堤敷25-1 ,月~土9:00~19:00日祝日9:00~18:00(お盆、年末年始を除く),有,018-831-8007,
佐野薬局城東店,052019,秋田県,秋田市,39.717155,140.144775,018-853-0038,018-853-1471,010-0041,秋田市広面字鍋沼93-6 ,月・火・木・金8:30~18:00水8:30~16:30土8:30~12:30,有,018-853-1473,
日本調剤秋田薬局,052019,秋田県,秋田市,39.729149,140.149078,018-853-0386,018-853-0387,010-0041,秋田市広面字蓮沼44-2,月~金9:00~18:00土9:00~13:00,有,070-2817-3634,
佐野薬局東通店,052019,秋田県,秋田市,39.710819,140.137756,018-853-1660,018-853-1662,010-0041,秋田市広面字野添54 ,月・火・水・金8:30~18:00木8:30~17:00土8:30~15:00,有,080-1694-5576,
アイランド薬局広面店,052019,秋田県,秋田市,39.727844,140.146027,018-853-7350,018-853-7351,010-0041,秋田市広面字近藤堰越31-4,月木金9:00~18:00火9:00~20:00土9:00~14:00,有,018-853-7350,
佐野薬局赤沼店,052019,秋田県,秋田市,39.726933,140.145401,018-853-7555,018-853-7566,010-0041,秋田市広面字近藤堰添48-1 ,月・火・木・金8:30~18:00水8:30~16:30土8:30~12:30,有,018-853-7757,
なごみ調剤薬局,052019,秋田県,秋田市,39.723564,140.143936,018-874-7016,018-874-7066,010-0041,秋田市広面字家ノ下35-1,月~水・金8:30~18:15土8:30~17:15,無,,
池田薬局ほのぼの店,052019,秋田県,秋田市,39.725807,140.149643,018-884-0090,018-834-0047,010-0041,秋田市広面字蓮沼87-1,月火水金9:00~18:30木9:00~17:00土9:00~13:00,有,080-2822-3803,
調剤薬局ツルハドラッグ秋田広面北店,052019,秋田県,秋田市,39.725739,140.150452,018-884-3255,018-884-3255,010-0041,秋田市広面字蓮沼94-1,月~日9:00~18:00祝休み,無,,
調剤薬局ツルハドラッグ秋田広面店,052019,秋田県,秋田市,39.716415,140.148972,018-893-6932,018-893-6932,010-0041,秋田市広面字樋ノ沖93-1,月~金 9:00~18:00,無,,
調剤薬局ツルハドラッグ秋田広面西店,052019,秋田県,秋田市,39.716373,140.148285,018-827-7973,018-827-7973,010-0041,秋田市広面字鍋沼10番地1,月~金:09:00~18:00土:09:00~13:00,無,,
佐野薬局桜三丁目店,052019,秋田県,秋田市,39.709862,140.150131,018-874-8015,018-874-8016,010-0042,秋田市桜3-1-34 ,月・火・水・木・土8:30~17:30,有,018-874-8015,
ヨコカナ薬局,052019,秋田県,秋田市,39.704208,140.146347,018-827-4600,018-827-4601,010-0044,秋田市横森3丁目11−60,月・火・木・金 9:00~18:00水 9:00~17:00土 9:00~13:00,有,090-4883-5760,
専仁堂薬局,052019,秋田県,秋田市,39.700584,140.116608,018-835-4645,018-835-4649,010-0062,秋田市牛島東1-2-7,月~金8:30~18:00土8:30~12:30,有,018-835-4645,
アイリス薬局,052019,秋田県,秋田市,39.696106,140.125031,018-835-6040,018-835-6002,010-0062,秋田市牛島東5-9-39 ,月・火・木・金8:30~18:30水8:30~17:00土8:00~12:30,有,018-835-6040(転送),
きむら薬局,052019,秋田県,秋田市,39.697601,140.10437,018-853-6206,018-853-6207,010-0065,秋田市茨島2-15-34 ,月・火・木・金8:30~18:00水8:30~17:00土8:30~12:30,有,018-853-6206,
卸町薬局,052019,秋田県,秋田市,39.6968,140.103073,018-863-9500,018-863-9501,010-0065,秋田市茨島4-4-28,月火木金9:00~18:00水9:00~17:00土9:00~13:00,有,070-2643-7450,
佐野薬局下新城店,052019,秋田県,秋田市,39.805103,140.058838,018-893-3267,018-872-1030,010-0141,秋田市下新城長岡字毛無谷地264-3 ,月~金8:30~18:00土8:30~13:00,有,018-893-3268,
追分佐野薬局,052019,秋田県,秋田市,39.807858,140.057037,018-873-7002,018-873-7003,010-0146,秋田市下新城中野字琵琶沼226-1 ,月~金8:30~18:00土8:30~13:00,有,018-873-7061,
調剤薬局ツルハドラッグ男鹿店,052060,秋田県,男鹿市,39.909466,139.908432,0185-22-2060,0185-22-2060,010-0342,男鹿市脇本脇本字石館16,月~金9:00~18:00第2・4木9:00~19:30土9:00~14:00,有,090-7934-9092,
わかみハ-ト薬局,052060,秋田県,男鹿市,39.931881,139.940598,0185-22-7151,0185-22-7152,010-0431,男鹿市払戸字渡部104-1 ,月・水・金8:30~19:30火8:30~18:30木8:30~16:30土8:30~13:00,有,090-3252-7837,
調剤薬局ツルハドラッグ大潟村店,053686,秋田県,南秋田郡大潟村,40.019497,139.959747,0185-45-3172,0185-45-2961,010-0443,南秋田郡大潟村中央1-5,月~金9:30~18:00土・日・祝休み,無,,
外旭川いわま薬局,052019,秋田県,秋田市,39.75082,140.095795,018-893-6555,018-893-6556,010-0802,秋田市外旭川字待合13-6,月~金9:00~18:00土9:00~13:00,有,080-2836-0132,
いずみメイプル薬局,052019,秋田県,秋田市,39.734711,140.126602,018-874-8555,018-868-7717,010-0814,秋田市泉東町8-58,月~金8:30~18:30土 8:30~13:00,有,018-874-8555,
藤井薬局,052019,秋田県,秋田市,39.717518,140.137009,018-832-9383,018-837-9383,010-0851,秋田市手形字中谷地325,月~金 9:30~19:00土 9:30~12:30,無,,
調剤薬局ツルハドラッグ秋田手形店,052019,秋田県,秋田市,39.719505,140.131134,018-827-5187,018-827-5187,010-0851,秋田市手形字山崎92-33,月~金9:00~13:00、14:00~18:00土9:00~13:00,無,,
今薬局,052019,秋田県,秋田市,39.719387,140.121338,018-833-2205,018-832-6481,010-0875,秋田市千秋明徳町2-19,月~水・金・土9:00~18:00 日9:00~12:30,無,,
ハッピ-調剤薬局秋田保戸野店,052019,秋田県,秋田市,39.728622,140.115814,018-827-6081,018-827-6082,010-0904,秋田市保戸野原の町15-8,月~金9:00~13:00、14:00~18:00,無,,
佐野薬局本店,052019,秋田県,秋田市,39.721119,140.117569,018-823-9361,018-823-9356,010-0912,秋田市保戸野通町3-31 ,月~土9:00~19:00日祝祭日9:00~18:00,有,018-823-9361,
佐野調剤薬局,052019,秋田県,秋田市,39.721264,140.116821,018-864-0866,018-865-4254,010-0912,秋田市保戸野通町4-15 ,月・火・水・金8:30~18:00木8:30~17:30土8:30~17:00日8:30~12:00,有,018-864-0868,
佐野薬局原の町店,052019,秋田県,秋田市,39.724876,140.112366,018-896-5568,018-863-6866,010-0913,秋田市保戸野鉄砲町10-6 ,月~金8:30~18:00土8:30~16:00,有,018-896-5567,
ほの花調剤薬局いずみ店,052019,秋田県,秋田市,39.735271,140.110764,018-838-6206,018-863-6777,010-0916,秋田市泉北三丁目17-17,月火木8:30~18:00水金8:00~16:00土8:30~16:00,有,018-838-6206,
矢野薬局,052019,秋田県,秋田市,39.731647,140.117355,018-863-5005,018-863-5981,010-0917,秋田市泉中央5-18-12,月~金9:00~17:45土9:00~14:00,有,018-863-5005,
調剤薬局ツルハドラッグ秋田泉南店,052019,秋田県,秋田市,39.729301,140.114578,018-827-7159,018-827-7159,010-0918,秋田市泉南3-23-24,月~金9:00~13:00、14:00~18:00,無,,
ラベンダ-薬局,052019,秋田県,秋田市,39.729301,140.117249,018-867-8338,018-867-8339,010-0918,秋田市泉南3-18-11 ,月~金8:30~18:00土8:30~13:30,有,018-867-8338,
山田相談薬局,052019,秋田県,秋田市,39.720676,140.113449,018-863-0063,018-865-3288,010-0921,秋田市大町1-6-21,月~金9:00~18:00土9:00~13:00,無,,
大町いわま薬局,052019,秋田県,秋田市,39.717426,140.114502,018-893-5777,018-893-5770,010-0921,秋田市大町3-4-40,月~金9:00~18:00土9:00~15:00,有,090-2251-6105,
旭南いわま薬局,052019,秋田県,秋田市,39.712482,140.109238,018-893-5677,018-893-5665,010-0925,秋田市旭南1-1-6 ,月~金8:30~18:00土8:30~13:00,有,090-9034-7731,
佐野薬局中央店,052019,秋田県,秋田市,39.712742,140.104462,018-824-6222,018-824-6225,010-0931,秋田市川元山下町7-35 ,月~金9:00~18:00日8:30~12:30日・祝8:30~17:30(輪番時:不定休),有,018-824-6223,
かがや薬局,052019,秋田県,秋田市,39.71225,140.104675,018-865-7231,018-865-7232,010-0932,秋田市川元開和町1-5,月・火・水・金8:30~18:00木8:30~17:00土8:30~17:30,有,018-865-7231,
みどりさわやか薬局,052019,秋田県,秋田市,39.712769,140.102997,018-866-7571,018-866-4255,010-0933,秋田市川元松丘町4-57,月~金9:00~17:45土9:00~13:00日・祝休み,有,018-866-7571(転送),
調剤薬局ツルハドラッグ秋田川尻店,052019,秋田県,秋田市,39.713413,140.096466,018-896-4268,018-896-4268,010-0943,秋田市川尻御休町5-27,月~金9:00~13:00、14:00~18:00土・日・祝休み,無,,
加賀千代薬局,052019,秋田県,秋田市,39.709461,140.102158,018-862-1050,018-862-1321,010-0947,秋田市川尻上野町1-73,月・火・木・金8:45~19:00水8:45~18:00土8:45~15:00,有,090-5353-0324,
調剤薬局ツルハドラッグ秋田山王店,052019,秋田県,秋田市,39.714809,140.103806,018-862-2682,018-862-2682,010-0951,秋田市山王5-7-16,月~金9:00~13:00、14:00~18:00,無,,
山王たいよう薬局,052019,秋田県,秋田市,39.71487,140.10527,018-863-3045,018-863-7660,010-0951,秋田市山王5-10-28はりまビル,月~水・金8:30~18:20木8:30~16:30土8:30~12:00,有,018-863-3045,
山王薬局,052019,秋田県,秋田市,39.719563,140.105743,018-863-6132,018-823-0013,010-0951,秋田市山王2-1-49 ,月・火・水・金8:30~18:30水8:30~16:30土8:30~13:00,有,080-1834-4552,
山王佐野薬局,052019,秋田県,秋田市,39.713924,140.09639,018-823-3371,018-823-3374,010-0953,秋田市山王中園町3-11 ,月~金8:30~18:00土8:30~15:00,有,0188-23-3630,
みんなの薬局山王,052019,秋田県,秋田市,39.713924,140.09639,018-862-1711,018-862-1716,010-0953,秋田市山王中園町3-3 ,月~金8:30~18:00土8:30~13:00,有,018-827-7720,
佐野薬局八橋大畑店,052019,秋田県,秋田市,39.733608,140.095596,018-853-8603,018-853-8604,010-0962,秋田市八橋大畑2-3-2 ,月・火・水・金8:30~18:00土8:30~16:00日8:30~12:30,有,080-1683-9901,
八橋佐野薬局,052019,秋田県,秋田市,39.723125,140.101807,018-883-4088,018-883-4089,010-0973,秋田市八橋本町3-1-45 ユニバ-スビル1階,月・水8:30~17:00火・木・金8:30~18:30土8:00~13:00,有,018-883-4068,
雄和薬局,052019,秋田県,秋田市,39.591694,140.16864,018-886-5027,018-886-5072,010-1223,秋田市雄和妙法字上大部133-3,月・火・金8:30~17:30 水8:30~18:30 木8:30~16:30 土 8:30~13:00,有,018-886-5027 (転送対応),
秋田みなみ会営薬局,052019,秋田県,秋田市,39.686001,140.156052,018-889-6220,018-889-6164,010-1406,秋田市上北手猿田字苗代沢207-3,月~金 8:30~18:00 土・日・祝休み,有,018-889-6220,
金星堂薬局,052019,秋田県,秋田市,39.688297,140.162827,018-892-7377,018-892-7280,010-1409,秋田市南ケ丘2-9-1,月~金9:00~17:30 土9:00~14:00,有,018-892-7377,
イオン薬局御所野店,052019,秋田県,秋田市,39.663094,140.160889,018-889-6602,018-889-6603,010-1413,秋田市御所野地蔵田1-1-1,日~土9:00-20:00,無,,
調剤薬局ツルハドラッグ秋田御所野店,052019,秋田県,秋田市,39.660267,140.162582,018-892-6226,018-892-6226,010-1414,秋田市御所野元町1丁目1番17号,月・火・木・金9:00~18:00水9:00~18:00土9:00~17:00,無,,
佐野薬局御野場店,052019,秋田県,秋田市,39.67408,140.125397,018-853-6722,018-853-6733,010-1421,秋田市仁井田本町5-7-6 ,月・火・水・金9:00~18:00木・土9:00~17:00,有,018-853-7980,
みゆき調剤薬局,052019,秋田県,秋田市,39.677425,140.133972,018-892-6789,018-892-6781,010-1421,秋田市仁井田本町3-26-35,月・火・木・金9:00~18:15 水・土9:00~13:00,無,,
調剤薬局ツルハドラッグ秋田仁井田店,052019,秋田県,秋田市,39.679104,140.124695,0188-27-7055,0188-27-7055,010-1427,秋田市仁井田新田2-5-16,月~金9:00~13:00、14:00~18:00,無,,
ハ-モニ-薬局,052019,秋田県,秋田市,39.692612,140.122009,018-831-3911,018-831-3912,010-1431,秋田市仁井田二ツ屋一丁目3-44,月~金9:00~18:00,有,018-831-3911,
佐野薬局大住店,052019,秋田県,秋田市,39.689148,140.118134,018-838-1202,018-838-1203,010-1436,秋田市大住3-3-44 ,月・火・水・金8:30~18:15土8:30~15:15,有,018-838-1121,
大住調剤薬局,052019,秋田県,秋田市,39.688087,140.114838,018-874-7611,018-874-7612,010-1436,秋田市大住4-12-51 ハイツちひろ1F,月~金9:00~18:00土9:00~13:00,有,018-874-7611,
佐野薬局勝平店,052019,秋田県,秋田市,39.704117,140.086166,018-883-5166,018-883-5167,010-1612,秋田市新屋豊町10-6 ,月~金8:30~18:00土8:30~13:00,有,018-883-5168,
たんぽぽ薬局,052019,秋田県,秋田市,39.705933,140.083694,018-896-5025,018-896-5026,010-1617,秋田市新屋松美ガ丘東町2-9 ,月・火・水・金8:30~18:30水8:30~16:30土8:30~13:00,有,018-896-5025,
さわやか薬局新屋店,052019,秋田県,秋田市,39.683281,140.082932,018-888-8371,018-888-8372,010-1638,秋田市新屋表町4-1,月曜日 8:45~20:00火・木・金曜日 8:45~18:00水曜日 8:45~16:00土曜日 8:45~13:00,有,018-888-8371(転送),
やばせ薬局,052019,秋田県,秋田市,39.734451,140.090393,018-846-1233,018-846-1275,011-0902,秋田市寺内堂ノ沢1-4-15,月・火・木・金8:30~17:30水8:30~17:00土8:30~12:30,有,080-1820-1275,
クオ-ル薬局秋田飯島店,052019,秋田県,秋田市,39.790874,140.057571,018-880-5189,018-880-5190,011-0911,秋田市飯島堀川83-1,月~金9:00~17:00土9:00~12:00,有,080-2233-8738,
半田薬局,052019,秋田県,秋田市,39.755219,140.083557,018-846-5778,018-857-3643,011-0931,秋田市将軍野東一丁目5-18,月~金8:30~18:30土8:30~17:00,有,018-846-5778,
将軍野いわま薬局,052019,秋田県,秋田市,39.746075,140.087601,018-847-1218,018-846-6583,011-0936,将軍野南4-6-24-2,月~金9:00~18:00土9:00~13:00,有,070-9288-3210,
佐野薬局将軍野店,052019,秋田県,秋田市,39.750759,140.083557,018-847-1551,018-847-1661,011-0936,秋田市将軍野南5-12-31 ,月・火・木・金9:00~18:00水9:00~17:00土9:00~12:00,無,,
すずらん薬局港北店,052019,秋田県,秋田市,39.766911,140.080032,018-816-0301,018-816-0305,011-0941,秋田市土崎港北3丁目11-17,月火木金8:30~18:00水8:30~17:00土8:30~13:00,有,018-816-0301,
池田薬局土崎店,052019,秋田県,秋田市,39.761505,140.082245,018-827-6275,018-827-6276,011-0941,秋田市土崎港北2-17-16 ,月~水9:00~18:00木・土9:00~13:00,有,080-2847-9741,
イオン薬局土崎港店,052019,秋田県,秋田市,39.747196,140.073059,018-846-9912,018-846-9982,011-0943,秋田市土崎港南2-3-41,年中無休9:00~19:00,無,,
舛屋薬局,052019,秋田県,秋田市,39.754646,140.067749,018-845-4181,018-845-4182,011-0946,秋田市土崎港中央3丁目4-35,月~金8:30~18:00、土8:30~13:00,有,090-1067-7708,
すばる薬局,052019,秋田県,秋田市,39.754913,140.074081,018-857-1422,018-845-1545,011-0946,秋田市土崎港中央6-2-1 ,月・火・水・金8:30~18:30木・土8:30~17:30,無,,
ファ-マックスあきた薬局,052019,秋田県,秋田市,39.767624,140.093079,018-874-8765,018-874-8766,011-0948,秋田市飯島西袋1-1-5,月~金8:30~18:00,有,018-874-8765,
雄勝調剤薬局,052078,秋田県,湯沢市,39.144489,140.454773,0183-72-3210,0183-73-8436,012-0055,湯沢市山田字勇ケ岡31,月~金8:30~18:00日8:30~17:30,有,0183-72-3210,
サン薬局,052078,秋田県,湯沢市,39.167145,140.490753,0183-73-7557,0183-73-7552,012-0827,湯沢市表町3-2-1 ,月・火・木・金8:45~18:00水8:45~16:45土8:45~16:00,無,,
クオ-ル薬局湯沢表町店,052078,秋田県,湯沢市,39.169025,140.489609,0183-78-0588,0183-78-0585,012-0827,湯沢市表町4-9-10,月・火・水・金8:30~17:30木8:30~16:30土8:30~12:30,有,070-4221-7318,
池田薬局佐竹通り店,052078,秋田県,湯沢市,39.162327,140.492569,0183-55-8562,0183-55-8563,012-0841,湯沢市大町1-29-1 ,月~金8:30~17:30土8:30~13:00,有,080-1650-1194,
調剤薬局ツルハドラッグ湯沢大町店,052078,秋田県,湯沢市,39.162861,140.492004,0183-79-5056,0183-79-5056,012-0841,湯沢市大町2-1-10,月~金9:00~13:30、14:30~18:00,無,,
日本調剤羽後薬局,054631,秋田県,雄勝郡羽後町,39.195019,140.41246,0183-78-4200,0183-78-4202,012-1100,雄勝郡羽後町南西馬音内169-3,月~金9:00~18:00土9:00~13:00,有,090-1558-6629,
きむら薬局,054631,秋田県,雄勝郡羽後町,39.194664,140.400604,0183-62-1237,0183-62-3989,012-1131,雄勝郡羽後町西馬音内字本町30-2,月~土8:30~18:30,有, 0183-62-1237,
羽後調剤薬局,054631,秋田県,雄勝郡羽後町,39.194664,140.400604,0183-78-4123,0183-78-4124,012-1131,雄勝郡羽後町西馬音内字大戸道44-6,月~金8:00~18:00土8:30~12:30,有,0183-78-4123,
下田薬局,052035,秋田県,横手市,39.317657,140.566162,0182-32-0583,0182-32-0583,013-0022,横手市四日町1-2 ,月~金8:00~17:30土8:00~13:00,有,090-2888-6501,
イオン薬局横手店,052035,秋田県,横手市,39.298595,140.553864,0182-36-3770,0182-36-3771,013-0043,横手市安田字向田147,年中無休 9:00~13:00、14:00~18:00,無,,
どれみ薬局,052035,秋田県,横手市,39.309212,140.550827,0182-23-5191,0182-23-5192,013-0060,横手市条里1-15-26,"月~金8:30~18:001,3土8:30~15:002,4土8:30~13:30",有,0182-23-5191,
たいよう薬局横手店,052035,秋田県,横手市,39.314041,140.552246,0182-35-6676,0182-35-6678,013-0060,横手市条里3-1-10 ,月・火・水・金9:00~19:00木・土9:00~17:00,有,090-9748-2396,
つばさ薬局横手店,052035,秋田県,横手市,39.315933,140.553421,0182-35-7150,0182-35-7160,013-0060,横手市条里3-3-11,月~水・金8:30~18:00土8:30~17:00,有,080-1840-3403,
平鹿調剤薬局中央店,052035,秋田県,横手市,39.314514,140.550323,0182-33-2272,0182-33-3144,013-0061,横手市横手町字四ノ口56-1,月~金8:30~18:00土8:30~17:00日祝8:30~17:00(輪番制),有,0182-33-2272,
クオ-ル薬局横手町店,052035,秋田県,横手市,39.319176,140.5504,0182-35-5289,0182-35-5290,013-0061,横手市横手町大関越175,月火水金8:30~18:00木8:30~16:30土8:30~13:00第3日曜日8:30~12:30,有,0182-35-5289,
調剤薬局ツルハドラッグ横手平鹿店,052035,秋田県,横手市,39.269203,140.49707,0182-38-8448,0182-38-8448,013-0106,横手市平鹿町中吉田字竹原90-1,月~金8:30~12:30、13:30~17:30,無,,
しろがね調剤薬局,052124,秋田県,大仙市,39.464504,140.473221,0187-62-5466,0187-62-5467,014-0014,大仙市大曲福住町3-19 ,月・火・木・金8:30~18:00水8:30~16:30土8:30~13:00,有,0187-62-5466,
池田薬局大曲店,052124,秋田県,大仙市,39.465809,140.475327,0187-73-7500,0187-73-7502,014-0014,大仙市大曲福住町9-22,月・火・木・金8:30~18:00水8:30~13:00土8:30~15:00,有,080-1650-4474,
調剤薬局ツルハドラッグ大曲福田店,052124,秋田県,大仙市,39.469563,140.480774,0187-86-3306,0187-86-3306,014-0021,大仙市福田町22-23-6,月~土9:00~18:00,無,,
仙北調剤薬局,052124,秋田県,大仙市,39.46455,140.476715,0187-63-5880,0187-63-0433,014-0027,大仙市大曲通町8-36,月~金8:30~18:00土・日8:30~17:30,有,0187-63-5880,
日本調剤大曲薬局,052124,秋田県,大仙市,39.46455,140.476715,0187-66-3950,0187-66-3951,014-0027,大仙市大曲通町8-36 Anbee大曲1F,月~金9:00~18:00,有,090-3313-7074,
イオン薬局大曲店,052124,秋田県,大仙市,39.438168,140.509277,0187-66-3168,0187-66-3169,014-0033,大仙市和合坪立177,9:00~21:00,無,,
