施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
萬屋薬局七日町店,062014,山形県,山形市,38.252232,140.338531,023-642-1889,023-642-1878,990-0042,山形市七日町1-2-35,月~土9:00~18:00,有,080-4935-7473,
萬屋薬局みなみ店,062014,山形県,山形市,38.234825,140.309937,023-644-7000,023-644-7022,990-2461,山形市南館4-4-13,月・水・木・金9:00~18:00 火9:00~17:00 土9:00~13:00,無,,
緑町Kokoro薬局,062014,山形県,山形市,38.253754,140.351608,023-679-5890,023-679-5891,990-0041,山形市緑町4-14-63,月火木金9:00~18:00 水9:00~17:00 土9:00~13:00,無,,
陵南調剤薬局,062065,山形県,寒河江市,38.372524,140.262802,0237-85-0405,0237-85-0406,991-0057,寒河江市内ノ袋1-9-6,月~水・金9:00~18:00木9:00~17:00土9:00~13:00,有,080-6015-0405,
有限会社斎藤薬局,062030,山形県,鶴岡市,38.724236,139.835129,0235-22-1342,0235-22-2217,997-0026,鶴岡市大東町25-15,月~金8:30~19:00土8:30~18:00,有,0235-22-1442,
茂木薬局,063215,山形県,西村山郡河北町,38.41489,140.313034,0237-73-4100,0237-72-7101,999-3511,西村山郡河北町谷地字月山堂387,"月~金9:00~18:00第2,第4土10:00~18:00",有,0237-72-4100,
茂木調剤薬局中央店,063215,山形県,西村山郡河北町,38.416782,140.307495,0237-85-0231,0237-85-0232,999-3512,西村山郡河北町谷地中央5-9-16,月火水金9:00-18:30 木土9:00-13:00,有,090-7061-5669,
宝田薬局,062030,山形県,鶴岡市,38.755608,139.840424,0235-35-1700,0235-35-1701,997-0038,鶴岡市北茅原町1-21,月火水金9:00-18:30 土9:00-16:00 日祝日は閉局,有,0235-35-1700,
浜田薬局,062073,山形県,上山市,38.152615,140.276596,023-672-0250,023-672-0501,999-3134,上山市矢来1-5-3,月~金9:15~17:45土9:30~12:00,有,090-6259-4226,
尾花沢調剤薬局市役所前店,062120,山形県,尾花沢市,38.601646,140.405045,0237-53-8250,0237-23-5385,999-4228,尾花沢市上町1-1-27,月-金9:00-18:00 土9:00-13:00,有,0237-53-8250,
尾花沢調剤薬局,063410,山形県,北村山郡大石田町,38.578163,140.3927,0237-22-3525,0237-24-1525,999-4113,北村山郡大石田町大字今宿890-5,月火水金8:30-17:30 土8:30-12:30  〈隔週で〉土8:30-17:30〈隔週で〉日8:30-12:30,有,0237-22-3525(転送になります),
