施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ファ-マライズ薬局南福島店,204510,長野県,東筑摩郡朝日村,37.724228,140.45694,024-539-8989,024-544-2488,390-1102,福島市永井川字壇ノ腰6-1 エトワ-ル南福島103号,月・火・木・金 9:00~18:00水 9:00~17:00土 9:00~13:00日祝休み,有,024-539-8989,緯度経度(不一致)
ニュ-ロン薬局泉佐野店,272132,大阪府,泉佐野市,34.40984,135.318573,0724-69-5588,0724-69-5589,598-0007,泉佐野市上町3-700 メディカルモ-ル,月~金 9:00~20:00 土 9:00~18:00日・祝休み,有,0724-69-5588,
コスモ調剤薬局森合西店,,,,37.768497,140.444427,024-555-6581,024-555-6582,960-0003,福島市森合字高野1-15,月~水・金 8:45~18:15木 8:45~17:45土 8:45~12:45,有,024-555-6581,郵便番号
けや木薬局,072010,福島県,福島市,37.80703,140.491425,024-553-6505,024-573-1120,960-0101,福島市瀬上町字幸町9-2,月・火・木・金 8:30~18:00水 8:30~16:30土 8:30~13:00,有,024-553-6505(転送),
モトマチ薬局,072010,福島県,福島市,37.803356,140.491455,024-553-3150,024-554-5031,960-0101,福島市瀬上町字本町22,月~金9:00~18:00土9:00~13:00,有,090-953-25305,
アイン薬局 福島鎌田店,072010,福島県,福島市,37.790348,140.488434,024-553-8399,024-553-8409,960-0102,福島市鎌田字舟戸前9-1,月~水・金・土 8:30~18:00木 8:30~16:30,有,024-553-8399,
ファ-マライズ薬局 卸町店,072010,福島県,福島市,37.795383,140.481705,024-552-6135,024-552-6136,960-0102,福島市鎌田字卸町12-1,月~水・金 8:45~18:00木 8:45~16:45土 8:45~13:00,有,024-552-6135,
ファ-マライズ薬局 鎌田店,072010,福島県,福島市,37.796482,140.478546,024-554-2266,024-554-2280,960-0102,福島市鎌田字中江10-5,月~金 9:00~17:30土 9:00~13:00,有,024-554-2280(転送電話),
ほばら薬局鎌田店,072010,福島県,福島市,37.790417,140.486465,024-563-3044,024-563-3049,960-0102,福島市鎌田字町東2-5,月・火・木・金8:30~18:00水・土8:30~12:30,無,,
ウエルシア薬局福島鎌田店,072010,福島県,福島市,37.791618,140.483765,	024-	552-	6428,nan,960-0102,福島市鎌田字西5-1,月-金 9:00-19:00土 9:00-14:00 15:00-19:00日・祝 休み,無,,
すず薬局 本内店,072010,福島県,福島市,37.783516,140.486664,024-597-8556,024-597-8557,960-0103,福島市本内字東町5-3,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~13:00/金9:00~18:00/土9:00~13:00/備考:第4木曜日のみ閉局 ※日曜・祝祭日は閉局しております,有,024-597-8556,
エ-ル薬局笹谷東店,072010,福島県,福島市,37.791897,140.450745,024-573-0831,024-573-0832,960-0112,福島市南矢野目字道下35-10,月・火・木・金 9:00~18:30水 9:00~17:00土 9:00~13:00,有,024-573-0831,
エ-ル薬局南矢野目店,072010,福島県,福島市,37.78997,140.47998,024-573-1961,024-573-1962,960-0112,福島市南矢野目字上戸ノ内10-15,月・火・木・金 8:00~12:30、13:30~18:00水 8:00~17:00第1・3・5土 8:00~12:30第2・4土 8:00~12:00,有,024-573-1961,
コスモ調剤薬局北中央公園前店,072010,福島県,福島市,37.789547,140.448303,024-555-0028,024-555-0226,960-0112,福島市南矢野目字清水前31-5,月・金 9:00~19:00火・水 8:30~19:00木 9:00~17:00土 8:30~14:30,無,,
なの花薬局北矢野目店,072010,福島県,福島市,37.792503,140.459778,024-557-5227,024-557-5228,960-0113,福島市北矢野目字原田67-17,月・木8:30~17:15水・金8:30~19:15土8:30~13:00,有,024-557-5227,
ふたば薬局笹谷店,072010,福島県,福島市,37.794174,140.436569,024-555-5535,024-555-5622,960-0241,福島市笹谷字中田4-17,月・火・木・金9:00~18:30水9:00~17:00土9:00~13:00,有,024-555-5535(転送),
ぷらんたん薬局ささや,072010,福島県,福島市,37.793411,140.443832,024-555-0880,024-555-6886,960-0241,福島市笹谷字塗谷地37-15,月~金8:30~18:30,有,024-555-0880,
エ-ル薬局伊達店,072133,福島県,伊達市,37.822296,140.505295,024-551-1077,024-551-1066,960-0418,伊達市岡前20-4,月~金 8:30~18:00土 8:30~15:00,有,024-551-1077,
コスモ調剤薬局伊達町店,072133,福島県,伊達市,37.820217,140.500702,024-551-2920,024-551-2021,960-0461,伊達市片町38-2,月~金8:30~18:00土 8:30~13:00日祝休み,無,,
おり-ぶ薬局 伊達店,072133,福島県,伊達市,37.821693,140.497147,024-583-2109,024-584-2068,960-0474,伊達市沓形41番地11,月~金 9:00~18:00土 9:00~16:00,有,024-583-2109,
保原薬局伊達店,072133,福島県,伊達市,37.819447,140.518646,024-583-3011,024-583-3015,960-0502,伊達市箱崎字中21-6,月~日8:30~18:00,有,024-583-3011,
コスモ調剤薬局,072133,福島県,伊達市,37.824604,140.557098,024-576-4620,024-576-4650,960-0601,伊達市保原町字栄町81-5,月~金8:30~18:00土8:30~13:30,無,,
保原薬局,072133,福島県,伊達市,37.821125,140.559113,024-576-3756,024-576-3758,960-0611,伊達市保原町字城ノ内61-1,月~土8:30~18:00,無,,
保原薬局本店,072133,福島県,伊達市,37.821125,140.559113,024-575-2109,024-575-1279,960-0611,伊達市保原町城ノ内57-1,月~土8:30~18:00,有,024-575-2109,
アップル薬局保原店,072133,福島県,伊達市,37.823349,140.553894,024-575-3633,024-575-0661,960-0619,伊達市保原町9-3-25,月~金8:30~18:00土8:30~16:00,有,090-7064-1254,
