施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
しんわ薬局山本店,092010,栃木県,宇都宮市,36.584393,139.877365,028-600-4003,028-600-3631,320-0012,宇都宮市山本3-9-7,9:00~18:00,有,028-600-4003,
しんわ薬局馬場通り店,092010,栃木県,宇都宮市,36.561413,139.884995,028-616-1715,028-616-1716,320-0026,宇都宮市馬場通り1-1-6,火水9:00~18:30 水金9:00~13:00 土9:00~14:00,有,028-616-1715,
しんわ薬局泉町店,092010,栃木県,宇都宮市,36.561821,139.879837, 028-627-1428,028-627-1461,320-0034,宇都宮市泉町1-26 佐藤ビル1F,月~水・金9:00~18:15木・土9:00~17:00,無,,
セサミ薬局泉町店,092010,栃木県,宇都宮市,36.561821,139.879837,028-627-1428,028-627-1461,320-0034,宇都宮市泉町1-26,月~水・金9:00~18:15 土9:00~17:00,無,,
ふくろう薬局,092010,栃木県,宇都宮市,36.561855,139.875702,028-611-3201,028-611-3202,320-0035,宇都宮市伝馬町4-32 大造ビル1階,9:00~18:00,有,028-611-3201,
ファ-コス薬局くじら,,,,36.571659,139.872482,028-600-5751,028-600-5752,320-0041 ,宇都宮市松原2-7-25,月~水・金9:00~18:00木9:00~17:00土9:00~13:00,無,,郵便番号
ピノキオファ-マシ-ズ桜店,092010,栃木県,宇都宮市,36.56657,139.868546,028-612-2782,028-612-2783,320-0043,宇都宮市桜2-5-40,月火水金土9:00~18:00 木9:00~17:00,有,028-612-2782,
アルファ-ム薬局一の沢店,092010,栃木県,宇都宮市,36.568047,139.862534,028-649-0310,028-647-5552,320-0046,宇都宮市西一の沢町2-10,月火水金土9:30~18:30 木9:00~17:00,有,090-1436-2176,
ハ-モニ-薬局北一の沢店,092010,栃木県,宇都宮市,36.569618,139.866028,028-621-7717,028-621-7715,320-0048,宇都宮市北一の沢町4-10ジュネス・ガ-デン105,月火水金9:00~18:30 木土9:00~17:00,有,028-621-7717,
ウエルシア薬局宇都宮戸祭店,092010,栃木県,宇都宮市,36.572182,139.868332,028-650-4755,028-650-4756,320-0053,宇都宮市戸祭3022,月~土 9:00~20:00日・祝 10:00~14:00、15:00~19:00,無,,
中央薬局東峰店,092010,栃木県,宇都宮市,36.538933,139.921265,028-663-8777,082-663-8775,320-0055,宇都宮市東峰町3441-158,8:30~19:00,有,090-1990-6205,
そうごう薬局宇都宮店,092010,栃木県,宇都宮市,36.579544,139.868378,028-624-5609,028-622-7064,320-0057,宇都宮市中戸祭1-8-21,月~金8:30~18:00土09:00~13:00,有,028-624-5609,
とちぎ薬局本店,092010,栃木県,宇都宮市,36.579567,139.868942,028-650-6086,028-650-6087,320-0057,宇都宮市中戸祭1-7-2,月-金9:00-18:00 土9:00-13:00 日祝日休み,有,028-678-2256,
とちぎ薬局宝木店,092010,栃木県,宇都宮市,36.581104,139.858994,028-680-4160,028-680-4163,320-0061,宇都宮市宝木町1-2589-21,9:00~18:30,有,090-1501-5425,
UK駒生薬局,092010,栃木県,宇都宮市,36.581856,139.8396,028-652-7088,028-652-7089,320-0065,宇都宮市駒生町1359-93,9:00~18:00,有,080-5686-1103,
セイムスケヤキ薬局,092010,栃木県,宇都宮市,36.584541,139.847473,	028-	623-	5567,nan,320-0065,宇都宮市駒生町3367-176,月-木:9:00-14:00 15:00-18:30金:9:00-12:30 15:00-19:30土:9:00-13:00日祝:休,有,,
調剤薬局ツルハドラッグ宇都宮野沢店,092010,栃木県,宇都宮市,36.607185,139.857086,028-666-3811,028-666-3811,320-0071,宇都宮市野沢町53-1,月・火・木・金9:00~19:00 水9:00~18:00土9:00~15:00,有,028-666-3811,
東邦薬局宇都宮野沢店,092010,栃木県,宇都宮市,36.605568,139.856812,028-665-3421,028-665-3422,320-0071,宇都宮市野沢町45-1,9:00-17:00,有,080-5691-3895,
あい薬局,092010,栃木県,宇都宮市,36.559017,139.883728,028-651-2333,028-651-2338,320-0806,宇都宮市中央1-3-8,9:00~18:00(水曜日は17時まで),有,070-2194-7415,
