施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
(有)タカノ薬局北店,102040,群馬県,伊勢崎市,36.358418,139.189529,0270-61-8666,0270-61-8667,372-0001,伊勢崎市波志江町2779-6,月-水・金9:00-13:30、15:00-19:00 木9:00-17:00 土9:00-14:00,有,070-3663-1193,
(有)タナカ タナカ薬局,102083,群馬県,渋川市,36.465019,139.027756,0279-22-1184,0279-22-1240,377-0004,渋川市半田1481-6,月~土9:00~19:00,有,0279-22-1184,
(有)金子調剤薬局,102016,群馬県,前橋市,36.38406,139.066574,027-223-8466,027-223-9299,371-0025,前橋市紅雲町2-20-10,月-金9:00-18:30 土9:00-12:30,有,027-223-8466,
LACみどり薬局,102059,群馬県,太田市,36.272942,139.387405,0276-47-7980,0276-47-7981,373-0816,太田市東矢島町1260-1,月~水・金8:30~18:30木8:30~16:30土8:30~12:30,有,0276-47-7980,
UK大手町薬局,102075,群馬県,館林市,36.246014,139.536667,0276-71-0070,0276-71-0080,374-0023,館林市大手町2-22,月木:9:00-17:30火水金9:00-18:30土9:00-12:30,有,090-3041-9911,
アイケイ薬局,102024,群馬県,高崎市,36.313362,139.041763,027-352-4400,027-353-2727,370-0852,高崎市中居町4-17-12,月~土8:30~20:00日、祝8:30~19:00,有,027-352-4400,
アイケイ薬局藤岡店,102091,群馬県,藤岡市,36.268585,139.076904,0274-22-4499,0274-22-4888,375-0015,藤岡市中栗須779-12,月~金9:00~19:00土9:00~13:00,有,0274-22-4499090-8589-0953,
アイケイ薬局矢中店,102024,群馬県,高崎市,36.310818,139.050934,027-353-6633,027-353-6634,370-1203,高崎市矢中町192-11,月~土9:00~19:00,有,027-352-4400,
アイセイ薬局伊勢崎店,102040,群馬県,伊勢崎市,36.277267,139.253204,0270-75-0633,0270-74-0663,370-0117,伊勢崎市境百々171-8,月-金9:00-19:30、土9:00-15:30,無,,
アイセイ薬局太田店,102059,群馬県,太田市,36.291195,139.403442,0276-60-3522,0276-48-6288,373-0807,太田市下小林町534-3,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~19:00/金9:00~19:00/土9:00~13:00,有,080-2378-8556,
