施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ドラッグセイムス新橋日比谷口薬局,131032,東京都,港区,35.66769,139.756927,03-6811-2091,03-6811-2092,105-0004,港区新橋2-6-2新橋アイマ-クビル1F,月-金:9:00-20:00、土:9:00-18:00,有,070-3033-2463,
健康福祉サ-ビス株式会社 中央薬局,121010,千葉県,千葉市中央区,35.612495,140.140656,043-235-1727,043-235-1728,260-0001,千葉市中央区都町2-16-6,月・金9:00~13:00・14:00~18:00 水・木9:00~13:00・15:00~18:00 土9:00~14:00,無,,
桃太郎薬局みやこ店,121010,千葉県,千葉市中央区,35.615604,140.144623,043-214-1189,043-214-1207,260-0001,千葉市中央区都町6-3-10,月・火・水・金9:00~18:30 木9:00~17:00 土9:00~13:00,有,043-214-1189,
薬局タカサ千葉都町店,121010,千葉県,千葉市中央区,35.614124,140.15036,043-214-7105,043-214-7106,260-0001,千葉市中央区都町5-36-1,月・木9:00~19:00 火9:00~17:00 水9:00~18:00 金9:00~14:00 土9:00~13:00,有,043-214-7105,
サンテ薬局都町店,121010,千葉県,千葉市中央区,35.615803,140.142944,043-231-8841,043-231-8911,260-0001,千葉市中央区都町1-47-23,月・火・木・金8:30~18:00 水8:30~16:30 土8:30~11:30,無,,
道場薬局,121010,千葉県,千葉市中央区,35.61285,140.130707,043-227-3691,043-227-3693,260-0005,千葉市中央区道場南1-15-30,月~土8:30~17:30,無,,
桃太郎薬局かめい店,121010,千葉県,千葉市中央区,35.608311,140.128876,043-226-1189,043-226-1184,260-0011,千葉市中央区亀井町2-5,月~金8:30~16:30 土8:30~12:30,有,043-226-1189,
桃太郎薬局本町店,121010,千葉県,千葉市中央区,35.611134,140.124786,043-202-1189,043-202-1089,260-0012,千葉市中央区本町1-1-1,月~水・金9:00~18:30 木・土9:00~13:00,無,,
千葉中央薬局,121010,千葉県,千葉市中央区,35.609299,140.122009,043-222-6765,043-222-6744,260-0013,千葉市中央区中央2-6-7,月・火・木・金9:00~17:30 水・土9:00~13:00,無,,
調剤薬局ツルハドラッグ千葉中央3丁目店,121010,千葉県,千葉市中央区,35.608963,140.121155,043-202-2268,043-202-2268,260-0013,千葉市中央区中央3-3-1,月~金9:30~13:00、14:00~18:30土・日・祝休み,無,,
有限会社銀座薬局,121010,千葉県,千葉市中央区,35.608475,140.122528,043-222-4275,043-222-4275,260-0013,千葉市中央区中央3-5-8,月~土9:00~19:00,有,090-5319-5740,
フルヤマ薬局中央店,121010,千葉県,千葉市中央区,35.607548,140.12233,043-225-6310,043-215-7022,260-0013,千葉市中央区中央4-5-1,月~土9:00~19:00 日・祝9:00~18:00,無,,
まいにち薬局千葉中央店,121010,千葉県,千葉市中央区,35.607456,140.11763,043-305-4031,043-305-4032,260-0014,千葉市中央区本千葉町15-1 京成千葉中央ビル3F,月・水10:00~21:00 火・木・金~日・祝日10:00~19:00,無,,
フルヤマ薬局千葉シ-ワン店,121010,千葉県,千葉市中央区,35.610886,140.115936,043-215-7500,043-215-7455,260-0015,千葉市中央区富士見2-25-1,月~日10:00~20:00,無,,
さくら薬局東千葉店,121010,千葉県,千葉市中央区,35.61314,140.123581,043-222-5434,043-226-1981,260-0018,千葉市中央区院内1-8-12 LAPUTA1階,月~土8:30~17:00,有,043-222-5434,
たちばな薬局,121010,千葉県,千葉市中央区,35.607281,140.116837,043-204-8501,043-204-8501,260-0021,千葉市中央区新宿2-5-20 タナムラビル102号,月~金9:00~18:00 第1.3土9:00~13:00 第2.4土9:00~17:00,無,,
あさがお薬局千葉中央店,121010,千葉県,千葉市中央区,35.60997,140.115707,043-204-9751,043-204-9878,260-0028,千葉市中央区新町1-8 駿河ビル,月~金9:00~18:00土9:00~14:00,有,070-1048-6705,
新町まる薬局,121010,千葉県,千葉市中央区,35.61068,140.111755,043-302-1411,043-302-1412,260-0028,千葉市中央区新町17-7 1F,月・火・木・金9:00~14:00・15:00~19:00 水・土9:00~13:00,無,,
日本調剤千葉駅前薬局,121010,千葉県,千葉市中央区,35.60997,140.115707,043-301-5061,043-301-5062,260-0028,千葉市中央区新町1-19アイ・エス・ワイ国際ビル1階,月~土9:00~19:00,有,080-2189-7757,
しんまち薬局,121010,千葉県,千葉市中央区,35.60997,140.115707,043-243-2287,043-243-2289,260-0028,千葉市中央区新町1-6,月~金9:00~18:00 土9:00~14:00,有,043-243-2287,
調剤薬局日本メディカルシステム千葉西口店,121010,千葉県,千葉市中央区,35.613495,140.111282,043-216-3217,043-216-3218,260-0031,千葉市中央区新千葉2-2-1 新日本EXビル3階,月・火9:00~22:00 水~金9:00~19:00 土9:00-17:00,無,,
アイン薬局ペリエ千葉エキナカ店,121010,千葉県,千葉市中央区,35.612953,140.114136,043-307-8722,043-307-8723,260-0031,千葉市中央区新千葉1丁目1-1,月~日9:00~21:00,有,043-307-8722,
ひまわり薬局登戸店,121010,千葉県,千葉市中央区,35.61372,140.103485,043-215-7175,043-215-7176,260-0032,千葉市中央区登戸3-11-9 ノフドKCビル1階,月~金9:00~18:30 土9:00~12:30,有,090-2147-3804,
春日薬局,121010,千葉県,千葉市中央区,35.62159,140.101425,043-245-8755,043-245-7088,260-0033,千葉市中央区春日2-9-12,月~金9:00~18:00 土9:00~17:00,無,,
フルヤマ薬局西千葉店,121010,千葉県,千葉市中央区,35.621861,140.102875,043-241-3277,043-245-8993,260-0033,千葉市中央区春日2-21-8,月~土9:30~18:30,無,,
すみれ薬局東千葉店,121010,千葉県,千葉市中央区,35.625481,140.124634,043-301-6501,043-301-6511,260-0041,千葉市中央区東千葉1-13-8 伸恵ビル1F,月・火・木・金9:00~18:00 水9:00~17:00 土9:00~13:00,無,,
フジ薬局,121010,千葉県,千葉市中央区,35.625481,140.124634,043-254-8082,043-284-4316,260-0041,千葉市中央区東千葉1-13-2,月~金9:00~18:00土9:00~15:00,有,090-9967-1524,
東千葉グリ-ン薬局,121010,千葉県,千葉市中央区,35.624241,140.124741,043-290-7760,043-290-7761,260-0041,千葉市中央区東千葉1-7-13,月~水・金9:00~17:15 木9:00~17:00 土9:00~13:00,無,,
フルヤマ薬局東千葉店,121010,千葉県,千葉市中央区,35.619789,140.125366,043-287-6734,043-253-0030,260-0041,千葉市中央区東千葉1-1-16,月~土9:00~18:00,無,,
クオ-ル薬局東千葉店,121010,千葉県,千葉市中央区,35.621529,140.123001,043-285-5455,043-252-6100,260-0042,千葉市中央区椿森6-5-2,月・金9:00~17:00  火~木9:00~17:30 土9:00~13:00,有,090-3802-3702,
ヤックスドラッグ椿森薬局,121010,千葉県,千葉市中央区,35.621292,140.122772,043-252-8262,043-252-8171,260-0042,千葉市中央区椿森6-2-16,月~金9:00~18:00   土9:00~16:00,有,043-252-8262,
日本調剤椿森薬局,121010,千葉県,千葉市中央区,35.623627,140.122757,043-207-5531,043-207-5532,260-0042,千葉市中央区椿森4-4-4,月~金9:00~17:30土9:00~12:00,無,,
薬局くすりの福太郎椿森店,121010,千葉県,千葉市中央区,35.623249,140.12326,043-207-8229,043-207-8229,260-0042,千葉市中央区椿森4-3-3-101,月~金9:00~18:00,無,,
クオ-ル薬局まつなみ店,121010,千葉県,千葉市中央区,35.617329,140.108841,043-287-6115,043-284-7953,260-0044,千葉市中央区松波1-4-13,月~土9:00~18:00,有,090-3802-3666,
MAM薬局,121010,千葉県,千葉市中央区,35.615261,140.114151,043-311-0711,043-311-0710,260-0045,千葉市中央区弁天1-33-3,月~金9:00~18:00土・日・祝休み,無,,
漢方閣千葉店,121010,千葉県,千葉市中央区,35.614769,140.111847,043-256-6660,043-254-9585,260-0045,千葉市中央区弁天1-2-3,月~水・金9:00~19:00 木・土9:00~18:00,有,070-6421-5480,
薬局漢方閣千葉II号店,121010,千葉県,千葉市中央区,35.614746,140.117355,043-206-5556,043-206-5578,260-0045,千葉市中央区弁天2-22-7,月~土9:00~18:00,有,070-6975-8658,
アイン薬局千葉仁戸名店,121010,千葉県,千葉市中央区,35.583855,140.16275,043-209-1910,043-209-1915,260-0801,千葉市中央区仁戸名町681,月~金9:00~18:00 土9:00~12:00,有,043-209-1910,
日本調剤千葉中央薬局,121010,千葉県,千葉市中央区,35.58699,140.160034,043-312-9845,043-312-9855,260-0801,千葉市中央区仁戸名町697-10,月~金9:00~18:00土日祝休み,有,080-9970-7726,
ヤックスドラッグ薬局仁戸名店,121010,千葉県,千葉市中央区,35.580379,140.164978,043-261-7738,043-261-7805,260-0801,千葉市中央区仁戸名町702-1,月~金9:00~18:00    土9:00~13:00,有,043-261-7738,
仁戸名薬局,121010,千葉県,千葉市中央区,35.583855,140.16275,043-265-0081,043-209-3011,260-0801,千葉市中央区仁戸名町685-11,月・水・金9:00~19:30 火・木9:00~18:00 土9:00~17:30,無,,
仁戸名薬局2号店,121010,千葉県,千葉市中央区,35.580379,140.164978,043-209-3155,043-209-3156,260-0801,千葉市中央区仁戸名町702-1,月~金9:00~18:00,無,,
薬局タカサドライブスル-仁戸名店,121010,千葉県,千葉市中央区,35.578541,140.166977,043-305-0046,043-305-0045,260-0801,千葉市中央区仁戸名町710-5,月~土9:00~18:00,無,,
スマイル薬局 有限会社スマイルサポ-ト,121010,千葉県,千葉市中央区,35.583935,140.139069,043-268-2666,043-268-2601,260-0805,千葉市中央区宮崎町235-7 升富ビル103号,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:45~17:45/金9:00~17:00/土9:00~17:00/備考:木曜日以外 14:00~15:00は閉局,有,080-9279-1943,
そが薬局,121010,千葉県,千葉市中央区,35.583851,140.143097,043-497-3497,043-497-3498,260-0805,千葉市中央区宮崎町560-2,月・火・木・金9:00~18:00 水9:00~17:00 土9:00~13:00,有,043-497-3497,
桃太郎薬局そが店,121010,千葉県,千葉市中央区,35.580803,140.138153,043-305-1093,043-305-1083,260-0806,千葉市中央区宮崎2-11-16,月~金9:00~17:30 土9:00~15:00,無,,
みずき薬局 星久喜店,121010,千葉県,千葉市中央区,35.598358,140.151154,043-309-6080,043-309-6087,260-0808,千葉市中央区星久喜町606-26,月~金9:00~18:00 土9:00~13:00,有,080-8050-1648,
サンテ薬局生実町店,121010,千葉県,千葉市中央区,35.56126,140.144852,043-420-8323,043-420-8327,260-0813,千葉市中央区生実町1789-3,月火木金9:00~17:00土9:00~12:00,無,,
ふれあい薬局,121010,千葉県,千葉市中央区,35.578918,140.139847,043-266-0081,043-266-0083,260-0841,千葉市中央区白旗2-14-3,月~金9:00~20:00 土9:00~13:00,有,090-7830-6107,
あゆみ薬局南町店,121010,千葉県,千葉市中央区,35.581207,140.134171,043-309-8531,043-309-8532,260-0842,千葉市中央区南町2-14-13,月~土9:30~18:30,無,,
わかな薬局蘇我,121010,千葉県,千葉市中央区,35.581783,140.131927,043-265-9261,043-264-4448,260-0842,千葉市中央区南町2-10-19,月~水・金9:30~20:00木9:30~17:00土9:30~14:00第1・3土休み,無,,
調剤薬局ツルハドラッグ蘇我駅前店,121010,千葉県,千葉市中央区,35.580952,140.132294,043-305-1268,043-305-1268,260-0842,千葉市中央区南町2-15-19,月~金9:00~19:00土9:00~18:00,無,,
調剤薬局日本メディカルシステム蘇我店,121010,千葉県,千葉市中央区,35.58073,140.132751,043-488-6371,043-488-6372,260-0842,千葉市中央区南町2-15-15 KS.HOYOビル,月~金9:00~18:00 土9:00~17:00 日祝休,有,090-1732-7866,
鈴木薬局,121010,千葉県,千葉市中央区,35.595524,140.126053,043-266-3727,043-261-6422,260-0843,千葉市中央区末広2-12-16,月~金9:00~18:00 土9:00~13:00,無,,
千葉寺中央薬局,121010,千葉県,千葉市中央区,35.590851,140.132278,043-208-3021,043-208-3022,260-0844,千葉市中央区千葉寺町1194-3-101,月~土9:00~18:00,無,,
ヤックスドラッグ亥鼻薬局,121010,千葉県,千葉市中央区,35.603081,140.136871,043-225-1818,043-225-1818,260-0851,千葉市中央区矢作町810,月~金9:00~18:00 土9:00~13:00,有,043-225-1818,
薬局タカサ千葉大病院前店,121010,千葉県,千葉市中央区,35.603081,140.136871,043-224-3531,043-224-3532,260-0851,千葉市中央区矢作町805-13,月~金9:00~18:00,無,,
ありす薬局青葉店,121010,千葉県,千葉市中央区,35.603081,140.136871,043-225-5500,043-225-5546,260-0851,千葉市中央区矢作町804-5,月~金9:00~18:00,無,,
コクミン薬局千葉大病院前店,121010,千葉県,千葉市中央区,35.603081,140.136871,043-222-0208,043-222-0208,260-0851,千葉市中央区矢作町805-14,月~金8:30~17:30,無,,
日本調剤青葉薬局,121010,千葉県,千葉市中央区,35.600525,140.136841,043-226-1730,043-226-1739,260-0852,千葉市中央区青葉町955-23,月~金9:00~18:00土9:00~13:00日・祝休み,無,,
薬局タカサ青葉の森店,121010,千葉県,千葉市中央区,35.6017,140.137177,043-216-5362,043-216-5367,260-0852,千葉市中央区青葉町1273-3,月~金9:00~18:00,無,,
ヤックスドラッグ本千葉薬局,121010,千葉県,千葉市中央区,35.599308,140.123993,043-223-6601,043-223-6603,260-0854,千葉市中央区長洲2-27-4,月~土9:00~18:00 祝日休み,有,043-223-6601,
