施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
そうごう薬局東京サンケイビル店,131016,東京都,千代田区,35.687069,139.765045,03-3527-9781,03-3527-9782,100-0004,千代田区大手町1-7-2,月:9:00~18:00/火:9:00~18:00/水:9:00~18:00/木:9:00~18:00/金:9:00~18:00/,有,03-3527-9781,
アイン薬局大手町店,131016,東京都,千代田区,35.688286,139.765411,	03-	3510-	6318,	03-	3510-	6319,100-0004,千代田区大手町1-9-7大手町フィナンシャルシティサウスタワ-1階,月曜日-金曜日 9時-18時半土曜日 9時-15時日祝 店休,無,,
そうごう薬局OtemachiOne店,131016,東京都,千代田区,35.687737,139.76265,03-6268-0471,03-6268-0472,100-0004,千代田区大手町1-2-1Otemachi one地下1階,月~金:9:00~20:30 土:9:00~11:00,無,,
アイン薬局グランスタ丸の内店,131016,東京都,千代田区,35.681252,139.767242,03-6259-1561,03-6259-1562,100-0005,千代田区丸の内1丁目9-1JR東日本東京駅構内地下1階,月9:00~21:00/火9:00~21:00/水9:00~21:00/木9:00~21:00/金9:00~21:00/土9:00~21:00/日9:00~21:00,無,,
アイン薬局八重洲口店,131016,東京都,千代田区,35.682667,139.769562,03-6256-0278,03-6256-0279,100-0005,千代田区丸の内1-8-2鉄鋼ビルディングB1F,月9:00~21:00/火9:00~21:00/水9:00~21:00/木9:00~21:00/金9:00~21:00/土9:00~21:00/日9:00~21:00,無,,
エ-ル薬局日比谷店,131016,東京都,千代田区,35.674358,139.761444,03-3283-7078,03-3283-7350,100-0006,千代田区有楽町1丁目7-1 有楽町電気ビル北館507,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~19:00/金9:00~19:00/土10:00~12:00/備考:第2第4土曜日は10:00?13:30 祝日休み,有,03-3283-7078,
そうごう薬局 有楽町店,131016,東京都,千代田区,35.674953,139.764359,03-3218-3020,03-3218-3021,100-0006,千代田区有楽町2-10-1,月:9:00-18:30/火:9:00-18:30/水:9:00-18:30/木:9:00-17:30/金:9:00-18:30/土:9:00-13:00/,有,03-3218-3020,
調剤薬局霞が関ファ-マシ-,131016,東京都,千代田区,35.670742,139.750793,03-3519-7711,03-3519-9051,100-0013,千代田区霞が関1-4-1-105,月~金9:00~18:00土9:00~13:00,無,,
稲垣薬局霞が関店,,,,35.672791,139.748825,03-3581-7776,03-3581-7764,100-5003,千代田区霞が関3-1-5,月:9:00-18:30/火:9:00-18:30/水:9:00-18:30/木:9:00-18:30/金:9:00-18:30/,無,,郵便番号
桜木薬局,,,,35.721291,139.771729,03-3822-1027,03-3822-0573,101-0002,台東区上野桜木1-11-13,月:9:00-18:30/火:9:00-19:00/水:9:00-18:30/木:9:00-18:30/金:9:00-18:30/土:9:00-18:30/,有,03-3822-1027,郵便番号
ウエルシア薬局千代田御茶ノ水店,131016,東京都,千代田区,35.699322,139.767883,03-5256-7636,03-5256-7637,101-0021,千代田区外神田2-2-15,月~土9:00~14:00、15:00~19:00日・祝休み,無,,
ユニスマイル薬局 アキバ店,131016,東京都,千代田区,35.699543,139.774841,03-3526-5922,03-3526-5923,101-0023,千代田区神田松永町11番地,月:9:30~21:00/火:9:30~21:00/水:9:30~21:00/木:9:30~21:00/金:9:30~21:00/土:9:30~17:30/,有,03-3526-5922,
二六堂調剤薬局,131016,東京都,千代田区,35.699192,139.77597,03-3864-8269,03-3861-2625,101-0024,千代田区神田和泉町1-11,月:9:00-18:00/火:9:00-18:00/水:9:00-18:00/木:9:00-18:00/金:9:00-18:00/土:9:00-13:00/,有,070-3103-8269,
レモン薬局秋葉原店,131016,東京都,千代田区,35.698345,139.777634,03-5687-8451,03-5687-8452,101-0025,千代田区神田佐久間町3-37-59,月:10:00~19:00/火:10:00~19:00/水:10:00~19:00/木:10:00~19:00/金:10:00~19:00/土:10:00~15:00/,有,080-8304-1081,
日本調剤 秋葉原薬局,131016,東京都,千代田区,35.698647,139.776443,03-5839-2111,03-5839-2113,101-0025,千代田区神田佐久間町2-18,月:9:00~19:00/火:9:00~19:00/水:9:00~19:00/木:9:00~19:00/金:9:00~19:00/土:9:00~18:00/,無,,
神田いちご薬局,131016,東京都,千代田区,35.691666,139.773849,03-5256-1562,03-5256-1564,101-0035,千代田区神田紺屋町5 T・Mビル1階,月~金8:00~19:00土9:00~12:00,無,,
竹内薬局神田須田町店,131016,東京都,千代田区,35.695324,139.770599,03-6260-8301,03-6060-8302,101-0041,千代田区神田須田町1-16-8,月:9:00-18:00/火:9:00-18:00/水:9:00-18:00/木:9:00-18:00/金:9:00-18:00/土:9:00-13:00/,無,,
セルフケア薬局神田店,131016,東京都,千代田区,35.693783,139.772995,03-6206-4002,03-6206-4007,101-0043,千代田区神田富山町1-2 TKKビル1階,月~土11:00~20:00,無,,
ナチュラルロ-ソンクオ-ル薬局神田鍛冶町二丁目店,131016,東京都,千代田区,35.691235,139.772064,03-5209-0289,03-5209-0290,101-0044,千代田区鍛冶町2-3-2 神田センタ-ビル1階,月~金9:00~20:00土9:00~13:00,有,080-8754-5680,
みらくる薬局神田店,131016,東京都,千代田区,35.690914,139.772415,03-3526-2495,03-3526-2496,101-0044,千代田区鍛冶町1-8-3神田91ビルディング1F,月火水金:9:00~19:00、木:9:00~18:30、土:10:00~14:00,無,,
神田登栄薬局,131016,東京都,千代田区,35.691643,139.771591,03-3254-0848,03-3254-0848,101-0044,千代田区鍛冶町2-2-9,月:9:00~18:15/火:9:00~18:15/水:9:00~18:15/木:9:00~18:15/金:9:00~18:15/土:9:00~13:00/,無,,
ニシザワ薬局,131016,東京都,千代田区,35.691696,139.770111,03-3252-2438,03-3252-2440,101-0047,千代田区内神田3-14-8,月~金9:00~20:00土9:00~19:00日・祝休み,無,,
いちご薬局神保町,131016,東京都,千代田区,35.694981,139.759338,03-3296-7415,03-3296-7415,101-0051,千代田区神田神保町1-29 市瀬ビル1階,月~金9:00~18:00,無,,
ココカラファイン薬局神保町店,131016,東京都,千代田区,35.695366,139.755905,03-3556-0574,03-3556-0574,101-0051,千代田区神田神保町2-9,月:9:00~19:30/火:9:00~19:30/水9:00~19:30/木:9:00~19:30/金:9:00~19:30/土:10:00~14:00/,有,070-3138-8747,
小川町薬局,131016,東京都,千代田区,35.694798,139.762939,03-3291-1065,03-3291-1077,101-0052,千代田区神田小川町3-2-1,月・火・木・金9:30~20:00 水9:30~19:00土10:00~18:00,無,,
神田薬局,131016,東京都,千代田区,35.692947,139.764648,03-3233-1132,03-3233-1148 ,101-0054,神田錦町1-6 鈴木ビル1階,月・火・水・金9:00~18:00木10:00~18:00土9:00~13:00,有,090-4008-8953,
田辺薬局神田錦町店,131016,東京都,千代田区,35.691891,139.763672,03-5283-7351,03-5283-7352,101-0054,千代田区神田錦町1-5 カワベビル1階,月~金9:00~18:00,無,,
水道橋薬局,131016,東京都,千代田区,35.701344,139.753082,03-5226-2388,03-5226-2388,101-0061,千代田区神田三崎町2-17-5,月~金9:00~20:00土9:00~18:00,無,,
アイン薬局三崎店,131016,東京都,千代田区,35.69894,139.763489,0332961210,0332961238,101-0062,千代田区神田駿河台2-2 御茶ノ水杏雲ビル1F,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~13:00,有,03-3296-1210,
キク調剤薬局,131016,東京都,千代田区,35.69894,139.763489,03-3293-2397,03-3293-2398,101-0062,千代田区神田駿河台2-2-29,月:9:00~18:00/火:9:00~18:00/水:9:00~18:00/木:9:00~18:00/金:9:00~18:00/土:9:00~13:00/,無,,
コトブキ調剤薬局,131016,東京都,千代田区,35.698906,139.764282,03-3291-0380,03-3291-0390,101-0062,千代田区神田駿河台2-10-1,月:9:00-18:30/火:9:00-18:30/水:9:00-18:30/木:9:00-18:30/金:9:00-18:30/土:9:00-15:00/,有,090-3709-3706,
コトブキ調剤薬局 日大前店,131016,東京都,千代田区,35.698021,139.763245,03-3518-9886,03-3518-9887,101-0062,千代田区神田駿河台1-8-1,月:9:00-18:00/火:9:00-18:00/水:9:00-18:00/木:9:00-18:00/金:9:00-18:00/土:9:00-15:00/,無,,
南山堂薬局御茶ノ水店,131016,東京都,千代田区,35.698055,139.765045,03-5577-7651,03-5577-7652,101-0062,千代田区神田駿河台4-1-2ステラお茶の水ビル1F,月~土9:00~18:00日・祝:お休み,nan,,
日本調剤 お茶の水中央薬局,131016,東京都,千代田区,35.699497,139.762421,03-5217-0871,03-5217-0873,101-0062,千代田区神田駿河台2-1-15,月:9:00~18:00/火:9:00~18:00/水:9:00~18:00/木:9:00~18:00/金:9:00~18:00/土:9:00~13:00/,有,080-1070-0819,
