施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
横浜薬科大学,,,,35.383533,139.494751,045-859-1300,045-859-1301,045-0066,横浜市戸塚区俣野町601,9:00-18:00,有,090-9365-8338,郵便番号
ひまわり薬局都立大店,131105,東京都,目黒区,35.618477,139.675201,03-6421-3681,03-6421-3680,152-0023,目黒区八雲1-4-3駒原ビル3階,月-金9:00-19:00 土9:00-13:00,有,03-6421-3681,
アルファ薬局川崎店,141313,神奈川県,川崎市川崎区,35.531509,139.70314,044-222-6230,044-222-6230,210-0004,川崎市川崎区宮本町2-1,月9:00~18:00/火9:00~18:00/水9:00~17:00/木9:00~18:00/金9:00~18:00/土9:00~13:00,無,,
ひばり薬局川崎店,141313,神奈川県,川崎市川崎区,35.528725,139.700012,044-201-3801,044-201-3802,210-0006,川崎市川崎区砂子2-6-1 石井ビル1F,月~土 9:00~19:00日・祝を除く,有,044-201-3801,
調剤薬局ツルハドラッグ川崎駅前大通り店,141313,神奈川県,川崎市川崎区,35.528725,139.700012,044-276-9572,044-276-9572,210-0006,川崎市川崎区砂子2-6-26,月~金10:00~14:00、15:00~19:00土・日祝休み,無,,
調剤薬局日本メディカルシステム川崎店,141313,神奈川県,川崎市川崎区,35.531944,139.699402,044-201-6739,044-201-6740,210-0007,川崎市川崎区駅前本町10-1 3階,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~19:00/金9:00~19:00/土9:00~19:00/日9:00~17:15/備考:祝日9:00~17:15開局,無,,
薬局トモズアトレ川崎店,141313,神奈川県,川崎市川崎区,35.530125,139.697968,044-221-0270,044-246-2174,210-0007,川崎市川崎区駅前本町26-1アトレ川崎 1F,月10:00~21:00/火10:00~21:00/水10:00~21:00/木10:00~21:00/金10:00~21:00/土10:00~21:00/日10:00~21:00/備考:アトレ川崎休館日、1月1日のみ閉居,有,044-221-0270,
アイン薬局アトレ川崎店,141313,神奈川県,川崎市川崎区,35.530125,139.697968,	044-	211-	1411,nan,210-0007,川崎市川崎区駅前本町26-1アトレ川崎8F,月曜日-金曜日:10時-21時土曜日:10時-17時半日曜日及び祝祭日:お休み,無,,
フィットケアエクスプレス川崎ダイス店薬局,141313,神奈川県,川崎市川崎区,35.531353,139.70015,	044-	221-	1185,	044-	221-	1186,210-0007,川崎市川崎区駅前本町8川崎ダイス1F,月~日10:00~22:00,無,,
SFC薬局,141313,神奈川県,川崎市川崎区,35.524525,139.703964,044-246-4321,044-246-4322,210-0014,川崎市川崎区貝塚2-5-19,9:00~18:00,有,080-3301-0752,
ひばり薬局新川橋店,141313,神奈川県,川崎市川崎区,35.527031,139.701187,044-272-6396,044-272-6398,210-0015,川崎市川崎区南町16-22肥後屋ビル101,月~土9:00~18:30日・祝休み,有,044-272-6396,
ひばり薬局新川橋店,141313,神奈川県,川崎市川崎区,35.526924,139.700134,	044-	272-	6396,nan,210-0015,川崎市川崎区南町3-2川崎カドビル1階,月-土曜9:00-18:30日・祝日:休,無,,
アイン薬局川崎店,141313,神奈川県,川崎市川崎区,35.528065,139.695099,	044-	211-	9777,nan,210-0024,川崎市川崎区日進町1-57サンスクエア川崎7号棟1階,平日9:00-18:00第1.3.5土曜日9:00-15:00第2.4土曜日10:00-12:00,無,,
日本調剤川崎駅前薬局,141313,神奈川県,川崎市川崎区,35.527439,139.695724,	044-	221-	2220,nan,210-0024,川崎市川崎区日進町28-1,月-金9:00-18:00第1・3・5土9:00-18:00第2・4土9:00-13:00,無,,
エムエム薬局,141313,神奈川県,川崎市川崎区,35.53511,139.72702,044-200-4713,044-200-4716,210-0802,川崎市川崎区大師駅前1-6-17,月火木金: 9:00-18:30 水: 9:00-17:00 土:9:00-13:30,有,090-4070-1644,
川崎大師みどり薬局,141313,神奈川県,川崎市川崎区,35.535053,139.725754,	044-	266-	8758,	044-	266-	8858,210-0802,川崎市川崎区大師駅前1-5-4,月-金  9:00-18:00土   9:00-16:30,無,,
川崎すみれ薬局,141313,神奈川県,川崎市川崎区,35.523602,139.722305,044-287-7510,044-287-9103,210-0804,川崎市川崎区藤崎4-21-1,月・水・金9:00~18:00火9:00~19:00 木9:00~19:30土9:00~13:00,有,044-287-7510,
ファ-コス薬局しらさぎ,141313,神奈川県,川崎市川崎区,35.529835,139.718353,	044-	220-	4412,	044-	222-	5885,210-0806,川崎市川崎区中島1-15-12ライフコム川崎1F,月曜日-金曜日:9時-18時土曜日:9時-13時,無,	044-	220-	4412,
日本調剤 川崎東薬局,141313,神奈川県,川崎市川崎区,35.535343,139.742035,	044-	270-	1831,	-	-	,210-0822,川崎市川崎区田町10-37,月-金 9:00-18:00土 9:00-13:00日・祝 店休,無,,
