施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
みさき薬局北新,192015,山梨県,甲府市,35.678768,138.564651,055-267-8877,055-267-8878,400-0005,甲府市北新1-1-19,月~金8:30~18:00土8:30~12:30,有,055-267-8877,
一般財団法人 甲府北薬局,192015,山梨県,甲府市,35.676689,138.567062,055-252-0623,055-253-1578,400-0007,甲府市美咲2丁目10-16,月~金 8:30~17:30土 9:00~12:00,有,055-252-0623,
株式会社ウエノ ウエノ美咲薬局,192015,山梨県,甲府市,35.672329,138.563599,055-298-6451,055-298-6452,400-0007,甲府市美咲1-1-26,月~金9:00~18:00  土9:00~12:00,有,055-298-6451,
美咲調剤薬局,192015,山梨県,甲府市,35.67461,138.563522,055-254-1901,055-254-1902,400-0007,甲府市美咲1-8-7,月~金9:00~18:30 土9:00~13:00,有,055-254-1901,
しらゆり調剤薬局,192015,山梨県,甲府市,35.675949,138.578491,055-234-5121,055-234-5120,400-0014,甲府市古府中町4810-1,月~金8:30~17:00 土9:00~12:00,有,055-234-5121,
みさき薬局武田,192015,山梨県,甲府市,35.675236,138.572159,055-269-6868,055-269-6869,400-0016,甲府市武田3-7-1 タクマビル1F,月~水、金8:30~18:00  木8:30~17:30 土8:30~13:00,有,055-269-6868,
マルジン薬局北口店,192015,山梨県,甲府市,35.670506,138.568039,055-251-9445,055-254-4727,400-0024,甲府市北口1-6-8,月火木金9:30~19:00 土9:30~15:00,有,090-8335-2419,
みさき薬局甲府北口,192015,山梨県,甲府市,35.668373,138.569839,055-288-9200,055-288-9201,400-0024,甲府市北口2-9-12 ニシコ-北口駅前ビル1F,月~金8:30~18:30土8:30~16:00,有,055-288-9200,
みさき薬局北口,192015,山梨県,甲府市,35.668842,138.567368,055-220-3222,055-220-3223,400-0024,甲府市北口1-1-3 ワンストップ1F,月~金9:00~18:30 土9:00~17:00,有,055-220-3222,
株式会社赤岡綜合薬局北口店,192015,山梨県,甲府市,35.667393,138.572205,055-252-4595,055-252-4582,400-0024,甲府市北口3-1-2,月・火・木・金8:30~18:00 木土8:30~13:00,無,,
サンロ-ド調剤,192015,山梨県,甲府市,35.671547,138.563629,055-220-3610,055-220-3620,400-0025,甲府市朝日3丁目11-30,月~金8:30~17:30,無,,
日本調剤横沢薬局,192015,山梨県,甲府市,35.671547,138.563629,055-220-3120,055-220-3130,400-0025,甲府市朝日3-11-30,月~金:8:30~17:30土:8:30~12:30,有,090-5409-5208,
藤田薬局,192015,山梨県,甲府市,35.669037,138.567169,055-254-7716,055-254-2760,400-0025,甲府市朝日1丁目3-12,月火木金9:00~18:00 土9:00~14:00,無,,
アルプス薬局,192015,山梨県,甲府市,35.676247,138.556137,055-251-2767,055-251-7957,400-0026,甲府市塩部4-13-23,月~金9:00~18:30土9:00~13:00,有,055-251-2767,
