施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
アイン薬局新潟蔵王店,152021,新潟県,長岡市,37.477203,138.853882,0258-25-1801,0258-25-1802,940-0015,長岡市寿2-5-14,月~金:8:30~17:30,有,0258-25-1801,
新町薬局,152021,新潟県,長岡市,37.459911,138.855545,0258-33-2583,0258-33-2582,940-0023,長岡市新町1-2-29,月火水金:9:00~18:00、木:9:00~17:00、土:9:00~13:00,有,070-5554-5620,
いずみ薬局,152021,新潟県,長岡市,37.465164,138.854843,0258-38-6555,0258-38-6577,940-0024,長岡市西新町2-3-18,月8:30~17:30火~金8:30~17:15土8:30~12:00,有,0258-38-6555(転送),
ウエルシア薬局長岡泉店,152021,新潟県,長岡市,37.464741,138.853333,0258-38-6608,0258-38-6609,940-0025,長岡市泉1-10-13,月~金9:00~14:00、15:00~18:30土9:00~14:00、15:00~16:00,無,,
けさじろ薬局,152021,新潟県,長岡市,37.448948,138.858902,0258-31-5777,0258-31-5778,940-0033,長岡市今朝白2-8-38,月・火・水・金:9:00~13:00、15:00~18:00、木・土:9:00~13:00,無,,
大手薬局 長岡店,152021,新潟県,長岡市,37.445747,138.858124,0258-34-7733,0258-86-1343,940-0033,長岡市今朝白1-7-4,月-金:9:00-18:10、土:9:00-17:10、日祝:10:00-17:10,無,,
大手薬局今朝白店,152021,新潟県,長岡市,37.446831,138.85849,0258-34-9505,0258-86-7365,940-0033,長岡市今朝白1-13-28,月~水、金:9:00~18:00、土:9:00~12:30,有,0258-34-9505,
福住薬局,152021,新潟県,長岡市,37.454082,138.858139,0258-37-5867,0258-37-5930,940-0034,長岡市福住3-6-18福住3-6-18,月火木金:8:30~18:00、水:9:00~17:00、土:8:30~12:30,有,070-5554-5620,
ことり薬局,152021,新潟県,長岡市,37.459087,138.863235,0258-36-5101,0258-36-5102,940-0038,長岡市琴平1-2-2,月・火・木・金9:00~17:30水9:00~17:00土9:00~12:30,有,0258-36-5101(転送),
みゆき薬局,152021,新潟県,長岡市,37.43692,138.860687,0258-35-1715,0258-35-1732,940-0042,長岡市前田1-6-5,月・金8:30~17:30火・水・木8:30~17:00土8:30~12:30,有,0258-35-1715,
さくら薬局長岡四郎丸店,152021,新潟県,長岡市,37.443947,138.856079,0258-33-0546,0258-86-8176,940-0046,長岡市四郎丸4-6-19,月火木金:9:00~18:00、水土:9:00~13:00,有,090-6708-3777,
メッツ長岡薬局,152021,新潟県,長岡市,37.44659,138.853516,0258-39-1191,0258-39-1192,940-0061,長岡市城内町1-611-1 長岡駅北部2階,月・火・木・金8:00~18:30水8:00~16:00土8:00~12:30,有,080-2051-8088,
あおい調剤薬局,152021,新潟県,長岡市,37.44545,138.842743,0258-31-4555,0258-31-4556,940-0087,長岡市千手3-10-11,月~金:8:45~18:00 土:8:45~12:45,有,080-5965-5480,
さくら薬局長岡千手店,152021,新潟県,長岡市,37.440403,138.844391,0258-39-3051,0258-39-3052,940-0087,長岡市千手2-4-3,月・火・木・金:8:30~18:00 水:8:30~16:30 土:8:30~12:30,有,0258-39-3051,
大手薬局 中島店,152021,新潟県,長岡市,37.459351,138.850494,0258-86-6551,0258-86-6559,940-0094,長岡市中島7-1-32,月火水金:9:00-18:10 木9:00-17:00 土9:00-12:40,有,0258-86-6551,
レモン薬局,152021,新潟県,長岡市,37.450809,138.838715,0258-30-0750,0258-30-0751,940-0098,長岡市信濃2-7-1,月火木金 9:00~18:00、土 9:00~13:00,無,,
あさひ薬局栃尾店,152021,新潟県,長岡市,37.482525,138.994507,0258-89-6001,0258-89-6607,940-0221,長岡市金町2-5-21,月~金:8時45分~17時15分 土:9時~12時,無,,
大手薬局栃尾店,152021,新潟県,長岡市,37.474258,138.997665,0258-52-2255,0258-84-7490,940-0225,長岡市仲子町8-27,月~水:9:00~18:00、木:9:00~17:00、土:9:00~12:00,有,0258-52-2255,
