施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
チュ-リップ富山駅前薬局,162019,富山県,富山市,36.699299,137.212921,076-433-8110,076-433-8265,930-0003,富山市桜町2-1-5ブレイン桜ビル1F,月・火・水・金9:00~18:00木9:00~17:00土9:00~12:30,無,,
ひばり薬局,162019,富山県,富山市,36.697224,137.229736,076-405-0805,076-444-0855,930-0010,富山市稲荷元町2-2-9ペルレ平安1階,月~水 8:30~18:30木・土 8:30~13:30,有,076-405-0805,
瑠璃光薬局弥生町店,162019,富山県,富山市,36.696209,137.225189,076-471-8318,076-471-8317,930-0019,富山市弥生町2-4-23,月・火・水・金9:00~18:00木・土9:00~17:00,有,076-471-8318,
チュ-リップ元町薬局,162019,富山県,富山市,36.689022,137.22908,076-420-7877,076-420-7876,930-0033,富山市元町1丁目2番12,月~水・金 9:00-12:30、14:00-18:00木・土 9:00~12:30,無,,
すみれ薬局緑町店,162019,富山県,富山市,36.69294,137.228394,076-481-6768,076-481-6718,930-0038,富山市緑町1-1-8,月・火・水・金8:45~18:00木8:45~17:00土8:45~13:00,有,076-481-6768(転送),
グリ-ン辰巳町薬局,162019,富山県,富山市,36.684914,137.222,076-481-6508,076-481-6518,930-0053,富山市辰巳町2丁目5-6,月~水 8:30~18:10木 8:30~16:30土 8:30~13:00,有,076-481-6508,
一番町薬局,162019,富山県,富山市,36.688141,137.211823,076-494-1313,076-494-1311,930-0061,富山市一番町4-17一番町薬局,月、火、水、金、土9:00-18:00 木9:00-13:00,有,070-2251-7702,
星井町薬局,162019,富山県,富山市,36.683804,137.212006,076-420-8193,076-420-8093,930-0065,富山市星井町2-7-39,月~金8:30~18:00土8:30~17:00,無,,
ふれあい薬局千石町店,162019,富山県,富山市,36.686611,137.208664,076-422-3751,076-422-3784,930-0066,富山市千石町2丁目8-1,月~金 9:00~18:30土 9:00~12:30,有,076-422-3751,
そうごう薬局 総曲輪店,162019,富山県,富山市,36.69001,137.209061,076-495-7110,076-495-7112,930-0083,富山市総曲輪4-8-1 プレミスト総曲輪102,月~水・金 9:00~18:00木・土 9:00~13:00,有,076-495-7110,
あおば薬局くれは店,162019,富山県,富山市,36.710812,137.170456,076-436-2302,076-436-2303,930-0138,富山市呉羽町7187-27,月・火・木・金9:00~18:30水9:00~17:45土9:00~13:00,有,080-6674-2343,
オ-ク薬局呉羽本町店,162019,富山県,富山市,36.714409,137.169754,076-471-6776,076-471-6784,930-0138,富山市呉羽町3022番5,月~金9:00~18:10 土9:00~13:00,有,080-2294-1888,
チュ-リップ呉羽高校前薬局,162019,富山県,富山市,36.714409,137.169754,076-434-8508,076-434-8512,930-0138,富山市呉羽町寺田2070-6,月・火・水・金9:00~12:30月・火・水・金14:30~18:00木・土9:00~12:30,有,090-9447-0440,
ハ-ト薬局呉羽店,162019,富山県,富山市,36.709179,137.1633,0764716582,0120930851,930-0142,富山市吉作371番56,月~金:8:45~19:15 土:8:45~13:00,有,08086922096,
チュ-リップ古沢薬局,162019,富山県,富山市,36.691418,137.145538,076-434-8281,0120-898-178,930-0151,富山市古沢547番地,月~金 9:00~16:00,無,,
アイン薬局富山大学病院前店,162019,富山県,富山市,36.686111,137.142349,076-436-2352,076-434-9136,930-0152,富山市杉谷106-1,月~金8:45~17:45,有,080-4001-5487,
日本調剤富山大前薬局,162019,富山県,富山市,36.686111,137.142349, 076-434-8266,076-434-8267,930-0152,富山市杉谷106-4,月~金8:30~17:30土8:30~12:30,有,080-2010-0444,
アイビ-薬局,162019,富山県,富山市,36.721806,137.13945,076-436-1100,076-436-1100,930-0175,富山市願海寺水口397-6,月・火・木・金 8:30~18:30水 8:30~16:30土 8:30~12:30,無,,
栄光堂薬局,163236,富山県,中新川郡立山町,36.660114,137.317825,076-463-0106,076-463-0906,930-0214,中新川郡立山町五百石17,月 9:00~18:00火~土 9:00~19:00,有,090-7083-6105,
ウエルシア薬局富山立山店,163236,富山県,中新川郡立山町,36.662178,137.313568,076-462-7020,076-462-7021,930-0221,中新川郡立山町前沢2590-5,月~金9:00~19:00土9:00~14:00、15:00~19:00,無,,
立山中央薬局,163236,富山県,中新川郡立山町,36.659424,137.311676,076-463-5060,076-463-5070,930-0221,中新川郡立山町前沢2727-14,月・火・木・金 9:00~18:00水 9:00~17:00土 9:00~13:00,有,076-463-5060,
まつむら調剤薬局,163236,富山県,中新川郡立山町,36.666656,137.311905,076-463-6288,076-463-6280,930-0229,中新川郡立山町前沢新町407-2,月・火・木・金9:00~18:30水・土9:00~12:30,有,090-6815-4450,
めろん薬局 大石原店,163236,富山県,中新川郡立山町,36.667458,137.29892,076-464-2601,076-464-2602,930-0261,中新川郡立山町大石原192番1,月~水・金 8:30~18:30木 8:30~17:30土 8:30~13:00,有,080-3740-3861,
いい薬局,163228,富山県,中新川郡上市町,36.698669,137.363983,076-473-0866,076-472-5061,930-0353,中新川郡上市町法音寺吉田5番地5,月~金 9:00~18:00土 9:00~13:00,有,080-3299-1447,
チュ-リップ上市薬局,163228,富山県,中新川郡上市町,36.699265,137.358704,076-473-9353,076-473-9354,930-0353,中新川郡上市町法音寺64-16,月~金 9:00~17:30,無,,
ひまわり薬局上経田店,163228,富山県,中新川郡上市町,36.705914,137.344635,	0764-	72-	1088,	0764-	72-	1022,930-0372,中新川郡上市町上経田2-2-1,月曜日-水曜日・金曜日 9:00-18:30 / 木曜日・土曜日 9:00-13:00,無,,
さくらガ-デン薬局,162019,富山県,富山市,36.71637,137.218857,076-464-6164,076-464-6163,930-0803,富山市下新本町3番5号さくらメディカルガ-デン1階,月~金 9:00~18:00土 9:00~17:00,有,076-464-6164,
下新薬局,162019,富山県,富山市,36.71637,137.219193,076-442-7750,076-442-7751,930-0803,富山市下新本町3-8,月~金9:00~18:30土9:00~17:00,有,090-6812-9796,
ちよだ薬局,162019,富山県,富山市,36.718426,137.223587,076-442-2206,076-442-2207,930-0811,富山市千代田町1-31,月~金 8:30~18:00土 8:30~12:00,有,076-442-2206,
