施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
疋田らいふ薬局,172014,石川県,金沢市,36.601231,136.675629,076-255-2820,076-255-2830,920-0003,金沢市疋田2丁目148エンゼル18,月~金9:00~18:00土9:00~16:00,有,076-252-2820 (転送),
瑠璃光薬局疋田店,172014,石川県,金沢市,36.602455,136.674667,076-258-2108,076-258-2109,920-0003,金沢市疋田2丁目45番,月9:00~18:00/火9:00~18:00/水9:00~17:00/木9:00~18:00/金9:00~18:00/土9:00~13:00,有,076-258-2108,
クオ-ル薬局磯部町店,172014,石川県,金沢市,36.598923,136.659256,076-252-8560,076-252-9346,920-0012,金沢市磯部町ニ6-1,月~金9:00~18:00土9:00~14:00(第2は9:00~12:00まで),有り,076-252-85601,
沖町ファ-マライズ薬局,172014,石川県,金沢市,36.591473,136.654999,076-253-2796,076-253-2797,920-0013,金沢市沖町二33,月~金8:45~17:00土14:00~18:00,有,076-253-2796,
若葉らいふ薬局,172014,石川県,金沢市,36.591473,136.654999,076-252-8100,076-252-8102,920-0013,金沢市沖町二31,月~金8:30~18:00土8:30~13:00,有,076-252-8100 (転送),
浅野川はなの木薬局,172014,石川県,金沢市,36.607681,136.643677,076-201-8197,076-201-8198,920-0018,金沢市三口町土358,月~金9:00~17:30土9:00~13:00,有,076-201-8197,
瑠璃光薬局西念店,172014,石川県,金沢市,36.588512,136.638092,076-204-6208,076-204-6207,920-0024,金沢市西念3丁目16-23,月9:00~18:00/火9:00~18:00/水9:00~17:00/木9:00~18:00/金9:00~18:00/土9:00~13:00,有,076-204-6208(転送),
アイリスあおぞら薬局,172014,石川県,金沢市,36.587017,136.639679,076-232-4193,076-232-9383,920-0024,金沢市西念2-36-5,月~金9:00~18:00 土9:00~17:00,有り,076-232-4193,
西念ラン薬局,172014,石川県,金沢市,36.590954,136.637222,076-232-3120,076-232-3173,920-0024,金沢市西念3-30-11,月9:00~17:00 水木金9:00~18:00 土9:00~13:00,無し,,
北町ラン薬局,172014,石川県,金沢市,36.585491,136.625916,076-221-5230,076-221-5233,920-0025,金沢市駅西本町6-14-5,月~金9:00~15:00 土9:00~13:00,無し,,
