施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
調剤薬局薬報堂町屋店,182010,福井県,福井市,36.077583,136.229263,0776-97-8354,0776-97-8358,910-0002,福井市町屋2-5-10,月・火・木・金8:30~18:30水8:30~16:30土8:30~14:00,有,0776-97-8354(転送),
有限会社十字堂薬局,182010,福井県,福井市,36.079002,136.228729,0776-27-6515,0776-27-6525,910-0002,福井市町屋2-9-18,月・火・水・金8:30~18:30 木8:30~16:30 土8:30~13:30,有,090-2839-7402,
南山堂薬局 松本店,182010,福井県,福井市,36.072929,136.220154,0776-97-6117,nan,910-0003,福井市松本4-523,月~土8:30~18:00,無,,
エンゼル調剤薬局宝永店,182010,福井県,福井市,36.069298,136.220688,0776-74-0093,0776-26-1797,910-0004,福井市宝永4-13-12,月~水・金・土9:00~18:00、木9:00~17:00,有,0776-74-0093,
(有)安久薬局大手店,182010,福井県,福井市,36.066532,136.22522,0776-97-5240,0776-97-5250,910-0005,福井市大手2-15-13 クリアビル1F,月~水・金8:30~18:00、木9:00~18:00、土8:30~17:00,有,0776-97-5240,
エンゼル調剤薬局三の丸店,182010,福井県,福井市,36.063866,136.223816,0776-22-2093,0776-22-2094,910-0005,福井市大手2丁目3-1三の丸ビル1F,月~土8:30~17:30,有,0776-22-2093,
(有)安久薬局二の宮店,182010,福井県,福井市,36.087597,136.226059,0776-27-6755,0776-27-6900,910-0015,福井市二の宮2-30-14,月~金9:00~18:00、土9:00~13:00,有,0776-27-6755,
共創未来二の宮薬局,182010,福井県,福井市,36.083817,136.212112,0776-43-9401,0776-43-9403,910-0015,福井市二の宮4-8-24,月~水・金9:00~18:30、土9:00~13:00,有,080-8764-9607,
おおみや薬局,182010,福井県,福井市,36.083096,136.217545,0776-43-0794,0776-43-0795,910-0016,福井市大宮2-27-23,月~金9:00~18:00、水9:00~17:00、土9:00~13:00,有,0776-43-0794,
スギ薬局福井田原町店,182010,福井県,福井市,36.075886,136.218384,0776-43-9366,0776-43-9367,910-0017,福井市文京2丁目2-3,月~日9:00~22:00,有,0776-43-9366,
調剤薬局薬報堂ふじ,182010,福井県,福井市,36.075153,136.206909,0776-25-6105,0776-25-6106,910-0017,福井市文京5-2-17,月~金8:30~17:30、土8:30~12:30,有,090-9569-8807,
福大前桐山薬局,182010,福井県,福井市,36.075047,136.211212,0776-27-1441,0776-27-1441,910-0017,福井市文京4-4-20,月~金8:30~18:30土8:30~16:30,有,0776-27-1441,
みどり薬局,182010,福井県,福井市,36.066219,136.195557,0776-25-7732,0776-22-1356,910-0026,福井市光陽3-4-12,月・水・木・金9:00~19:00火9:00~20:00、土9:00~18:00,有,0776-25-7732,
エンゼル調剤薬局日光店,182010,福井県,福井市,36.07169,136.203629,0776-23-0093,0776-23-0094,910-0029,福井市日光1-3-2,月~金8:00~18:00、土8:30~12:30,有,090-1632-4048,
共創未来新田塚薬局,182010,福井県,福井市,36.088379,136.212128,0776-97-9081,0776-97-9082,910-0064,福井市新田塚町721,月・火・木・金8:00~18:00、水8:00~16:00、土8:00~12:30,無,,
エンゼル調剤薬局新田塚店,182010,福井県,福井市,36.091522,136.206146,0776-65-0029,0776-76-8060,910-0067,福井市新田塚1-35-26,月~金8:30~17:30土8:30~12:30,有,0776-65-0029,
