施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
スマイル薬局,,,,36.267548,138.47525,0267-65-8830,0267-65-8835,380-0022,佐久市岩村田2080-11,月~水・金8:30~18:00木8:30~16:30土第2・4日曜8:30~12:00,有,0267-65-8830,郵便番号
クオ-ル北長野薬局,,,,36.666527,138.22113,026-239-6289,026-239-6290,380-0043,長野市吉田3-22-12,月・水~金9:30~19:30 土9:30~17:30,有,080-9559-7047,郵便番号
あさひ薬局,202010,長野県,長野市,36.670788,138.203018,026-215-1310,026-215-1323,380-0802,長野市上松4-5-2,月火木金 9:00~18:30  水9:00~18:00  土9:00~14:00,有,090-5449-7424,
調剤薬局マツモトキヨシ上松店,202010,長野県,長野市,36.668724,138.194351,026-237-8825,026-237-8820,380-0802,長野市上松2-26-7-1,月~金9:00~18:30 土9:00~14:00,有,080-7751-9978,
ア-ク調剤薬局長野上松店,202010,長野県,長野市,36.674606,138.199478,026-219-6845,026-219-6846,380-0802,長野市上松3-23-20,月火水金8:30~18:30 木土8:30~13:00,有,080-9822-6291,
湯谷ひとみ薬局,202010,長野県,長野市,36.676022,138.202698,026-213-0311,026-213-0312,380-0802,長野市上松4-33-8,月~金8:30~18:00 土8:30~13:00,有,090-4714-6734,
アイン薬局長野三輪店,202010,長野県,長野市,36.658871,138.20163,026-219-1910,026-219-1920,380-0803,長野市三輪5-43-18,月~金9:00~18:30 土9:00~14:00,有,026-219-1910,
ウエルシア薬局長野三輪店,202010,長野県,長野市,36.658775,138.196487,026-238-6082,026-238-6083,380-0803,長野市三輪6-16-27,9:00~20:00,無,,
モリキ薬局三輪店,202010,長野県,長野市,36.661369,138.205353,026-252-5260,026-252-5261,380-0803,長野市三輪3-813-1,月~金9:00~18:30 土9:00~13:00,無,,
三輪かたぎり薬局,202010,長野県,長野市,36.658863,138.202118,026-235-4641,026-235-4642,380-0803,長野市三輪5-43-21 デリシア三輪店内,月~金8:30~18:30 土8:30~15:00,有,090-1867-1312,
さなえ薬局,202010,長野県,長野市,36.65107,138.196609,026-233-8358,026-233-8258,380-0812,長野市早苗町25-9,月~金9:00~18:00 土9:00~13:00,無,,
サン薬局,202010,長野県,長野市,36.648083,138.193192,026-268-0085,026-268-0086,380-0813,長野市鶴賀緑町1102,月~金8:45~18:00 土8:45~15:30,有,090-7903-1600,
