施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
きらら調剤薬局,,,,35.411793,136.79718,058-259-3511,058-245-1711,500-5227,岐阜市北一色10-11-12,月・火・水・木・金9:00~17:30土・日・祝日休み,無,,郵便番号
太陽堂薬局,212016,岐阜県,岐阜市,35.42881,136.763092,058-267-7511,058-267-7581,500-8082, 岐阜市 矢島町2-54,月~金9:00~18:30 土9:00~15:30,有,058-267-7511,
ホップ金華薬局,212016,岐阜県,岐阜市,35.430218,136.760818,058-262-0410,058-262-0599,500-8088, 岐阜市 四屋町41,月~金8:00~17:00 土8:00~13:00,有,058-262-0410,
アピス薬局金竜店,212016,岐阜県,岐阜市,35.415512,136.764084,058-267-0251,058-267-0250,500-8114, 岐阜市 金竜町1-8,月~金9:00~19:00 土9:00~13:00,有,058-267-0251,
有限会社岐東薬局,212016,岐阜県,岐阜市,35.416618,136.784439,058-246-1676,058-246-1628,500-8137, 岐阜市 東興町17,月~土 8:30~20:00,有,090-9701-8007,
ファ-スト調剤薬局 つきおか店,212016,岐阜県,岐阜市,35.415833,136.782288,058-240-6511,058-240-6522,500-8141, 岐阜市 月丘町4-25,月火水金 8:30~12:45 15:15~19:15 木 8:30~16:30  土 8:30~12:30,無,,
華陽しいのみ薬局,212016,岐阜県,岐阜市,35.40572,136.769043,058-271-1640,058-275-1949,500-8156,岐阜市祈年町1-19-2,月・火・木9:00~17:00水・金9:00~19:00土9:00~12:30,有,058-271-1640(転送),
ナナ調剤薬局祈年町店,212016,岐阜県,岐阜市,35.404442,136.773392,058-249-0303,058-249-0304,500-8156, 岐阜市 祈年町10-15-1,月火木金8:45~18:45 水8:45~16:45 土8:45~12:30,有,058-249-0303,
ファ-スト調剤薬局新岐阜店,212016,岐阜県,岐阜市,35.411743,136.76265,058-265-0810,058-265-0811,500-8175, 岐阜市 長住町1-21,月火水金8:45~12:30  15:30~19:30  木8:45から17:00 土8:45~12:30,無,,
ハ-ト調剤薬局,212016,岐阜県,岐阜市,35.414406,136.762238,058-242-9822,058-242-9823,500-8177, 岐阜市 長旗町2-10-1,月火水金9:00~19:30 木9:00~17:00 土9:00~16:00,無,,
まみや調剤薬局清住店,212016,岐阜県,岐阜市,35.410828,136.762238,058-263-2121,058-263-2122,500-8178,岐阜市清住町2-15安西ビル1階,月・火・木・金9:00~19:00 水9:00~17:00土9:00~13:00日・祝休業,有,058-263-2121,
なの花薬局駒爪店,212016,岐阜県,岐阜市,35.415901,136.763229,058-263-1611,058-263-1612,500-8184, 岐阜市 西駒爪町19,月・水8:30~19:00 火・金8:30~20:00 木8:30~17:00 土8:30~12:00,有,058-263-1611,
平成調剤薬局日野店,212016,岐阜県,岐阜市,35.431976,136.815369,058-214-8722,058-214-7621,500-8211,岐阜市日野東3-12-14,月~金8:30~17:30土8:30~9:30,有,080-5111-4150,
ユタカ薬局長森,212016,岐阜県,岐阜市,35.4076,136.813095,	058-	249-	2150,nan,500-8223,岐阜市水海道5-2-5,月・火・水・金:9:00-19:00木・土:9:00-18:00日・祝:休,無,,
ピノキオ薬局中央店,212016,岐阜県,岐阜市,35.409859,136.796738,058-247-8676,058-247-8678,500-8226,岐阜市野一色4-7-2,月~金8:30~18:00土8:30~12:30日祝:休業土は研修終了薬剤師が不在の場合あり,無,,
ファミリ-薬局ながもり店,212016,岐阜県,岐阜市,35.410767,136.806198,058-240-5522,058-240-5535,500-8226, 岐阜市 野一色5-6-25,月~金8:30~13:00、16:00~19:30 土8:30~13:00,有,058-240-5522,
平成調剤薬局茜部店,212016,岐阜県,岐阜市,35.486946,136.568207,058-278-2788,058-278-2789,500-8263,揖斐郡揖斐川町茜部新所4丁目133,月・火・水・金9:00~19:15木9:00~17:00土9:00~12:15,有,058-278-2788,
マイ調剤薬局,212016,岐阜県,岐阜市,35.383533,136.734146,058-275-3016,058-275-3017,500-8288, 岐阜市 中鶉3-12,月~土9:00~17:30 日曜祝日休,無,,
マイ調剤薬局中鶉店,212016,岐阜県,岐阜市,35.383533,136.734146,058-276-3016,058-276-3017,500-8288, 岐阜市 中鶉3丁目12,月~金9:00~17:30 土9:00~17:30,無,,
なにわ薬局,212016,岐阜県,岐阜市,35.423069,136.750137,058-215-7111,058-253-1002,500-8301, 岐阜市 浪花町2-6,月火木金9:00~19:00 水8:00~16:00 土9:00~12:00,無,,
なかま薬局島田東店,212016,岐阜県,岐阜市,35.416161,136.742111,058-252-7672,058-252-7673,500-8315, 岐阜市 島田東町44,月~金:9:00~19:00   土:9:00~12:00,有,080-4545-3292,
ケイ調剤薬局鹿島店,212016,岐阜県,岐阜市,35.414722,136.738846,058-255-3020,058-255-3021,500-8323, 岐阜市 鹿島町5-13,月~土9:00~18:30 木8:00~16:00,有,058-255-3020,
ルル六条南薬局,212016,岐阜県,岐阜市,35.396622,136.740936,058-213-1512,058-213-1513,500-8358, 岐阜市 六条南2-8-18,月~金9:00~22:00 土日祝祭日9:00~17:00,有,090-5725-3897,
