施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ウエルシア薬局沼津西沢田店,222038,静岡県,沼津市,35.12254,138.845917,055-925-0196,055-929-0159,410-0007,沼津市西沢田字前田458-1,月~土9:00~19:00,有,070-1431-5093,
小島薬局本店,222038,静岡県,沼津市,35.11974,138.844193,055-922-0582,055-925-1346,410-0007,沼津市西沢田335-1,月~金8:30~18:30土8:30~18:00日祝:休,有,080-6903-8727,
ウエルシア薬局沼津カタクラパ-ク店,222038,静岡県,沼津市,35.106869,138.877716,055-954-4322,055-954-4323,410-0022,沼津市大岡1020-1,月~金9:00~14:00、15:00~18:00土・日・祝休み,無,,
とやま薬局大岡店,222038,静岡県,沼津市,35.116127,138.879089,055-921-9923,055-921-2663,410-0022,沼津市大岡2445-12,月~金8:30~18:00土8:30~12:30日・祝休み,有,090-9222-7663,
メイプル薬局大岡店,222038,静岡県,沼津市,35.121269,138.882751,055-954-2033,055-954-2034,410-0022,沼津市大岡1066-3,月9:00-18:30/火9:00-18:30/水9:00-18:30/木9:00-18:30/金9:00-18:30/土9:00-12:30,有,055-954-2033,
ト-ゴ-薬局大岡店,222038,静岡県,沼津市,35.104286,138.869675,	055-	952-	5681,nan,410-0022,沼津市大岡1696-5,月・火・水・金 9-18時木 8-16時土 8時半-12時半,有,	055-	952-	5681,
小島薬局筒井町店,222038,静岡県,沼津市,35.120575,138.864761,055-941-6820,055-941-6821,410-0041,沼津市筒井町11-2,月~金8:30~19:00土8:30~13:00,有,090-4215-2481,
メイプル薬局高沢店,222038,静岡県,沼津市,35.104687,138.855209,055-923-4757,055-923-4758,410-0057,沼津市高沢町3-15 エンゼルパ-クビル1F,火・水・木・金9:00~18:30 土9:00~17:30,有,055-923-4757,
メイプル薬局 志下店,222038,静岡県,沼津市,35.067383,138.878571,055-935-5577,055-935-5578,410-0106,沼津市志下62-6,月火木金9:00~18:30水9:00~17:00土9:00~16:00,無,,
一般社団法人沼津薬剤師会支援センタ-薬局,222038,静岡県,沼津市,35.119942,138.835129,055-927-2076,055-927-2077,410-0302,沼津市東椎路字春ノ木549-1,月~金8:30~18:00 土8:30~12:30,有,055-927-2076,
小島薬局東椎路店,222038,静岡県,沼津市,35.12178,138.833832,055-941-7864,055-941-7865,410-0302,沼津市東椎路922-5,月・火・水・金8:30~18:00木8:30~16:30土8:30~13:00,有,090-9220-6531,
二葉薬局沼津東原店,222038,静岡県,沼津市,35.136616,138.824936,055-928-5320,055-928-5321,410-0304,沼津市東原556-4,月~金9:00~18:00第4土9:00~18:00日・祝日・第4土以外の土休み,有,090-6549-5377,
ウエルシア薬局沼津鳥谷店,222038,静岡県,沼津市,35.136703,138.819717,055-969-2813,055-969-2814,410-0305,沼津市鳥谷65-2,月~金10:00~14:00、15:00~19:00土・日・祝休み,無,,
アイセイ薬局原店,222038,静岡県,沼津市,35.127247,138.788528,055-969-2511,055-969-2512,410-0312,沼津市原東中1418-34,月8:30~18:00/火8:30~18:00/水8:30~18:00/木8:30~16:30/金8:30~16:00/土8:30~12:30,有,055-969-2511,
小島薬局在宅センタ-,222038,静岡県,沼津市,35.14233,138.793961,055-957-2266,055-957-2299,410-0319,沼津市井出1742-2,月~金9:00~18:00土9:00~14:00,有,055-957-2266,
ミス薬局,222038,静岡県,沼津市,35.100128,138.853333,055-962-8618,055-952-4074,410-0805,沼津市白銀町6-7,月・火・水・金9:00~18:00木9:00~17:00土9:00~13:00,有,055-962-8618,
ワタナベ薬局錦町店,222038,静岡県,沼津市,35.089535,138.850235,055-962-3779,055-962-9592,410-0807,沼津市本錦町654-1,月8:30~19:00/火8:30~19:00/水8:30~19:00/木8:30~19:00/金8:30~19:00/土8:30~17:00,有,055-962-3779,
小島薬局中瀬店,222038,静岡県,沼津市,35.100121,138.881607,0559559550,0559559551,410-0811,沼津市中瀬町18-14,月~金8時半~17時半 土8時半~12時半,有,09038305310,
みつばち薬局,222038,静岡県,沼津市,35.095062,138.87085,055-934-8332,055-934-8334,410-0817,沼津市本郷町27-23-2,月・火・木・金8:45~18:00水8:30~16:30土8:45~13:00,有,055-934-8332,
ウエルシア薬局沼津下香貫店,222038,静岡県,沼津市,35.078705,138.878036,055-935-5466,055-935-5467,410-0822,沼津市下香貫藤井原1679-1,月~金10:00~13:00、14:00~19:00,無,,
はなまる薬局下香貫馬場店,222038,静岡県,沼津市,35.078705,138.878036,055-935-1700,055-935-1600,410-0822,沼津市下香貫馬場488-2,月、火、木、金:8:30-17:45、水:8:00-16:00、土:8:30-12:15,有,055-935-1700,
はなまる薬局下香貫樋ノ口店,222038,静岡県,沼津市,35.078705,138.878036,055-935-5777,055-935-5787,410-0822,沼津市下香貫樋ノ口1706-1,月-金:9:00-18:15、土:9:00-12:15,無,,
ウエルシア薬局裾野深良店,222208,静岡県,裾野市,35.201458,138.914825,055-995-1791,055-995-1792,410-1102,裾野市深良801-1,9:00~19:00,有,055-995-1791,
ウエルシア薬局裾野御宿店,222208,静岡県,裾野市,35.210606,138.911728,055-965-0800,055-965-0801,410-1107,裾野市御宿1341-1,月~金9:00~14:00 15:00~18:00,無,,
ウエルシア薬局マックスバリュ裾野店,222208,静岡県,裾野市,35.171856,138.905853,055-995-3523,055-995-3524,410-1118,裾野市佐野1513-1,月~土9:00~14:00 15:00~18:00,無,,
ウエルシア薬局裾野佐野店,222208,静岡県,裾野市,35.18103,138.910858,055-995-2802,055-995-2803,410-1118,裾野市佐野511-1,月~金9:00~18:00  土9:00~14:00,無,,
メイプル薬局裾野店,222208,静岡県,裾野市,35.154858,138.904907,055-993-6767,055-993-6781,410-1123,静岡県裾野市伊豆島田810-8,月~金:9:00~19:00、土:9:00~13:00,有,055-993-6767,
金時堂須賀薬局南支店,222208,静岡県,裾野市,35.17131,138.907501,055-992-7222,055-992-7222,410-1127,裾野市平松522-14,月~水・金9:00~18:30土9:00~16:00木・日・祝休み,無,,
すがぬま薬局,223441,静岡県,駿東郡小山町,35.356178,138.975281,0550-76-1040,0550-76-1040,410-1312,駿東郡小山町菅沼723-4,月・火・木・金8:00~13:00、15:00~18:00水8:00~16:00土8:00~13:00,有,090-2921-1040,
岩下薬局 江間店,222259,静岡県,伊豆の国市,35.049446,138.927734,055-947-1130,055-947-1138,410-2221,伊豆の国市南江間1306-2,月~金:9:00~18:00 土:9:00~13:00,有,055-947-1130(転送),
鈴木薬局,222259,静岡県,伊豆の国市,35.013042,138.954208,0558-76-8800,0558-76-5166,410-2315,伊豆の国市田京字坪の内271-20,月~金9:00~18:30土9:00~16:30,有,0558-76-8800         転送,
うさぎ薬局修善寺店,222224,静岡県,伊豆市,34.974533,138.945709,0558-73-2345,0558-74-3900,410-2413,伊豆市小立野90-1,月~金9:00~18:00土8:30~12:30,有,0558-73-2345,
天城薬局,222224,静岡県,伊豆市,34.942902,138.931976,0558-87-1797,0558-87-1801,410-3211,伊豆市松ヶ瀬50-3,月~金9:00~18:00土9:00~13:00,有,0558-87-1797,
あらり薬局,223069,静岡県,賀茂郡西伊豆町,34.828136,138.779739,0558-54-4830,0558-54-4828,410-3502,賀茂郡西伊豆町安良里336-1,月・木・金8:30~18:00火8:30~20:30水8:30~16:30土8:30~12:30日祝休み,有,0558-54-4830,
さんさん薬局,222062,静岡県,三島市,35.103188,138.877884,055-954-3300,055-954-3301,411-0022,沼津市大岡1399-1,月~水・金9:00~19:00木9:00~17:00土9:00~13:00,有,055-954-3300,
ウエルシア薬局三島壱町田店,222062,静岡県,三島市,35.1343,138.921295,055-980-1288,055-980-1289,411-0025,三島市壱町田192-1,月~金9:00~13:00 14:00~19:00 土9:00~14:00,無,,
加茂川町支店丸尾薬局,222062,静岡県,三島市,35.126087,138.921463,055-981-5010,055-981-5011,411-0034,三島市加茂川町22-14,月~金8:30~18:00土8:30~13:00,有,055-981-5010,
岡本薬局,222062,静岡県,三島市,35.126038,138.916672,055-972-5191,055-972-5253,411-0035,三島市大宮町3-16-6,月~水・金 9:00~17:30木 7:30~15:30土 9:00~12:30,有,055-972-5191,
あきつき薬局三島駅前店,222062,静岡県,三島市,35.125458,138.912201, 055-955-6682, 055-955-6683,411-0036,三島市一番町15-21マスダビル2階,月8:30~18:00/火8:30~18:00/水8:30~12:30/木8:30~18:00/金8:30~18:00/土8:30~12:30,有, 055-955-6682,
みしま岩田薬局,222062,静岡県,三島市,35.125217,138.909912,055-973-0844,055-981-0844,411-0036,三島市一番町17-50,月9:00~18:00/火9:00~18:00/水9:00~18:00/木9:00~18:00/金9:00~18:00/土9:00~17:00,無,,
みつばち薬局三島駅前店,222062,静岡県,三島市,35.124847,138.908997,055-981-5530,055-981-5568,411-0039,三島市寿町2-16あなたのビル1F,月~水・金9:00~18:00土9:00~16:00,有,055-981-5530転送,
おひさま薬局,222062,静岡県,三島市,35.150494,138.909546,055-980-4646,055-980-4647,411-0045,三島市萩283-3,月~金8:30~18:00土8:30~13:00,有,090-5637-4949,
