施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
大井薬局豊橋前芝店,232017,愛知県,豊橋市,34.786057,137.339279,0532-34-4757,0532-34-4755,4410152,豊橋市前芝町西堤3-2 ,月~水、金8:00~19:00、木8:00~16:00,有,080-4870-9765,
なの花薬局豊川赤坂店,232076,愛知県,豊川市,34.85918,137.310623,0533-82-2666,0533-82-2667,4410202,豊川市赤坂町松本181-2,月・火・木・金9:00~19:00水9:00~17:00土9:00~13:00,有,0533-82-2666,
くるみ調剤薬局ごゆ店,232076,愛知県,豊川市,34.843494,137.325104,0533-82-4066,0533-82-4067,4410211,豊川市御油町小山9の3 ,月火木金9:00~19:30、水9:00~17:00土9:00~12:30,有,090-9177-0897,
スガヤ薬局 富永店,232211,愛知県,新城市,34.9114,137.513489,0536-24-0041,0536-24-0053,4411302,新城市富永字新栄56-2 ,月~水、金8:30~19:00 木8:30~17:00 土8:30~12:00,有,0536-24-0041,
せいてん薬局,232211,愛知県,新城市,34.902248,137.484238,0536-22-9800,0536-22-9801,4411341,新城市杉山字篠刈46番5 ,月~金9時~19時、土9時~12時,有,0536-22-9800,
いずみ薬局,232211,愛知県,新城市,34.885609,137.468964,0536-24-1181,0536-24-1182,4411348,新城市市場台3-1-20 ,"月火水金9:00~19:00,木9:00~17:30,土9:00~12:00",有,090-1477-0686,
バニラ薬局 新城店,232211,愛知県,新城市,34.917496,137.494812,0536-22-9822,0536-22-9823,4411355,新城市上平井昭和960番地4 ,月8:30~19:00火8:30~17:00水~金8:30~19:00土8:30~12:30,有,0536-22-9822,
アイセイ薬局 新城店,232211,愛知県,新城市,34.909885,137.502075,0536-24-1881,0536-23-7510,4411361,新城市平井字新栄126-1,月8:45~16:45/火9:00~18:00/水8:45~16:45/木8:45~16:45/金9:00~18:00/土9:00~13:00,有,0536-24-1881,
エムハ-ト薬局しんさかえ店,232211,愛知県,新城市,34.909206,137.503967,0536-24-6088,0563-24-6089,4411361,新城市平井字新栄50-1 ,月~金:9:00~19:00(水曜定休日)、土:9:00~13:30,有,080-3686-4871,
やまざき薬局新城店,232211,愛知県,新城市,34.90176,137.504364,0536-25-7220,0536-25-7221,4411365,新城市字石名号4-7,月・火・木・金 8:30~19:00水 8:30~17:00土 8:30~12:30,有,090-9264-4495,
スギヤマ薬局新城店,232211,愛知県,新城市,34.897121,137.490005,0536-24-3037,0536-24-3038,4411386,新城市南畑37-5 ,月~土9:00-19:00,無,,
