施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
たんぽぽ薬局羽津店,242020,三重県,四日市市,34.988655,136.627869,059-330-5530,059-334-0078,510-0016,四日市市羽津山町1118-3,月~金8:30~17:30 土13:00~17:00,有,059-330-5530,
フラワ-薬局羽津山店,242020,三重県,四日市市,34.989384,136.625198,059-330-6161,059-330-6166,510-0016,四日市市羽津山町5-1,月~金8:30~18:00 土9:00~12:00,有,090-5603-3297,
藤戸薬局,242020,三重県,四日市市,34.961353,136.616714,059-354-1292,059-354-0830,510-0066,四日市市南浜田町4-6,月~水・金9:00~18:00木土9:00~13:00,有,090-3589-4800,
エンゼル薬局四日市駅前店,242020,三重県,四日市市,34.96788,136.617554,059-350-8887,059-350-8887,510-0075,四日市市安島1-2-19W.Eビル5F,火~金9:00~18:00  土9:00~12:00,有,090-9220-2992,
フラワ-薬局四日市駅前店,242020,三重県,四日市市,34.966427,136.619766,059-351-8899,059-353-4155,510-0086,四日市市諏訪栄町6-3愛汗ビル1階,月~金8:30~18:30  土8:30~17:00,有,090-2770-4266,
おぐら薬局,242020,三重県,四日市市,34.923531,136.629059,059-358-1622,059-358-1623,510-0101,四日市市楠町小倉六之縄767-2,月~水・金9:00~19:30 木8:00~16:00  土9:00~12:30,有,059-358-1622,
ウェルネス薬局五味塚店,242020,三重県,四日市市,34.908691,136.631165,059-340-5198,059-340-5199,510-0104,四日市市楠町南五味塚1306-2,月~水・金9:00-18:00木8:30~16:30  土9:00-12:00,有,059-340-5198,
エ-ル調剤薬局鈴鹿店,242071,三重県,鈴鹿市,34.840939,136.567551,059-388-1010,059-388-0010,510-0203,鈴鹿市野村町169-3,月~金9:00~19:20 土9:00~17:20,有,059-388-1010,
スズカ調剤薬局稲生店,242071,三重県,鈴鹿市,34.840157,136.56279,059-386-0006,059-386-0008,510-0205,鈴鹿市稲生4-14-20,月~水・金9:00~18:00  木9:00~17:00  土9:00~13:00,有,059-386-0006,
ファ-マライズ薬局鈴鹿店,242071,三重県,鈴鹿市,34.850304,136.507858,059-370-3770,059-370-3780,510-0211,鈴鹿市国府町井口57-21,月~金9:00~18:00 土9:00~13:00,有,059-370-3770(転送),
旭が丘調剤薬局,242071,三重県,鈴鹿市,34.845387,136.577362,059-380-5700,059-380-5701,510-0211,鈴鹿市東旭が丘3-2-8,月~水・金8:30~18:00木8:30~17:00 土8:30~12:30,有,059-380-5700,
けやき調剤薬局,242071,三重県,鈴鹿市,34.851082,136.572266,059-380-6770,059-380-6771,510-0211,鈴鹿市東旭が丘1-6-19,月~金9:00~19:00土9:00~13:00,有,090-1945-4247,
