施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
有限会社丸山薬局,252131,滋賀県,東近江市,35.076763,136.294708,0748-27-0111,0748-27-0481,527-0231,東近江市山上町923-2,月~金8:30~19:00 土9:00~13:00,無,,
有限会社ひまわり薬局,252093,滋賀県,甲賀市,34.952789,136.155777,0748-63-3295,0748-63-3722,528-0042,甲賀市水口町虫生野中央80-2,月~金8:30~19:30土8:30~16:00 日・祝休み,有,080-2464-9897,
野の花薬局,252026,滋賀県,彦根市,35.273895,136.239532,0749-27-0860,0749-27-0861,522-0067,彦根市長曾根町5-26-5,月~金8:30~19:30 土8:30~12:30,有,090-6603-5265,
凡凡薬局東店,252085,滋賀県,栗東市,35.038757,135.974121,077-554-2368,077-554-2369,520-3035,栗東市霊仙寺1-1-46,月・火・水・金9:00~19:30 土9:00~13:00,有,077-554-2368,
凡凡薬局御園店,252085,滋賀県,栗東市,35.003044,136.024338,077-559-2121,077-558-1421,520-3005,栗東市御園1829-2,月、火、水、金9:00-19:00 木9:00-17:00土9:00-13:00,有,077-559-2121,
本宮調剤薬局,252018,滋賀県,大津市,34.999107,135.877258,077-511-5577,077-511-5578,520-0804,大津市本宮2-9-27,第1.3.5月、火、木8:45-18:00   第2.4月、水、金8:45-19:00  土9:00-12:00,有,080-9880-8361,
福澤薬局甲西店,252115,滋賀県,湖南市,35.003639,136.079819,0748-72-1070,0748-72-1080,520-3235,湖南市平松北3-70,月~金9:00~19:00土9:00~13:00,無,,
福澤薬局,252115,滋賀県,湖南市,35.009731,136.063309,0748-77-3055,0748-77-3093,520-3107,湖南市石部東2-5-37,月~金8:30~19:00土8:30~17:00,有,0748-77-3055,
福徳寿薬局,252018,滋賀県,大津市,34.987038,135.92868,077-545-7302,077-545-1016,520-2152,大津市月輪1-3-8,月~金10:00~21:00 土日祝日10:00~19:00,有,077-545-7302,
彦根かいえ薬局,252026,滋賀県,彦根市,35.261662,136.229431,0749-30-3161,0749-30-3162,522-0056,彦根市開出今町1524-4,月~金8:30~19:00 土8:30~12:00,無,,
八幡ますだ薬局,252042,滋賀県,近江八幡市,35.122044,136.105453,0748-38-0517,0748-38-8217,523-0898,近江八幡市鷹飼町南3-3-4,月~金8:30~19:00  土8:30~13:30,有,080-9602-8653,
日本調剤草津薬局,252069,滋賀県,草津市,35.022617,135.957977,077-562-4539,077-562-9468,525-0037,草津市西大路7-7ユニハイム草津ユトリオふれあい館1階,月、火、木、金9:00~19:30 水9:00~19:00 土9:00~16:00,無,,
日本調剤水口薬局,252093,滋賀県,甲賀市,34.987328,136.185242,0748-65-0131,0748-65-0132,528-0074,甲賀市水口町松尾1252-3,月~金9:00~18:00土9:00~1300,有,080-2010-2902,
日本調剤 滋賀医大前薬局,252069,滋賀県,草津市,34.972244,135.951797,077-598-6250,077-598-6251,525-0072,草津市笠山7-6-53,月~金9:00~19:00,有,090-3407-2837,
調剤薬局マリ-ン マキノ病院前店,252123,滋賀県,高島市,35.445103,136.031647,0740-20-2525,0740-20-2777,520-1823,高島市マキノ町中庄473-131,月-金9:00-20:00 土:9:00-15:00,有,090-1912-3278,
調剤薬局ツルハドラッグ大津石山店,252018,滋賀県,大津市,34.955723,135.897583,077-531-0268,077-531-0268,520-0867,大津市大平2-1-5,月~金9:00~19:00土9:00~13:00,無,,
調剤薬局ツルハドラッグ湖南岩根店,252115,滋賀県,湖南市,35.01054,136.109787,0748-71-4071,0748-71-4071,520-3252,湖南市岩根4580,月~金9:00~18:30土9:00~15:00,無,,
調剤薬局ツルハドラッグ栗東安養寺店,252085,滋賀県,栗東市,35.023075,135.997238,077-551-6270,077-551-6270,520-3015,栗東市安養寺8-2-22,月~金9:00~19:00土9:00~14:00,無,,
大津京こと薬局,252018,滋賀県,大津市,35.02972,135.864716,077-548-7312,077548-7314,520-0021,大津市二本松1-1ブランチ大津京2階,月・火・木・金9:00~19:00土・日9:00~17:00,無,,
大津ますだ薬局,252018,滋賀県,大津市,35.073017,135.883377,077-579-2436,077-579-2471,520-0104,大津市比叡辻2-11-18,月~水・金:9:00~19:30 木:9:00~19:00 土:9:00~13:30,有,090-5646-8109,
小島薬局,252077,滋賀県,守山市,35.050243,135.994934,077-583-0616,077-583-4590,524-0041,守山市勝部1-1-21-102,月~金9:00~20:00、土9:00~17:00,有,080-6226-8238,
滋賀県薬剤師会会営薬局,252069,滋賀県,草津市,34.975681,135.954407,077-567-2435,077-567-2434,525-0072,草津市笠山7-4-52,月~金9:00~17:15土9:00~13:00,有,080-2458-1298,
山本薬局,252018,滋賀県,大津市,35.065205,135.872665,077-579-3299,077-579-3353,520-0113,大津市坂本3-2-29,月~土9:00~20:00,無,,
阪神調剤薬局南彦根店,252026,滋賀県,彦根市,35.242729,136.247955,0749-22-6673,0749-22-6657,522-0054,彦根市西今町21-1,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~19:00/金9:00~19:00/土9:00~18:00,無,,
阪神調剤薬局東近江店,252131,滋賀県,東近江市,35.096165,136.230301,0748-23-1750,0748-22-8418,527-0045,東近江市中小路町494-4,月~金9:00~18:00,有,080-5789-0977,
阪神調剤薬局長浜店,252034,滋賀県,長浜市,35.384029,136.274979,0749-68-1785,0749-68-1786,526-0052,長浜市神前町9-37,月~金9:00~18:00,有,080-6206-5337,
阪神調剤薬局草津総合病院前店,252069,滋賀県,草津市,35.006454,135.926544,077-567-2080,077-567-2081,525-0066,草津市矢橋町狭間1629-15,月~金:9:00~17:30、土:9:00~12:00,有,080-9307-8021,
阪神調剤薬局 栗東店,252085,滋賀県,栗東市,35.033398,136.002762,077-554-8766,077-554-8767,520-3046,栗東市大橋2丁目5-36,月9:00~17:30/火9:00~17:30/水9:00~17:30/木9:00~17:30/金9:00~17:30,有,090-9280-5198,
後三条ハッピ-薬局,252026,滋賀県,彦根市,35.263493,136.247421,0749-24-3650,0749-24-3651,522-0086,彦根市後三条町495-3,月~金9:00~18:00 土9:00~12:00,有,0749-24-3650,
健幸薬局南草津LABO,252069,滋賀県,草津市,35.003254,135.949402,077-561-1881,077-561-1882,525-0059,草津市野路1-13-5,月~日9:00~18:00祝日休み,無,,
近江八幡ゆう薬局,252042,滋賀県,近江八幡市,35.124237,136.099915,0748-33-5840,0748-33-1945,523-0891,近江八幡市鷹飼町547-2 きよし堂ビル1階,月火水金9:00~19:30 木9:00~17:00 土9:00~14:00,有,0748-33-5840,
株式会社友愛見世調剤薬局,252018,滋賀県,大津市,35.042755,135.861237,077-525-2359,077-521-4483,520-0004,大津市見世2-2-22,月~金9:00~19:15土9:00~13:00,有,077-525-2359,
株式会社友愛オキ薬局,252018,滋賀県,大津市,35.010029,135.863678,077-522-2783,077-521-5770,520-0043,大津市中央1-6-25,月~金9:00~19:00土9:00~13:00,有,077-522-2783,
株式会社おくやま薬局,252018,滋賀県,大津市,34.993259,135.924576,077-545-6035,077-543-2199,520-2145,大津市大将軍1-13-7,月・火・木・金9:00~19:30 水9:00~19:00 土9:00~13:30日9:00~12:30,無,080-4396-6035,
河野薬局,252018,滋賀県,大津市,35.119877,135.915222,077-573-3252,077-573-3252,520-0242,大津市本堅田5-20-10,10:00~19:00,無,,
河瀬調剤薬局,252026,滋賀県,彦根市,35.226658,136.219376,0749-25-2771,0749-25-2779,529-1156,彦根市清崎町292-1,月・火・木・金 9:00~19:00水 9:00~17:00土 9:00~12:30,有,080-3920-7860,
下田薬局,,,,35.02721,136.129822,0748-75-8155,0748-75-8166,520-3201,湖南市下田1528,月~水・金9:00~18:00 木9:00~15:00土9:00~12:00,無,0748-75-8155,郵便番号
わたなべ調剤薬局,252018,滋賀県,大津市,34.984795,135.925415,077-547-2930,077-547-2940,520-2153,大津市一里山1-2-14,月~金9:00~20:00土9:00~14:00,無,,
ワカモリ薬局,252034,滋賀県,長浜市,35.389713,136.290237,0749-63-5515,0749-63-5536,526-0845,長浜市小堀町80-4,月火木金9:00-19:00 水9:00-17:00 土9:00-15:00 第2.4日曜9:00-13:00,無,,
れもん薬局,252018,滋賀県,大津市,35.074829,135.873749,077-536-5482,077-536-5487,520-0113,大津市坂本6-30-37,月火水金9:00-20:00木9:00-17:00土9:00-13:00,有,090-6664-8901,
ルックドイ薬局 和迩支店,252018,滋賀県,大津市,35.162502,135.923523,077-594-5566,077-594-5567,520-0522,滋賀県大津市和邇中浜444-1,月、水、金:9:00-20:00火、木:9:00-17:00土:9:00-15:00,無,,
ルックドイ薬局 安曇川店,252123,滋賀県,高島市,35.326775,136.02243,0740-32-2848,0740-32-4445,520-1214,高島市安曇川町末広3-18,月~金9:00~19:00 土9:00~13:00,無,,
りんご薬局,252123,滋賀県,高島市,35.404964,136.011658,0740-22-0411,0740-22-0412,520-1632,高島市今津町,月・火・水・金8:30~19:00 木8:30~16:30 土8:30~15:00,有,0740-22-0411,
りぼん薬局野洲店,252107,滋賀県,野洲市,35.068748,136.025497,077-586-3501,077-586-3522,520-2331,野洲市小篠原2055,月9:00~13:00、15:30~19:30 火木金9:00~19:30 水9:00~17:00 土9:00~12:30,有,077-586-3501,
リブラ薬局大路店,252069,滋賀県,草津市,35.020916,135.967285,077-562-8558,077-562-8559,525-0032,草津市大路2-10-8,月、火、木、金9:00-20:00 水9:00-17:00 土9:00-13:00,無,,
リブラ薬局一里山店,252018,滋賀県,大津市,34.982922,135.937225,077-547-2232,077-547-2233,520-2153,大津市一里山3丁目7番8号,"月,水,金9:00~19:00 火9:00~18:00 木9:00~17:00 土9:00~13:00",有,080-1425-8525,
リブラ薬局,252069,滋賀県,草津市,35.019436,135.961884,077-562-9277,077-562-9070,525-0032,草津市大路1丁目6-16,月~水金9:00~20:00 木:9:00~17:00土9:00~14:00,有,090-2359-3939,
りあん薬局,252085,滋賀県,栗東市,35.03574,136.014877,077-596-5270,077-596-5271,520-3045,栗東市高野562-7プロスペリテII-1F,月~水・金 9:00~19:00木 9:00~17:00土 9:00~12:00,有,080-1546-3185,
ラブリ-薬局,252077,滋賀県,守山市,35.052193,135.995773,077-598-1107,077-598-1108,524-0037,守山市梅田町15-8,月-水・金:9:00-19:00 木・土:9:00-17:00,有,077-598-1107,
八日市ゆう薬局,252131,滋賀県,東近江市,35.111919,136.205338,0748-34-0705,0748-34-0706,527-0022,東近江市八日市上之町9-2-2,月・火・木・金9:00~19:00,有,0748-34-0705,
ユタカ薬局木之本,252034,滋賀県,長浜市,35.503628,136.215714,0749-82-8207,0120-299-210,529-0426,長浜市木之本町黒田1075-1,月火木金9:00~19:00 水土9:00~17:00,有,080-3625-7972,
ユタカ薬局八日市,252131,滋賀県,東近江市,35.105835,136.195282,0748-20-2805,0748-20-2810,527-0013,東近江市東中野町314,"月~金9:00-14:00,15:00-18:00",無,,
ユタカ薬局日野,253839,滋賀県,蒲生郡日野町,35.019634,136.238007,0748-52-8890,0748-52-8891,529-1601,蒲生郡日野町松尾948-10,月~金9:00~19:00土9:00~13:00,無,,
ユタカ薬局長浜八幡中山,252034,滋賀県,長浜市,35.390675,136.273758,	0749-	64-	5005,nan,526-0021,長浜市八幡中山町503,月-金 9:00-19:00土 9:00-15:00日祝 休み,無,,
