施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
高倉薬局,261068,京都府,京都市下京区,35.002365,135.761993,075-341-5941,075-341-5947,600-8092,京都市下京区神明町230-6,月~土9:30~19:00,有,075-371-2348,
松井薬局,261068,京都府,京都市下京区,34.989124,135.757767,075-371-4193,075-352-4193,600-8146,京都市下京区七条通河原町西入材木町478,月~土9:00~21:00,有,075-371-4193,
アイン薬局京都駅前2号店,261068,京都府,京都市下京区,34.987503,135.757889,075-343-0600,075-343-0606,600-8216,京都市下京区東塩小路町579-1 山崎ビル地下1階,月~金9:00~18:00、土9:00~12:00 ,有,075-343-0600,
アイン薬局京都駅前店,261068,京都府,京都市下京区,34.987503,135.757889,075-351-8555,075-351-8556,600-8216,京都市下京区塩小路通烏丸西入東塩小路町579-1 山崎メディカルビル1階,月水木9:00-19:00、火金9:00-20:00、土9:00-18:30、祝日10:00-14:00/15:00-18:30,有,075-351-8555,
さくら薬局京都駅前店,261068,京都府,京都市下京区,34.987183,135.758743,075-353-2066,075-353-2065,600-8216,京都市下京区塩小路通西洞院東入東塩小路町841-2,月水木9:00-21:00、火金9:00-18:00、土9:00-17:00,有,075-353-2066,
サンプラザ薬局京都駅前,261068,京都府,京都市下京区,34.987183,135.758743,075-365-3353,075-365-3353,600-8216,京都市下京区東塩小路町841-15,月~金9:00~19:00土9:00~17:00,有,090-9272-3900,
わかくさ薬局京都本店,261068,京都府,京都市下京区,34.988365,135.760086,075-354-4500,075-354-4600,600-8216,京都市下京区東塩小路町735-1 1階,月-金9:00-20:00土9:00-14:00,無,,
阪神調剤薬局木津屋橋店,261068,京都府,京都市下京区,34.98814,135.754028,075-353-6055,075-353-6056,600-8231,京都市下京区油小路町279番地,月金9:00~17:00、火木9:00~20:00、水9:00~17:30、土9:00~13:00,有,080-5786-8554,
アイン薬局四条烏丸店,261068,京都府,京都市下京区,35.001907,135.759872,075-708-2958,075-708-2988,600-8412,京都市下京区烏丸通仏光寺上る二帖半敷町655 産経京都烏丸ビル1階,月火水金9:00-20:30、木土9:00-20:00、日9:30-14:00,有,075-708-2958,
薬局ダックス下京烏丸店,261068,京都府,京都市下京区,34.999508,135.759445,075-354-5364,075-744-1016,600-8413,京都市下京区烏丸通高辻上ル大政所町680-1 第八長谷ビル1階,月-金10:00-14:00/15:00-20:00,無,,
室町ゆう薬局,261068,京都府,京都市下京区,34.9963,135.757401,075-352-0881,075-352-0882,600-8422,京都市下京区室町綾小路白楽天町502室町綾小路白楽天町ビル1階,月・水・金9:00~19:00、火・木9:00~20:00、土9:00~15:00水曜日17時以降は対応薬剤師不在。,無,,
ダイガク薬局四条,261068,京都府,京都市下京区,35.003059,135.756943,075-353-1308,075-352-1382,600-8441,京都市下京区四条町343-1タカクラビル1階,月~木9:00~21:00金9:00~20:00土9:00~15:00,有,090-2115-0760,
