施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
あかひげ薬局,271276,大阪府,大阪市北区,34.698402,135.499878,06-6345-1836,06-6345-1837,530-0001,大阪市北区梅田1-1-3 駅前第三ビル地下2階,月~金10:00~20:00,無,,
アピス薬局 梅田店,271276,大阪府,大阪市北区,34.698402,135.499878,06-6344-0438,06-6346-3860,530-0001,大阪市北区梅田1丁目1-3 大阪駅前第3ビル1階,月、水、木、金9:00-19:00土9:00-18:00,無,,
クオ-ル薬局梅田店,271276,大阪府,大阪市北区,34.698402,135.498413,663460152,663460153,530-0001,大阪府大阪市北区梅田1-2-2-200大阪駅前第二ビル2階,月~金9:30~17:00,無,,
コクミン調剤薬局アクティ大阪,271276,大阪府,大阪市北区,34.701881,135.496338,06-6347-0593,06-7220-3638,530-0001,大阪市北区梅田3-1-1 サウスゲ-トビル17階,月~金8:30~19:30土8:30~14:00,無,,
ココカラファイン薬局JR大阪駅店,271276,大阪府,大阪市北区,34.701881,135.496338,0663438189,0663438190,530-0001,大阪市北区梅田3-1-1JR大阪駅構内,月、水、金9:000-17:00木13:30-20:00土900-16:00,無,,
やすらぎ桜橋薬局,271276,大阪府,大阪市北区,34.699306,135.494888,06-6341-2125,06-6341-2126,530-0001,大阪市北区梅田2丁目4-37西梅田上島ビル1F,月-水、金9:00-20:00木9:00-17:00土9:00-13:00,有,06-6341-2125,
駅前第一ビルカイセイ薬局,271276,大阪府,大阪市北区,34.700012,135.497726,06-6341-6232,06-6341-6232,530-0001,大阪市北区梅田1-20駅前第一ビル2階,月火木9:00-19:00金14:00-19:00土9:00-15:00,有,080-1482-6607,
新梅田薬局,271276,大阪府,大阪市北区,34.700497,135.496002,06-6348-8382,06-6348-8383,530-0001,大阪府大阪市北区梅田1-8-16-4F,月、火、水、金10:00-20:00土10:00-14:00,無,,
アカカベ薬局西梅田店,271276,大阪府,大阪市北区,34.700298,135.495483,06-6343-0930,06-6343-0931,530-0001,大阪市北区梅田2-2-25 四つ橋線西梅田駅北中階,月~金 10:00~14:00、15:00~20:00土 10:00~18:00,無,,
コクミン薬局新梅田店,271276,大阪府,大阪市北区,34.700562,135.497513,06-6346-0741,06-6346-0741,530-0002,大阪市北区4曽根崎新地1丁目 堂島地下街1号,月~金9:00~21:00土10:00~18:00,無,,
クオ-ル薬局中之島店,271276,大阪府,大阪市北区,34.693626,135.496872,06-6233-7789,06-6233-7790,530-0005,大阪市北区中之島2-3-18 中之島フェスティバルタワ-15F,月・金9:00~17:00火・水・木11:00~17:00,無,,
なの花薬局中之島店,271276,大阪府,大阪市北区,34.691135,135.487198,06-6448-0879,06-6479-3464,530-0005,大阪市北区中之島5-3-68,月~金9:00~18:00,有,06-6448-0879,
なの花薬局中津店,271276,大阪府,大阪市北区,34.707977,135.49617,06-6373-2390,06-6373-2392,530-0012,大阪市北区芝田2-9-12,月~金9:00~18:00土9:00~13:00,無,,
なの花薬局梅田芝田店,271276,大阪府,大阪市北区,34.705685,135.496857,06-6292-4035,06-6292-4036,530-0012,大阪市北区芝田2-1-18西阪急ビル1階,月~金9:00~19:00土9:00~18:00,無,,
日本調剤 中津薬局,271276,大阪府,大阪市北区,34.707752,135.496429,06-6292-7025,06-6359-2327,530-0012,大阪市北区芝田2-9-17 マエダビル1F,月、木9:00-18:00火、水、金9:00-18:30土9:00-13:00,有,090-5750-0185,
茶屋町薬局,,,,34.706165,135.49913,06-6359-8617,06-6359-8618,530-0013  ,大阪市北区茶屋町3-1三晃ビル1F,火、水、金10:00-20:00,無,,郵便番号
サエラ薬局梅田東店,271276,大阪府,大阪市北区,34.705879,135.506073,06-6361-7001,06-6361-7002,530-0016,大阪市北区中崎1-2-25アクシオ梅田東1階,月~金10:00-18:00,有,06-6361-7001,
そうごう薬局梅田北店,271276,大阪府,大阪市北区,34.705669,135.507324,06-6131-1701,06-6131-1702,530-0016,大阪府大阪市北区中崎1-1-1,月~金9:00-18:00土9:00-13:00,無,,
フロンティア薬局 中崎町店,271276,大阪府,大阪市北区,34.706005,135.506195,06-6367-7872,06-6367-7873,530-0016,大阪市北区中崎1-1-15,月~金9:00-17:00,無,,
なの花薬局,271276,大阪府,大阪市北区,34.702766,135.49939,06-6311-7100,06-6311-7102,530-0017,大阪市北区角田町8番47号(阪急グランドビル23階),月~金10:00~18:00,無,,
ファ-マライズ薬局 HEP NAVIO店,271276,大阪府,大阪市北区,34.702797,135.499786,06-6379-5706,06-6379-5707,530-0017,大阪府大阪市北区角田町7-10 HEP NAVIO 6階,月~金9:00-20:00土9:00-18:00日9:00-17:30,無,,
共栄薬局梅田店,271276,大阪府,大阪市北区,34.702087,135.49852,06-6313-7520,06-6313-7765,530-0017,大阪市北区角田町8-7 阪急百貨店地下1階,月~日・祝日10:00~20:00,有,080-3553-0728,
天六ファ-マライズ薬局,271276,大阪府,大阪市北区,34.709694,135.509369,06-6374-0041,06-6374-2366,530-0021,大阪府大阪市北区浮田1-3-16ロ-タリ-天神橋101,月9:00-16:00火-木9:00-15:00金9:00-17:00土9:00-12:00,無,,
なごみ薬局,271276,大阪府,大阪市北区,34.708832,135.509949,06-6372-7750,06-6372-7755,530-0022,大阪市北区浪花町13-7,月・火・水・金9:00~19:00木9:00~17:00土9:00~13:00,有,090-8213-2913,
阪神調剤薬局扇町店,271276,大阪府,大阪市北区,34.706081,135.508911,06-6130-7731,06-6130-7732,530-0024,大阪市北区山﨑町5-15,月~金9:00-18:00,有,090-1956-3974,
天満カイセイ薬局,271276,大阪府,大阪市北区,34.705814,135.507431,06-6316-5539,06-6316-5540,530-0024,大阪府大阪市北区山崎町5-17,月~金9:00-19:00,無,,
カイセイ薬局,271276,大阪府,大阪市北区,34.704144,135.50621,06-6361-0457,06-6361-0417,530-0026,大阪市北区神山町14-23,月・水・木・金9:00~19:00土9:00~13:00,無,,
のぞみ薬局梅田店,271276,大阪府,大阪市北区,34.702515,135.506027,06-6361-3017,06-6361-3019,530-0026,大阪府大阪市北区神山町2-2造園会館1階,月~金9:00-18:00土9:00-12:00,有,06-6361-3017,
大阪神山さくら薬局,271276,大阪府,大阪市北区,34.704227,135.50621,06-4709-6581,06-4709-6582,530-0026,大阪府大阪市北区神山町14-22クラフト扇町ビル1階,月~金9:00-18:00,有,06-4709-6581,
日本調剤扇町薬局,271276,大阪府,大阪市北区,34.704227,135.50621,06-6130-5661,06-6130-5663,530-0026,大阪府大阪市北区神山町14-22,月~金9:00-18:00,有,090-6951-8314,
薬局いろは,271276,大阪府,大阪市北区,34.704308,135.506195,06-6312-3660,06-6312-3661,530-0026,大阪府大阪市北区神山町14-21,月~金9:00-18:00,有,080-7028-4474,
アイン薬局大阪美波店,271276,大阪府,大阪市北区,34.705006,135.512466,06-6585-0804,06-6585-0805,530-0034,大阪府大阪市北区錦町3-7グランフォ-スビル1階,月、金、土9:30-13:30火~木9:30-19:30,無,,
エスエス薬局,271276,大阪府,大阪市北区,34.705021,135.511444,06-6351-1616,06-6351-1657,530-0041,大阪市北区天神橋4-4-9,月~金10:00-20:00土10:00-18:00,無,,
スマイル薬局,271276,大阪府,大阪市北区,34.709515,135.510941,06-4801-7700,06-4801-7701,530-0041,大阪府大阪市北区天神橋6-6-11-102,月、火、木、金9:00-19:30水9:00-18:00土9:00-17:00,有,090-5970-6621,
セブン薬局天六店,271276,大阪府,大阪市北区,34.71048,135.5112,0647928997,0647927669,530-0041,大阪市北区天神橋6-7-17,月~土900-1700,有,090-5056-7132,
テイコク薬局南森町店,271276,大阪府,大阪市北区,34.698761,135.511597,06-6882-5039,06-6882-5049,530-0041,大阪府大阪市北区天神橋3-2-36,月、木、金9:00-19:00水9:00-17:00土9:00-13:00,有,070-6281-2550,
ファ-マシィ薬局南森町,271276,大阪府,大阪市北区,34.69717,135.513504,06-6657-4448,06-6657-4448,530-0041,大阪市北区天神橋2-5-28 千代田第二ビル1F,月9:00~19:00/火9:00~19:00/水9:00~19:00/木9:00~19:00/金9:00~19:00/土9:00~17:00,無,,
マルゼン薬局,271276,大阪府,大阪市北区,34.710575,135.511017,06-6351-2989,06-6170-2977,530-0041,大阪市北区天神橋6-7-14,月・火・水・金9:00~20:30土9:00~14:00,無,,
ユア-ズ薬局,271276,大阪府,大阪市北区,34.707794,135.511765,0663542339,0663542226,530-0041,大阪市北区天神橋5-5-32,月、火10:00-20:00,無,,
ユア-ズ薬局天神橋店,271276,大阪府,大阪市北区,34.707253,135.511002,06-6949-8987,06-6949-8985,530-0041,大阪市北区天神橋5-7-12,月、火、木、金10:00-17:00,無,,
柿の木薬局天満店,271276,大阪府,大阪市北区,34.704414,135.511368,06-6351-2318,06-6351-2386,530-0041,大阪市北区天神橋4-8-28,月・火・木・金9:00~18:00土9:00~15:00,無,,
