施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
フラワ-薬局,281107,兵庫県,神戸市中央区,34.691208,135.195129,078-333-9996,078-333-9997,650-0001,神戸市中央区加納町6-6-1,月~金9:00~19:00土9:00~13:00,有,078-333-9996,
新神戸コトノハコ薬局,281107,兵庫県,神戸市中央区,34.705647,135.194824,078-200-5170,078-200-5177,650-0001,神戸市中央区加納町1-3-2 コトノハコ神戸1階1E-02A,月・水・木9:00~18:00火・金9:00~19:00土9:00~17:00,有,078-200-5170,
アイン薬局中山手通店,281107,兵庫県,神戸市中央区,34.689625,135.177002,078-335-6496,078-335-6497,650-0004,神戸市中央区中山手通7-5-10紺田ビル101号,月~金9:00~19:30土9:00~17:00,有,078-335-6496,
エイコ-薬局鯉川店,281107,兵庫県,神戸市中央区,34.693424,135.186707,078-599-5170,078-599-5170,650-0004,神戸市中央区中山手通3-4-8,月火水金9:30~18:30木10:00~18:00土9:30~13:00,無,,
さら薬局,281107,兵庫県,神戸市中央区,34.697445,135.191437,078-242-0509,078-242-0525,650-0004,神戸市中央区中山手通1-23-2,月8:30~17:00、火8:30~19:00、水9:00~17:00、木8:30~19:00、金8:30~17:00、土8:30~12:00,無,,
あじさい薬局,281107,兵庫県,神戸市中央区,34.690556,135.182053,078-335-5666,078-335-5696,650-0011,神戸市中央区下山手通5-12-17,月~金 9:00~13:00、14:00~19:00 土 9:00~13:00,無,,
アルカ宇治川薬局,281107,兵庫県,神戸市中央区,34.684998,135.177338,078-382-0311,078-382-3012,650-0011,神戸市中央区下山手通9-1-5,月水金9:00~19:00、火木9:00~18:00、土9:00~13:00,有,080-6220-4725,
生田調剤薬局,281107,兵庫県,神戸市中央区,34.684898,135.177505,078-361-3691,078-361-3638,650-0011,神戸市中央区下山手通9-1-3,月火木9:00~17:00、水金9:00~19:00、土9:00~13:00,有,078-361-3691,
県庁前ハ-トフル薬局,281107,兵庫県,神戸市中央区,34.691299,135.186829,078-334-6088,078-334-6089,650-0012,神戸市中央区北長狭通4-6-15,月水木金9:00~18:00、火9:00~20:00 土9:00~13:00,有,080-6389-9701,
阪神調剤薬局神戸店,281107,兵庫県,神戸市中央区,34.688454,135.183487,078-351-4306,078-351-4306,650-0012,神戸市中央区北長狭通5-6-6,月火金9:00~19:00、水木9:00~17:00、土9:00~14:00,有,090-7551-9350,
神戸元町ハ-トフル薬局,281107,兵庫県,神戸市中央区,34.69104,135.186371,078-381-8717,078-381-8718,650-0012,神戸市中央区北長狭通4-6-7,月木9:00~20:00、火水金9:00~18:00、土9:00~16:00,有,090-5046-8682,
大倉山薬局,281107,兵庫県,神戸市中央区,34.681023,135.172546,078-366-3330,078-366-3331,650-0016,神戸市中央区橘通4-2-16 1階,月水金9:00-19:00、火9:00-20:00、木9:00-17:00、土9:00-12:30,有,078-366-3330,
くすのき薬局,281107,兵庫県,神戸市中央区,34.682568,135.172546,078-367-3663,078-367-3662,650-0017,神戸市中央区楠町5-4-16-101,月火水金9:00-19:00、木9:00-17:00、土9:00-13:00,有,078-367-3663,
ココカラファイン薬局神戸大学医学部附属病院店,281107,兵庫県,神戸市中央区,34.685452,135.171051,078-945-9315,078-945-9316,650-0017,神戸市中央区楠町7-5-2-2階,月-金9:00-18:00,無,,
阪神調剤薬局神大店,281107,兵庫県,神戸市中央区,34.684196,135.170288,078-371-7232,078-371-7235,650-0017,神戸市中央区楠町6-13-24,月-金9:00-18:00,有,090-2062-9788,
