施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ウエルシア薬局橿原今井店,292052,奈良県,橿原市,34.505146,135.782684,0744-20-2724,0744-20-2726,634-0812,橿原市今井町3-10-21,月~金9:30~19:00 土9:30~17:00,無,,
そうごう薬局かしはら店,292052,奈良県,橿原市,34.495621,135.797806,0744-20-1661,0744-20-1662,634-0074,橿原市四分町2-1,月~水・金9:00~19:00木9:00~17:00土9:00~13:00,有,0744-20-1661,
初瀬薬局中和店,292060,奈良県,桜井市,34.507229,135.83934,0744-32-1515,0744-32-1551,633-0054,桜井市阿部356-1,月~金9:00~16:00 土9:00~12:00,有,0744-32-1515,
ウエルシア薬局奈良六条店,292010,奈良県,奈良市,34.67115,135.774124,0742-40-2372,0742-40-2373,630-8043,奈良市六条2-18-5,月~金9:00~19:00土9:00~14:00,無,,
有限会社はしもと薬局,293610,奈良県,磯城郡川西町,34.584175,135.78508,0745-44-2233,0745-43-0848,636-0202,磯城郡川西町結崎584-9,月~土9:00~20:00,無,,
あおば薬局,293610,奈良県,磯城郡川西町,34.581249,135.765091,0745-42-1117,0745-42-1130,636-0204,磯城郡川西町唐院396-2,月火木8:30~18:00 金土8:30~13:00,有,0745-42-1117(転送),
プラム薬局,293636,奈良県,磯城郡田原本町,34.558605,135.789886,0744-33-9457,0744-33-9457,636-0312,磯城郡田原本町新町252,月~金9:00~19:00 日9:00~13:00,有,080-4989-8546,
保津西薬局,293636,奈良県,磯城郡田原本町,34.55595,135.782791,0744-33-3700,0744-33-3710,636-0303,磯城郡田原本町保津292-1,月火水金9:00~19:00 木土9:00~12:00,無,,
ひだまり薬局榛原店,292125,奈良県,宇陀市,34.534595,135.949738,0745-82-2252,0745-82-2253,633-0256,宇陀市榛原あかね台2-22-5,月火水金9:00~20:00 木9:00~17:00 土9:00~13:00,無,,
いずみ薬局はいばら店,292125,奈良県,宇陀市,34.524441,135.949738,0745-85-3443,0745-85-3444,633-0241,宇陀市榛原下井足14-1,月火水金9:00~19:30 木9:00~17:00 土9:00~13:00,有,090-3262-2900,
やまぐち薬局,292125,奈良県,宇陀市,34.52932,135.955185,0745-82-5723,0745-82-5723,633-0253,宇陀市榛原萩原2843-21,月・火・水・金9:00~20:00木9:00~19:00土9:00~13:00,有,0745-82-5723(携帯に転送),
くすのき薬局,292125,奈良県,宇陀市,34.527927,135.959869,0745-82-3200,0745-82-3204,633-0253,宇陀市榛原萩原758-2,月~金8:30~18:00 土9:00~12:00,有,0745-82-3200,
