施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ふゆの薬局,,,,34.189468,135.215622,073-488-3537,073-488-3538,640-0032,和歌山市冬野1764-1,月~木・金9:00~18:30土9:00~12:30,有,073-488-3537,郵便番号
調剤薬局ホンダ西庄中央店,302015,和歌山県,和歌山市,34.257534,135.115631,073-451-0300,073-451-0312,640-0112,和歌山市西庄338-40,月~水・金9:00~19:00木9:00~17:00土9:00~13:00,無,,
いちみや調剤薬局,302015,和歌山県,和歌山市,34.259724,135.108643,073-480-5518,073-480-5528,640-0112,和歌山市西庄585-12,月~水・金 9:00~19:00木 9:00~17:00土 9:00~13:00,有,090-1672-3310,
アトム調剤薬局,302015,和歌山県,和歌山市,34.260681,135.105392,073-480-5113,073-480-5103,640-0112,和歌山市西庄558-18,月~金8:30~18:00土8:30~12:30,有,090-7113-9523,
株式会社調剤薬局ホンダ貴志川店,302082,和歌山県,紀の川市,34.240051,135.327728,0736-64-0130,0736-64-0131,640-0401,紀の川市貴志川町丸栖1420,月・水・金9:00~19:00火9:00~18:00木9:00~17:00土9:00~13:00,無,,
ジップドラッグ長山薬局,302082,和歌山県,紀の川市,34.211395,135.291977,0736-65-1345,0736-65-1346,640-0416,紀の川市貴志川町長山245-1,月~金9:00~18:30土9:00~13:00,有,080-3582-4087,
ファミリ-薬局,302082,和歌山県,紀の川市,34.211815,135.28508,0736-64-7704,0736-64-7727,640-0416,紀の川市貴志川町長山277-210,月~水・金8:30~19:00木8:30~17:00土8:30~12:00,有,080-4640-2345,
やよい堂薬局アリダ店,302082,和歌山県,紀の川市,34.073818,135.1707,0737-88-2686,0737-88-2687,640-0422,有田市糸我町西560-1,月~水・金8:30~18:30木8:30~17:00土8:30~12:30,有,090-3466-4153,
七山調剤薬局,302023,和歌山県,海南市,34.188026,135.303864,073-488-0357,073-488-0357,640-0441,海南市七山354-1,月・火・木・金9:00~19:00水・土9:00~13:00,有,073-488-0357090-5066-9934,
日本調剤小畑薬局,303046,和歌山県,海草郡紀美野町,34.169846,135.301788,073-488-1731,073-488-1732,640-1141,海草郡紀美野町小畑字森ノ坪60-1,月・水・金8:30~19:00火8:30~17:30木・土8:30~12:30,有,070-4015-6812,
日本調剤紀美野薬局,303046,和歌山県,海草郡紀美野町,34.169846,135.301788,073-489-9437,073-489-9438,640-1141,海草郡紀美野町小畑96-1,月~金8:30~17:30土8:30~12:30,有,080-1305-6210,
やよい堂薬局十番丁店,,,,34.231014,135.175201,073-499-5842,073-499-5843,640-5842,和歌山市十番町61番地,月~金9:00~19:00土9:00~12:30,有,090-3466-4153,郵便番号
ファ-コス薬局たくみ,302015,和歌山県,和歌山市,34.234447,135.175507,073-426-2002,073-426-2003,640-8028,和歌山市匠町25ポポロビル1階,月・水・金9:00~19:00火8:30~17:00木8:00~16:00土9:00~13:00,有,073-426-2002,
和歌山県薬剤師会おくすりセンタ-薬局,302015,和歌山県,和歌山市,34.234165,135.174164,073-426-0090,073-426-0091,640-8033,和歌山市本町2-1フォルテワジマ5F,月~金9:00~18:00土9:00~13:00,有,073-426-0090,
サン調剤薬局,302015,和歌山県,和歌山市,34.231686,135.177689,073-436-9125,073-436-9126,640-8107,和歌山市三木町堀詰41スカイハイツ三木町1F,月~水・金9:00~19:00木9:00~17:30土9:00~13:00,有,073-436-9125,
エバグリ-ン薬局広瀬店,302015,和歌山県,和歌山市,34.22422,135.184052,073-424-4500,073-488-1040,640-8127,和歌山市元町奉行丁2-66,月~金9:00~20:00土9:00~18:00,無,,
タイガ-薬局十番丁店,302015,和歌山県,和歌山市,34.231014,135.175201,073-423-6221,073-423-6227,640-8152,和歌山市十番町12十番町ビル1F,月~水・金9:00~19:00木9:00~17:30土9:00~13:00,有,080-8515-0783,
ルピナス調剤薬局,302015,和歌山県,和歌山市,34.231274,135.172134,073-435-5007,073-435-5008,640-8155,和歌山市九番丁224,月~水・金9:00~19:00木9:00~18:00土9:00~13:00,有,080-7317-6590,
日本調剤九番丁薬局,302015,和歌山県,和歌山市,34.231274,135.173172,073-402-7231,073-402-7232,640-8155,和歌山市九番丁26番地,月~金8:45~17:45土8:45~12:45,有,090-5090-6237,
めいよう薬局,302015,和歌山県,和歌山市,34.231911,135.162308,073-432-8315,073-432-8316,640-8224,和歌山市小野町3丁目47番地,月・水・金9:00~17:00火・木9:00~17:30土9:00~13:00,有,080-9582-1698,
サン調剤薬局東長町店,302015,和歌山県,和歌山市,34.220329,135.167435,073-427-3057,073-427-3058,640-8264,和歌山市湊桶屋町8番地たばこ会館1F,月~金9:00~18:00土9:00~12:00,有,073-427-3057,
