施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
あつた薬局,,,,34.873165,132.063309,0855-24-7722,0855-24-7744, 697-0062,浜田市熱田町1463-2,月・水・金 8:30~18:30火・木   8:30~17:30土     8:30~17:00,無,,郵便番号
日本調剤松江薬局,,,,35.470852,133.05603,0852-20-5101,0852-20-5131,680-0886,松江市母衣町126-3,月から金8:30から17:30土 8:30から12:30,有,090-6951-8318,郵便番号
スイング島前薬局,325260,島根県,隠岐郡西ノ島町,36.098858,133.029358,08514-7-9001,08514-7-9002,684-0303,隠岐郡西ノ島町美田2068-2,月曜日-金曜日  9:00-17:30,有,店舗電話より転送,
スイングおき薬局,325287,島根県,隠岐郡隠岐の島町,36.215416,133.319794,08512-3-0080,08512-3-0090,685-0016,隠岐郡隠岐の島町城北町355-3,月曜日-金曜日・8:30-18:00(年末年始・土・日・祝日は休み),無,,
さくらんぼ薬局東朝日町店,322016,島根県,松江市,35.461903,133.074661,0852-60-1901,0852-60-1902,690-0001,松江市東朝日町216-5,月・水・木・金:9:00-18:30火・土:9:00-17:00,無,,
ニコニコ薬局,322016,島根県,松江市,35.447048,133.085129,0852-59-5818,0852-59-5823,690-0011,松江市東津田町1769-5,月火水金8:30-18:30    木土8:30-16:30,有,090-5265-3211,
ウェルネス薬局古志原三丁目店,322016,島根県,松江市,35.444706,133.077026,0852-20-7720,0852-20-7721,690-0012,松江市古志原3-1-10,月~金9:00~18:30土9:00~18:00,無,,
さくら薬局古志原店,322016,島根県,松江市,35.441032,133.083832,0852-25-2325,0852-25-2825,690-0012,松江市古志原5丁目14-55,月~金(9:00~18:30) 土(9:00~13:30),無,,
アイアイ薬局,322016,島根県,松江市,35.439957,133.064178,0852-55-6131,0852-55-6132,690-0015,松江市上乃木9-19-23,月~金8:30~19:00土8:30~13:30,有,0852-55-6131,
あいむ薬局 上乃木店,322016,島根県,松江市,35.445972,133.07164,0852-67-5511,0852-67-5522,690-0015,松江市上乃木7-6-4,月火水金 9:00~18:00木 9:00~12:00土 9:00~16:00,有,0852-67-5511,
おれんじ薬局,322016,島根県,松江市,35.441147,133.063812,0852-61-8450,0852-61-8454,690-0015,松江市上乃木9-1647-3,月・火・水・金 8:30~18:30木8:30~16:30土8:30~13:00,無,,
ウェルネス調剤薬局橋南店,322016,島根県,松江市,35.460064,133.069199,0852-28-5150,0852-28-5160,690-0017,松江市西津田町7-11-14,月~金9:00~18:30土9:00~18:00日9:00~14:00,無,,
ファ-マシイ薬局松江センタ-,322016,島根県,松江市,35.454826,133.067825,0852-59-5111,0852-59-5112,690-0017,松江市西津田8-8-8,月・水・木・金9:00~17:00火9:00~19:30第2・4土9:00~14:00,無,,
フリ-ダム古志薬局桧山店,322016,島根県,松江市,35.454952,133.07106,0852-61-1222,0852-61-1223,690-0017,松江市西津田5-22-33,月、火、水、金→9:00-18:00 木→8:30-16:30 土→9:00-13:00 日・祝日休み,有,080-4077-8040,
くすりや調剤薬局,322016,島根県,松江市,35.439754,133.118408,0852-37-2303,0852-38-8208,690-0025,松江市八幡町286-8,月~水・金8:30~19:00木8:30~18:00土8:30~13:00,有,0852-37-2303,
ホテイ薬局山代店,322016,島根県,松江市,35.438889,133.086288,090-5375-9563,0852-60-7710,690-0031,松江市山代町480-3,月曜-金(8:30-19:00)土(8:30-13:00),有,090-5375-9563,
ウェルネス薬局メディカルモ-ル大庭店,322016,島根県,松江市,35.429585,133.083359,0852-67-8275,0852-67-8276,690-0033,松江市大庭町144-1,月・火・木・金9:00~13:00、14:30~18:30土9:00~13:00、14:00~17:00,無,,
