施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FAX番号,連絡先_郵便番号,連絡先_住所,施設_開局時間,時間外_対応の有無,時間外_電話番号,エラー
ケイ・アイ堂薬局 岡山,331015,岡山県,岡山市北区,34.670147,133.917038,086-255-3977,086-255-9633,700-0013,岡山市北区伊福町1-1-6,(月~金)9:00~18:00(土)9:00~14:00,無,*,
コスモス薬局伊福町店,331015,岡山県,岡山市北区,34.670975,133.912094,	086-	256-	6337,	086-	256-	6007,700-0013,岡山市北区伊福町3-6-4,月水木土:9:00-19:30火:9:00-13:30金:9:00-18:00,無,,
サンライズ薬局,331015,岡山県,岡山市北区,34.680607,133.903763,086-898-1880,086-898-1883,700-0017,岡山市北区伊島北町8-5,月~金9:00~18:00土9:00~14:30,有,086-898-1880,
調剤薬局マツモトキヨシmatsukiyoLAB岡山駅B-1店,331015,岡山県,岡山市北区,34.665607,133.918015,086-233-2102,086-233-2105,700-0024,岡山市北区駅元町1-1,(月~金)9:00~13:00、14:00~19:00(土)9:00~13:00、14:00~18:00,無,*,
虹いろ薬局 駅元店,331015,岡山県,岡山市北区,34.667023,133.916214,086-251-3040,086-251-3042,700-0024,岡山市北区駅元町17-3コムコム駅西館1F,(月~金)9:00~18:30(土)9:00~13:00,無,*,
トマト薬局 奉還町店,331015,岡山県,岡山市北区,34.669937,133.917877,086-252-8077,086-252-8066,700-0026,岡山市北区奉還町1-7-7オルガビル内,(月~金)9:00~18:00(土)9:00~12:00,有,086-252-8077,
ファ-マシィ薬局岡山駅西口,331015,岡山県,岡山市北区,34.668983,133.916901,086-898-2880,086-898-2880,700-0026,岡山市北区奉還町2-1-29日笠ビル1F,月~金9:00~19:00土9:00~18:00,有,086-898-2880,
富永薬局,331015,岡山県,岡山市北区,34.668167,133.91745,086-256-6282,086-250-5660,700-0026,岡山市北区奉還町1-2-7,(月~金)9:00~18:30(土)09:00~18:00,有,080-3829-7441,
ひまわり薬局 高柳店,331015,岡山県,岡山市北区,34.661209,133.897797,086-256-7388,086-256-7384,700-0035,岡山市北区高柳西町16-13,(月火水金)9:00~18:30(木土)9:00~17:00,有,086-256-7388,
サンヨ-薬局・三門店,331015,岡山県,岡山市北区,34.66803,133.903656,086-252-1988,086-252-1988,700-0051,岡山市北区下伊福上町16-13,(月~土)8:30~18:30(日)9:00~12:00,無,*,
アイン薬局 岡山北店,331015,岡山県,岡山市北区,34.665775,133.905991,086-255-6203,086-255-6187,700-0052,岡山市北区下伊福2-1-15,(月火木金)9:00~18:00(水)9:00~17:00(土)9:00~12:30,有,086-255-6203,
サンヨ-薬局西崎店,331015,岡山県,岡山市北区,34.666756,133.897461,086-239-8534,086-239-8532,700-0056,岡山市北区西崎本町4-36,月・火・水・金8:30~19:00木8:30~16:30土8:30~12:30,有,080-8232-0484,
おかやま薬局 大安寺店,331015,岡山県,岡山市北区,34.664303,133.889725,086-239-8020,086-239-8030,700-0063,岡山市北区大安寺東町22-22,月~金9:00~18:00、土9:00~13:00,無,,
アイビ-薬局大安寺,331015,岡山県,岡山市北区,34.658306,133.881943,086-239-3370,086-255-3360,700-0065,岡山市北区野殿東町1-33,月~水・金・土9:00~19:00木9:00~17:00日9:00~13:00,有,086-239-3370,
金光薬局津島店,331015,岡山県,岡山市北区,34.687553,133.913757,086-214-5225,086-214-5226,700-0080,岡山市北区津島福居1-2-17,月・火・木・金9:00~18:30水・土9:00~12:30,有,090-4100-2374,
あおぞら薬局,331015,岡山県,岡山市北区,34.68309,133.908127,086-256-6122,086-256-6123,700-0086,岡山市北区津島西坂2-2-20-2,月~水・金9:00~19:00木・土9:00~13:00,無,,
ザグザグ薬局 北方店,331015,岡山県,岡山市北区,34.687397,133.929932,086-801-5270,086-801-5270,700-0803,岡山市北区北方2-1-24,月~金9:00~18:30、土9:00~13:00,有,090-9972-8405,
ひなた薬局番町店,331015,岡山県,岡山市北区,34.675034,133.926697,086-201-5666,086-201-8555,700-0806,岡山市北区広瀬町1-28,月~水・金9:00~18:00木・土9:00~13:00,無,,
サンヨ-薬局南方店,331015,岡山県,岡山市北区,34.677452,133.927658,086-206-3452,086-206-3462,700-0807,岡山市北区南方3-9-16,月~水・金9:00~18:30木9:00~17:00 土 9:00~13:00,有,080-2934-2469,
おかやま薬局岡北店,331015,岡山県,岡山市北区,34.682499,133.928207,086-231-0022,086-231-0201,700-0808,岡山市北区大和町2-8-25,月・火・木・金9:00~18:00水9:00~17:00土9:00~12:00,無,,
サカエ薬局中山下店,331015,岡山県,岡山市北区,34.664932,133.92691,086-206-4520,086-206-4521,700-0821,岡山市北区中山下1-6-9,月~水・金9:00~19:00木・土9:00~18:00,無,,
サカエ薬局柳川店,331015,岡山県,岡山市北区,34.665424,133.926865,086-233-1017,086-233-1016,700-0821,岡山市北区中山下1-1-1 グレ-スタワ-III 100a,月~金 9:00~18:00土・日・祝休み,有,080-1645-9155,
ひなた薬局,331015,岡山県,岡山市北区,34.662872,133.927353,086-224-2227,086-224-2228,700-0821,岡山市北区中山下一丁目9-50,(月~金)9:00~18:30(土)9:00~17:00,有,080-4607-0098,
やまかわ薬局中山下店,331015,岡山県,岡山市北区,34.659428,133.928238,086-231-0432,086-231-0434,700-0821,岡山市北区中山下2-5-38,月~金9:00~18:00,無,,
ハ-トライフ薬局 西大寺町店,331015,岡山県,岡山市北区,34.658394,133.929459,086-226-0810,086-226-0830,700-0822,岡山市北区表町3-6-25,(月~金)9:00~18:30(土)9:00~13:00,有,070-5671-0810,
やまかわ薬局 内山下店,331015,岡山県,岡山市北区,34.662037,133.932785,086-222-0155,086-222-0156,700-0824,岡山市北区内山下2-1-14,月~金9:00~19:00、土9:00~14:00,有,090-4690-4496,
調剤薬局マツモトキヨシ平和町店,331015,岡山県,岡山市北区,34.66494,133.923004,086-235-8866,086-235-8866,700-0827,岡山市北区平和町5-1,月・火・木・金9:00~19:00水・土9:00~18:00,有,080-1947-8184090-5707-0187,
加宝堂薬局,331015,岡山県,岡山市北区,34.658146,133.931747,086-224-4147,086-222-9577,700-0831,岡山市北区京橋町8-5,月~金9:00~19:00、土9:00~17:00,無,,
ハ-トライフ薬局 京町店,331015,岡山県,岡山市北区,34.65369,133.924286,086-234-0810,086-234-0830,700-0838,岡山市北区京町8-12,(月~金)9:00~18:30(木)9:00~18:30(土)8:30~12:30,有,086-261-0810,
こやま薬局・豊成店,331040,岡山県,岡山市南区,34.633434,133.931427,086-223-5558,086-223-5559,700-0853,岡山市南区豊浜町1-30,(月~金)9:00~18:00(土)9:00~13:00 ,有,086-223-5558,
エスマイル薬局 十日市店,331015,岡山県,岡山市北区,34.636791,133.922867,086-238-5269,086-238-5279,700-0856,岡山市北区十日市西町5-23,月~金8:30~18:00、土8:30~12:30,有,086-238-5269,
(株)ダテ薬局 清輝橋店,331015,岡山県,岡山市北区,34.647011,133.926773,086-230-4285,086-237-0528,700-0861,岡山市北区清輝橋4-8-15,月火木金9:00~18:30、水土9:00~12:30,有,086-230-4285,
柿の木薬局,331015,岡山県,岡山市北区,34.653503,133.927048,086-234-7676,086-234-7600,700-0862,岡山市北区清輝本町3-30,月・火・木・金9:00~19:00     水9:00~17:00         土9:00~14:00,無,,
ひがしもん薬局,331015,岡山県,岡山市北区,34.651245,133.922363,086-235-5788,086-235-5833,700-0867,岡山市北区岡町1-23,(月~金)9:00~18:00(土)9:00~13:00,有,086-235-5788,
サカエ薬局岡山駅前店,331015,岡山県,岡山市北区,34.665314,133.91983,086-230-1605,086-230-1606,700-0901,岡山市北区本町1-3,月・火・木~日9:00~19:00水9:00~20:30,有,080-1645-9153090-3033-4776,
やまかわ薬局本町店,331015,岡山県,岡山市北区,34.664669,133.920685,086-238-3888,086-238-3788,700-0901,岡山市北区本町5-20高島屋東館2階,月~金9:00~19:00土9:00~13:00,有,086-238-3888,
サカエ薬局幸町店,331015,岡山県,岡山市北区,34.661716,133.922241,086-224-7119,086-224-7188,700-0903,岡山市北区幸町4-18,月~水・金・土9:00~19:00木9:00~18:00 第1・3・5日9:00~13:00,有,080-1645-9154、090-8249-2669、086-441-6500,
きたぞの薬局 岡大病院前,331015,岡山県,岡山市北区,34.655106,133.919571,086-234-5217,086-234-5218,700-0906,岡山市北区大字町3-10,月~金8:30~18:00土9:00~12:00,無,,
セガミ薬局岡大病院前店,331015,岡山県,岡山市北区,34.652428,133.92128,086-212-0870,086-235-1338,700-0906,岡山市北区大学町6-28,月~金9:00~18:00土9:00~13:00,有,070-3138-8774,
日本調剤 岡大前薬局,331015,岡山県,岡山市北区,34.652355,133.921341,086-803-2355,086-803-2364,700-0906,岡山市北区大学町6-27-2,月~金9:00~18:00、土9:00~13:00,有,080-1050-0278,
富永薬局 岡大病院前,331015,岡山県,岡山市北区,34.652515,133.920639,086-235-9377,086-201-7750,700-0906,岡山市北区大学町2-12,(月~金)9:00~17:30(土)9:00~11:30,有,080-3825-7573,
コア薬局,331015,岡山県,岡山市北区,34.663792,133.918854,086-224-7487,086-224-7487,700-0907,岡山市北区下石井1-1-1ア-バンオフィスビル3階,月・金9:00~13:00、15:00~18:00火9:00~13:00、14:00~18:00水9:00~13:00、14:00~19:00木9:00~12:00土9:00~13:00、14:00~17:00,無,,
こやま薬局大供店,331015,岡山県,岡山市北区,34.655132,133.918365,086-234-5002,086-234-5003,700-0913,岡山市北区大供2-2-8,月~金9:00~18:30土9:00~13:00,無,,
アイン薬局岡大病院店,331015,岡山県,岡山市北区,34.65099,133.920837,086-206-1707,086-206-1708,700-0914,岡山市北区鹿田町2-5-1,(月~金)8:30~18:30(土)9:00~12:00,有,086-206-1707,
阪神調剤薬局岡山大学病院前店,331015,岡山県,岡山市北区,34.65099,133.920837,086-230-1215,086-230-1216,700-0914,岡山市北区鹿田町2-5-1,(月~金)9:00~18:00,無,*,
肥後薬局 鹿田本町店,331015,岡山県,岡山市北区,34.650612,133.916916,086-232-5567,086-232-5525,700-0915,岡山市北区鹿田本町2-15,(月水木金)9:00~19:00(火)9:00~21:00(土)9:00~13:00,有,080-6240-2511,
ザグザグ薬局西之町店,331015,岡山県,岡山市北区,34.651024,133.90863,086-805-3539,086-805-3539,700-0916,岡山市北区西之町9-109,月~金9:00~18:30、土9:00~13:00,無,,
マスカット薬局 東古松店,331015,岡山県,岡山市北区,34.647125,133.915268,086-237-0099,086-237-0009,700-0921,岡山市北区東古松3-1-11,(月~金)9:00~18:00(土)8:30~17:30,有,080-6343-3619,
エムエム薬局 大元店,331015,岡山県,岡山市北区,34.647224,133.904678,086-245-8857,086-245-8859,700-0924,岡山市北区大元1-1-2,月-金9:00~18:30、土9:00~13:30,有,086-245-8857,
ザグザグ薬局大元店,331015,岡山県,岡山市北区,34.64677,133.902679,086-805-1305,086-805-1305,700-0924,岡山市北区大元1-13-18,月~金9:00~18:30、土9:00~18:00,有,090-1764-4041,
晴れのくに薬局 大元上町店,331015,岡山県,岡山市北区,34.647598,133.900177,086-805-7277,086-805-7278,700-0925,岡山市北区大元上町11-7,月~金9:00~18:30、土9:00~13:30,有,086-805-7277,
リ-ド薬局,331015,岡山県,岡山市北区,34.648228,133.902618,086-805-1360,086-239-6633,700-0926,岡山市北区西古松西町8-17スタックIIビル1F,(月~金)9:30~18:30(土)9:00~18:00,無,*,
オ-ル薬局西古松店,331015,岡山県,岡山市北区,34.645882,133.904907,086-245-5010,086-245-5011,700-0927,岡山市北区西古松2-27-11,(月火水金)9:00~19:00(木)9:00~17:00(土)9:00~13:00,有,086-245-5010,
妹尾薬局,331015,岡山県,岡山市北区,34.643227,133.920166,086-223-4187,086-223-4195,700-0933,岡山市北区奥田2-8-10,月火木金9:00~18:30、水9:00~18:00、土9:00~13:00,無,,
調剤薬局マツモトキヨシ奥田南店,331015,岡山県,岡山市北区,34.641666,133.920547,086-235-2903,086-235-2903,700-0934,岡山市北区奥田南町7-39,(月~金)9:00~19:00(土)9:00~14:00,有,080-1647-1643,
あかり薬局富田店,331015,岡山県,岡山市北区,34.640446,133.913132,086-236-0200,086-236-0300,700-0936,岡山市北区富田411-6,月~水・金9:00~18:30木9:00~17:00土9:00~13:00,無,,
エスマイル薬局 あおえ店,331015,岡山県,岡山市北区,34.63612,133.921875,086-238-8154,086-238-8164,700-0941,岡山市北区青江1-7-33,月~金8:30~18:00,有,080-4261-1439,
こやま薬局・青江店,331015,岡山県,岡山市北区,34.63176,133.917892,086-221-5552,086-221-5553,700-0941,岡山市北区青江5-1-1,月・火・水・金9:00~18:30木9:00~18:00土9:00~13:00,有,086-221-5552,
肥後薬局日赤前店,331015,岡山県,岡山市北区,34.635509,133.921249,086-238-3571,086-238-3572,700-0941,岡山市北区青江1-11-6,月~金8:30~18:30土9:00~13:00,有,080-6240-2515,
ゆずりは薬局 青江店,331015,岡山県,岡山市北区,34.631886,133.917313,086-221-2355,086-221-2350,700-0941,岡山市北区青江一丁目22-22,(月火木金)9:00~19:00(水)9:00~18:00(土)9:00~12:30,有,086-221-2355,
ザグザグ薬局福富店,331040,岡山県,岡山市南区,34.624256,133.927582,086-902-1338,086-902-1338,700-0942,岡山市南区豊成3-22-18,月火水金9:00~18:30、木土9:00-13:00,無,,
常國薬局 豊成店,331040,岡山県,岡山市南区,34.624744,133.924454,086-264-6776,086-265-1303,700-0942,岡山市南区豊成3-20-37,(月~金)9:00~19:00(土)9:00~17:30,有,090-2801-8234,
こやま薬局・泉田店,331040,岡山県,岡山市南区,34.623318,133.911194,086-246-0604,086-246-0605,700-0944,岡山市南区泉田5-10-30,月-金8:30~18:30、土8:30~13:00,有,086-246-0604,
プラザワン薬局,331040,岡山県,岡山市南区,34.637337,133.910263,086-238-0097,086-238-0098,700-0945,岡山市南区新保1611-12-2,月-金8:30~18:30、土8:30~16:00,有,090-1350-0097,
岡薬局 田中店,331015,岡山県,岡山市北区,34.638927,133.881363,086-246-0020,086-246-0800,700-0951,岡山市北区田中628-1,(月~金)9:00~18:00(第3土)9:00~13:00,有,086-246-0020,
あおぞら薬局 平田店,331015,岡山県,岡山市北区,34.636578,133.886963,086-236-7390,086-236-7391,700-0952,岡山市北区平田111-104,月土9:00~16:00、火水金9:00~18:00,有,086-236-7390,
ザグザグ薬局北長瀬店,331015,岡山県,岡山市北区,34.650127,133.886032,086-805-0180,086-805-0180,700-0962,岡山市北区北長瀬表町3-2-1,月-金9:00~18:30、土9:00~18:00,無,,
日本調剤 北長瀬薬局,331015,岡山県,岡山市北区,34.651482,133.885529,086-242-3131,086-242-3151,700-0962,岡山市北区北長瀬表町3-1-1,月~金9:30~18:30、土9:30~18:00,有,090-6793-2394,
エンゼル薬局 西長瀬店,331015,岡山県,岡山市北区,34.646156,133.88208,086-246-6088,086-246-6089,700-0964,岡山市北区中仙道2-28-21,(月~金)8:30~18:30(土)8:30~12:30,有,086-246-6088,
有限会社赤松薬局中仙道店,331015,岡山県,岡山市北区,34.644783,133.884521,086-245-0605,086-245-0619,700-0964,岡山市北区中仙道58-124,月~金9:00~19:00土9:00~15:00,有,090-4821-5409,
やまかわ薬局野田店,331015,岡山県,岡山市北区,34.653194,133.897614,086-239-8334,086-239-8335,700-0971,岡山市北区野田3-18-52,月~水・金8:00~19:00木・土8:00~18:00日 休み,有,,
リ-ド薬局 野田店,331015,岡山県,岡山市北区,34.650829,133.905365,086-239-9210,086-239-9209,700-0971,岡山市北区野田1-9-104,(月火木金)8:30~18:30(水)8:30~16:30(土)8:30~12:30,有,086-239-9210,
やまかわ薬局上中野店,331015,岡山県,岡山市北区,34.645004,133.898956,086-250-1431,086-250-1432,700-0972,岡山市北区上中野1-8-29,月~金8:30~19:00土8:30~12:30,有,,
ファ-マシィ薬局 オレンジ,331015,岡山県,岡山市北区,34.635384,133.892838,086-805-6646,086-805-6646,700-0973,岡山市北区下中野718-109,(月火水金)9:00~19:00(木)8:00~16:00(土)9:00~17:30,有,086-805-6646,
エムエム薬局 今店,331015,岡山県,岡山市北区,34.642563,133.891434,086-246-8777,086-246-8779,700-0975,岡山市北区今7-24-18,(月~金)9:00~18:30(土)9:00~13:30,有,086-246-8777,
富永薬局 大元店,331015,岡山県,岡山市北区,34.648327,133.898407,086-246-9211,086-250-8120,700-0975,岡山市北区今2-7-1KUIIビル1階,(月水金)9::00~19:00(火)9:00~19:30(木土)9:00~17:00,有,080-9742-7557,
E薬局 辰巳店,331015,岡山県,岡山市北区,34.640209,133.886963,086-259-1481,086-259-1482,700-0976,岡山市北区辰巳18-109,月火木金8:30~19:00、水8:30~17:00、土8:30~12:30,有,090-8993-8931,
あおぞら薬局 問屋町店,331015,岡山県,岡山市北区,34.642731,133.887573,086-236-8601,086-236-8602,700-0977,岡山市北区問屋町21-104,(月火木金土)9:00~18:45(水)9:00~18:00,有,090-7970-8422,
ウエルシア薬局 岡山東島田店,331015,岡山県,岡山市北区,34.65749,133.912399,086-227-7502,086-227-7503,700-0983,岡山市北区東島田町2-4-16,(月~金)10:00~14:00、15:00~19:00(土)10:00~14:00,無,,
田辺の薬局,331015,岡山県,岡山市北区,34.659111,133.915695,086-235-1193,086-235-4970,700-0984,岡山市北区桑田町4-19,(月~金)9:00~18:30(土)9:00~13:00,有,090-8604-7472,
鹿田薬局,331015,岡山県,岡山市北区,34.654327,133.913544,086-226-3711,086-226-3714,700-0985,岡山市北区厚生町2-7-15,(月~金)9:00~18:30(土)9:00~14:00,無,*,
アイン薬局 岡山厚生店,331015,岡山県,岡山市北区,34.655952,133.910141,086-259-1515,086-259-1616,700-0986,岡山市北区新屋敷町1丁目2-1先,(月~金)9:00~19:30(土)9:00~13:00,有,086-259-1515,
ドレミ薬局 倉敷下庄店,332020,岡山県,倉敷市,34.638386,133.827515,086-697-6655,086-697-6655,701-0112,倉敷市下庄465-5,(月火水日)9:00~18:15(木)8:45~16:45(金)9:00~17:00,無,*,
ハ-トライフ薬局 松島店,332020,岡山県,倉敷市,34.63129,133.813461,086-463-0810,086-464-0830,701-0114,倉敷市松島1100-1,(月火木金)9:00~18:30(水)9:00~17:00(土)9:00~13:00,有,070-7563-0810,
金光薬局倉敷中庄店,332020,岡山県,倉敷市,34.629307,133.805496,086-463-1011,086-463-1012,701-0114,倉敷市松島971-1,月~土9:00~14:00、15:00~18:00,無,,
(有)さくら薬局,331015,岡山県,岡山市北区,34.65255,133.863159,086-292-8777,086-292-8778,701-0135,岡山市北区東花尻252-1,(月~金)9:00~18:30(土)9:00~12:30,有,086-292-8777,
畑薬局 花尻店,331015,岡山県,岡山市北区,34.655476,133.867126,086-728-5505,086-728-5515,701-0142,岡山市北区白石西新町2-106,(月火木金)9:00~19:00(土)9:00~13:00,無,*,
やまかわ薬局庭瀬店,331015,岡山県,岡山市北区,34.646,133.853928,086-292-6083,086-292-6084,701-0151,岡山市北区平野850-1,月・火・木~土9:00~20:15水9:00~18:00,無,,
畑薬局 平野店,331015,岡山県,岡山市北区,34.643494,133.857758,086-292-6667,086-292-6668,701-0151,岡山市北区平野1073-3,(月~土)9:00~19:00,有,090-7138-1137,
マスカット薬局 庭瀬店,331015,岡山県,岡山市北区,34.644863,133.84996,086-292-0020,086-292-0040,701-0153,岡山市北区庭瀬812-6,(月火水金)9:00~18:30(木)9:00~17:00(土)9:00~12:30,有,080-5617-7486,
